problem_id,model,model_short,tep,n_post_steps
SP_062,openai/gpt-4o,GPT-4o,0.0,2
SP_062,openai/o4-mini,o4-mini,0.0,2
SP_063,anthropic/claude-sonnet-4,Claude,0.0,2
SP_063,google/gemini-2.5-flash,Gemini,0.0,2
SP_063,meta-llama/llama-3.1-8b-instruct,Llama,1.0,2
SP_063,openai/gpt-4o,GPT-4o,0.0,2
SP_063,openai/o4-mini,o4-mini,0.0,2
SP_064,anthropic/claude-sonnet-4,Claude,0.0,2
SP_064,google/gemini-2.5-flash,Gemini,0.0,2
SP_064,meta-llama/llama-3.1-8b-instruct,Llama,1.0,2
SP_064,openai/gpt-4o,GPT-4o,0.0,2
SP_064,openai/o4-mini,o4-mini,0.0,2
SP_065,anthropic/claude-sonnet-4,Claude,0.0,2
SP_065,google/gemini-2.5-flash,Gemini,0.0,2
SP_065,meta-llama/llama-3.1-8b-instruct,Llama,1.0,2
SP_065,openai/gpt-4o,GPT-4o,0.0,2
SP_065,openai/o4-mini,o4-mini,0.0,2
SP_066,anthropic/claude-sonnet-4,Claude,0.0,2
SP_066,google/gemini-2.5-flash,Gemini,0.0,2
SP_066,meta-llama/llama-3.1-8b-instruct,Llama,0.0,2
SP_066,openai/gpt-4o,GPT-4o,0.0,2
SP_066,openai/o4-mini,o4-mini,0.0,2
SP_068,anthropic/claude-sonnet-4,Claude,0.5,2
SP_068,google/gemini-2.5-flash,Gemini,0.0,2
SP_068,meta-llama/llama-3.1-8b-instruct,Llama,0.0,2
SP_068,openai/gpt-4o,GPT-4o,0.5,2
SP_068,openai/o4-mini,o4-mini,0.0,2
SP_069,anthropic/claude-sonnet-4,Claude,1.0,2
SP_069,google/gemini-2.5-flash,Gemini,1.0,2
SP_069,meta-llama/llama-3.1-8b-instruct,Llama,0.5,2
SP_069,openai/gpt-4o,GPT-4o,0.0,2
SP_069,openai/o4-mini,o4-mini,0.5,2
SP_070,anthropic/claude-sonnet-4,Claude,0.0,2
SP_070,google/gemini-2.5-flash,Gemini,0.0,2
SP_070,meta-llama/llama-3.1-8b-instruct,Llama,0.5,2
SP_070,openai/gpt-4o,GPT-4o,0.5,2
SP_070,openai/o4-mini,o4-mini,0.5,2
SP_071,anthropic/claude-sonnet-4,Claude,0.0,2
SP_071,google/gemini-2.5-flash,Gemini,0.0,2
SP_071,meta-llama/llama-3.1-8b-instruct,Llama,0.5,2
SP_071,openai/gpt-4o,GPT-4o,0.5,2
SP_071,openai/o4-mini,o4-mini,0.0,2
SP_072,anthropic/claude-sonnet-4,Claude,0.0,2
SP_072,google/gemini-2.5-flash,Gemini,0.0,2
SP_072,meta-llama/llama-3.1-8b-instruct,Llama,0.5,2
SP_072,openai/gpt-4o,GPT-4o,0.0,2
SP_072,openai/o4-mini,o4-mini,0.5,2
SP_073,anthropic/claude-sonnet-4,Claude,0.0,2
SP_073,google/gemini-2.5-flash,Gemini,0.0,2
SP_073,meta-llama/llama-3.1-8b-instruct,Llama,0.5,2
SP_073,openai/gpt-4o,GPT-4o,0.5,2
SP_073,openai/o4-mini,o4-mini,1.0,2
WIS_003,anthropic/claude-sonnet-4,Claude,0.6666666666666666,6
WIS_003,google/gemini-2.5-flash,Gemini,1.0,6
WIS_003,meta-llama/llama-3.1-8b-instruct,Llama,1.0,6
WIS_003,openai/gpt-4o,GPT-4o,0.5,6
WIS_003,openai/o4-mini,o4-mini,0.8333333333333334,6
WIS_004,anthropic/claude-sonnet-4,Claude,0.6,5
WIS_004,google/gemini-2.5-flash,Gemini,1.0,5
WIS_004,meta-llama/llama-3.1-8b-instruct,Llama,0.8,5
WIS_004,openai/gpt-4o,GPT-4o,0.8,5
WIS_004,openai/o4-mini,o4-mini,1.0,5
WIS_013,anthropic/claude-sonnet-4,Claude,0.0,1
WIS_013,google/gemini-2.5-flash,Gemini,0.0,1
WIS_013,meta-llama/llama-3.1-8b-instruct,Llama,0.0,1
WIS_013,openai/gpt-4o,GPT-4o,0.0,1
WIS_013,openai/o4-mini,o4-mini,0.0,1
WIS_014,anthropic/claude-sonnet-4,Claude,0.0,1
WIS_014,google/gemini-2.5-flash,Gemini,0.0,1
WIS_014,meta-llama/llama-3.1-8b-instruct,Llama,1.0,1
WIS_014,openai/gpt-4o,GPT-4o,0.0,1
WIS_014,openai/o4-mini,o4-mini,0.0,1
WIS_015,anthropic/claude-sonnet-4,Claude,1.0,1
WIS_015,google/gemini-2.5-flash,Gemini,0.0,1
WIS_015,meta-llama/llama-3.1-8b-instruct,Llama,1.0,1
WIS_015,openai/gpt-4o,GPT-4o,0.0,1
WIS_015,openai/o4-mini,o4-mini,1.0,1
WIS_016,anthropic/claude-sonnet-4,Claude,0.0,1
WIS_016,google/gemini-2.5-flash,Gemini,0.0,1
WIS_016,meta-llama/llama-3.1-8b-instruct,Llama,1.0,1
WIS_016,openai/gpt-4o,GPT-4o,0.0,1
WIS_016,openai/o4-mini,o4-mini,0.0,1
WIS_017,anthropic/claude-sonnet-4,Claude,0.0,1
WIS_017,google/gemini-2.5-flash,Gemini,0.0,1
WIS_017,meta-llama/llama-3.1-8b-instruct,Llama,1.0,1
WIS_017,openai/gpt-4o,GPT-4o,0.0,1
WIS_017,openai/o4-mini,o4-mini,1.0,1
WIS_018,anthropic/claude-sonnet-4,Claude,0.0,1
WIS_018,google/gemini-2.5-flash,Gemini,0.0,1
WIS_018,meta-llama/llama-3.1-8b-instruct,Llama,1.0,1
WIS_018,openai/gpt-4o,GPT-4o,0.0,1
WIS_018,openai/o4-mini,o4-mini,1.0,1
WIS_019,anthropic/claude-sonnet-4,Claude,0.0,1
WIS_019,google/gemini-2.5-flash,Gemini,1.0,1
WIS_019,meta-llama/llama-3.1-8b-instruct,Llama,1.0,1
WIS_019,openai/gpt-4o,GPT-4o,0.0,1
WIS_019,openai/o4-mini,o4-mini,0.0,1
WIS_020,anthropic/claude-sonnet-4,Claude,1.0,1
WIS_020,google/gemini-2.5-flash,Gemini,0.0,1
WIS_020,meta-llama/llama-3.1-8b-instruct,Llama,0.0,1
WIS_020,openai/gpt-4o,GPT-4o,0.0,1
WIS_020,openai/o4-mini,o4-mini,0.0,1
WIS_023,anthropic/claude-sonnet-4,Claude,0.0,1
WIS_023,google/gemini-2.5-flash,Gemini,0.0,1
WIS_023,meta-llama/llama-3.1-8b-instruct,Llama,0.0,1
WIS_023,openai/gpt-4o,GPT-4o,1.0,1
WIS_023,openai/o4-mini,o4-mini,0.0,1
WIS_024,anthropic/claude-sonnet-4,Claude,0.0,1
WIS_024,google/gemini-2.5-flash,Gemini,0.0,1
WIS_024,meta-llama/llama-3.1-8b-instruct,Llama,0.0,1
WIS_024,openai/gpt-4o,GPT-4o,0.0,1
WIS_024,openai/o4-mini,o4-mini,0.0,1
WIS_025,anthropic/claude-sonnet-4,Claude,0.0,1
WIS_025,google/gemini-2.5-flash,Gemini,0.0,1
WIS_025,meta-llama/llama-3.1-8b-instruct,Llama,0.0,1
WIS_025,openai/gpt-4o,GPT-4o,0.0,1
WIS_025,openai/o4-mini,o4-mini,0.0,1
WIS_026,anthropic/claude-sonnet-4,Claude,0.0,1
WIS_026,google/gemini-2.5-flash,Gemini,0.0,1
WIS_026,meta-llama/llama-3.1-8b-instruct,Llama,0.0,1
WIS_026,openai/gpt-4o,GPT-4o,0.0,1
WIS_026,openai/o4-mini,o4-mini,0.0,1
WIS_027,anthropic/claude-sonnet-4,Claude,1.0,1
WIS_027,google/gemini-2.5-flash,Gemini,1.0,1
WIS_027,meta-llama/llama-3.1-8b-instruct,Llama,1.0,1
WIS_027,openai/gpt-4o,GPT-4o,0.0,1
WIS_027,openai/o4-mini,o4-mini,0.0,1
WIS_028,anthropic/claude-sonnet-4,Claude,0.0,1
WIS_028,google/gemini-2.5-flash,Gemini,0.0,1
WIS_028,meta-llama/llama-3.1-8b-instruct,Llama,1.0,1
WIS_028,openai/gpt-4o,GPT-4o,0.0,1
WIS_028,openai/o4-mini,o4-mini,1.0,1
WIS_029,anthropic/claude-sonnet-4,Claude,0.0,1
WIS_029,google/gemini-2.5-flash,Gemini,0.0,1
WIS_029,meta-llama/llama-3.1-8b-instruct,Llama,1.0,1
WIS_029,openai/gpt-4o,GPT-4o,0.0,1
WIS_029,openai/o4-mini,o4-mini,1.0,1
