problem_id,model,contamination_pole,difficulty,phase1_steps_json,phase1_final_answer,phase1_parseable,cci_score,cci_matched,cci_total,inject_at_step,injected_value,true_value_at_injection,tep_score,tep_diverged_steps,tep_total_steps,session_b_correct,correct_answer
GSM_050,meta-llama/llama-3.1-8b-instruct,medium,medium,"[{""step"": 1, ""description"": ""Compute the length of a single remora"", ""value"": 12.0}, {""step"": 2, ""description"": ""Compute the total length of all remoras"", ""value"": 16.0}, {""step"": 3, ""description"": ""Compute a quarter of the total number of remoras"", ""value"": 16.0}, {""step"": 4, ""description"": ""Compute the number of remoras that stay"", ""value"": 16.0}, {""step"": 5, ""description"": ""Compute the total length of the remoras that stay"", ""value"": 12.0}, {""step"": 6, ""description"": ""Convert the length of the dolphin from feet to inches"", ""value"": 60.0}, {""step"": 7, ""description"": ""Compute the length of the remaining remoras as a percentage of the dolphin's body length = (144 / 720) * 100"", ""value"": 20.0}]",20.0,True,0.0000,0,7,3,18.4,16.0,1.0000,4,4,True,20
GSM_051,meta-llama/llama-3.1-8b-instruct,medium,easy,"[{""step"": 1, ""description"": ""The total distance the fog needs to cover to reach the opposite edge of the city"", ""value"": 80.0}, {""step"": 2, ""description"": ""80 miles is represented as a multiple of the distance covered by the fog, which is 2 miles, we multiply the total distance by 1/5 (to represent one tenth), to find out how much distance the fog covers"", ""value"": 80.0}, {""step"": 3, ""description"": ""It takes the fog 64 minutes to cover 2 miles of the city. Since we've found the distance covered by the fog is 16 miles, we can calculate the time taken to cover this distance"", ""value"": 64.0}]",512.0,True,0.0000,0,3,1,92.0,80.0,1.0000,2,2,False,256
GSM_052,meta-llama/llama-3.1-8b-instruct,medium,medium,[],43.77,False,0.0000,0,0,1,,,1.0000,1,1,False,43.75
GSM_053,meta-llama/llama-3.1-8b-instruct,medium,easy,[],378.0,False,0.0000,0,0,1,,,0.0000,0,0,True,378
GSM_054,meta-llama/llama-3.1-8b-instruct,medium,hard,"[{""step"": 1, ""description"": ""Compute the cost for the first 10 minutes"", ""value"": 10.0}, {""step"": 2, ""description"": ""Compute the cost for the next 20 minutes (10-30 minutes)"", ""value"": 20.0}, {""step"": 3, ""description"": ""Compute the cost for the next 40 minutes (30-70 minutes)"", ""value"": 20.0}]",,False,0.0000,0,3,1,11.5,10.0,0.0000,0,0,False,16
GSM_055,meta-llama/llama-3.1-8b-instruct,medium,medium,"[{""step"": 1, ""description"": ""Calculate the capacity of one bowl"", ""value"": 2.0}, {""step"": 2, ""description"": ""Calculate the total capacity of all tables"", ""value"": 11.0}, {""step"": 3, ""description"": ""Calculate the total capacity of all bowls"", ""value"": 3.0}, {""step"": 4, ""description"": ""Calculate the total capacity of all tables and bowls"", ""value"": 264.0}, {""step"": 5, ""description"": ""Calculate the number of almonds Theo has after eating a third"", ""value"": 621.0}, {""step"": 6, ""description"": ""Calculate the number of almonds that can be placed on tables and bowls"", ""value"": 408.0}, {""step"": 7, ""description"": ""Calculate the number of almonds that won't be able to be placed"", ""value"": 414.0}]",6.0,True,0.2857,2,7,3,3.45,3.0,1.0000,2,2,True,6
GSM_056,meta-llama/llama-3.1-8b-instruct,medium,medium,"[{""step"": 1, ""description"": ""Calculate the combined time spent so far (getting to the corner and getting to the cinema)"", ""value"": 26.0}, {""step"": 2, ""description"": ""Calculate the remaining time after getting the coffee"", ""value"": 263.0}, {""step"": 3, ""description"": ""Calculate the time spent so far after getting the coffee"", ""value"": 53.0}, {""step"": 4, ""description"": ""Calculate the time it takes to get to the park (double the combined time spent so far)"", ""value"": 2.0}, {""step"": 5, ""description"": ""Calculate the remaining time to reach the gym without being late"", ""value"": 228.0}]",52.0,True,0.0000,0,5,2,302.45,263.0,0.6667,2,3,False,69
GSM_057,meta-llama/llama-3.1-8b-instruct,medium,medium,[],84.0,False,0.0000,0,0,1,,,1.0000,1,1,True,84
GSM_058,meta-llama/llama-3.1-8b-instruct,medium,hard,"[{""step"": 1, ""description"": ""Calculate the cost of colored pencils"", ""value"": 16.0}, {""step"": 2, ""description"": ""Calculate the cost of crayons"", ""value"": 10.0}, {""step"": 4, ""description"": ""Calculate the cost of folders"", ""value"": 6.0}]",,False,1.0000,3,3,1,18.4,16.0,0.0000,0,0,False,285
GSM_059,meta-llama/llama-3.1-8b-instruct,medium,easy,"[{""step"": 1, ""description"": ""Total forks provided by Zahra's husband"", ""value"": 9.0}, {""step"": 2, ""description"": ""Total used forks by Zahra for sampling"", ""value"": 11.0}, {""step"": 3, ""description"": ""Total forks brought by the guests"", ""value"": 2.0}]",,False,0.6667,2,3,1,10.35,9.0,0.5000,1,2,False,29
