problem_id,model,difficulty,contamination_pole,cci,matched_steps,total_steps_compared,generated_plan_length,executed_length,illegal_action_count,skip_count,session_status,first_illegal_step,partial_goal_achievement,goals_met,goal_reached,executed_steps_json,parser_classifications_json,preamble_lines,remapped_lines,canonical_lines,unparseable_lines
BW_172,anthropic/claude-sonnet-4,hard,high,,0,0,20,9,0,0,aborted: planning_loop,,0.0,0,False,"[""pick-up f"", ""stack f k"", ""unstack f k"", ""stack f k"", ""unstack f k"", ""stack f k"", ""unstack f k"", ""stack f k"", ""unstack f k""]","{""canonical"": 8, ""remapped"": 1}",0,1,8,0
BW_203,anthropic/claude-sonnet-4,easy,high,,0,0,10,20,14,6,aborted: excessive illegal steps,2,0.6667,2,False,"[""pick-up j"", ""stack j h"", ""stack k f"", ""unstack j h"", ""stack j h"", ""stack k f"", ""pick-up k"", ""stack k f"", ""stack f j"", ""STEP_SKIP"", ""stack f j"", ""STEP_SKIP"", ""stack f j"", ""STEP_SKIP"", ""stack f j"", ""STEP_SKIP"", ""stack f j"", ""STEP_SKIP"", ""stack f j"", ""STEP_SKIP""]","{""canonical"": 17, ""remapped"": 3}",0,3,17,0
BW_227,anthropic/claude-sonnet-4,hard,high,0.0,0,16,16,50,28,0,complete,4,0.125,1,False,"[""pick-up k"", ""put-down k"", ""pick-up f"", ""stack f l"", ""stack l g"", ""stack f g"", ""stack l g"", ""unstack f l"", ""stack f l"", ""stack l g"", ""unstack f l"", ""stack f l"", ""stack l g"", ""stack f l"", ""stack l g"", ""unstack f l"", ""stack f l"", ""unstack f l"", ""stack f l"", ""stack l g"", ""stack f g"", ""stack l g"", ""stack f g"", ""stack l g"", ""stack f g"", ""stack l g"", ""stack f g"", ""stack l g"", ""unstack f l"", ""stack f l"", ""stack l g"", ""stack f g"", ""stack l g"", ""stack f g"", ""stack l g"", ""unstack f l"", ""stack f l"", ""stack l g"", ""stack f g"", ""stack l g"", ""stack f g"", ""stack l g"", ""unstack f l"", ""stack f l"", ""stack l g"", ""unstack f l"", ""stack f l"", ""stack l g"", ""unstack f l"", ""stack f l""]","{""canonical"": 49, ""remapped"": 1}",0,1,49,0
BW_282,anthropic/claude-sonnet-4,medium,high,,0,0,17,47,15,6,aborted: excessive illegal steps,8,0.5,2,False,"[""pick-up i"", ""put-down i"", ""pick-up b"", ""put-down b"", ""pick-up b"", ""put-down b"", ""pick-up i"", ""stack i b"", ""stack g h"", ""unstack i b"", ""put-down i"", ""pick-up b"", ""put-down b"", ""pick-up i"", ""put-down i"", ""pick-up b"", ""put-down b"", ""pick-up i"", ""put-down i"", ""pick-up b"", ""put-down b"", ""pick-up i"", ""put-down i"", ""pick-up b"", ""put-down b"", ""pick-up i"", ""put-down i"", ""pick-up b"", ""put-down b"", ""pick-up i"", ""stack i b"", ""stack c i"", ""stack h c"", ""pick-up g"", ""stack g h"", ""stack h c"", ""STEP_SKIP"", ""stack h c"", ""STEP_SKIP"", ""stack h c"", ""STEP_SKIP"", ""stack h c"", ""STEP_SKIP"", ""stack h c"", ""STEP_SKIP"", ""stack h c"", ""STEP_SKIP""]","{""canonical"": 42, ""remapped"": 5}",0,5,42,0
BW_310,anthropic/claude-sonnet-4,medium,high,,0,0,11,16,12,6,aborted: excessive illegal steps,4,0.4,2,False,"[""pick-up b"", ""stack b d"", ""pick-up g"", ""stack g j"", ""stack j a"", ""STEP_SKIP"", ""stack j a"", ""STEP_SKIP"", ""stack j a"", ""STEP_SKIP"", ""stack j a"", ""STEP_SKIP"", ""stack j a"", ""STEP_SKIP"", ""stack j a"", ""STEP_SKIP""]","{""canonical"": 13, ""remapped"": 3}",0,3,13,0
BW_331,anthropic/claude-sonnet-4,easy,high,0.0,0,4,6,4,0,0,complete,,1.0,2,True,"[""pick-up j"", ""stack j l"", ""pick-up h"", ""stack h j""]","{""canonical"": 1, ""remapped"": 3}",0,3,1,0
BW_350,anthropic/claude-sonnet-4,hard,high,0.0,0,18,18,50,44,0,complete,4,0.1111,1,False,"[""pick-up l"", ""put-down l"", ""pick-up f"", ""stack f e"", ""stack e i"", ""stack f e"", ""stack e i"", ""stack f i"", ""stack e i"", ""stack f e"", ""stack e i"", ""stack f e"", ""stack e i"", ""stack f e"", ""stack e i"", ""stack f e"", ""stack e i"", ""stack f e"", ""stack e i"", ""stack f e"", ""stack e i"", ""stack i j"", ""unstack f e"", ""stack f e"", ""stack e i"", ""stack f e"", ""stack e i"", ""stack f e"", ""stack e i"", ""stack f e"", ""stack e i"", ""stack f e"", ""stack e i"", ""stack f i"", ""stack e i"", ""stack f e"", ""stack e i"", ""stack f e"", ""stack e i"", ""stack f e"", ""stack e i"", ""stack f e"", ""stack e i"", ""stack f e"", ""stack e i"", ""stack f e"", ""stack e i"", ""stack f e"", ""stack e i"", ""stack i j""]","{""canonical"": 49, ""remapped"": 1}",0,1,49,0
BW_408,anthropic/claude-sonnet-4,hard,high,,0,0,29,18,0,0,aborted: planning_loop,,0.0,0,False,"[""pick-up j"", ""put-down j"", ""pick-up b"", ""put-down b"", ""pick-up b"", ""put-down b"", ""pick-up b"", ""put-down b"", ""pick-up j"", ""put-down j"", ""pick-up b"", ""put-down b"", ""pick-up b"", ""put-down b"", ""pick-up b"", ""put-down b"", ""pick-up b"", ""put-down b""]","{""canonical"": 18}",0,0,18,0
BW_467,anthropic/claude-sonnet-4,medium,high,,0,0,19,8,0,0,aborted: planning_loop,,0.0,0,False,"[""pick-up h"", ""put-down h"", ""pick-up h"", ""put-down h"", ""pick-up h"", ""put-down h"", ""pick-up h"", ""put-down h""]","{""canonical"": 8}",0,0,8,0
BW_495,anthropic/claude-sonnet-4,medium,high,,0,0,21,15,13,6,aborted: excessive illegal steps,0,0.25,1,False,"[""stack e h"", ""pick-up c"", ""stack c l"", ""stack l i"", ""STEP_SKIP"", ""stack l i"", ""STEP_SKIP"", ""stack l i"", ""STEP_SKIP"", ""stack l i"", ""STEP_SKIP"", ""stack l i"", ""STEP_SKIP"", ""stack l i"", ""STEP_SKIP""]","{""remapped"": 3, ""canonical"": 12}",0,3,12,0
BW_E002,anthropic/claude-sonnet-4,easy,low,,0,0,4,12,12,6,aborted: excessive illegal steps,0,0.0,0,False,"[""pick-up c"", ""STEP_SKIP"", ""pick-up c"", ""STEP_SKIP"", ""pick-up c"", ""STEP_SKIP"", ""pick-up c"", ""STEP_SKIP"", ""pick-up c"", ""STEP_SKIP"", ""pick-up c"", ""STEP_SKIP""]","{""canonical"": 12}",0,0,12,0
BW_E015,anthropic/claude-sonnet-4,easy,low,1.0,4,4,4,4,0,0,complete,,1.0,1,True,"[""unstack c b"", ""put-down c"", ""pick-up a"", ""stack a b""]","{""canonical"": 2, ""remapped"": 2}",0,2,2,0
BW_E017,anthropic/claude-sonnet-4,easy,low,,0,0,4,12,12,6,aborted: excessive illegal steps,0,0.0,0,False,"[""pick-up a"", ""STEP_SKIP"", ""pick-up a"", ""STEP_SKIP"", ""pick-up a"", ""STEP_SKIP"", ""pick-up a"", ""STEP_SKIP"", ""pick-up a"", ""STEP_SKIP"", ""pick-up a"", ""STEP_SKIP""]","{""canonical"": 12}",0,0,12,0
BW_E019,anthropic/claude-sonnet-4,easy,low,0.5,2,4,4,5,1,0,complete,2,1.0,2,True,"[""unstack a b"", ""stack a c"", ""stack b a"", ""pick-up b"", ""stack b a""]","{""canonical"": 3, ""remapped"": 2}",0,2,3,0
BW_E100,anthropic/claude-sonnet-4,easy,low,1.0,2,2,8,2,0,0,complete,,1.0,2,True,"[""pick-up b"", ""stack b c""]","{""canonical"": 1, ""remapped"": 1}",0,1,1,0
BW_496,anthropic/claude-sonnet-4,hard,high,0.0,0,20,20,50,0,0,complete,,0.0,0,False,"[""pick-up f"", ""put-down f"", ""pick-up i"", ""put-down i"", ""pick-up f"", ""put-down f"", ""pick-up i"", ""put-down i"", ""pick-up f"", ""put-down f"", ""pick-up i"", ""put-down i"", ""pick-up f"", ""put-down f"", ""pick-up i"", ""put-down i"", ""pick-up f"", ""put-down f"", ""pick-up i"", ""put-down i"", ""pick-up f"", ""put-down f"", ""pick-up i"", ""put-down i"", ""pick-up f"", ""put-down f"", ""pick-up i"", ""put-down i"", ""pick-up f"", ""put-down f"", ""pick-up i"", ""put-down i"", ""pick-up f"", ""put-down f"", ""pick-up i"", ""put-down i"", ""pick-up f"", ""put-down f"", ""pick-up i"", ""put-down i"", ""pick-up f"", ""put-down f"", ""pick-up i"", ""put-down i"", ""pick-up f"", ""put-down f"", ""pick-up i"", ""put-down i"", ""pick-up f"", ""put-down f""]","{""canonical"": 50}",0,0,50,0
BW_497,anthropic/claude-sonnet-4,easy,high,0.0,0,4,4,4,0,0,complete,,1.0,2,True,"[""pick-up e"", ""stack e c"", ""pick-up l"", ""stack l e""]","{""canonical"": 1, ""remapped"": 3}",0,3,1,0
BW_498,anthropic/claude-sonnet-4,hard,high,,0,0,18,16,12,6,aborted: excessive illegal steps,4,0.1111,1,False,"[""pick-up g"", ""put-down g"", ""pick-up k"", ""stack k j"", ""stack j e"", ""STEP_SKIP"", ""stack j e"", ""STEP_SKIP"", ""stack j e"", ""STEP_SKIP"", ""stack j e"", ""STEP_SKIP"", ""stack j e"", ""STEP_SKIP"", ""stack j e"", ""STEP_SKIP""]","{""canonical"": 15, ""remapped"": 1}",0,1,15,0
BW_499,anthropic/claude-sonnet-4,medium,high,,0,0,20,16,12,6,aborted: excessive illegal steps,4,0.5,2,False,"[""pick-up e"", ""stack e l"", ""pick-up j"", ""stack j a"", ""stack a c"", ""STEP_SKIP"", ""stack a c"", ""STEP_SKIP"", ""stack a c"", ""STEP_SKIP"", ""stack a c"", ""STEP_SKIP"", ""stack a c"", ""STEP_SKIP"", ""stack a c"", ""STEP_SKIP""]","{""canonical"": 13, ""remapped"": 3}",0,3,13,0
BW_500,anthropic/claude-sonnet-4,hard,high,,0,0,14,9,0,0,aborted: planning_loop,,0.0,0,False,"[""pick-up b"", ""stack b l"", ""unstack b l"", ""stack b l"", ""unstack b l"", ""stack b l"", ""unstack b l"", ""stack b l"", ""unstack b l""]","{""canonical"": 8, ""remapped"": 1}",0,1,8,0
BW_501,anthropic/claude-sonnet-4,hard,high,,0,0,33,39,23,6,aborted: excessive illegal steps,4,0.1429,1,False,"[""pick-up d"", ""put-down d"", ""pick-up c"", ""stack c i"", ""stack i k"", ""unstack c i"", ""stack c i"", ""stack i k"", ""unstack c i"", ""stack c i"", ""stack i k"", ""unstack c i"", ""stack c i"", ""stack i k"", ""pick-up c"", ""stack c i"", ""stack i k"", ""unstack c i"", ""stack c i"", ""stack i k"", ""unstack c i"", ""stack c i"", ""stack i k"", ""unstack c i"", ""stack c i"", ""stack i k"", ""pick-up c"", ""pick-up i"", ""STEP_SKIP"", ""pick-up i"", ""STEP_SKIP"", ""pick-up i"", ""STEP_SKIP"", ""pick-up i"", ""STEP_SKIP"", ""pick-up i"", ""STEP_SKIP"", ""pick-up i"", ""STEP_SKIP""]","{""canonical"": 36, ""remapped"": 3}",0,3,36,0
BW_502,anthropic/claude-sonnet-4,easy,high,,0,0,14,16,12,6,aborted: excessive illegal steps,4,0.6667,2,False,"[""pick-up i"", ""stack i e"", ""pick-up d"", ""stack d h"", ""stack h i"", ""STEP_SKIP"", ""stack h i"", ""STEP_SKIP"", ""stack h i"", ""STEP_SKIP"", ""stack h i"", ""STEP_SKIP"", ""stack h i"", ""STEP_SKIP"", ""stack h i"", ""STEP_SKIP""]","{""canonical"": 13, ""remapped"": 3}",0,3,13,0
BW_503,anthropic/claude-sonnet-4,hard,high,,0,0,22,11,0,0,aborted: planning_loop,,0.0909,1,False,"[""pick-up i"", ""stack i l"", ""pick-up f"", ""stack f g"", ""unstack f g"", ""stack f g"", ""unstack f g"", ""stack f g"", ""unstack f g"", ""stack f g"", ""unstack f g""]","{""canonical"": 8, ""remapped"": 3}",0,3,8,0
BW_504,anthropic/claude-sonnet-4,medium,high,0.0417,1,24,24,50,0,0,complete,,0.0,0,False,"[""pick-up l"", ""put-down l"", ""pick-up b"", ""put-down b"", ""pick-up l"", ""put-down l"", ""pick-up b"", ""put-down b"", ""pick-up l"", ""put-down l"", ""pick-up b"", ""put-down b"", ""pick-up l"", ""put-down l"", ""pick-up b"", ""put-down b"", ""pick-up l"", ""put-down l"", ""pick-up b"", ""put-down b"", ""pick-up l"", ""put-down l"", ""pick-up b"", ""put-down b"", ""pick-up l"", ""put-down l"", ""pick-up b"", ""put-down b"", ""pick-up l"", ""put-down l"", ""pick-up b"", ""put-down b"", ""pick-up l"", ""put-down l"", ""pick-up b"", ""put-down b"", ""pick-up l"", ""put-down l"", ""pick-up b"", ""put-down b"", ""pick-up l"", ""put-down l"", ""pick-up b"", ""put-down b"", ""pick-up l"", ""put-down l"", ""pick-up b"", ""put-down b"", ""pick-up l"", ""put-down l""]","{""canonical"": 50}",0,0,50,0
BW_505,anthropic/claude-sonnet-4,medium,high,,0,0,22,9,0,0,aborted: planning_loop,,0.0,0,False,"[""pick-up b"", ""stack b h"", ""unstack b h"", ""stack b h"", ""unstack b h"", ""stack b h"", ""unstack b h"", ""stack b h"", ""unstack b h""]","{""canonical"": 8, ""remapped"": 1}",0,1,8,0
BW_506,anthropic/claude-sonnet-4,easy,high,0.0,0,4,6,4,0,0,complete,,1.0,2,True,"[""pick-up b"", ""stack b f"", ""pick-up g"", ""stack g b""]","{""canonical"": 1, ""remapped"": 3}",0,3,1,0
BW_507,anthropic/claude-sonnet-4,easy,high,0.0,0,4,4,5,1,0,complete,2,1.0,2,True,"[""pick-up h"", ""stack h e"", ""stack j h"", ""pick-up j"", ""stack j h""]","{""canonical"": 2, ""remapped"": 3}",0,3,2,0
BW_508,anthropic/claude-sonnet-4,medium,high,0.1,2,20,20,50,0,0,complete,,0.0,0,False,"[""pick-up b"", ""stack b f"", ""unstack b f"", ""put-down b"", ""pick-up f"", ""put-down f"", ""pick-up b"", ""stack b f"", ""unstack b f"", ""put-down b"", ""pick-up f"", ""put-down f"", ""pick-up b"", ""stack b f"", ""unstack b f"", ""stack b f"", ""unstack b f"", ""stack b f"", ""unstack b f"", ""put-down b"", ""pick-up f"", ""put-down f"", ""pick-up b"", ""stack b f"", ""unstack b f"", ""put-down b"", ""pick-up f"", ""put-down f"", ""pick-up b"", ""stack b f"", ""unstack b f"", ""stack b f"", ""unstack b f"", ""put-down b"", ""pick-up f"", ""put-down f"", ""pick-up b"", ""stack b f"", ""unstack b f"", ""stack b f"", ""unstack b f"", ""put-down b"", ""pick-up f"", ""put-down f"", ""pick-up b"", ""stack b f"", ""unstack b f"", ""put-down b"", ""pick-up f"", ""put-down f""]","{""canonical"": 36, ""remapped"": 14}",0,14,36,0
BW_509,anthropic/claude-sonnet-4,medium,high,0.0,0,13,13,50,0,0,complete,,0.0,0,False,"[""pick-up j"", ""put-down j"", ""pick-up i"", ""put-down i"", ""pick-up j"", ""put-down j"", ""pick-up i"", ""put-down i"", ""pick-up j"", ""put-down j"", ""pick-up i"", ""put-down i"", ""pick-up j"", ""put-down j"", ""pick-up i"", ""put-down i"", ""pick-up j"", ""put-down j"", ""pick-up i"", ""put-down i"", ""pick-up j"", ""put-down j"", ""pick-up i"", ""put-down i"", ""pick-up j"", ""put-down j"", ""pick-up i"", ""put-down i"", ""pick-up j"", ""put-down j"", ""pick-up i"", ""put-down i"", ""pick-up j"", ""put-down j"", ""pick-up i"", ""put-down i"", ""pick-up j"", ""put-down j"", ""pick-up i"", ""put-down i"", ""pick-up j"", ""put-down j"", ""pick-up i"", ""put-down i"", ""pick-up j"", ""put-down j"", ""pick-up i"", ""put-down i"", ""pick-up j"", ""put-down j""]","{""canonical"": 50}",0,0,50,0
BW_510,anthropic/claude-sonnet-4,medium,high,,0,0,12,8,0,0,aborted: planning_loop,,0.0,0,False,"[""pick-up i"", ""put-down i"", ""pick-up i"", ""put-down i"", ""pick-up i"", ""put-down i"", ""pick-up i"", ""put-down i""]","{""canonical"": 8}",0,0,8,0
BW_511,anthropic/claude-sonnet-4,easy,high,,0,0,14,13,0,0,aborted: planning_loop,,0.3333,1,False,"[""pick-up l"", ""stack l f"", ""pick-up i"", ""put-down i"", ""pick-up i"", ""stack i k"", ""unstack i k"", ""stack i k"", ""unstack i k"", ""stack i k"", ""unstack i k"", ""stack i k"", ""unstack i k""]","{""canonical"": 10, ""remapped"": 3}",0,3,10,0
BW_512,anthropic/claude-sonnet-4,medium,high,,0,0,15,23,13,6,aborted: excessive illegal steps,4,0.4,2,False,"[""pick-up i"", ""stack i f"", ""pick-up c"", ""stack c j"", ""stack j e"", ""unstack c j"", ""stack c j"", ""stack j e"", ""STEP_SKIP"", ""stack j e"", ""STEP_SKIP"", ""unstack c j"", ""stack c j"", ""stack j e"", ""STEP_SKIP"", ""stack j e"", ""STEP_SKIP"", ""stack j e"", ""STEP_SKIP"", ""unstack c j"", ""stack c j"", ""stack j e"", ""STEP_SKIP""]","{""canonical"": 20, ""remapped"": 3}",0,3,20,0
BW_513,anthropic/claude-sonnet-4,medium,high,0.1176,2,17,17,50,12,0,complete,0,0.3333,2,False,"[""stack d l"", ""pick-up a"", ""stack a d"", ""stack c e"", ""pick-up e"", ""stack e f"", ""unstack a d"", ""put-down a"", ""pick-up l"", ""put-down l"", ""pick-up c"", ""stack c e"", ""stack f i"", ""unstack c e"", ""stack c e"", ""stack f i"", ""unstack c e"", ""stack c e"", ""stack f i"", ""unstack c e"", ""stack c e"", ""stack f i"", ""unstack c e"", ""stack c e"", ""unstack c e"", ""stack c e"", ""unstack c e"", ""stack c e"", ""stack f i"", ""unstack c e"", ""stack c e"", ""unstack c e"", ""stack c e"", ""unstack c e"", ""stack c e"", ""stack f i"", ""unstack c e"", ""stack c e"", ""stack f i"", ""unstack c e"", ""stack c e"", ""stack f i"", ""unstack c e"", ""stack c e"", ""stack f i"", ""unstack c e"", ""stack c e"", ""stack f i"", ""unstack c e"", ""stack c e""]","{""canonical"": 45, ""remapped"": 5}",0,5,45,0
BW_514,anthropic/claude-sonnet-4,medium,high,,0,0,14,14,12,6,aborted: excessive illegal steps,2,0.2,1,False,"[""pick-up c"", ""stack c j"", ""stack j a"", ""STEP_SKIP"", ""stack j a"", ""STEP_SKIP"", ""stack j a"", ""STEP_SKIP"", ""stack j a"", ""STEP_SKIP"", ""stack j a"", ""STEP_SKIP"", ""stack j a"", ""STEP_SKIP""]","{""canonical"": 13, ""remapped"": 1}",0,1,13,0
BW_515,anthropic/claude-sonnet-4,medium,high,,0,0,18,37,15,6,aborted: excessive illegal steps,18,0.2,1,False,"[""pick-up d"", ""put-down d"", ""pick-up i"", ""put-down i"", ""pick-up d"", ""put-down d"", ""pick-up i"", ""put-down i"", ""pick-up d"", ""put-down d"", ""pick-up i"", ""put-down i"", ""pick-up d"", ""put-down d"", ""pick-up i"", ""put-down i"", ""pick-up g"", ""stack g e"", ""stack e k"", ""STEP_SKIP"", ""stack e k"", ""STEP_SKIP"", ""stack e k"", ""stack e g"", ""unstack g e"", ""stack g e"", ""stack e k"", ""STEP_SKIP"", ""stack e k"", ""STEP_SKIP"", ""stack e k"", ""STEP_SKIP"", ""stack e g"", ""unstack g e"", ""stack g e"", ""stack e k"", ""STEP_SKIP""]","{""canonical"": 36, ""remapped"": 1}",0,1,36,0
BW_E_001,anthropic/claude-sonnet-4,medium,low,0.0556,1,18,18,50,8,3,complete,38,0.4,2,False,"[""pick-up j"", ""put-down j"", ""pick-up b"", ""put-down b"", ""pick-up j"", ""put-down j"", ""pick-up b"", ""put-down b"", ""pick-up j"", ""put-down j"", ""pick-up b"", ""put-down b"", ""pick-up j"", ""put-down j"", ""pick-up b"", ""put-down b"", ""pick-up j"", ""put-down j"", ""pick-up b"", ""put-down b"", ""pick-up j"", ""put-down j"", ""pick-up b"", ""put-down b"", ""pick-up j"", ""put-down j"", ""pick-up b"", ""put-down b"", ""pick-up j"", ""put-down j"", ""pick-up b"", ""put-down b"", ""pick-up j"", ""put-down j"", ""pick-up b"", ""put-down b"", ""pick-up a"", ""stack a i"", ""stack i c"", ""pick-up c"", ""stack c f"", ""unstack a i"", ""stack a i"", ""stack i c"", ""pick-up i"", ""STEP_SKIP"", ""pick-up i"", ""STEP_SKIP"", ""pick-up i"", ""STEP_SKIP""]","{""canonical"": 46, ""remapped"": 4}",0,4,46,0
BW_E_002,anthropic/claude-sonnet-4,easy,low,0.0,0,14,14,50,16,0,complete,4,0.6667,2,False,"[""pick-up g"", ""stack g i"", ""pick-up h"", ""stack h b"", ""stack b g"", ""unstack h b"", ""stack h b"", ""stack b g"", ""unstack h b"", ""stack h b"", ""stack b g"", ""unstack h b"", ""stack h b"", ""stack b g"", ""unstack h b"", ""stack h b"", ""stack b g"", ""unstack h b"", ""stack h b"", ""stack b g"", ""unstack h b"", ""stack h b"", ""stack b g"", ""unstack h b"", ""stack h b"", ""stack b g"", ""unstack h b"", ""stack h b"", ""stack b g"", ""unstack h b"", ""stack h b"", ""stack b g"", ""unstack h b"", ""stack h b"", ""stack b g"", ""unstack h b"", ""stack h b"", ""stack b g"", ""unstack h b"", ""stack h b"", ""stack b g"", ""unstack h b"", ""stack h b"", ""stack b g"", ""unstack h b"", ""stack h b"", ""stack b g"", ""unstack h b"", ""stack h b"", ""stack b g""]","{""canonical"": 47, ""remapped"": 3}",0,3,47,0
