model,problem_id,variant,layer,rank,logprob,cosine_to_gold_unembed,gold_content,gold_token_id,gold_token_decoded,gold_unigram_count,gold_token_id_rank_proxy,n_layers,sep_note
meta-llama/Llama-3.1-8B-Instruct,GSM_001,W3,23,1314,-10.954679,0.024512,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,W3,24,590,-10.671787,0.034031,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,W3,25,436,-10.662403,0.035463,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,W3,26,327,-10.458586,0.03854,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,W3,27,238,-10.377209,0.041281,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,W3,28,382,-10.239372,0.038891,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,W3,29,226,-10.020569,0.045023,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,W3,30,144,-9.383322,0.059382,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_001,W3,31,83,-6.05422,0.130806,51,3971,51,6,3971,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,canonical,0,70990,-11.763195,-0.001683,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,canonical,1,103841,-11.774524,-0.014107,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,canonical,2,111098,-11.786255,-0.017238,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,canonical,3,118374,-11.806831,-0.016898,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,canonical,4,119329,-11.830289,-0.018639,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,canonical,5,120633,-11.854972,-0.016793,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,canonical,6,117904,-11.845449,-0.01404,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,canonical,7,113998,-11.84039,-0.014168,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,canonical,8,108225,-11.833223,-0.011035,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,canonical,9,97711,-11.818204,-0.008399,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,canonical,10,82556,-11.79629,0.003037,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,canonical,11,102120,-11.833644,-0.00395,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,canonical,12,108867,-11.855138,-0.010945,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,canonical,13,91132,-11.817717,-0.004967,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,canonical,14,104678,-11.857623,-0.01239,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,canonical,15,69673,-11.778691,-0.004049,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,canonical,16,72865,-11.788524,-0.00998,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,canonical,17,24577,-11.649366,0.003225,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,canonical,18,21888,-11.620683,0.00183,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,canonical,19,11546,-11.519126,0.005978,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,canonical,20,25492,-11.609386,-0.00299,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,canonical,21,16074,-11.484541,-0.001145,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,canonical,22,7434,-11.310774,0.006893,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,canonical,23,4637,-11.179464,0.012,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,canonical,24,4085,-11.070131,0.012927,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,canonical,25,2418,-10.980734,0.018461,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,canonical,26,888,-10.637024,0.029619,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,canonical,27,471,-10.47327,0.035731,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,canonical,28,1234,-10.502862,0.027082,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,canonical,29,857,-10.371851,0.031506,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,canonical,30,258,-9.615294,0.05132,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,canonical,31,51,-8.269663,0.12248,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,W3,0,69799,-11.762957,-0.001426,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,W3,1,101324,-11.773536,-0.013126,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,W3,2,111231,-11.786636,-0.017356,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,W3,3,119344,-11.80834,-0.018196,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,W3,4,119346,-11.830862,-0.019015,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,W3,5,119673,-11.85127,-0.015754,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,W3,6,116650,-11.841531,-0.013224,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,W3,7,115392,-11.844056,-0.015698,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,W3,8,109227,-11.834579,-0.011497,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,W3,9,93923,-11.810626,-0.007385,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,W3,10,96606,-11.822029,-0.00164,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,W3,11,108902,-11.851565,-0.006959,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,W3,12,113182,-11.868191,-0.01368,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,W3,13,89612,-11.813707,-0.005205,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,W3,14,96687,-11.835647,-0.009328,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,W3,15,63857,-11.766939,-0.0025,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,W3,16,69378,-11.780342,-0.009302,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,W3,17,21414,-11.635725,0.00416,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,W3,18,24544,-11.632119,0.000758,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,W3,19,11298,-11.515003,0.006208,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,W3,20,13232,-11.527708,0.004782,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,W3,21,7448,-11.37993,0.008272,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,W3,22,2229,-11.132667,0.019717,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,W3,23,1287,-10.95699,0.026488,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,W3,24,722,-10.739524,0.033157,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,W3,25,433,-10.736802,0.035859,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,W3,26,423,-10.507141,0.037349,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,W3,27,247,-10.400576,0.04171,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,W3,28,135,-10.045313,0.050506,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,W3,29,99,-9.940943,0.054337,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,W3,30,98,-9.368789,0.062838,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_002,W3,31,29,-5.302808,0.143869,30,966,30,87,966,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,canonical,0,10553,-11.746872,0.022938,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,canonical,1,27866,-11.750648,0.012469,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,canonical,2,64413,-11.762218,0.000655,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,canonical,3,84328,-11.774942,-0.000435,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,canonical,4,89844,-11.786906,-0.002785,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,canonical,5,95379,-11.802519,-0.000639,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,canonical,6,99118,-11.807274,-0.002875,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,canonical,7,79547,-11.783467,0.000785,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,canonical,8,77505,-11.782559,0.000891,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,canonical,9,43164,-11.734787,0.009758,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,canonical,10,75058,-11.783767,0.004875,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,canonical,11,73131,-11.78011,0.006287,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,canonical,12,75838,-11.785979,0.001834,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,canonical,13,58935,-11.757463,0.004752,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,canonical,14,71614,-11.783018,-0.000941,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,canonical,15,21064,-11.666393,0.011216,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,canonical,16,16821,-11.637661,0.010059,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,canonical,17,11592,-11.586665,0.01079,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,canonical,18,8689,-11.539546,0.011243,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,canonical,19,4033,-11.436696,0.015731,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,canonical,20,2850,-11.406635,0.019214,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,canonical,21,1582,-11.24566,0.022484,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,canonical,22,420,-10.977553,0.034787,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,canonical,23,174,-10.745689,0.044732,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,canonical,24,354,-10.682759,0.038688,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,canonical,25,146,-10.5636,0.045465,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,canonical,26,162,-10.398255,0.044911,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,canonical,27,89,-10.198459,0.05023,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,canonical,28,44,-9.555349,0.06591,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,canonical,29,37,-9.258586,0.072203,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,canonical,30,25,-8.552643,0.081124,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,canonical,31,12,-4.15715,0.150004,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,W3,0,10628,-11.746764,0.022568,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,W3,1,35377,-11.753254,0.009832,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,W3,2,65048,-11.76253,0.000531,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,W3,3,87053,-11.776498,-0.001427,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,W3,4,95591,-11.79297,-0.004676,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,W3,5,93452,-11.800287,0.000756,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,W3,6,94191,-11.800136,-0.001257,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,W3,7,68049,-11.769057,0.003758,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,W3,8,58675,-11.7573,0.006748,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,W3,9,45359,-11.738532,0.009196,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,W3,10,67589,-11.772112,0.008575,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,W3,11,70313,-11.776011,0.008207,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,W3,12,83856,-11.800668,-0.000164,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,W3,13,70213,-11.778133,0.001829,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,W3,14,84153,-11.80973,-0.004031,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,W3,15,21329,-11.666964,0.011114,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,W3,16,9416,-11.597721,0.015522,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,W3,17,6788,-11.539577,0.016112,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,W3,18,3614,-11.46396,0.019959,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,W3,19,1898,-11.361516,0.022078,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,W3,20,1220,-11.322137,0.025407,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,W3,21,562,-11.105623,0.031477,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,W3,22,136,-10.767877,0.046491,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,W3,23,64,-10.444696,0.059821,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,W3,24,63,-10.243698,0.061695,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,W3,25,30,-10.235057,0.066372,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,W3,26,65,-10.126927,0.058606,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,W3,27,37,-9.849457,0.067953,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,W3,28,24,-9.433289,0.077471,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,W3,29,9,-8.930089,0.094333,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,W3,30,10,-8.179718,0.100484,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_003,W3,31,4,-3.057869,0.17578,150,3965,150,27,3965,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_004,canonical,0,20546,-11.751312,0.014167,21600,12463,216,6,12463,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_004,canonical,1,45716,-11.756561,0.005548,21600,12463,216,6,12463,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_004,canonical,2,19245,-11.739387,0.015147,21600,12463,216,6,12463,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_004,canonical,3,65799,-11.763669,0.006005,21600,12463,216,6,12463,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_004,canonical,4,80949,-11.778587,0.000831,21600,12463,216,6,12463,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_004,canonical,5,43570,-11.739441,0.016211,21600,12463,216,6,12463,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_004,canonical,6,87711,-11.792571,0.001399,21600,12463,216,6,12463,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_004,canonical,7,116929,-11.849592,-0.013624,21600,12463,216,6,12463,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_004,canonical,8,113958,-11.848959,-0.0121,21600,12463,216,6,12463,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_004,canonical,9,96189,-11.815494,-0.005983,21600,12463,216,6,12463,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_004,canonical,10,121049,-11.894352,-0.014927,21600,12463,216,6,12463,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_004,canonical,11,58056,-11.756041,0.010151,21600,12463,216,6,12463,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_004,canonical,12,28438,-11.700881,0.016583,21600,12463,216,6,12463,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_004,canonical,13,23301,-11.68273,0.01667,21600,12463,216,6,12463,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_004,canonical,14,46496,-11.732679,0.007889,21600,12463,216,6,12463,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_004,canonical,15,53363,-11.744752,0.00296,21600,12463,216,6,12463,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_004,canonical,16,38789,-11.708248,0.002033,21600,12463,216,6,12463,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_004,canonical,17,31997,-11.679123,0.0006,21600,12463,216,6,12463,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_004,canonical,18,42260,-11.703492,-0.005369,21600,12463,216,6,12463,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_004,canonical,19,20596,-11.602829,0.001476,21600,12463,216,6,12463,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_004,canonical,20,12360,-11.544638,0.007947,21600,12463,216,6,12463,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_004,canonical,21,4463,-11.391487,0.014833,21600,12463,216,6,12463,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_004,canonical,22,1130,-11.206943,0.023696,21600,12463,216,6,12463,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_004,canonical,23,1561,-11.160338,0.02156,21600,12463,216,6,12463,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_004,canonical,24,983,-11.011209,0.023876,21600,12463,216,6,12463,32,''
meta-llama/Llama-3.1-8B-Instruct,GSM_004,canonical,25,534,-10.932501,0.027261,21600,12463,216,6,12463,32,''
