problem_id,problem_family,variant_type,model,raw_response,behavioral_correct,notes,correct_answer,contamination_pole,difficulty
MBW_001,mystery_blocksworld,canonical,openai/gpt-4o,"1. Feast j f
2. Feast f i
3. Feast i g
4. Feast g d
5. Feast d b
6. Feast b h
7. Feast h l",False,,,,
MBW_100,mystery_blocksworld,canonical,openai/gpt-4o,"1. feast b j
2. feast j l
3. feast l i",False,,,,
MBW_127,mystery_blocksworld,canonical,openai/gpt-4o,"1. feast k g
2. feast g j
3. feast j e
4. feast e b",False,,,,
MBW_185,mystery_blocksworld,canonical,openai/gpt-4o,"1. feast j d
2. feast d g
3. feast g i
4. feast i c
5. feast c h
6. feast h a
7. feast a b
8. feast b e
9. feast e l",False,,,,
MBW_10,mystery_blocksworld,canonical,openai/gpt-4o,"1. feast d e
2. feast e a
3. feast a b
4. feast b f",False,,,,
MBW_001,mystery_blocksworld,canonical,meta-llama/llama-3.1-8b-instruct,"1. attack f
2. feast f i
3. succumb g
4. attack g
5. feast g d 
6. overcome d b h
7. attack b
8. gain harmony",False,,,,
MBW_100,mystery_blocksworld,canonical,meta-llama/llama-3.1-8b-instruct,"1. attack b
2. attack j
3. attack l
4. overcome l j
5. overcome l i
6. overcome b j",False,,,,
MBW_127,mystery_blocksworld,canonical,meta-llama/llama-3.1-8b-instruct,"1. attack b
2. feast k e
3. feast j k
4. succumb j
5. overcome j b k 
6. attack e 
7. attack j",False,,,,
MBW_185,mystery_blocksworld,canonical,meta-llama/llama-3.1-8b-instruct,"1. attack l
2. succumb j
3. succumb d
4. succumb g
5. succumb i
6. succumb c
7. succumb h
8. succumb a
9. succumb b
10. succumb e
11. feast j d
12. feast d g
13. feast g i
14. feast i c
15. feast c h
16. feast h a
17. feast a b
18. feast b e
19. feast e l",False,,,,
MBW_10,mystery_blocksworld,canonical,meta-llama/llama-3.1-8b-instruct,"1. attack a
2. succumb 1
3. feast d e
4. succumb 1
5. feast e a
6. succumb 1
7. feast a b
8. succumb 1
9. feast b f",False,,,,
BW_155,blocksworld,W2,mock,The answer is 42.,False,,,,
BW_155,blocksworld,W3,mock,The answer is 42.,False,,,,
BW_155,blocksworld,W4,mock,The answer is 42.,False,,,,
BW_155,blocksworld,W5,mock,The answer is 42.,False,,,,
BW_010,blocksworld,W2,mock,The answer is 42.,False,,,,
BW_010,blocksworld,W3,mock,The answer is 42.,False,,,,
BW_010,blocksworld,W4,mock,The answer is 42.,False,,,,
BW_010,blocksworld,W5,mock,The answer is 42.,False,,,,
BW_001,blocksworld,W2,mock,The answer is 42.,False,,,,
BW_001,blocksworld,W3,mock,The answer is 42.,False,,,,
BW_001,blocksworld,W4,mock,The answer is 42.,False,,,,
BW_001,blocksworld,W5,mock,The answer is 42.,False,,,,
BW_011,blocksworld,W2,mock,The answer is 42.,False,,,,
BW_011,blocksworld,W3,mock,The answer is 42.,False,,,,
BW_011,blocksworld,W4,mock,The answer is 42.,False,,,,
BW_011,blocksworld,W5,mock,The answer is 42.,False,,,,
BW_120,blocksworld,W2,mock,The answer is 42.,False,,,,
BW_120,blocksworld,W3,mock,The answer is 42.,False,,,,
BW_120,blocksworld,W4,mock,The answer is 42.,False,,,,
BW_120,blocksworld,W5,mock,The answer is 42.,False,,,,
BW_227,blocksworld,W2,mock,The answer is 42.,False,,,,
BW_227,blocksworld,W3,mock,The answer is 42.,False,,,,
BW_227,blocksworld,W4,mock,The answer is 42.,False,,,,
BW_227,blocksworld,W5,mock,The answer is 42.,False,,,,
BW_137,blocksworld,W2,mock,The answer is 42.,False,,,,
BW_137,blocksworld,W3,mock,The answer is 42.,False,,,,
BW_137,blocksworld,W4,mock,The answer is 42.,False,,,,
BW_137,blocksworld,W5,mock,The answer is 42.,False,,,,
BW_172,blocksworld,W2,mock,The answer is 42.,False,,,,
BW_172,blocksworld,W3,mock,The answer is 42.,False,,,,
BW_172,blocksworld,W4,mock,The answer is 42.,False,,,,
BW_172,blocksworld,W5,mock,The answer is 42.,False,,,,
BW_467,blocksworld,W2,mock,The answer is 42.,False,,,,
BW_467,blocksworld,W3,mock,The answer is 42.,False,,,,
BW_467,blocksworld,W4,mock,The answer is 42.,False,,,,
BW_467,blocksworld,W5,mock,The answer is 42.,False,,,,
BW_080,blocksworld,W2,mock,The answer is 42.,False,,,,
BW_080,blocksworld,W3,mock,The answer is 42.,False,,,,
BW_080,blocksworld,W4,mock,The answer is 42.,False,,,,
BW_155,blocksworld,W2,openai/gpt-4o,"1. pick-up i
2. stack i f
3. pick-up f
4. stack f e
5. pick-up e
6. stack e j
7. pick-up j
8. stack j h",False,,,,
BW_155,blocksworld,W3,openai/gpt-4o,"1. Select Ivan
2. Select Frank
3. Place Frank under Eve
4. Release Ivan
5. Select Ivan
6. Place Ivan under Frank
7. Release Frank
8. Release Ivan
9. Select Eve
10. Place Eve under Jake
11. Release Eve
12. Select Jake
13. Place Jake under Henry",False,,,,
BW_155,blocksworld,W4,openai/gpt-4o,"1. pick-up i
2. stack i f
3. pick-up f
4. stack f e
5. pick-up e
6. stack e j
7. pick-up j
8. stack j h",False,,,,
BW_155,blocksworld,W5,openai/gpt-4o,"1. Unstack i f
2. Put-down i
3. Unstack f e
4. Put-down f
5. Unstack e j
6. Put-down e
7. Unstack j h
8. Put-down j",True,,,,
BW_010,blocksworld,W2,openai/gpt-4o,"1. pick-up d
2. stack d e
3. pick-up e
4. stack e a
5. pick-up a
6. stack a b
7. pick-up b
8. stack b f",False,,,,
BW_010,blocksworld,W3,openai/gpt-4o,"1. Select Diana
2. Select Ethan
3. Place Diana under Ethan
4. Release Diana
5. Select Ethan
6. Select Alice
7. Place Ethan under Alice
8. Release Ethan
9. Select Alice
10. Select Brian
11. Place Alice under Brian
12. Release Alice
13. Select Brian
14. Select Felix
15. Place Brian under Felix
16. Release Brian",False,,,,
BW_010,blocksworld,W4,openai/gpt-4o,"1. pick-up d  
2. stack d e  
3. pick-up e  
4. stack e a  
5. pick-up a  
6. stack a b  
7. pick-up b  
8. stack b f  ",False,,,,
BW_010,blocksworld,W5,openai/gpt-4o,"1. unstack d e
2. put-down d
3. unstack e a
4. put-down e
5. unstack a b
6. put-down a
7. unstack b f
8. put-down b",True,,,,
BW_001,blocksworld,W2,openai/gpt-4o,"1. pick-up j
2. stack j f
3. pick-up f
4. stack f i
5. pick-up i
6. stack i g
7. pick-up g
8. stack g d
9. pick-up d
10. stack d b
11. pick-up b
12. stack b h
13. pick-up h
14. stack h l",False,,,,
BW_001,blocksworld,W3,openai/gpt-4o,"1. Select James
2. Place James under Fiona
3. Select Fiona
4. Place Fiona under Ian
5. Select Ian
6. Place Ian under Grace
7. Select Grace
8. Place Grace under Derek
9. Select Derek
10. Place Derek under Ben
11. Select Ben
12. Place Ben under Hannah
13. Select Hannah
14. Place Hannah under Leo",False,,,,
BW_001,blocksworld,W4,openai/gpt-4o,"1. pick-up j  
2. stack j f  
3. pick-up f  
4. stack f i  
5. pick-up i  
6. stack i g  
7. pick-up g  
8. stack g d  
9. pick-up d  
10. stack d b  
11. pick-up b  
12. stack b h  
13. pick-up h  
14. stack h l",False,,,,
BW_001,blocksworld,W5,openai/gpt-4o,"1. unstack j f  
2. put-down j  
3. unstack f i  
4. put-down f  
5. unstack i g  
6. put-down i  
7. unstack g d  
8. put-down g  
9. unstack d b  
10. put-down d  
11. unstack b h  
12. put-down b  
13. unstack h l  
14. put-down h",True,,,,
BW_011,blocksworld,W2,openai/gpt-4o,"1. pick-up c
2. stack c k
3. pick-up g
4. stack g a
5. pick-up a
6. stack a l
7. pick-up l
8. stack l j
9. pick-up j
10. stack j e
11. pick-up e
12. stack e h
13. pick-up h
14. stack h i
15. pick-up i
16. stack i b
17. unstack g a
18. stack k g
19. put-down a
20. unstack a l
21. stack a l
22. unstack l j
23. stack l j
24. unstack j e
25. stack j e
26. unstack e h
27. stack e h
28. unstack h i
29. stack h i
30. unstack i b
31. stack i b",False,,,,
BW_011,blocksworld,W3,openai/gpt-4o,"1. Select Carol
2. Place Carol under Kevin
3. Select Kevin
4. Place Kevin under George
5. Select George
6. Place George under Amy
7. Select Amy
8. Place Amy under Laura
9. Select Laura
10. Place Laura under Jack
11. Select Jack
12. Place Jack under Edward
13. Select Edward
14. Place Edward under Helen
15. Select Helen
16. Place Helen under Ivan
17. Select Ivan
18. Place Ivan under Ben",False,,,,
BW_011,blocksworld,W4,openai/gpt-4o,"1. pick-up c
2. stack c k
3. pick-up k
4. stack k g
5. pick-up g
6. stack g a
7. pick-up a
8. stack a l
9. pick-up l
10. stack l j
11. pick-up j
12. stack j e
13. pick-up e
14. stack e h
15. pick-up h
16. stack h i
17. pick-up i
18. stack i b",False,,,,
BW_011,blocksworld,W5,openai/gpt-4o,"1. Unstack c k  
2. Put-down c  
3. Unstack k g  
4. Put-down k  
5. Unstack g a  
6. Put-down g  
7. Unstack a l  
8. Put-down a  
9. Unstack l j  
10. Put-down l  
11. Unstack j e  
12. Put-down j  
13. Unstack e h  
14. Put-down e  
15. Unstack h i  
16. Put-down h  
17. Unstack i b  
18. Put-down i  
19. Put-down b  ",False,,,,
BW_120,blocksworld,W2,openai/gpt-4o,"1. pick-up g
2. stack g f
3. pick-up j
4. stack j g
5. pick-up c
6. stack c j",True,,,,
BW_120,blocksworld,W3,openai/gpt-4o,"1. select Clara
2. place Clara under Jake
3. select Jake
4. place Jake under Grace
5. select Grace
6. place Grace under Felix",False,,,,
BW_120,blocksworld,W4,openai/gpt-4o,"1. pick-up g  
2. stack g f  
3. pick-up j  
4. stack j g  
5. pick-up c  
6. stack c j  ",True,,,,
BW_120,blocksworld,W5,openai/gpt-4o,"1. Unstack c j
2. Put-down c
3. Unstack j g
4. Put-down j
5. Unstack g f
6. Put-down g
7. Put-down f",False,,,,
BW_227,blocksworld,W2,openai/gpt-4o,"1. pick-up f
2. stack f l
3. pick-up l
4. stack l g
5. pick-up g
6. stack g d
7. pick-up d
8. stack d i
9. pick-up i
10. stack i j
11. pick-up j
12. stack j c
13. pick-up c
14. stack c k
15. pick-up k
16. stack k a",False,,,,
BW_227,blocksworld,W3,openai/gpt-4o,"1. select Felix
2. place Felix under Laura
3. select Laura
4. place Laura under George
5. select George
6. place George under Derek
7. select Derek
8. place Derek under Ian
9. select Ian
10. place Ian under Jack
11. select Jack
12. place Jack under Clara
13. select Clara
14. place Clara under Kevin
15. select Kevin
16. place Kevin under Amy",False,,,,
BW_227,blocksworld,W4,openai/gpt-4o,"1. pick-up f
2. stack f l
3. pick-up l
4. stack l g
5. pick-up g
6. stack g d
7. pick-up d
8. stack d i
9. pick-up i
10. stack i j
11. pick-up j
12. stack j c
13. pick-up c
14. stack c k",False,,,,
BW_227,blocksworld,W5,openai/gpt-4o,"1. Unstack f l
2. Put-down f
3. Unstack l g
4. Put-down l
5. Unstack g d
6. Put-down g
7. Unstack d i
8. Put-down d
9. Unstack i j
10. Put-down i
11. Unstack j c
12. Put-down j
13. Unstack c k
14. Put-down c
15. Unstack k a
16. Put-down k
17. Put-down a",False,,,,
BW_137,blocksworld,W2,openai/gpt-4o,"1. pick-up d
2. stack d a
3. pick-up a
4. stack a b
5. pick-up b
6. stack b j
7. pick-up j
8. stack j e
9. pick-up e
10. stack e l
11. pick-up l
12. stack l h
13. pick-up h
14. stack h c
15. pick-up c
16. stack c f
17. pick-up f
18. stack f g
19. pick-up g
20. stack g i",False,,,,
BW_137,blocksworld,W3,openai/gpt-4o,"1. select Dana
2. place Dana under Aaron
3. select Aaron
4. place Aaron under Brian
5. select Brian
6. place Brian under Julia
7. select Julia
8. place Julia under Ethan
9. select Ethan
10. place Ethan under Lisa
11. select Lisa
12. place Lisa under Harry
13. select Harry
14. place Harry under Clara
15. select Clara
16. place Clara under Frank
17. select Frank
18. place Frank under Gloria
19. select Gloria
20. place Gloria under Ivan",False,,,,
BW_137,blocksworld,W4,openai/gpt-4o,"1. pick-up d
2. stack d a
3. pick-up a
4. stack a b
5. pick-up b
6. stack b j
7. pick-up j
8. stack j e
9. pick-up e
10. stack e l
11. pick-up l
12. stack l h
13. pick-up h
14. stack h c
15. pick-up c
16. stack c f
17. pick-up f
18. stack f g
19. pick-up g
20. stack g i",False,,,,
BW_137,blocksworld,W5,openai/gpt-4o,"1. unstack d a
2. put-down d
3. unstack a b
4. put-down a
5. unstack b j
6. put-down b
7. unstack j e
8. put-down j
9. unstack e l
10. put-down e
11. unstack l h
12. put-down l
13. unstack h c
14. put-down h
15. unstack c f
16. put-down c
17. unstack f g
18. put-down f
19. unstack g i
20. put-down g
21. put-down i",False,,,,
BW_172,blocksworld,W2,openai/gpt-4o,"1. pick-up i
2. stack i l
3. pick-up l
4. stack l g
5. pick-up g
6. stack g e
7. pick-up e
8. stack e d
9. pick-up d
10. stack d b
11. pick-up b
12. stack b a
13. pick-up a
14. stack a j
15. pick-up j
16. stack j h
17. pick-up h
18. stack h f
19. pick-up f
20. stack f k",False,,,,
BW_172,blocksworld,W3,openai/gpt-4o,"1. Select Ivan
2. Select Laura
3. Place Ivan under Laura
4. Select Gary
5. Place Laura under Gary
6. Select Ethan
7. Place Gary under Ethan
8. Select Dana
9. Place Ethan under Dana
10. Select Ben
11. Place Dana under Ben
12. Select Amy
13. Place Ben under Amy
14. Select Jake
15. Place Amy under Jake
16. Select Helen
17. Place Jake under Helen
18. Select Felix
19. Place Helen under Felix
20. Select Karen
21. Place Felix under Karen",False,,,,
BW_172,blocksworld,W4,openai/gpt-4o,"1. pick-up k  
2. put-down k  
3. pick-up f  
4. stack f k  
5. pick-up h  
6. stack h f  
7. pick-up j  
8. stack j h  
9. pick-up a  
10. stack a j  
11. pick-up b  
12. stack b a  
13. pick-up d  
14. stack d b  
15. pick-up e  
16. stack e d  
17. pick-up g  
18. stack g e  
19. pick-up l  
20. stack l g  
21. pick-up i  
22. stack i l  ",False,,,,
BW_172,blocksworld,W5,openai/gpt-4o,"1. Unstack i l  
2. Put-down i  
3. Unstack l g  
4. Put-down l  
5. Unstack g e  
6. Put-down g  
7. Unstack e d  
8. Put-down e  
9. Unstack d b  
10. Put-down d  
11. Unstack b a  
12. Put-down b  
13. Unstack a j  
14. Put-down a  
15. Unstack j h  
16. Put-down j  
17. Unstack h f  
18. Put-down h  
19. Unstack f k  
20. Put-down f  
21. Put-down k  ",False,,,,
BW_467,blocksworld,W2,openai/gpt-4o,"1. pick-up g
2. stack g i
3. pick-up l
4. stack l j
5. pick-up i
6. stack i l
7. pick-up a
8. stack a f
9. pick-up j
10. stack j a
11. pick-up f
12. stack f h",False,,,,
BW_467,blocksworld,W3,openai/gpt-4o,"1. Select Gloria
2. Place Gloria under Ian
3. Select Ian
4. Place Ian under Lisa
5. Select Lisa
6. Place Lisa under Jake
7. Select Jake
8. Place Jake under Amy
9. Select Amy
10. Place Amy under Felix
11. Select Felix
12. Place Felix under Hannah",False,,,,
BW_467,blocksworld,W4,openai/gpt-4o,"1. pick-up g
2. stack g i
3. pick-up l
4. stack l j
5. pick-up a
6. stack a f
7. pick-up f
8. stack f h
9. pick-up j
10. stack j a
11. pick-up l
12. stack l j
13. pick-up i
14. stack i l",False,,,,
BW_467,blocksworld,W5,openai/gpt-4o,"1. Unstack g i  
2. Put-down g  
3. Unstack i l  
4. Put-down i  
5. Unstack l j  
6. Put-down l  
7. Unstack j a  
8. Put-down j  
9. Unstack a f  
10. Put-down a  
11. Unstack f h  
12. Put-down f  
13. Put-down h  ",False,,,,
BW_080,blocksworld,W2,openai/gpt-4o,"1. pick-up l
2. stack l c
3. pick-up c
4. stack c i
5. pick-up i
6. stack i e
7. pick-up e
8. stack e j
9. pick-up j
10. stack j f",False,,,,
BW_080,blocksworld,W3,openai/gpt-4o,"1. select Laura
2. place Laura under Clara
3. select Clara
4. place Clara under Ivan
5. select Ivan
6. place Ivan under Ethan
7. select Ethan
8. place Ethan under Jake
9. select Jake
10. place Jake under Felix",False,,,,
BW_080,blocksworld,W4,openai/gpt-4o,"1. pick-up l
2. stack l c
3. pick-up c
4. stack c i
5. pick-up i
6. stack i e
7. pick-up e
8. stack e j
9. pick-up j
10. stack j f",False,,,,
MBW_001,mystery_blocksworld,W2,openai/gpt-4o,"1. attack j
2. succumb j
3. overcome j f
4. attack f
5. succumb f
6. overcome f i
7. attack i
8. succumb i
9. overcome i g
10. attack g
11. succumb g
12. overcome g d
13. attack d
14. succumb d
15. overcome d b
16. attack b
17. succumb b
18. overcome b h
19. attack h
20. succumb h
21. overcome h l",False,,,,
MBW_001,mystery_blocksworld,W3,openai/gpt-4o,"1. broker Finland Iceland
2. broker Iceland Greece
3. broker Greece Denmark
4. broker Denmark Belgium
5. broker Belgium Hungary
6. broker Hungary Latvia
7. negotiate Jordan Finland",False,,,,
MBW_001,mystery_blocksworld,W4,openai/gpt-4o,"1. attack j
2. succumb j
3. feast j f
4. attack f
5. succumb f
6. feast f i
7. attack i
8. succumb i
9. feast i g
10. attack g
11. succumb g
12. feast g d
13. attack d
14. succumb d
15. feast d b
16. attack b
17. succumb b
18. feast b h
19. attack h
20. succumb h
21. feast h l",False,,,,
MBW_100,mystery_blocksworld,W2,openai/gpt-4o,"1. attack b
2. succumb b
3. attack j
4. succumb j
5. attack l
6. succumb l
7. overcome b j
8. attack j
9. succumb j
10. attack l
11. succumb l
12. overcome j l
13. attack l
14. succumb l
15. attack i
16. succumb i
17. overcome l i",False,,,,
MBW_100,mystery_blocksworld,W3,openai/gpt-4o,"1. broker Morocco Thailand
2. broker Thailand Uruguay
3. broker Uruguay Estonia",False,,,,
MBW_100,mystery_blocksworld,W4,openai/gpt-4o,"1. attack b
2. overcome b j
3. attack j
4. overcome j l
5. attack l
6. overcome l i",False,,,,
MBW_127,mystery_blocksworld,W2,openai/gpt-4o,"1. attack k
2. overcome k g
3. attack g
4. overcome g j
5. attack j
6. overcome j e
7. attack e
8. overcome e b",False,,,,
MBW_127,mystery_blocksworld,W3,openai/gpt-4o,"1. broker Kenya Germany
2. broker Germany Japan
3. broker Japan Egypt
4. broker Egypt Brazil",False,,,,
MBW_127,mystery_blocksworld,W4,openai/gpt-4o,"1. attack k  
2. overcome k g  
3. feast k g  
4. attack g  
5. overcome g j  
6. feast g j  
7. attack j  
8. overcome j e  
9. feast j e  
10. attack e  
11. overcome e b  
12. feast e b",False,,,,
MBW_185,mystery_blocksworld,W2,openai/gpt-4o,"1. attack j
2. overcome j d
3. attack d
4. overcome d g
5. attack g
6. overcome g i
7. attack i
8. overcome i c
9. attack c
10. overcome c h
11. attack h
12. overcome h a
13. attack a
14. overcome a b
15. attack b
16. overcome b e
17. attack e
18. overcome e l",False,,,,
MBW_185,mystery_blocksworld,W3,openai/gpt-4o,"1. broker Jordan Denmark
2. broker Denmark Ghana
3. broker Ghana India
4. broker India Chile
5. broker Chile Hungary
6. broker Hungary Austria
7. broker Austria Bolivia
8. broker Bolivia Ecuador
9. broker Ecuador Latvia",False,,,,
MBW_185,mystery_blocksworld,W4,openai/gpt-4o,"1. attack j
2. overcome j d
3. feast j d
4. succumb j
5. attack d
6. overcome d g
7. feast d g
8. succumb d
9. attack g
10. overcome g i
11. feast g i
12. succumb g
13. attack i
14. overcome i c
15. feast i c
16. succumb i
17. attack c
18. overcome c h
19. feast c h
20. succumb c
21. attack h
22. overcome h a
23. feast h a
24. succumb h
25. attack a
26. overcome a b
27. feast a b
28. succumb a
29. attack b
30. overcome b e
31. feast b e
32. succumb b
33. attack e
34. overcome e l",False,,,,
MBW_10,mystery_blocksworld,W2,openai/gpt-4o,"1. attack d
2. overcome d e
3. attack e
4. overcome e a
5. attack a
6. overcome a b
7. attack b
8. overcome b f",False,,,,
MBW_10,mystery_blocksworld,W3,openai/gpt-4o,"1. appease Ethiopia
2. broker Denmark Ethiopia
3. appease Argentina
4. broker Ethiopia Argentina
5. appease Brazil
6. broker Argentina Brazil
7. appease France
8. broker Brazil France",False,,,,
MBW_10,mystery_blocksworld,W4,openai/gpt-4o,"1. attack d
2. overcome d e
3. feast d e
4. succumb d
5. attack e
6. overcome e a
7. feast e a
8. succumb e
9. attack a
10. overcome a b
11. feast a b
12. succumb a
13. attack b
14. overcome b f",False,,,,
BW_155,blocksworld,W2,meta-llama/llama-3.1-8b-instruct,"1. pick-up i
2. pick-up f
3. stack i f
4. pick-up e
5. stack f e
6. pick-up j
7. stack e j
8. pick-up h
9. stack j h",False,,,,
BW_155,blocksworld,W3,meta-llama/llama-3.1-8b-instruct,"1. select Ivan
2. place Ivan under Frank
3. select Frank
4. place Frank under Eve
5. select Eve
6. place Eve under Jake
7. select Jake
8. place Jake under Henry",False,,,,
BW_155,blocksworld,W4,meta-llama/llama-3.1-8b-instruct,"1. pick-up i
2. stack i f
3. pick-up f
4. stack f e
5. pick-up e
6. stack e j
7. pick-up j
8. stack j h
9. put-down h",False,,,,
