family,model,variant_type,metric_name,metric_value,n,denominator_n,instance_set,ci_lower,ci_upper
BW,deepseek/deepseek-r1-distill-llama-70b,w6,VAR,0.0,15,15,mbw,0.0,0.0
BW,deepseek/deepseek-r1-distill-llama-70b,w6,VAR,0.925,40,40,standard_bw,0.825,1.0
BW,meta-llama/llama-3.1-8b-instruct,canonical,VAR,0.0,10,10,extended_bw,0.0,0.0
BW,meta-llama/llama-3.1-8b-instruct,canonical,VAR,0.0,15,15,mbw,0.0,0.0
BW,meta-llama/llama-3.1-8b-instruct,canonical,VAR,0.4166666666666667,84,84,standard_bw,0.30952380952380953,0.5238095238095238
BW,meta-llama/llama-3.1-8b-instruct,w1,VAR,0.2,10,10,extended_bw,0.0,0.5
BW,meta-llama/llama-3.1-8b-instruct,w1,VAR,0.0,15,15,mbw,0.0,0.0
BW,meta-llama/llama-3.1-8b-instruct,w1,VAR,0.38095238095238093,84,84,standard_bw,0.27380952380952384,0.4880952380952381
BW,meta-llama/llama-3.1-8b-instruct,w2,VAR,0.1,10,10,extended_bw,0.0,0.3
BW,meta-llama/llama-3.1-8b-instruct,w2,VAR,0.0,15,15,mbw,0.0,0.0
BW,meta-llama/llama-3.1-8b-instruct,w2,VAR,0.23809523809523808,84,84,standard_bw,0.15476190476190477,0.3333333333333333
BW,meta-llama/llama-3.1-8b-instruct,w3,VAR,0.0,10,10,extended_bw,0.0,0.0
BW,meta-llama/llama-3.1-8b-instruct,w3,VAR,0.0,15,15,mbw,0.0,0.0
BW,meta-llama/llama-3.1-8b-instruct,w3,VAR,0.2976190476190476,84,84,standard_bw,0.20238095238095238,0.39285714285714285
BW,meta-llama/llama-3.1-8b-instruct,w4,VAR,0.0,10,10,extended_bw,0.0,0.0
BW,meta-llama/llama-3.1-8b-instruct,w4,VAR,0.0,15,15,mbw,0.0,0.0
BW,meta-llama/llama-3.1-8b-instruct,w4,VAR,0.16666666666666666,84,84,standard_bw,0.09523809523809523,0.25
BW,meta-llama/llama-3.1-8b-instruct,w5,VAR,0.0,10,10,extended_bw,0.0,0.0
BW,meta-llama/llama-3.1-8b-instruct,w5,VAR,0.0,15,15,mbw,0.0,0.0
BW,meta-llama/llama-3.1-8b-instruct,w5,VAR,0.13095238095238096,84,84,standard_bw,0.05952380952380952,0.21428571428571427
BW,meta-llama/llama-3.1-8b-instruct,w6,VAR,0.06666666666666667,15,15,extended_bw,0.0,0.2
BW,meta-llama/llama-3.1-8b-instruct,w6,VAR,0.0,15,15,mbw,0.0,0.0
BW,meta-llama/llama-3.1-8b-instruct,w6,VAR,0.21621621621621623,74,74,standard_bw,0.12162162162162163,0.3108108108108108
BW,openai/gpt-4o,canonical,VAR,0.0,10,10,extended_bw,0.0,0.0
BW,openai/gpt-4o,canonical,VAR,0.0,15,15,mbw,0.0,0.0
BW,openai/gpt-4o,canonical,VAR,0.47619047619047616,84,84,standard_bw,0.36904761904761907,0.5833333333333334
BW,openai/gpt-4o,w1,VAR,0.3,10,10,extended_bw,0.0,0.6
BW,openai/gpt-4o,w1,VAR,0.0,15,15,mbw,0.0,0.0
BW,openai/gpt-4o,w1,VAR,0.4642857142857143,84,84,standard_bw,0.35714285714285715,0.5714285714285714
BW,openai/gpt-4o,w2,VAR,0.2,10,10,extended_bw,0.0,0.5
BW,openai/gpt-4o,w2,VAR,0.0,15,15,mbw,0.0,0.0
BW,openai/gpt-4o,w2,VAR,0.35714285714285715,84,84,standard_bw,0.2619047619047619,0.4523809523809524
BW,openai/gpt-4o,w3,VAR,0.0,10,10,extended_bw,0.0,0.0
BW,openai/gpt-4o,w3,VAR,0.26666666666666666,15,15,mbw,0.06666666666666667,0.5333333333333333
BW,openai/gpt-4o,w3,VAR,0.3333333333333333,84,84,standard_bw,0.23809523809523808,0.44047619047619047
BW,openai/gpt-4o,w4,VAR,0.2,10,10,extended_bw,0.0,0.5
BW,openai/gpt-4o,w4,VAR,0.0,15,15,mbw,0.0,0.0
BW,openai/gpt-4o,w4,VAR,0.2857142857142857,84,84,standard_bw,0.19047619047619047,0.38095238095238093
BW,openai/gpt-4o,w5,VAR,0.7,10,10,extended_bw,0.4,1.0
BW,openai/gpt-4o,w5,VAR,0.0,15,15,mbw,0.0,0.0
BW,openai/gpt-4o,w5,VAR,0.39285714285714285,84,84,standard_bw,0.2857142857142857,0.5
BW,openai/gpt-4o,w6,VAR,0.4666666666666667,15,15,extended_bw,0.2,0.7333333333333333
BW,openai/gpt-4o,w6,VAR,0.0,15,15,mbw,0.0,0.0
BW,openai/gpt-4o,w6,VAR,0.3918918918918919,74,74,standard_bw,0.28378378378378377,0.5
BW,anthropic/claude-sonnet-4,w5_vs_canonical,PDAS,0.525,40,40,standard_bw,0.35,0.7
BW,deepseek/deepseek-r1-distill-llama-70b,w5_vs_canonical,PDAS,-0.5882352941176471,34,34,standard_bw,-0.7352941176470589,-0.4117647058823529
BW,meta-llama/llama-3.1-8b-instruct,w5_vs_canonical,PDAS,-0.025,40,40,standard_bw,-0.075,0.0
BW,openai/gpt-4o,w5_vs_canonical,PDAS,0.125,40,40,standard_bw,-0.05,0.3
