Loaded 60 plan rows

--- anthropic/claude-3.7-sonnet | 15 problems ---
  BW_155 | inject@2/9 | running... Loaded 60 plan rows
Resuming — 0 sessions already done

--- anthropic/claude-3.7-sonnet | 15 problems ---
  BW_155 | inject@2/9 | running... TEP=None | first=illegal_both | A=0 R=0 X=47
  BW_E017 | inject@10/15 | running... TEP=None | first=illegal_both | A=0 R=0 X=39
  BW_E019 | inject@2/31 | running... TEP=None | first=illegal_both | A=0 R=0 X=47
  BW_E019 | inject@10/31 | running... TEP=1.0 | first=adapted | A=1 R=0 X=38
  BW_E019 | inject@15/31 | running... TEP=None | first=illegal_both | A=0 R=0 X=34
  BW_E019 | inject@20/31 | running... TEP=None | first=illegal_both | A=0 R=0 X=29
  BW_E002 | inject@2/24 | running... TEP=None | first=illegal_both | A=0 R=0 X=47
  BW_E002 | inject@8/24 | running... TEP=None | first=illegal_both | A=0 R=0 X=41
  BW_E002 | inject@12/24 | running... TEP=None | first=illegal_both | A=0 R=0 X=37
  BW_E002 | inject@16/24 | running... TEP=None | first=illegal_both | A=0 R=0 X=33

--- openai/gpt-4o | 15 problems ---
  BW_155 | inject@2/8 | running... TEP=None | first=illegal_both | A=0 R=0 X=47
  BW_155 | inject@3/8 | running... TEP=None | first=illegal_both | A=0 R=0 X=46
  BW_155 | inject@4/8 | running... TEP=None | first=illegal_both | A=0 R=0 X=45
  BW_155 | inject@5/8 | running... TEP=None | first=illegal_both | A=0 R=0 X=44
  BW_010 | inject@2/8 | running... TEP=None | first=illegal_both | A=0 R=0 X=47
  BW_010 | inject@3/8 | running... TEP=None | first=illegal_both | A=0 R=0 X=46
  BW_010 | inject@4/8 | running... TEP=None | first=illegal_both | A=0 R=0 X=45
  BW_010 | inject@5/8 | running... TEP=None | first=illegal_both | A=0 R=0 X=44
  BW_001 | inject@2/14 | running... TEP=None | first=illegal_both | A=0 R=0 X=47
  BW_001 | inject@4/14 | running... TEP=None | first=illegal_both | A=0 R=0 X=45
  BW_001 | inject@7/14 | running... TEP=None | first=illegal_both | A=0 R=0 X=42
  BW_001 | inject@9/14 | running... TEP=None | first=illegal_both | A=0 R=0 X=40
  BW_011 | inject@2/18 | running... TEP=None | first=illegal_both | A=0 R=0 X=47
  BW_011 | inject@6/18 | running... TEP=None | first=illegal_both | A=0 R=0 X=43
  BW_011 | inject@9/18 | running... TEP=None | first=illegal_both | A=0 R=0 X=40
  BW_011 | inject@12/18 | running... TEP=None | first=illegal_both | A=0 R=0 X=37
  BW_120 | inject@2/6 | running... TEP=None | first=illegal_both | A=0 R=0 X=47
  BW_120 | inject@3/6 | running...     API error at step 33: API error 504: {"error":{"message":"The operation was aborted","code":504,"metadata":{"provider_name":"OpenAI"}},"user_id":"user_2tyoeDX3nyYsC40NpGtBGUzJ7ux"}
TEP=None | first=illegal_both | A=0 R=0 X=29
  BW_120 | inject@4/6 | running... TEP=None | first=illegal_both | A=0 R=0 X=45
  BW_227 | inject@2/16 | running... TEP=None | first=illegal_both | A=0 R=0 X=47
  BW_227 | inject@5/16 | running... TEP=None | first=illegal_both | A=0 R=0 X=44
  BW_227 | inject@8/16 | running... TEP=None | first=illegal_both | A=0 R=0 X=41
  BW_227 | inject@10/16 | running... TEP=None | first=illegal_both | A=0 R=0 X=39
  BW_137 | inject@2/20 | running... TEP=None | first=illegal_both | A=0 R=0 X=47
  BW_137 | inject@6/20 | running... TEP=None | first=illegal_both | A=0 R=0 X=43
  BW_137 | inject@10/20 | running... TEP=None | first=illegal_both | A=0 R=0 X=39
  BW_137 | inject@13/20 | running... TEP=None | first=illegal_both | A=0 R=0 X=36
  BW_172 | inject@2/20 | running... TEP=None | first=illegal_both | A=0 R=0 X=47
  BW_172 | inject@6/20 | running...     API error at step 18: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
TEP=None | first=illegal_both | A=0 R=0 X=11
  BW_172 | inject@10/20 | running... TEP=None | first=illegal_both | A=0 R=0 X=39
  BW_172 | inject@13/20 | running... TEP=None | first=illegal_both | A=0 R=0 X=36
  BW_467 | inject@2/12 | running... TEP=None | first=illegal_both | A=0 R=0 X=47
  BW_467 | inject@4/12 | running... TEP=None | first=illegal_both | A=0 R=0 X=45
  BW_467 | inject@6/12 | running... TEP=None | first=illegal_both | A=0 R=0 X=43
  BW_467 | inject@8/12 | running... TEP=None | first=illegal_both | A=0 R=0 X=41
  BW_080 | inject@2/10 | running... TEP=None | first=illegal_both | A=0 R=0 X=47
  BW_080 | inject@3/10 | running... TEP=None | first=illegal_both | A=0 R=0 X=46
  BW_080 | inject@5/10 | running... TEP=None | first=illegal_both | A=0 R=0 X=44
  BW_080 | inject@6/10 | running... TEP=None | first=illegal_both | A=0 R=0 X=43
  BW_E100 | inject@2/17 | running... TEP=None | first=illegal_both | A=0 R=0 X=47
  BW_E100 | inject@5/17 | running... TEP=None | first=illegal_both | A=0 R=0 X=44
  BW_E100 | inject@8/17 | running... TEP=None | first=illegal_both | A=0 R=0 X=41
  BW_E100 | inject@11/17 | running... TEP=None | first=illegal_both | A=0 R=0 X=38
  BW_E015 | inject@2/25 | running... TEP=None | first=illegal_both | A=0 R=0 X=47
  BW_E015 | inject@8/25 | running... TEP=None | first=illegal_both | A=0 R=0 X=41
  BW_E015 | inject@12/25 | running... TEP=None | first=illegal_both | A=0 R=0 X=37
  BW_E015 | inject@16/25 | running... TEP=None | first=illegal_both | A=0 R=0 X=33
  BW_E017 | inject@2/35 | running... TEP=None | first=illegal_both | A=0 R=0 X=47
  BW_E017 | inject@11/35 | running... TEP=None | first=illegal_both | A=0 R=0 X=38
  BW_E017 | inject@17/35 | running...     API error at step 45: API error 504: {"error":{"message":"The operation was aborted","code":504,"metadata":{"provider_name":"OpenAI"}},"user_id":"user_2tyoeDX3nyYsC40NpGtBGUzJ7ux"}
TEP=None | first=illegal_both | A=0 R=0 X=27
  BW_E017 | inject@23/35 | running...     API error at step 3: API error 504: {"error":{"message":"The operation was aborted","code":504,"metadata":{"provider_name":"OpenAI"}},"user_id":"user_2tyoeDX3nyYsC40NpGtBGUzJ7ux"}
TEP=None | first=None | A=0 R=0 X=0
  BW_E019 | inject@2/21 | running... TEP=None | first=illegal_both | A=0 R=0 X=47
  BW_E019 | inject@7/21 | running... TEP=None | first=illegal_both | A=0 R=0 X=42
  BW_E019 | inject@10/21 | running... TEP=None | first=illegal_both | A=0 R=0 X=39
  BW_E019 | inject@14/21 | running... TEP=None | first=illegal_both | A=0 R=0 X=35
  BW_E002 | inject@2/20 | running... TEP=None | first=illegal_both | A=0 R=0 X=47
  BW_E002 | inject@6/20 | running... TEP=None | first=illegal_both | A=0 R=0 X=43
  BW_E002 | inject@10/20 | running... TEP=None | first=illegal_both | A=0 R=0 X=39
  BW_E002 | inject@13/20 | running... TEP=None | first=illegal_both | A=0 R=0 X=36

--- meta-llama/llama-3.1-8b-instruct | 15 problems ---
  BW_155 | inject@2/12 | running... TEP=None | first=illegal_both | A=0 R=0 X=47
  BW_155 | inject@4/12 | running... TEP=None | first=illegal_both | A=0 R=0 X=45
  BW_155 | inject@6/12 | running... TEP=None | first=illegal_both | A=0 R=0 X=43
  BW_155 | inject@8/12 | running... TEP=None | first=illegal_both | A=0 R=0 X=41
  BW_010 | inject@2/6 | running... TEP=None | first=illegal_both | A=0 R=0 X=47
  BW_010 | inject@3/6 | running... TEP=None | first=illegal_both | A=0 R=0 X=46
  BW_010 | inject@4/6 | running... TEP=None | first=illegal_both | A=0 R=0 X=45
  BW_001 | inject@2/14 | running... TEP=None | first=illegal_both | A=0 R=0 X=47
  BW_001 | inject@4/14 | running... TEP=None | first=illegal_both | A=0 R=0 X=45
  BW_001 | inject@7/14 | running... TEP=None | first=illegal_both | A=0 R=0 X=42
  BW_001 | inject@9/14 | running... TEP=None | first=illegal_both | A=0 R=0 X=40
  BW_011 | inject@2/20 | running... TEP=None | first=illegal_both | A=0 R=0 X=47
  BW_011 | inject@6/20 | running... TEP=None | first=illegal_both | A=0 R=0 X=43
  BW_011 | inject@10/20 | running... TEP=None | first=illegal_both | A=0 R=0 X=39
  BW_011 | inject@13/20 | running... TEP=None | first=illegal_both | A=0 R=0 X=36
  BW_120 | inject@2/9 | running... TEP=None | first=illegal_both | A=0 R=0 X=47
  BW_120 | inject@3/9 | running... TEP=None | first=illegal_both | A=0 R=0 X=46
  BW_120 | inject@4/9 | running... TEP=None | first=illegal_both | A=0 R=0 X=45
  BW_120 | inject@6/9 | running... TEP=None | first=illegal_both | A=0 R=0 X=43
  BW_227 | inject@2/16 | running... TEP=None | first=illegal_both | A=0 R=0 X=47
  BW_227 | inject@5/16 | running... TEP=None | first=illegal_both | A=0 R=0 X=44
  BW_227 | inject@8/16 | running... TEP=None | first=illegal_both | A=0 R=0 X=41
  BW_227 | inject@10/16 | running... TEP=None | first=illegal_both | A=0 R=0 X=39
  BW_137 | inject@2/20 | running... TEP=None | first=illegal_both | A=0 R=0 X=47
  BW_137 | inject@6/20 | running... TEP=None | first=illegal_both | A=0 R=0 X=43
  BW_137 | inject@10/20 | running... TEP=None | first=illegal_both | A=0 R=0 X=39
  BW_137 | inject@13/20 | running... TEP=None | first=illegal_both | A=0 R=0 X=36
  BW_172 | inject@2/20 | running... TEP=None | first=illegal_both | A=0 R=0 X=47
  BW_172 | inject@6/20 | running... TEP=None | first=illegal_both | A=0 R=0 X=43
  BW_172 | inject@10/20 | running... TEP=None | first=illegal_both | A=0 R=0 X=39
  BW_172 | inject@13/20 | running... TEP=None | first=illegal_both | A=0 R=0 X=36
  BW_467 | inject@2/12 | running... TEP=None | first=illegal_both | A=0 R=0 X=47
  BW_467 | inject@4/12 | running... TEP=None | first=illegal_both | A=0 R=0 X=45
  BW_467 | inject@6/12 | running... TEP=None | first=illegal_both | A=0 R=0 X=43
  BW_467 | inject@8/12 | running... TEP=None | first=illegal_both | A=0 R=0 X=41
  BW_080 | inject@2/10 | running... TEP=None | first=illegal_both | A=0 R=0 X=47
  BW_080 | inject@3/10 | running... TEP=None | first=illegal_both | A=0 R=0 X=46
  BW_080 | inject@5/10 | running... TEP=None | first=illegal_both | A=0 R=0 X=44
  BW_080 | inject@6/10 | running... TEP=None | first=illegal_both | A=0 R=0 X=43
  BW_E100 | inject@2/12 | running... TEP=None | first=illegal_both | A=0 R=0 X=47
  BW_E100 | inject@4/12 | running... TEP=None | first=illegal_both | A=0 R=0 X=45
  BW_E100 | inject@6/12 | running... TEP=None | first=illegal_both | A=0 R=0 X=43
  BW_E100 | inject@8/12 | running... TEP=None | first=illegal_both | A=0 R=0 X=41
  BW_E015 | inject@2/15 | running... TEP=None | first=illegal_both | A=0 R=0 X=47
  BW_E015 | inject@5/15 | running... TEP=None | first=illegal_both | A=0 R=0 X=44
  BW_E015 | inject@7/15 | running... TEP=None | first=illegal_both | A=0 R=0 X=42
  BW_E015 | inject@10/15 | running... TEP=None | first=illegal_both | A=0 R=0 X=39
  BW_E017 | inject@2/17 | running... TEP=None | first=illegal_both | A=0 R=0 X=47
  BW_E017 | inject@5/17 | running... TEP=None | first=illegal_both | A=0 R=0 X=44
  BW_E017 | inject@8/17 | running... TEP=None | first=illegal_both | A=0 R=0 X=41
  BW_E017 | inject@11/17 | running... TEP=None | first=illegal_both | A=0 R=0 X=38
  BW_E019 | inject@2/20 | running... TEP=None | first=illegal_both | A=0 R=0 X=47
  BW_E019 | inject@6/20 | running... TEP=None | first=illegal_both | A=0 R=0 X=43
  BW_E019 | inject@10/20 | running... TEP=None | first=illegal_both | A=0 R=0 X=39
  BW_E019 | inject@13/20 | running... TEP=None | first=illegal_both | A=0 R=0 X=36
  BW_E002 | inject@2/16 | running... TEP=None | first=illegal_both | A=0 R=0 X=47
  BW_E002 | inject@5/16 | running... TEP=None | first=illegal_both | A=0 R=0 X=44
  BW_E002 | inject@8/16 | running... TEP=None | first=illegal_both | A=0 R=0 X=41
  BW_E002 | inject@10/16 | running... TEP=None | first=illegal_both | A=0 R=0 X=39

Done. Results in results/probe2b_tep.csv
