problem_id,ms,family,subtype,acc_canonical,acc_W1,acc_W2,acc_W3,acc_W4,acc_W5,acc_W6
BW_310,gpt4o,BW,blocksworld,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BW_331,claude,BW,blocksworld,0.0,0.0,0.0,1.0,0.0,1.0,1.0
BW_331,llama,BW,blocksworld,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BW_331,gpt4o,BW,blocksworld,0.0,0.0,1.0,0.0,0.0,0.0,1.0
BW_350,claude,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BW_350,llama,BW,blocksworld,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BW_350,gpt4o,BW,blocksworld,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BW_408,claude,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BW_408,llama,BW,blocksworld,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BW_408,gpt4o,BW,blocksworld,0.0,0.0,0.0,1.0,0.0,1.0,0.0
BW_467,claude,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_467,llama,BW,blocksworld,,,,,,,0.0
BW_467,gpt4o,BW,blocksworld,,,,,,,0.0
BW_495,claude,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BW_495,llama,BW,blocksworld,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BW_495,gpt4o,BW,blocksworld,0.0,0.0,1.0,1.0,0.0,0.0,0.0
BW_496,claude,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BW_496,llama,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_496,gpt4o,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_497,claude,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BW_497,llama,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BW_497,gpt4o,BW,blocksworld,0.0,1.0,0.0,0.0,0.0,0.0,1.0
BW_498,claude,BW,blocksworld,0.0,1.0,0.0,0.0,0.0,0.0,1.0
BW_498,llama,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_498,gpt4o,BW,blocksworld,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_499,claude,BW,blocksworld,1.0,0.0,1.0,0.0,0.0,0.0,0.0
BW_499,llama,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_499,gpt4o,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_500,claude,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BW_500,llama,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_500,gpt4o,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_501,claude,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BW_501,llama,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_501,gpt4o,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_502,claude,BW,blocksworld,1.0,0.0,1.0,0.0,0.0,1.0,0.0
BW_502,llama,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_502,gpt4o,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BW_503,claude,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BW_503,llama,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_503,gpt4o,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_504,claude,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BW_504,llama,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_504,gpt4o,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_505,claude,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BW_505,llama,BW,blocksworld,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_505,gpt4o,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BW_506,claude,BW,blocksworld,0.0,0.0,1.0,0.0,0.0,1.0,0.0
BW_506,llama,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_506,gpt4o,BW,blocksworld,0.0,1.0,0.0,0.0,0.0,0.0,1.0
BW_507,claude,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BW_507,llama,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_507,gpt4o,BW,blocksworld,1.0,1.0,0.0,0.0,0.0,0.0,0.0
BW_508,claude,BW,blocksworld,1.0,0.0,0.0,0.0,0.0,1.0,1.0
BW_508,llama,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_508,gpt4o,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BW_509,claude,BW,blocksworld,0.0,0.0,1.0,0.0,0.0,0.0,1.0
BW_509,llama,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_509,gpt4o,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_510,claude,BW,blocksworld,0.0,0.0,1.0,0.0,0.0,0.0,0.0
BW_510,llama,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_510,gpt4o,BW,blocksworld,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_511,claude,BW,blocksworld,1.0,0.0,1.0,0.0,0.0,1.0,0.0
BW_511,llama,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_511,gpt4o,BW,blocksworld,1.0,0.0,1.0,0.0,0.0,0.0,1.0
BW_512,claude,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BW_512,llama,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_512,gpt4o,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_513,claude,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BW_513,llama,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_513,gpt4o,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BW_514,claude,BW,blocksworld,0.0,0.0,1.0,0.0,0.0,1.0,1.0
BW_514,llama,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_514,gpt4o,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_515,claude,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BW_515,llama,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_515,gpt4o,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BW_E002,claude,BW,blocksworld,1.0,1.0,1.0,1.0,0.0,1.0,0.0
BW_E002,llama,BW,blocksworld,,,,,,,0.0
BW_E002,gpt4o,BW,blocksworld,,,,,,,0.0
BW_E015,claude,BW,blocksworld,1.0,1.0,1.0,0.0,1.0,1.0,1.0
BW_E015,llama,BW,blocksworld,,,,,,,0.0
BW_E015,gpt4o,BW,blocksworld,,,,,,,1.0
BW_E017,claude,BW,blocksworld,1.0,0.0,1.0,0.0,0.0,1.0,1.0
BW_E017,llama,BW,blocksworld,,,,,,,1.0
BW_E017,gpt4o,BW,blocksworld,,,,,,,1.0
BW_E019,claude,BW,blocksworld,1.0,1.0,1.0,0.0,0.0,0.0,1.0
BW_E019,llama,BW,blocksworld,,,,,,,0.0
BW_E019,gpt4o,BW,blocksworld,,,,,,,0.0
BW_E100,claude,BW,blocksworld,0.0,0.0,0.0,1.0,0.0,1.0,1.0
BW_E100,llama,BW,blocksworld,,,,,,,0.0
BW_E100,gpt4o,BW,blocksworld,,,,,,,0.0
BW_E_001,claude,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BW_E_001,llama,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_E_001,gpt4o,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_E_002,claude,BW,blocksworld,1.0,0.0,1.0,0.0,0.0,0.0,1.0
BW_E_002,llama,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_E_002,gpt4o,BW,blocksworld,0.0,1.0,0.0,0.0,0.0,1.0,1.0
BW_E_003,claude,BW,blocksworld,0.0,0.0,1.0,0.0,0.0,1.0,0.0
BW_E_003,llama,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_E_003,gpt4o,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BW_E_004,claude,BW,blocksworld,0.0,0.0,1.0,0.0,0.0,1.0,0.0
BW_E_004,llama,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_E_004,gpt4o,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BW_E_005,claude,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BW_E_005,llama,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_E_005,gpt4o,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC_01,claude,ALGO,coin_change,1.0,1.0,1.0,1.0,1.0,,
CC_01,llama,ALGO,coin_change,0.0,1.0,0.0,0.0,0.0,,
CC_01,gpt4o,ALGO,coin_change,1.0,1.0,1.0,0.0,1.0,,
CC_02,claude,ALGO,coin_change,1.0,1.0,1.0,1.0,1.0,,
CC_02,llama,ALGO,coin_change,1.0,0.0,0.0,0.0,0.0,,
CC_02,gpt4o,ALGO,coin_change,1.0,1.0,1.0,0.0,1.0,,
CC_03,claude,ALGO,coin_change,1.0,1.0,1.0,1.0,1.0,,
CC_03,llama,ALGO,coin_change,0.0,0.0,1.0,0.0,1.0,,
CC_03,gpt4o,ALGO,coin_change,1.0,1.0,1.0,0.0,1.0,,
CC_031,claude,ALGO,coin_change,0.0,0.0,0.0,0.0,1.0,,0.0
CC_031,llama,ALGO,coin_change,0.0,0.0,0.0,0.0,0.0,,0.0
CC_031,gpt4o,ALGO,coin_change,1.0,0.0,0.0,0.0,1.0,,0.0
CC_032,claude,ALGO,coin_change,0.0,1.0,0.0,1.0,1.0,,0.0
CC_032,llama,ALGO,coin_change,0.0,0.0,0.0,0.0,0.0,,0.0
CC_032,gpt4o,ALGO,coin_change,0.0,0.0,0.0,0.0,0.0,,0.0
CC_033,claude,ALGO,coin_change,0.0,0.0,0.0,0.0,1.0,,1.0
CC_033,llama,ALGO,coin_change,0.0,0.0,0.0,0.0,0.0,,1.0
CC_033,gpt4o,ALGO,coin_change,0.0,0.0,0.0,0.0,0.0,,1.0
CC_034,claude,ALGO,coin_change,1.0,1.0,1.0,0.0,1.0,,0.0
CC_034,llama,ALGO,coin_change,0.0,1.0,0.0,0.0,0.0,,0.0
CC_034,gpt4o,ALGO,coin_change,1.0,1.0,0.0,0.0,1.0,,1.0
CC_035,claude,ALGO,coin_change,1.0,1.0,0.0,1.0,1.0,,0.0
CC_035,llama,ALGO,coin_change,0.0,0.0,0.0,0.0,0.0,,0.0
CC_035,gpt4o,ALGO,coin_change,1.0,1.0,0.0,1.0,1.0,,0.0
CC_036,claude,ALGO,coin_change,1.0,1.0,0.0,0.0,1.0,,0.0
CC_036,llama,ALGO,coin_change,0.0,0.0,0.0,0.0,0.0,,0.0
CC_036,gpt4o,ALGO,coin_change,0.0,0.0,0.0,0.0,1.0,,0.0
CC_037,claude,ALGO,coin_change,0.0,0.0,0.0,0.0,0.0,,0.0
CC_037,llama,ALGO,coin_change,0.0,0.0,0.0,0.0,0.0,,0.0
CC_037,gpt4o,ALGO,coin_change,0.0,0.0,0.0,0.0,1.0,,0.0
CC_038,claude,ALGO,coin_change,0.0,1.0,0.0,0.0,1.0,,0.0
CC_038,llama,ALGO,coin_change,0.0,0.0,1.0,0.0,0.0,,0.0
CC_038,gpt4o,ALGO,coin_change,1.0,1.0,0.0,0.0,1.0,,0.0
CC_039,claude,ALGO,coin_change,0.0,0.0,0.0,1.0,0.0,,0.0
CC_039,llama,ALGO,coin_change,0.0,0.0,0.0,0.0,0.0,,0.0
CC_039,gpt4o,ALGO,coin_change,0.0,1.0,0.0,0.0,1.0,,0.0
CC_04,claude,ALGO,coin_change,1.0,0.0,1.0,0.0,1.0,,
CC_04,llama,ALGO,coin_change,0.0,0.0,1.0,0.0,0.0,,
CC_04,gpt4o,ALGO,coin_change,0.0,0.0,0.0,0.0,0.0,,
CC_040,claude,ALGO,coin_change,0.0,1.0,0.0,0.0,1.0,,0.0
CC_040,llama,ALGO,coin_change,0.0,0.0,0.0,0.0,0.0,,0.0
CC_040,gpt4o,ALGO,coin_change,0.0,0.0,0.0,0.0,1.0,,0.0
CC_041,claude,ALGO,coin_change,1.0,0.0,0.0,0.0,1.0,,0.0
CC_041,llama,ALGO,coin_change,0.0,0.0,0.0,0.0,0.0,,0.0
CC_041,gpt4o,ALGO,coin_change,0.0,1.0,0.0,0.0,1.0,,0.0
CC_042,claude,ALGO,coin_change,0.0,0.0,0.0,0.0,0.0,,0.0
CC_042,llama,ALGO,coin_change,0.0,0.0,0.0,0.0,0.0,,0.0
CC_042,gpt4o,ALGO,coin_change,0.0,0.0,0.0,0.0,1.0,,0.0
CC_043,claude,ALGO,coin_change,0.0,1.0,0.0,0.0,0.0,,0.0
CC_043,llama,ALGO,coin_change,0.0,0.0,0.0,0.0,0.0,,0.0
CC_043,gpt4o,ALGO,coin_change,0.0,0.0,0.0,0.0,1.0,,1.0
CC_044,claude,ALGO,coin_change,0.0,0.0,0.0,0.0,1.0,,0.0
CC_044,llama,ALGO,coin_change,0.0,0.0,0.0,0.0,0.0,,0.0
CC_044,gpt4o,ALGO,coin_change,0.0,1.0,0.0,0.0,1.0,,0.0
CC_045,claude,ALGO,coin_change,0.0,0.0,0.0,0.0,0.0,,0.0
CC_045,llama,ALGO,coin_change,0.0,0.0,0.0,0.0,0.0,,0.0
CC_045,gpt4o,ALGO,coin_change,0.0,0.0,0.0,0.0,1.0,,0.0
CC_05,claude,ALGO,coin_change,1.0,1.0,1.0,1.0,1.0,,
CC_05,llama,ALGO,coin_change,0.0,0.0,0.0,0.0,0.0,,
CC_05,gpt4o,ALGO,coin_change,1.0,0.0,1.0,0.0,1.0,,
CC_06,claude,ALGO,coin_change,0.0,0.0,0.0,0.0,0.0,,
CC_06,llama,ALGO,coin_change,0.0,0.0,1.0,0.0,0.0,,
CC_06,gpt4o,ALGO,coin_change,1.0,0.0,0.0,0.0,0.0,,
CC_07,claude,ALGO,coin_change,1.0,1.0,1.0,1.0,1.0,,
CC_07,llama,ALGO,coin_change,1.0,0.0,1.0,0.0,1.0,,
CC_07,gpt4o,ALGO,coin_change,0.0,0.0,1.0,0.0,0.0,,
CC_08,claude,ALGO,coin_change,1.0,1.0,1.0,0.0,1.0,,
CC_08,llama,ALGO,coin_change,0.0,0.0,0.0,0.0,0.0,,
CC_08,gpt4o,ALGO,coin_change,1.0,1.0,1.0,0.0,1.0,,
CC_09,claude,ALGO,coin_change,0.0,0.0,0.0,0.0,1.0,,
CC_09,llama,ALGO,coin_change,0.0,0.0,0.0,0.0,0.0,,
CC_09,gpt4o,ALGO,coin_change,0.0,0.0,0.0,0.0,0.0,,
CC_10,claude,ALGO,coin_change,0.0,1.0,0.0,1.0,0.0,,
CC_10,llama,ALGO,coin_change,0.0,0.0,0.0,0.0,0.0,,
CC_10,gpt4o,ALGO,coin_change,0.0,0.0,0.0,0.0,0.0,,
GSM_001,claude,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,1.0,0.0,
GSM_001,llama,GSM,gsm_symbolic,1.0,1.0,1.0,0.0,1.0,0.0,
GSM_001,gpt4o,GSM,gsm_symbolic,1.0,1.0,0.0,0.0,0.0,0.0,
GSM_002,claude,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,1.0,1.0,
GSM_002,llama,GSM,gsm_symbolic,1.0,1.0,0.0,0.0,1.0,0.0,
GSM_002,gpt4o,GSM,gsm_symbolic,0.0,1.0,1.0,0.0,1.0,1.0,
GSM_003,claude,GSM,gsm_symbolic,1.0,1.0,1.0,0.0,0.0,1.0,
GSM_003,llama,GSM,gsm_symbolic,1.0,1.0,1.0,0.0,0.0,0.0,
GSM_003,gpt4o,GSM,gsm_symbolic,1.0,1.0,1.0,0.0,0.0,0.0,
GSM_004,claude,GSM,gsm_symbolic,1.0,1.0,0.0,1.0,1.0,1.0,
GSM_004,llama,GSM,gsm_symbolic,1.0,1.0,0.0,0.0,0.0,0.0,
GSM_004,gpt4o,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,1.0,1.0,
GSM_005,claude,GSM,gsm_symbolic,1.0,1.0,0.0,1.0,1.0,1.0,
GSM_005,llama,GSM,gsm_symbolic,0.0,1.0,0.0,0.0,1.0,0.0,
GSM_005,gpt4o,GSM,gsm_symbolic,1.0,0.0,1.0,0.0,1.0,0.0,
GSM_006,claude,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,1.0,1.0,
GSM_006,llama,GSM,gsm_symbolic,1.0,1.0,0.0,0.0,0.0,0.0,
GSM_006,gpt4o,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,1.0,0.0,
GSM_007,claude,GSM,gsm_symbolic,1.0,1.0,1.0,0.0,1.0,1.0,
GSM_007,llama,GSM,gsm_symbolic,1.0,1.0,0.0,0.0,0.0,1.0,
GSM_007,gpt4o,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,1.0,0.0,
GSM_008,claude,GSM,gsm_symbolic,1.0,1.0,0.0,1.0,0.0,1.0,
GSM_008,llama,GSM,gsm_symbolic,1.0,1.0,0.0,0.0,0.0,0.0,
GSM_008,gpt4o,GSM,gsm_symbolic,1.0,1.0,0.0,0.0,0.0,1.0,
GSM_009,claude,GSM,gsm_symbolic,0.0,0.0,0.0,1.0,0.0,1.0,
GSM_009,llama,GSM,gsm_symbolic,1.0,1.0,0.0,0.0,0.0,0.0,
GSM_009,gpt4o,GSM,gsm_symbolic,0.0,0.0,0.0,0.0,0.0,0.0,
GSM_010,claude,GSM,gsm_symbolic,1.0,1.0,0.0,1.0,1.0,1.0,
GSM_010,llama,GSM,gsm_symbolic,1.0,1.0,0.0,0.0,0.0,0.0,
GSM_010,gpt4o,GSM,gsm_symbolic,1.0,1.0,0.0,0.0,0.0,0.0,
GSM_011,claude,GSM,gsm_symbolic,1.0,1.0,0.0,1.0,1.0,1.0,
GSM_011,llama,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,0.0,0.0,
GSM_011,gpt4o,GSM,gsm_symbolic,1.0,1.0,0.0,0.0,0.0,0.0,
GSM_012,claude,GSM,gsm_symbolic,1.0,1.0,0.0,0.0,0.0,0.0,
GSM_012,llama,GSM,gsm_symbolic,1.0,1.0,0.0,0.0,0.0,0.0,
GSM_012,gpt4o,GSM,gsm_symbolic,1.0,1.0,0.0,0.0,0.0,0.0,
GSM_013,claude,GSM,gsm_symbolic,0.0,0.0,1.0,1.0,0.0,0.0,
GSM_013,llama,GSM,gsm_symbolic,0.0,1.0,1.0,0.0,0.0,0.0,
GSM_013,gpt4o,GSM,gsm_symbolic,0.0,0.0,0.0,1.0,1.0,0.0,
GSM_014,claude,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,1.0,0.0,
GSM_014,llama,GSM,gsm_symbolic,1.0,0.0,1.0,0.0,1.0,0.0,
GSM_014,gpt4o,GSM,gsm_symbolic,1.0,1.0,1.0,0.0,0.0,1.0,
GSM_015,claude,GSM,gsm_symbolic,1.0,0.0,0.0,1.0,1.0,1.0,
GSM_015,llama,GSM,gsm_symbolic,1.0,1.0,0.0,0.0,0.0,0.0,
GSM_015,gpt4o,GSM,gsm_symbolic,1.0,0.0,0.0,0.0,0.0,0.0,
GSM_016,claude,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,1.0,1.0,
GSM_016,llama,GSM,gsm_symbolic,1.0,0.0,0.0,1.0,0.0,0.0,
GSM_016,gpt4o,GSM,gsm_symbolic,0.0,1.0,0.0,0.0,1.0,0.0,
GSM_017,claude,GSM,gsm_symbolic,1.0,1.0,0.0,1.0,1.0,1.0,
GSM_017,llama,GSM,gsm_symbolic,0.0,0.0,0.0,0.0,0.0,0.0,
GSM_017,gpt4o,GSM,gsm_symbolic,1.0,1.0,0.0,0.0,0.0,0.0,
GSM_018,claude,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,1.0,1.0,
GSM_018,llama,GSM,gsm_symbolic,1.0,1.0,0.0,1.0,0.0,0.0,
GSM_018,gpt4o,GSM,gsm_symbolic,1.0,1.0,0.0,1.0,0.0,0.0,
GSM_019,claude,GSM,gsm_symbolic,0.0,0.0,1.0,1.0,1.0,1.0,
GSM_019,llama,GSM,gsm_symbolic,1.0,1.0,0.0,0.0,0.0,0.0,
GSM_019,gpt4o,GSM,gsm_symbolic,0.0,0.0,0.0,0.0,0.0,0.0,
GSM_020,claude,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,1.0,1.0,
GSM_020,llama,GSM,gsm_symbolic,1.0,1.0,0.0,0.0,0.0,0.0,
GSM_020,gpt4o,GSM,gsm_symbolic,1.0,1.0,0.0,0.0,0.0,0.0,
GSM_041,claude,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GSM_041,llama,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,0.0,0.0,1.0
GSM_041,gpt4o,GSM,gsm_symbolic,1.0,1.0,0.0,1.0,1.0,1.0,1.0
GSM_042,claude,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GSM_042,llama,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,0.0,1.0,1.0
GSM_042,gpt4o,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GSM_043,claude,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GSM_043,llama,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GSM_043,gpt4o,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GSM_044,claude,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GSM_044,llama,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GSM_044,gpt4o,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GSM_045,claude,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,0.0,1.0,1.0
GSM_045,llama,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,0.0,1.0,1.0
GSM_045,gpt4o,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,0.0,1.0,1.0
GSM_046,claude,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GSM_046,llama,GSM,gsm_symbolic,1.0,0.0,1.0,0.0,0.0,0.0,1.0
GSM_046,gpt4o,GSM,gsm_symbolic,0.0,1.0,1.0,0.0,1.0,1.0,1.0
GSM_047,claude,GSM,gsm_symbolic,0.0,0.0,0.0,0.0,1.0,1.0,1.0
GSM_047,llama,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,0.0,0.0,1.0
GSM_047,gpt4o,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GSM_048,claude,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GSM_048,llama,GSM,gsm_symbolic,1.0,1.0,0.0,0.0,0.0,1.0,1.0
GSM_048,gpt4o,GSM,gsm_symbolic,1.0,1.0,0.0,1.0,0.0,1.0,1.0
GSM_049,claude,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GSM_049,llama,GSM,gsm_symbolic,0.0,0.0,0.0,1.0,0.0,0.0,0.0
GSM_049,gpt4o,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,1.0,0.0,1.0
