problem_id,family,variant,model_answer,correct
GSM_011,GSM,W3,"328 - (8*12 + 13*11 + 15*(1/5)) 
328 - (96 + 143 + 3) 
328 - 242 
86",True
GSM_012,GSM,canonical,"## Step 1: Calculate the total number of potted plants Camila already has on her window ledges.
Camila has 7 potted plants on each of the 52 window ledges, so the total number of potted plants she already has is 7 * 52 = 364.

## Step 2: Calculate the number of potted plants Camila will give away.
Camila will give away 6 potted plants from each ledge, so the total number of potted plants she will give away is 6 * 52 = 312.

## Step 3: Calculate the number of potted plants",False
GSM_012,GSM,W3,2021,False
GSM_013,GSM,canonical,"Let's break down the problem step by step:

1. Mia walks 12 kilometers on the beach and 12 kilometers on the sidewalk.
2. She walks at two times the rate of speed on the sidewalk as on the beach.
3. Since she walks 12 kilometers on the beach, her speed on the beach is 12 km / 60 min = 0.2 km/min (assuming 60 minutes is the time taken to walk 12 km on the beach).
4. Since she walks at two times the rate of speed on the sidewalk as on the beach, her speed on the sidewalk is 2 * 0",False
GSM_013,GSM,W3,12,False
GSM_014,GSM,canonical,"210 floors / 10 days = 21 floors per day
21 floors / 10 hours per day = 2.1 floors per hour
10 hours * 60 minutes per hour = 600 minutes per day
2.1 floors per hour * 600 minutes per hour = 1260 minutes per day spent cleaning floors
1260 minutes / 600 minutes per day = 2.1
2.1 / 10 = 0.21
0.21 * 100 = 21%

21%",False
GSM_014,GSM,W3,"## 210 * 20 / (10 * 60) = 36
36 / (10 * 60) = 0.36
0.36 * 100 = 36",False
GSM_015,GSM,canonical,"To find the total amount Viktor will make, we need to round the prices of each type of plant to the nearest dollar and then multiply by the number of bundles sold.

Rounded prices:
- Tulips: $2.25 ≈ $2
- Roses: $5.13 ≈ $5
- Sunflowers: $5.47 ≈ $5

Now, let's calculate the total amount:
- 12 bundles of tulips: 12 × $2 = $24
- 29 bundles of roses: 29 × $5 = $145
- 37 bundles of sunflowers: 37 × $5",False
GSM_015,GSM,W3,"## Step 1: Round the prices of each pastry to the nearest dollar.
The price of a croissant batch is rounded to €2, the price of a muffin batch is rounded to €5, and the price of a danish batch is rounded to €5.

## Step 2: Calculate the total revenue from selling croissants.
12 batches of croissants at €2 each will be 12 * €2 = €24.

## Step 3: Calculate the total revenue from selling muffins.
29 batches of muffins at €5 each will be 29 * €5 = €145.

## Step",False
GSM_016,GSM,canonical,"To find the total number of trips needed, we need to calculate the total weight of all the items and divide it by the capacity of the truck, then round up to the nearest whole number since we can't make a fraction of a trip. 

First, let's calculate the total weight of each item:
- Wheat: 6 boxes * 4 pounds/box = 24 pounds
- Cucumbers: 12 bags * 5 pounds/bag = 60 pounds
- Apples: 32 packs * 43 pounds/pack = 1376 pounds
- Corns: 18 sacks * 15",False
GSM_016,GSM,W3,"## Step 1: Calculate the total weight of paper boxes
The warehouse manager buys six 4-pound boxes of paper, so the total weight of paper boxes is 6 * 4 = 24 pounds.

## Step 2: Calculate the total weight of stapler bags
He buys twelve 5-pound bags of staplers, so the total weight of stapler bags is 12 * 5 = 60 pounds.

## Step 3: Calculate the total weight of notebook packs
He buys thirty two 43-pound packs of notebooks, so the total weight of notebook packs is 32 * 43 = 1376",False
GSM_017,GSM,canonical,"Let's denote the number of boxes of cookies sold on Saturday as C and the number of boxes of orange pie sold on Saturday as P.

On Friday, the number of boxes of cookies sold is C - 11, and the number of boxes of orange pie sold is P - 13.

On Sunday, the total number of boxes of cookies sold is 2C, and the total number of boxes of orange pie sold is 2P.

The total number of boxes of cookies sold over the three days is (C - 11) + C + 2C = 4C - 11.
The total number of boxes",False
GSM_017,GSM,W3,"Let's denote the number of boxes of brownies sold on Friday as B, the number of boxes of lemon tarts sold on Friday as L, the number of boxes of brownies sold on Saturday as S, and the number of boxes of lemon tarts sold on Saturday as T.

Given that:
- On Friday, she sold 25 boxes of brownies and 13 fewer boxes of lemon tarts than on Saturday.
- On Saturday, she sold 11 more boxes of brownies than on Friday and 22 boxes of lemon tarts.
- On Sunday, she sold as much as she did in the past two days combined",False
GSM_018,GSM,canonical,"To find the number of questions in each category, we first need to find the total number of physics, algebra, and the combined number of chemistry and history questions.

25% of 80 questions are physics: 0.25 * 80 = 20 questions
15% of 80 questions are algebra: 0.15 * 80 = 12 questions
The rest are equally divided as chemistry and history: (100 - 25 - 15)% = 60% = 0.6 * 80 = 48 questions
48 questions are divided equally between chemistry and history: 48 / 2 =",False
GSM_018,GSM,W3,"To find the total number of points Jordan is certain to score, we need to calculate the number of questions in each category and the number of questions Jordan is expected to answer correctly.

There are 80 questions in total. 25% are biology questions, and 15% are geometry questions. The remaining questions are split equally between economics and geography, so 60% are either economics or geography.

Biology questions: 0.25 * 80 = 20 questions
Geometry questions: 0.15 * 80 = 12 questions
Economics and geography questions: 0.60 * 80 = 48 questions",False
GSM_019,GSM,canonical,"Let's break down the information:

- Friday and Saturday: 2 nights * 3 hours/night = 6 hours
- Sunday: x episodes * 45 minutes/episode = 45x minutes
- Monday: 4 hours + 15 minutes = 4.25 hours
- Tuesday: 4 episodes * 2 hours/episode = 8 hours
- Wednesday: 3 episodes * 30 minutes/episode = 90 minutes

Total time watched: 6 + 45x + 4.25 + 8 + 1.5 = 22

Combine like terms: 45x",False
GSM_019,GSM,W3,"## Step 1: Calculate the total time Sofia read on Friday and Saturday
Sofia read 3-hour chapters each night on Friday and Saturday, so she read 2 * 3 = 6 hours on Friday and Saturday.

## Step 2: Calculate the total time Sofia read on Sunday
Let's denote the number of 45-minute sections Sofia read on Sunday as x. Since each section is 45 minutes, the total time she read on Sunday is 45x minutes.

## Step 3: Calculate the total time Sofia read on Monday
On Monday, Sofia read a 4-hour chapter and a 15",False
GSM_020,GSM,canonical,"To find the total number of eggs still hidden in the yard, we need to calculate the number of eggs found by each person and subtract that from the initial number of eggs.

Ava finds 3 eggs.
Quinn finds six times as many as Ava: 6 * 3 = 18 eggs.
Sophia finds 3 less than Quinn: 18 - 3 = 15 eggs.
Esteban finds 1/5 as many as Sophia: 15 * 1/5 = 3 eggs.
Quinn and Ava combined find 3 + 18 = 21 eggs.
Fatima finds three dozen eggs",False
GSM_020,GSM,W3,"## Step 1: Determine the number of gold stars Ben finds.
Ben finds 3 gold stars.

## Step 2: Calculate the number of gold stars Mia finds.
Mia finds six times as many as Ben, so Mia finds 6 * 3 = 18 gold stars.

## Step 3: Calculate the number of gold stars Lucas finds.
Lucas finds 3 less than Mia, so Lucas finds 18 - 3 = 15 gold stars.

## Step 4: Calculate the number of gold stars Zoe finds.
Zoe finds 1/5 as many as Lucas, so Zoe finds (1/",False
GSM_041,GSM,canonical,"190 - 19 - 7 = 164. Since the number that like to hike is twice the number that prefer playing football, the number that like to hike is 2 * 7 = 14. So, the number that like to bake is 164 - 14 = 150.

150",True
GSM_041,GSM,W3,"Let's denote the number of workers who like assembly as A, the number who like quality control as Q, and the number who like forklift operation as F. 

We know that the total number of workers is 190, and the number of workers who like welding is 19. So, the number of workers who like assembly or quality control is 190 - 19 = 171.

We are also given that the number of workers who like quality control is twice the number who like forklift operation, so Q = 2F.

We know that the total number of workers who like assembly or quality control is A",False
GSM_042,GSM,canonical,30 * 94 = 2820.,True
GSM_042,GSM,W3,"## Step 1: Calculate the total number of widgets produced by all production lines in a year.
First, we need to calculate the total number of widgets produced by all production lines in a year. Since there are 30 production lines and each line produces 94 widgets every 12 months, we can multiply the number of production lines by the number of widgets produced per line per year.

## Step 2: Multiply the number of production lines by the number of widgets produced per line per year.
Total widgets produced per year = 30 production lines * 94 widgets per line per year = 2820 widgets per year.

The final",True
GSM_043,GSM,canonical,"640 * (1/8) = 80 tennis balls
80 * (1/10) = 8 white tennis balls

8",True
GSM_043,GSM,W3,"640 * (1/8) = 80 plastic containers
80 * (1/10) = 8 labeled plastic containers

8",True
GSM_044,GSM,canonical,117,False
GSM_044,GSM,W3,105,False
GSM_045,GSM,canonical,205 + 97 + 4 * 205 = 205 + 97 + 820 = 1122,True
GSM_045,GSM,W3,205 + 97 + 4 * 205 = 205 + 97 + 820 = 1122,True
GSM_046,GSM,canonical,"To find the number of ounces you can eat, we need to first find the total number of calories you can consume for the day, then find the number of calories per ounce, and finally divide the total calories you can consume by the calories per ounce.

First, let's find the total number of calories you can consume for the day:
2395 - 1350 = 1045 calories

Since the bag has 5 servings and 475 calories per serving, the total calories in the bag is:
475 * 5 = 2375 calories

Now, let's find the number of calories per ounce:
2375 /",False
GSM_046,GSM,W3,"To solve this problem, we need to calculate the total number of cycles required to reach the daily kilowatt target and then determine how many liters can be processed with that number of cycles.

First, let's calculate the total number of cycles required:

Daily kilowatt target = 2395
Kilowatts generated so far = 1350
Total kilowatts needed = 2395 - 1350 = 1045

Since each cycle generates 475 kilowatts, the total number of cycles required is:
1045 / 475 = 2.21 (round up to 3, since you can",False
GSM_047,GSM,canonical,"To find the total number of unoccupied rooms after 3 weeks, we need to first find the number of occupied rooms and then subtract it from the total capacity.

Initially, 1/4 of the rooms are occupied. 
1/4 of 1800 = 0.25 * 1800 = 450 rooms occupied.

Each day, 40 patients are admitted. In 3 weeks, there are 21 days (3 * 7 = 21).
So, the total number of patients admitted in 3 weeks = 40 * 21 = 840.

Now, the total number of occupied rooms after",False
GSM_047,GSM,W3,"To find the total number of unoccupied server units, we need to first find the number of occupied server units and then subtract it from the total capacity.

The data center has a capacity of 1800 server units with 1/4 occupied. 
1/4 of 1800 is 1800 * 1/4 = 450.

The number of occupied server units is 450.

40 data streams are admitted into the data center each day. In 3 weeks, the number of data streams admitted is 40 * 21 = 840.

The total number of occupied server units after 3 weeks is 450",False
GSM_048,GSM,canonical,"To find the total cost, we need to calculate the cost of the tea and the bagel separately.

The normal brand of tea costs ₺20 per kilogram. Since Hiroshi uses 1 kilogram of tea per day, a week's worth of tea would cost 7 * ₺20 = ₺140.

The more expensive brand costs 45% more than the normal brand. To find the cost of the more expensive brand, we need to calculate 45% of ₺20 and add it to ₺20.

45% of ₺20 = 0.45 * ₺20 = ₺9",False
GSM_048,GSM,W3,"To find the total cost, we need to calculate the cost of the steel and the lubricant separately.

The normal grade of steel costs ₺20 per ton. The more expensive grade costs 45% more, so it costs 20 + (20 * 0.45) = ₺29 per ton.

Since he uses 1 ton of steel per day, he needs 7 tons of steel for a week. The cost of the normal grade would be 20 * 7 = ₺140, and the cost of the more expensive grade is 29 * 7 = ₺203.

Since the more expensive grade",False
GSM_049,GSM,canonical,"To find the total number of apartments in the last complex, we need to calculate 20% of the total number of apartments in the first two complexes.

The first two complexes have 450 apartments each, so the total number of apartments in the first two complexes is 2 * 450 = 900.

20% of 900 is 0.2 * 900 = 180.

So, the last complex has 900 + 180 = 1080 apartments.

Umar collects garbage 2 times a week from each place, so the total number of collections per week is 3 * 2 = 6.

The",False
GSM_049,GSM,W3,"To find the total number of workstations in the last facility, we need to calculate 20% of the combined number of workstations in the first two facilities.

Combined workstations in the first two facilities = 450 + 450 = 900
20% of 900 = 0.2 * 900 = 180

Total workstations in the last facility = 900 + 180 = 1080

Total workstations in all facilities = 450 + 450 + 1080 = 1980

Robot-7 assembles components 2 times a week from each place, so the total number of assemblies",False
GSM_050,GSM,canonical,"To find the combined length of the remaining remoras, we need to first find the number of remoras that remain. 

There are 16 remoras initially, and a quarter of them go away. So, the number of remoras that go away is 16 * 0.25 = 4. 

The number of remoras that remain is 16 - 4 = 12.

Each remora is 12 inches long. So, the combined length of the remaining remoras is 12 * 12 = 144 inches.

The length of the dolphin is 60 feet, which is 60 * 12",False
GSM_050,GSM,W3,"12 12-inch drones are 12 * 12 = 144 inches long. 
A quarter of the 16 drones detach, so 16 - 4 = 12 drones remain. 
12 drones are 12 * 12 = 144 inches long. 
The total length of the spacecraft is 60 feet, which is 60 * 12 = 720 inches. 
The percentage of the spacecraft's body length that the remaining drones occupy is (144 / 720) * 100 = 20%.",True
GSM_051,GSM,canonical,"64 minutes to cover 2 miles, so it will take 64/2 = 32 minutes to cover 1 mile. To cover a tenth of the city, it will take 32 * 4 = 128 minutes.",False
GSM_051,GSM,W3,"To find the time it takes for the computer virus to cover a tenth of the network, we need to first find the time it takes to cover the entire network and then divide that by 10.

It takes 64 minutes to cover every 2 gigabytes, so it takes 64/2 = 32 minutes to cover 1 gigabyte.

The network is 80 gigabytes across, so it takes 32 * 80 = 2560 minutes to cover the entire network.

To cover a tenth of the network, it takes 2560 / 10 = 256 minutes.

256",True
GSM_052,GSM,canonical,"To calculate the probability of rolling a number greater than 6 on a d12 die, we have 6 favorable outcomes (7, 8, 9, 10, 11, 12) out of 12 possible outcomes, so the probability is 6/12 = 0.5 or 50%.

To calculate the probability of rolling four odd numbers in a row, we need to consider the probability of rolling an odd number on each roll. There are 6 odd numbers (1, 3, 5, 7, 9, 11) out of 12 possible outcomes, so the probability",False
GSM_052,GSM,W3,"To solve this problem, we need to calculate the probability of generating a code greater than 6 and the probability of generating four odd numbers in a row, and then find the difference between these two probabilities.

The probability of generating a code greater than 6 on a 12-slot randomizer is 1 - (probability of generating a code 6 or less). Since there are 6 slots that are 6 or less (1, 2, 3, 4, 5, 6), the probability is 1 - (6/12) = 1 - 0.5 = 0.5.",False
GSM_053,GSM,canonical,"To solve this problem, we need to set up a system of equations based on the given information.

Let's denote the number of teaspoons of sugar as S, the number of cups of water as W, and the number of tablespoons of milk as M.

We know that the ratio of sugar to water is 63:21, so we can write the equation:

S/W = 63/21

We also know that the ratio of milk to water is 7:7, so we can write the equation:

M/W = 7/7

We are given that the total amount of sugar, water, and milk used is",False
GSM_053,GSM,W3,"To solve this problem, we need to first find the amount of molten iron and zinc consumed. 

Given that the ratio of copper to molten iron is 63:21, we can set up a proportion to find the amount of molten iron consumed:

63/21 = 630/x

Cross-multiplying, we get:
63x = 630 * 21
x = (630 * 21) / 63
x = 210

So, the amount of molten iron consumed is 210 liters.

Now, we are given that 7 kilograms of zinc is used for every 7 liters of",False
GSM_054,GSM,canonical,"To calculate the cost of a 70-minute call, we need to break it down into three parts: the first 10 minutes, the next 20 minutes, and the remaining 40 minutes.

For the first 10 minutes, the cost is 10 * $0.6 = $6.

For the next 20 minutes, the cost is 20 * $0.4 = $8.

For the remaining 40 minutes, the cost is 40 / 2 * $0.1 = 20 * $0.1 = $2.

The total cost is $6 + $8 + $2 = $",False
GSM_054,GSM,W3,"To calculate the cost of a 70-unit processing cycle, we need to break it down into three parts: the first 10 minutes, the next 20 minutes, and the remaining 60 minutes.

For the first 10 minutes, the cost is $0.6 per unit. 
10 minutes / 1 minute = 10 units (since the rate is $0.6 per unit)
Cost for the first 10 minutes = 10 units * $0.6/unit = $6

For the next 20 minutes, the cost is $0.4 per unit.
20 minutes / 1 minute = 20",False
GSM_055,GSM,canonical,"First, let's calculate the total capacity of the tables and bowls. Each table can hold 24 almonds, and there are 11 tables, so the total capacity of the tables is 24 * 11 = 264 almonds. Each bowl can hold two times the capacity of a table, which is 24 * 2 = 48 almonds. Since there are 3 bowls, the total capacity of the bowls is 48 * 3 = 144 almonds.

The total capacity of the tables and bowls is 264 + 144 = 408 almonds.

Theo has 621 almonds initially. After eating a third of the almonds",False
GSM_055,GSM,W3,"To find the number of data chips Alpha-7 won't be able to store, we need to first calculate the total number of data chips that can be stored in the servers and databases, and then subtract the number of data chips Alpha-7 has after deleting a third of them.

Each server can contain 24 data chips, and there are 11 servers, so the total number of data chips that can be stored in the servers is 24 * 11 = 264.

Each database can contain two times the number of data chips that a server can contain, so each database can contain 24 * 2 = 48 data",False
GSM_056,GSM,canonical,"263 - 35 = 228 
228 - 26 - 27 = 175 
175 * 2 = 350 
228 + 350 = 578 
578 - 263 = 315",False
GSM_056,GSM,W3,"## Step 1: Calculate the time spent so far
The robots have already wasted 35 minutes to get a system update.

## Step 2: Calculate the time spent to reach the junction and the data center
It takes them 26 minutes to get to the junction and another 27 minutes to get to the data center. So, the total time spent to reach the data center is 26 + 27 = 53 minutes.

## Step 3: Calculate the total time spent so far
The total time spent so far is the sum of the time spent to get the system update and the time spent to reach the data",False
GSM_057,GSM,canonical,"To find the percentage of puppies with spots, we need to calculate the total number of puppies and the number of puppies with spots.

Umar's dog has 113 puppies, 17 of which have spots.
Xena's dog has 47 puppies, 15 of which have spots.
Sophia has 64 dogs, each having 10 puppies with spots, so the total number of puppies with spots from Sophia is 64 * 10 = 640.

Total number of puppies = 113 + 47 + 64 * 10 = 113 + 47 + 640 = 800
Total number of puppies with spots",False
GSM_057,GSM,W3,"To find the total number of robot units with sensors, we need to add the number of robot units with sensors from each factory.

Factory A has 17 robot units with sensors.
Factory B has 15 robot units with sensors.
Factory C has 64 assembly lines, each having 10 robot units with sensors, so it has 64 * 10 = 640 robot units with sensors.

Total number of robot units with sensors = 17 + 15 + 640 = 672

Total number of robot units = 113 + 47 + (64 * 10) = 113 + 47 + 640 =",False
GSM_058,GSM,canonical,"To find the total cost, we need to calculate the cost of each item and then apply the 5% discount.

Cost of colored pencils: 16 * ¥2.75 = ¥44
Cost of crayons: 10 * ¥17.0 = ¥170
Cost of bond paper: ¥20
Cost of folders: 6 * ¥11 = ¥66

Total cost before discount: ¥44 + ¥170 + ¥20 + ¥66 = ¥200

5% discount on ¥200: 0.05 * ¥200 = ¥10

Total cost after discount: ¥200 - ¥10 = ¥190",False
GSM_058,GSM,W3,"First, calculate the total cost of each item:
- Circuit boards: 16 * ¥2.75 = ¥44
- Sensors: 10 * ¥17.0 = ¥170
- Steel sheet: ¥20
- Actuators: 6 * ¥11 = ¥66

Then, calculate the total cost before discount: ¥44 + ¥170 + ¥20 + ¥66 = ¥200

Apply the 5% discount: ¥200 * 0.05 = ¥10
Subtract the discount from the total cost: ¥200 - ¥10 = ¥190

190",False
GSM_059,GSM,canonical,"Let's denote the number of forks in the package that Zahra bought as x.

Initially, Zahra had x forks. Her husband gave her 9 more forks, so she had x + 9 forks.

She used 11 forks, so she had x + 9 - 11 = x - 2 forks left.

The guests brought 2 packs of forks, each having 14 inside them, so they brought 2 * 14 = 28 forks.

In total, Zahra had x - 2 + 28 = x + 26 forks.

When she set the table, she had 55 forks,",False
GSM_059,GSM,W3,"Let's denote the number of screwdrivers in the package that Marcus bought as x.

Marcus initially bought x screwdrivers. Then, her supervisor gave her 9 more, so she had x + 9 screwdrivers. After using 11 screwdrivers, she had x + 9 - 11 = x - 2 screwdrivers left.

The technicians brought 2 packs of 14 screwdrivers each, so they brought 2 * 14 = 28 screwdrivers.

After that, Marcus had a total of 55 screwdrivers. We can set up the equation:

x - 2 + 28 = 55

Combine",False
GSM_060,GSM,canonical,"To find the number of students leaving early, we need to calculate the number of soccer players, the number of choir members or dancers, and then add the cheerleaders.

First, let's find the number of soccer players:
40% of 125 students are soccer players.
0.4 * 125 = 50 soccer players

Since half of the soccer players are absent for being sick, the number of soccer players leaving early is:
50 / 2 = 25 soccer players

Next, let's find the number of choir members or dancers:
17% of the remaining students (125 - 50 = 75) are choir",False
GSM_060,GSM,W3,"To find the number of workers leaving early, we need to calculate the number of welders, electricians or mechanics, and then add the supervisors.

First, let's find the number of welders:
40% of 125 workers are welders. 
0.4 * 125 = 50 welders.

Since half of the welders are absent due to injury, the number of welders leaving is:
50 / 2 = 25 welders.

Now, let's find the number of electricians or mechanics:
17% of the remaining workers (125 - 50 = 75) are electricians or mechanics.",False
GSM_061,GSM,canonical,"To find the total number of pizzas the family eats in a month, we need to first find their daily consumption and then multiply it by the number of days in a month (assuming a 30-day month for simplicity).

The father eats 4 pizzas per day, and the wife eats 6 pizzas per day. Their combined consumption is 4 + 6 = 10 pizzas per day.

The daughter eats one less than three-sixths of the number of pizzas they eat combined per day. Three-sixths of their combined consumption is (3/6) * 10 = 5 pizzas. One less than that is 5 -",False
GSM_061,GSM,W3,"Let's denote the number of metal sheets processed by the primary machine as P, the secondary machine as S, and the auxiliary machine as A.

Given:
P = 4
S = 6
A = (3/6) * (P + S) - 1

First, calculate the combined number of metal sheets processed by the primary and secondary machines:
P + S = 4 + 6 = 10

Now, calculate the number of metal sheets processed by the auxiliary machine:
A = (3/6) * 10 - 1
A = 5 - 1
A = 4",False
GSM_062,GSM,canonical,"To find the total cost, we need to calculate the brokerage fee, transfer fee, and the discounted price of the property.

Brokerage fee = 3% of $600000 = 0.03 * $600000 = $18000
Transfer fee = 12% of $600000 = 0.12 * $600000 = $72000

Discounted price = $600000 - 20% of $600000 = $600000 - 0.2 * $600000 = $480000

Total cost = $600000 + $18000 + $72000 = $708000

The difference",False
GSM_062,GSM,W3,"## Step 1: Calculate the base price after the 20% reduction
The base price is $600000, and Captain Zara can get a 20% reduction on it. So, the reduced price is 600000 - (600000 * 0.20) = 600000 - 120000 = 480000.

## Step 2: Calculate the docking fee
The docking fee is 3% of the base price. So, the docking fee is 480000 * 0.03 = 14400.

## Step 3: Calculate the transport fee
The transport fee is 12%",False
GSM_063,GSM,canonical,"To find the net proceeds, we need to calculate the registration fees, agent fees, and the remaining amount after paying the loan and closing costs.

Registration fees = 2% of $220000 = 0.02 * $220000 = $4400
Agent fees = 2% of $220000 = 0.02 * $220000 = $4400

Total fees = Registration fees + Agent fees = $4400 + $4400 = $8800

Remaining amount after paying fees = $220000 - $8800 = $211200

Remaining amount after paying loan = $211200 - $180",False
GSM_063,GSM,W3,"To find Captain Vega's net returns, we need to calculate the total expenses and subtract them from the selling price.

1. Docking fees: 2% of $220000 = 0.02 * $220000 = $4400
2. Broker fee: 2% of $220000 = 0.02 * $220000 = $4400
3. Remaining lease balance: $180000
4. Departure costs: $15000

Total expenses = $4400 + $4400 + $180000 + $15000 = $221900

Net returns = Selling price - Total expenses",False
GSM_064,GSM,canonical,39,False
GSM_064,GSM,W3,"Let's assume the number of hybrid cars is x. Since there are 1/3 the number of hybrid cars as electric cars, we can set up the equation:

x = (1/3) * 39

To find the number of hybrid cars, we can multiply 39 by 1/3:

x = 13

Now, we know there are 13 hybrid cars and 39 electric cars. The total number of vehicles is 13 + 39 = 52.

To find the percentage of electric cars, we can divide the number of electric cars by the total number of vehicles and multiply by 100:",False
CC_01,ALGO,canonical,"Count: 3
Coins: 1, 1, 4",False
CC_01,ALGO,W3,"Total: 3 Scoops: 1 g, 3 g, 2 g",False
CC_02,ALGO,canonical,"Count: 2
Coins: 6, 5",True
CC_02,ALGO,W3,"Total: 3 Scoops: 6 g, 4 g, 1 g",False
CC_03,ALGO,canonical,"Count: 3
Coins: 7, 6, 0",False
CC_03,ALGO,W3,"Total: 3 Scoops: 6 g, 6 g, 1 g",False
CC_031,ALGO,canonical,"Count: 8
Coins: 10, 10, 10, 10, 1, 1, 1, 1",False
CC_031,ALGO,W3,"Count: 3
stamps: 5, 5, 5",False
CC_032,ALGO,canonical,"Count: 4
Coins: 25, 25, 25, 10",False
CC_032,ALGO,W3,"Count: 3
stamps: 25, 25, 25",False
CC_033,ALGO,canonical,"Count: 3
Coins: 10, 1, 1",False
CC_033,ALGO,W3,"Count: 3
stamps: 10, 2, 1",False
CC_034,ALGO,canonical,"Count: 3
Coins: 100, 1, 1",True
CC_034,ALGO,W3,"Count: 3
stamps: 50, 10, 1",False
CC_035,ALGO,canonical,"Count: 6
Coins: 10, 10, 10, 10, 1, 1",False
CC_035,ALGO,W3,"Count: 6
stamps: 10, 10, 10, 10, 10, 1",False
CC_036,ALGO,canonical,"Count: 4
Coins: 10, 10, 10, 76",False
CC_036,ALGO,W3,"Count: 3
stamps: 5, 5, 5",False
CC_037,ALGO,canonical,"Count: 3
Coins: 100, 50, 10",False
CC_037,ALGO,W3,"Count: 3
stamps: 100, 100, 10",False
CC_038,ALGO,canonical,"Count: 2
Coins: 10, 10, 1, 1, 1, 1",False
CC_038,ALGO,W3,"Count: 3
stamps: 100, 100, 1",False
CC_039,ALGO,canonical,"Count: 3
Coins: 31, 41, 36",False
CC_039,ALGO,W3,"Count: 3
stamps: 53, 31, 24",False
CC_04,ALGO,canonical,"Count: 3
Coins: 10, 10, 7",False
