problem_id,problem_subtype,byte_identical_text,identical_answer,canonical_gold_plan_length,w6_gold_plan_length,canonical_n_goal_towers,w6_n_goal_towers,canonical_naming_is_sequential,w6_naming_is_sequential,canonical_num_blocks,canonical_n_goal_clauses,canonical_goal_tower_depth,canonical_init_tower_depth,canonical_fd_optimal_plan_length,canonical_fd_status,w6_num_blocks,w6_n_goal_clauses,w6_goal_tower_depth,w6_init_tower_depth,w6_fd_optimal_plan_length,w6_fd_status,gold_plan_length_canonical,gold_plan_length_w6,Claude_canonical_correct,Claude_w6_correct,GPT-4o_canonical_correct,GPT-4o_w6_correct,Gemini_canonical_correct,Gemini_w6_correct,Llama_canonical_correct,Llama_w6_correct,o4-mini_canonical_correct,o4-mini_w6_correct,DeepSeek_canonical_correct,DeepSeek_w6_correct
BW_498,blocksworld,False,False,18,18,1,1,False,True,10,9,10,1,18,ok,10,10,10,1,18,ok,18,18,False,True,True,False,False,False,False,False,True,True,True,True
BW_499,blocksworld,False,False,8,8,1,1,False,True,5,4,5,1,8,ok,5,5,5,1,8,ok,8,8,True,False,False,False,True,False,False,False,True,True,True,True
BW_500,blocksworld,False,False,14,14,1,1,False,True,8,7,8,1,14,ok,8,8,8,1,14,ok,14,14,False,True,False,False,False,False,False,False,True,True,True,True
BW_501,blocksworld,False,False,14,14,1,1,False,True,8,7,8,1,14,ok,8,8,8,1,14,ok,14,14,False,True,False,False,False,True,False,False,True,True,True,True
BW_502,blocksworld,False,False,6,6,1,1,False,True,4,3,4,1,6,ok,4,4,4,1,6,ok,6,6,True,False,False,True,False,True,False,False,True,True,True,True
BW_503,blocksworld,False,False,22,22,1,1,True,True,12,11,12,1,22,ok,12,12,12,1,22,ok,22,22,False,True,False,False,False,True,False,False,True,True,True,True
BW_504,blocksworld,False,False,12,12,1,1,False,True,7,6,7,1,12,ok,7,7,7,1,12,ok,12,12,False,True,False,False,False,False,False,False,True,True,True,True
BW_505,blocksworld,False,False,8,8,1,1,False,True,5,4,5,1,8,ok,5,5,5,1,8,ok,8,8,False,True,False,False,False,False,True,False,True,True,True,True
BW_506,blocksworld,False,False,4,4,1,1,False,True,3,2,3,1,4,ok,3,3,3,1,4,ok,4,4,False,False,False,True,True,True,False,False,True,True,True,True
BW_507,blocksworld,False,False,4,4,1,1,False,True,3,2,3,1,4,ok,3,3,3,1,4,ok,4,4,False,True,True,False,True,False,False,False,True,True,True,True
BW_508,blocksworld,False,False,8,8,1,1,False,True,5,4,5,1,8,ok,5,5,5,1,8,ok,8,8,True,True,False,True,True,False,False,False,True,True,True,True
BW_509,blocksworld,False,False,8,8,1,1,False,True,5,4,5,1,8,ok,5,5,5,1,8,ok,8,8,False,True,False,False,True,False,False,False,True,True,True,True
BW_510,blocksworld,False,False,12,12,1,1,False,True,7,6,7,1,12,ok,7,7,7,1,12,ok,12,12,False,False,True,False,False,False,False,False,True,True,False,True
BW_511,blocksworld,False,False,6,6,1,1,False,True,4,3,4,1,6,ok,4,4,4,1,6,ok,6,6,True,False,True,True,True,False,False,False,True,True,False,True
BW_512,blocksworld,False,False,10,10,1,1,False,True,6,5,6,1,10,ok,6,6,6,1,10,ok,10,10,False,True,False,False,True,False,False,False,True,True,False,True
BW_513,blocksworld,False,False,12,12,1,1,False,True,7,6,7,1,12,ok,7,7,7,1,12,ok,12,12,False,True,False,True,False,True,False,False,True,True,False,True
BW_514,blocksworld,False,False,10,10,1,1,False,True,6,5,6,1,10,ok,6,6,6,1,10,ok,10,10,False,True,False,False,True,False,False,False,True,True,False,False
BW_515,blocksworld,False,False,10,10,1,1,False,True,6,5,6,1,10,ok,6,6,6,1,10,ok,10,10,False,True,False,False,True,True,False,False,True,True,False,True
BW_E002,blocksworld,False,False,4,6,1,1,True,True,3,2,3,1,4,ok,4,4,4,1,6,ok,4,6,True,False,False,False,False,False,False,False,True,True,True,True
BW_E015,blocksworld,True,True,4,4,1,1,True,True,3,1,2,2,4,ok,3,1,2,2,4,ok,4,4,True,False,False,False,False,False,False,False,True,False,False,False
BW_E017,blocksworld,True,True,4,4,1,1,True,True,3,2,3,1,4,ok,3,2,3,1,4,ok,4,4,True,False,False,False,True,False,False,False,True,False,True,False
BW_E019,blocksworld,True,True,4,4,1,1,True,True,3,2,3,2,4,ok,3,2,3,2,4,ok,4,4,True,False,False,False,True,False,False,False,True,False,True,False
BW_E100,blocksworld,False,False,2,6,1,1,True,True,3,2,3,2,2,ok,4,4,4,1,6,ok,2,6,True,True,False,False,False,False,False,False,True,True,False,True
BW_E_001,blocksworld,False,False,10,10,1,1,False,True,6,5,6,1,10,ok,6,6,6,1,10,ok,10,10,False,True,False,False,True,False,False,False,True,True,False,True
BW_E_002,blocksworld,False,False,6,6,1,1,False,True,4,3,4,1,6,ok,4,4,4,1,6,ok,6,6,True,True,False,True,False,True,False,False,True,True,False,True
BW_E_003,blocksworld,False,False,8,8,1,1,False,True,5,4,5,1,8,ok,5,5,5,1,8,ok,8,8,False,False,False,False,True,True,False,False,True,True,False,True
BW_E_004,blocksworld,False,False,14,14,1,1,False,True,8,7,8,1,14,ok,8,8,8,1,14,ok,14,14,False,False,False,True,True,True,False,False,True,True,False,True
BW_E_005,blocksworld,False,False,8,8,1,1,False,True,5,4,5,1,8,ok,5,5,5,1,8,ok,8,8,False,True,False,False,True,True,False,False,True,True,False,True
