problem_id,model,subtype,step_index,declared_step,executed_step,step_match
WIS_003,anthropic/claude-sonnet-4,wis,4,SELECT 4,,False
WIS_003,anthropic/claude-sonnet-4,wis,5,RULE OUT 5,,False
WIS_003,anthropic/claude-sonnet-4,wis,6,RULE OUT 6,,False
WIS_003,anthropic/claude-sonnet-4,wis,7,RULE OUT 7,,False
WIS_003,anthropic/claude-sonnet-4,wis,8,RULE OUT 8,,False
WIS_003,anthropic/claude-sonnet-4,wis,9,RULE OUT 9,,False
WIS_003,anthropic/claude-sonnet-4,wis,10,SELECT 10,,False
WIS_003,anthropic/claude-sonnet-4,wis,11,SELECT 11,,False
WIS_003,anthropic/claude-sonnet-4,wis,12,RULE OUT 12,,False
WIS_003,anthropic/claude-sonnet-4,wis,13,SELECT 13,,False
WIS_004,anthropic/claude-sonnet-4,wis,0,SELECT 3,,False
WIS_004,anthropic/claude-sonnet-4,wis,1,SELECT 1,,False
WIS_004,anthropic/claude-sonnet-4,wis,2,RULE OUT 2,,False
WIS_004,anthropic/claude-sonnet-4,wis,3,SELECT 3,,False
WIS_004,anthropic/claude-sonnet-4,wis,4,RULE OUT 4,,False
WIS_004,anthropic/claude-sonnet-4,wis,5,RULE OUT 5,,False
WIS_004,anthropic/claude-sonnet-4,wis,6,SELECT 6,,False
WIS_004,anthropic/claude-sonnet-4,wis,7,RULE OUT 7,,False
WIS_004,anthropic/claude-sonnet-4,wis,8,RULE OUT 8,,False
WIS_004,anthropic/claude-sonnet-4,wis,9,SELECT 9,,False
WIS_004,anthropic/claude-sonnet-4,wis,10,RULE OUT 10,,False
WIS_004,anthropic/claude-sonnet-4,wis,11,SELECT 11,,False
WIS_004,anthropic/claude-sonnet-4,wis,12,SELECT 12,,False
WIS_004,anthropic/claude-sonnet-4,wis,13,RULE OUT 13,,False
WIS_004,anthropic/claude-sonnet-4,wis,14,RULE OUT 14,,False
WIS_004,anthropic/claude-sonnet-4,wis,15,RULE OUT 15,,False
SP_019,anthropic/claude-sonnet-4,shortest_path,0,1,1,True
SP_019,anthropic/claude-sonnet-4,shortest_path,1,4,2,False
SP_019,anthropic/claude-sonnet-4,shortest_path,2,6,4,False
SP_020,anthropic/claude-sonnet-4,shortest_path,0,1,1,True
SP_020,anthropic/claude-sonnet-4,shortest_path,1,4,2,False
SP_020,anthropic/claude-sonnet-4,shortest_path,2,5,4,False
SP_021,anthropic/claude-sonnet-4,shortest_path,0,1,1,True
SP_021,anthropic/claude-sonnet-4,shortest_path,1,4,2,False
SP_021,anthropic/claude-sonnet-4,shortest_path,2,8,4,False
SP_023,anthropic/claude-sonnet-4,shortest_path,0,2,2,True
SP_023,anthropic/claude-sonnet-4,shortest_path,1,3,3,True
SP_023,anthropic/claude-sonnet-4,shortest_path,2,5,5,True
SP_024,anthropic/claude-sonnet-4,shortest_path,0,7,2,False
SP_024,anthropic/claude-sonnet-4,shortest_path,1,3,3,True
SP_024,anthropic/claude-sonnet-4,shortest_path,2,7,7,True
SP_026,anthropic/claude-sonnet-4,shortest_path,0,2,1,False
SP_026,anthropic/claude-sonnet-4,shortest_path,1,3,8,False
SP_026,anthropic/claude-sonnet-4,shortest_path,2,8,8,True
SP_027,anthropic/claude-sonnet-4,shortest_path,0,2,2,True
SP_027,anthropic/claude-sonnet-4,shortest_path,1,1,1,True
SP_027,anthropic/claude-sonnet-4,shortest_path,2,6,6,True
SP_028,anthropic/claude-sonnet-4,shortest_path,0,2,2,True
SP_028,anthropic/claude-sonnet-4,shortest_path,1,1,1,True
SP_028,anthropic/claude-sonnet-4,shortest_path,2,7,7,True
SP_029,anthropic/claude-sonnet-4,shortest_path,0,2,2,True
SP_029,anthropic/claude-sonnet-4,shortest_path,1,1,1,True
SP_029,anthropic/claude-sonnet-4,shortest_path,2,7,7,True
SP_030,anthropic/claude-sonnet-4,shortest_path,0,7,2,False
SP_030,anthropic/claude-sonnet-4,shortest_path,1,1,1,True
SP_030,anthropic/claude-sonnet-4,shortest_path,2,7,7,True
WIS_013,anthropic/claude-sonnet-4,wis,0,RULE OUT 0,SELECT 4,False
WIS_013,anthropic/claude-sonnet-4,wis,1,RULE OUT 1,SELECT 5,False
WIS_013,anthropic/claude-sonnet-4,wis,2,RULE OUT 2,,False
WIS_013,anthropic/claude-sonnet-4,wis,3,RULE OUT 3,,False
WIS_013,anthropic/claude-sonnet-4,wis,4,SELECT 4,,False
WIS_013,anthropic/claude-sonnet-4,wis,5,SELECT 5,,False
WIS_014,anthropic/claude-sonnet-4,wis,0,TO DETERMINE IF INCLUDING IT IS OPTIMAL.,SELECT 5,False
WIS_014,anthropic/claude-sonnet-4,wis,1,RULE OUT 1,,False
WIS_014,anthropic/claude-sonnet-4,wis,2,RULE OUT 2,,False
WIS_014,anthropic/claude-sonnet-4,wis,3,RULE OUT 3,,False
WIS_014,anthropic/claude-sonnet-4,wis,4,SELECT 4,,False
WIS_014,anthropic/claude-sonnet-4,wis,5,SELECT 5,,False
WIS_015,anthropic/claude-sonnet-4,wis,0,"MY FIRST STEP WILL BE TO SORT THE INTERVALS BY END TIME, THEN USE DYNAMIC PROGRAMMING WHERE I CONSIDER EACH INTERVAL IN ORDER AND DECIDE WHETHER TO INCLUDE IT OR NOT BASED ON THE MAXIMUM WEIGHT ACHIEVABLE. I WON'T MAKE ANY ACTUAL SELECTIONS UNTIL I'VE COMPUTED THE OPTIMAL VALUE FOR ALL SUBPROBLEMS.",SELECT 4,False
WIS_015,anthropic/claude-sonnet-4,wis,1,RULE OUT 1,SELECT 5,False
WIS_015,anthropic/claude-sonnet-4,wis,2,RULE OUT 2,,False
WIS_015,anthropic/claude-sonnet-4,wis,3,RULE OUT 3,,False
WIS_015,anthropic/claude-sonnet-4,wis,4,SELECT 4,,False
WIS_015,anthropic/claude-sonnet-4,wis,5,SELECT 5,,False
WIS_016,anthropic/claude-sonnet-4,wis,0,AND WOULD FORCE US TO ABANDON A POTENTIALLY BETTER COMBINATION OF MULTIPLE INTERVALS THAT COULD YIELD HIGHER TOTAL WEIGHT WHEN COMBINED WITH THE REMAINING COMPATIBLE INTERVALS.,SELECT 4,False
WIS_016,anthropic/claude-sonnet-4,wis,1,RULE OUT 1,SELECT 5,False
WIS_016,anthropic/claude-sonnet-4,wis,2,RULE OUT 2,,False
WIS_016,anthropic/claude-sonnet-4,wis,3,RULE OUT 3,,False
WIS_016,anthropic/claude-sonnet-4,wis,4,SELECT 4,,False
WIS_016,anthropic/claude-sonnet-4,wis,5,SELECT 5,,False
WIS_017,anthropic/claude-sonnet-4,wis,0,RULE OUT 0,SELECT 4,False
WIS_017,anthropic/claude-sonnet-4,wis,1,RULE OUT 1,SELECT 5,False
WIS_017,anthropic/claude-sonnet-4,wis,2,RULE OUT 2,,False
WIS_017,anthropic/claude-sonnet-4,wis,3,RULE OUT 3,,False
WIS_017,anthropic/claude-sonnet-4,wis,4,SELECT 4,,False
WIS_017,anthropic/claude-sonnet-4,wis,5,SELECT 5,,False
WIS_018,anthropic/claude-sonnet-4,wis,0,"MY FIRST STEP WILL BE TO SORT THE INTERVALS BY THEIR END TIMES AND THEN USE DYNAMIC PROGRAMMING TO BUILD UP THE OPTIMAL SOLUTION. I WON'T MAKE ANY INTERVAL SELECTION WITHOUT FIRST COMPUTING THE OPTIMAL VALUE FOR EACH SUBPROBLEM, AS PREMATURE SELECTION COULD LEAD TO A SUBOPTIMAL SOLUTION.",SELECT 5,False
WIS_018,anthropic/claude-sonnet-4,wis,1,RULE OUT 1,SELECT 1,False
WIS_018,anthropic/claude-sonnet-4,wis,2,RULE OUT 2,,False
WIS_018,anthropic/claude-sonnet-4,wis,3,RULE OUT 3,,False
WIS_018,anthropic/claude-sonnet-4,wis,4,SELECT 4,,False
WIS_018,anthropic/claude-sonnet-4,wis,5,SELECT 5,,False
WIS_019,anthropic/claude-sonnet-4,wis,0,RULE OUT 0,,False
WIS_019,anthropic/claude-sonnet-4,wis,1,RULE OUT 1,,False
WIS_019,anthropic/claude-sonnet-4,wis,2,RULE OUT 2,,False
WIS_019,anthropic/claude-sonnet-4,wis,3,RULE OUT 3,,False
WIS_019,anthropic/claude-sonnet-4,wis,4,SELECT 4,,False
WIS_019,anthropic/claude-sonnet-4,wis,5,SELECT 5,,False
WIS_020,anthropic/claude-sonnet-4,wis,0,"MY FIRST INTERVAL SELECTION WILL BE DETERMINED BY THE DYNAMIC PROGRAMMING RECURRENCE, BUT I WOULD START BY SORTING THE INTERVALS BY END TIME AND THEN WORK BACKWARDS TO DETERMINE WHICH INTERVALS TO INCLUDE IN THE OPTIMAL SOLUTION. THE ALGORITHM WILL COMPARE INCLUDING EACH INTERVAL (PLUS THE OPTIMAL SOLUTION FOR NON-CONFLICTING EARLIER INTERVALS) VERSUS EXCLUDING IT.",SELECT 4,False
WIS_020,anthropic/claude-sonnet-4,wis,1,RULE OUT 1,,False
WIS_020,anthropic/claude-sonnet-4,wis,2,RULE OUT 2,,False
WIS_020,anthropic/claude-sonnet-4,wis,3,RULE OUT 3,,False
WIS_020,anthropic/claude-sonnet-4,wis,4,SELECT 4,,False
WIS_020,anthropic/claude-sonnet-4,wis,5,SELECT 5,,False
SP_037,anthropic/claude-sonnet-4,shortest_path,0,3,1,False
SP_037,anthropic/claude-sonnet-4,shortest_path,1,4,2,False
SP_037,anthropic/claude-sonnet-4,shortest_path,2,6,4,False
SP_038,anthropic/claude-sonnet-4,shortest_path,0,3,1,False
SP_038,anthropic/claude-sonnet-4,shortest_path,1,4,2,False
SP_038,anthropic/claude-sonnet-4,shortest_path,2,8,4,False
SP_039,anthropic/claude-sonnet-4,shortest_path,0,1,1,True
SP_039,anthropic/claude-sonnet-4,shortest_path,1,4,2,False
SP_039,anthropic/claude-sonnet-4,shortest_path,2,8,4,False
SP_040,anthropic/claude-sonnet-4,shortest_path,0,3,1,False
SP_040,anthropic/claude-sonnet-4,shortest_path,1,4,2,False
SP_040,anthropic/claude-sonnet-4,shortest_path,2,7,4,False
SP_042,anthropic/claude-sonnet-4,shortest_path,0,0,2,False
SP_042,anthropic/claude-sonnet-4,shortest_path,1,3,3,True
SP_042,anthropic/claude-sonnet-4,shortest_path,2,8,8,True
SP_044,anthropic/claude-sonnet-4,shortest_path,0,0,2,False
SP_044,anthropic/claude-sonnet-4,shortest_path,1,3,3,True
SP_044,anthropic/claude-sonnet-4,shortest_path,2,6,6,True
SP_045,anthropic/claude-sonnet-4,shortest_path,0,1,2,False
SP_045,anthropic/claude-sonnet-4,shortest_path,1,1,1,True
SP_045,anthropic/claude-sonnet-4,shortest_path,2,6,6,True
SP_046,anthropic/claude-sonnet-4,shortest_path,0,2,2,True
SP_046,anthropic/claude-sonnet-4,shortest_path,1,1,1,True
SP_046,anthropic/claude-sonnet-4,shortest_path,2,7,7,True
SP_047,anthropic/claude-sonnet-4,shortest_path,0,1,2,False
SP_047,anthropic/claude-sonnet-4,shortest_path,1,1,1,True
SP_047,anthropic/claude-sonnet-4,shortest_path,2,6,6,True
SP_048,anthropic/claude-sonnet-4,shortest_path,0,1,2,False
SP_048,anthropic/claude-sonnet-4,shortest_path,1,1,1,True
SP_048,anthropic/claude-sonnet-4,shortest_path,2,7,7,True
SP_062,anthropic/claude-sonnet-4,shortest_path,0,1,1,True
SP_062,anthropic/claude-sonnet-4,shortest_path,1,4,2,False
SP_062,anthropic/claude-sonnet-4,shortest_path,2,6,4,False
SP_063,anthropic/claude-sonnet-4,shortest_path,0,1,1,True
SP_063,anthropic/claude-sonnet-4,shortest_path,1,4,2,False
SP_063,anthropic/claude-sonnet-4,shortest_path,2,8,4,False
SP_064,anthropic/claude-sonnet-4,shortest_path,0,1,1,True
SP_064,anthropic/claude-sonnet-4,shortest_path,1,4,2,False
SP_064,anthropic/claude-sonnet-4,shortest_path,2,6,4,False
SP_065,anthropic/claude-sonnet-4,shortest_path,0,1,1,True
SP_065,anthropic/claude-sonnet-4,shortest_path,1,4,2,False
SP_065,anthropic/claude-sonnet-4,shortest_path,2,6,4,False
SP_066,anthropic/claude-sonnet-4,shortest_path,0,leads to a globally longer path.,2,False
SP_066,anthropic/claude-sonnet-4,shortest_path,1,3,3,True
SP_066,anthropic/claude-sonnet-4,shortest_path,2,6,6,True
SP_068,anthropic/claude-sonnet-4,shortest_path,0,0,1,False
SP_068,anthropic/claude-sonnet-4,shortest_path,1,3,8,False
SP_068,anthropic/claude-sonnet-4,shortest_path,2,8,8,True
SP_069,anthropic/claude-sonnet-4,shortest_path,0,0,2,False
SP_069,anthropic/claude-sonnet-4,shortest_path,1,3,3,True
SP_069,anthropic/claude-sonnet-4,shortest_path,2,7,7,True
SP_070,anthropic/claude-sonnet-4,shortest_path,0,2,2,True
SP_070,anthropic/claude-sonnet-4,shortest_path,1,1,1,True
SP_070,anthropic/claude-sonnet-4,shortest_path,2,6,6,True
SP_071,anthropic/claude-sonnet-4,shortest_path,0,0,2,False
SP_071,anthropic/claude-sonnet-4,shortest_path,1,1,1,True
SP_071,anthropic/claude-sonnet-4,shortest_path,2,8,8,True
SP_072,anthropic/claude-sonnet-4,shortest_path,0,2,2,True
SP_072,anthropic/claude-sonnet-4,shortest_path,1,1,1,True
SP_072,anthropic/claude-sonnet-4,shortest_path,2,6,6,True
SP_073,anthropic/claude-sonnet-4,shortest_path,0,2,2,True
SP_073,anthropic/claude-sonnet-4,shortest_path,1,1,1,True
SP_073,anthropic/claude-sonnet-4,shortest_path,2,7,7,True
WIS_023,anthropic/claude-sonnet-4,wis,0,RULE OUT 0,SELECT 4,False
WIS_023,anthropic/claude-sonnet-4,wis,1,RULE OUT 1,,False
WIS_023,anthropic/claude-sonnet-4,wis,2,RULE OUT 2,,False
WIS_023,anthropic/claude-sonnet-4,wis,3,SELECT 3,,False
WIS_023,anthropic/claude-sonnet-4,wis,4,SELECT 4,,False
WIS_024,anthropic/claude-sonnet-4,wis,0,"MY FIRST STEP WILL BE TO SORT THE INTERVALS BY THEIR END TIMES, WHICH GIVES ME THE ORDER: 0, 1, 2, 3, 4, 5, THEN I'LL WORK BACKWARDS FROM THE LAST INTERVAL TO BUILD UP THE OPTIMAL SOLUTION USING DYNAMIC PROGRAMMING RATHER THAN MAKING ANY SINGLE ""FIRST"" SELECTION.",SELECT 5,False
WIS_024,anthropic/claude-sonnet-4,wis,1,RULE OUT 1,,False
WIS_024,anthropic/claude-sonnet-4,wis,2,RULE OUT 2,,False
WIS_024,anthropic/claude-sonnet-4,wis,3,RULE OUT 3,,False
WIS_024,anthropic/claude-sonnet-4,wis,4,SELECT 4,,False
WIS_024,anthropic/claude-sonnet-4,wis,5,SELECT 5,,False
WIS_025,anthropic/claude-sonnet-4,wis,0,RULE OUT 0,SELECT 3,False
WIS_025,anthropic/claude-sonnet-4,wis,1,RULE OUT 1,SELECT 4,False
WIS_025,anthropic/claude-sonnet-4,wis,2,RULE OUT 2,,False
WIS_025,anthropic/claude-sonnet-4,wis,3,SELECT 3,,False
WIS_025,anthropic/claude-sonnet-4,wis,4,SELECT 4,,False
WIS_026,anthropic/claude-sonnet-4,wis,0,"MY FIRST STEP WILL BE TO SORT THE INTERVALS BY THEIR END TIMES, THEN USE DYNAMIC PROGRAMMING TO BUILD UP THE SOLUTION. I WON'T MAKE ANY INTERVAL SELECTION UNTIL I'VE COMPUTED THE OPTIMAL VALUE FOR EACH SUBPROBLEM, STARTING FROM THE EARLIEST-ENDING INTERVALS AND WORKING FORWARD.",SELECT 5,False
WIS_026,anthropic/claude-sonnet-4,wis,1,RULE OUT 1,,False
WIS_026,anthropic/claude-sonnet-4,wis,2,RULE OUT 2,,False
WIS_026,anthropic/claude-sonnet-4,wis,3,RULE OUT 3,,False
WIS_026,anthropic/claude-sonnet-4,wis,4,SELECT 4,,False
WIS_026,anthropic/claude-sonnet-4,wis,5,SELECT 5,,False
WIS_027,anthropic/claude-sonnet-4,wis,0,RULE OUT 0,SELECT 5,False
WIS_027,anthropic/claude-sonnet-4,wis,1,RULE OUT 1,SELECT 1,False
WIS_027,anthropic/claude-sonnet-4,wis,2,RULE OUT 2,,False
WIS_027,anthropic/claude-sonnet-4,wis,3,RULE OUT 3,,False
WIS_027,anthropic/claude-sonnet-4,wis,4,SELECT 4,,False
WIS_027,anthropic/claude-sonnet-4,wis,5,SELECT 5,,False
WIS_028,anthropic/claude-sonnet-4,wis,0,SELECT 3,SELECT 3,True
WIS_028,anthropic/claude-sonnet-4,wis,1,RULE OUT 1,SELECT 4,False
WIS_028,anthropic/claude-sonnet-4,wis,2,RULE OUT 2,,False
WIS_028,anthropic/claude-sonnet-4,wis,3,SELECT 3,,False
WIS_028,anthropic/claude-sonnet-4,wis,4,SELECT 4,,False
WIS_029,anthropic/claude-sonnet-4,wis,0,"MY FIRST STEP WILL BE TO SORT THE INTERVALS BY THEIR END TIMES AND THEN USE DYNAMIC PROGRAMMING TO BUILD UP OPTIMAL SOLUTIONS. I WON'T MAKE ANY GREEDY FIRST SELECTION, BUT INSTEAD WILL SYSTEMATICALLY EVALUATE WHETHER EACH INTERVAL SHOULD BE INCLUDED BY COMPARING THE WEIGHT GAINED FROM INCLUDING IT PLUS THE OPTIMAL SOLUTION FROM NON-CONFLICTING PREVIOUS INTERVALS VERSUS THE OPTIMAL SOLUTION WITHOUT INCLUDING IT.",SELECT 4,False
WIS_029,anthropic/claude-sonnet-4,wis,1,RULE OUT 1,SELECT 5,False
WIS_029,anthropic/claude-sonnet-4,wis,2,RULE OUT 2,,False
WIS_029,anthropic/claude-sonnet-4,wis,3,RULE OUT 3,,False
WIS_029,anthropic/claude-sonnet-4,wis,4,SELECT 4,,False
WIS_029,anthropic/claude-sonnet-4,wis,5,SELECT 5,,False
CC_01,openai/gpt-4o,coin_change,0,4,3,False
CC_01,openai/gpt-4o,coin_change,1,3,,False
CC_02,openai/gpt-4o,coin_change,0,9,6,False
CC_02,openai/gpt-4o,coin_change,1,6,5,False
CC_03,openai/gpt-4o,coin_change,0,My first coin choice will ideally be the coin that contributes most effectively towards reducing the remainder without overlooking smaller denominations that could combine to minimize the total number of coins used; I would likely start by considering combinations of smaller denominations that can sum to the target value.,7,False
CC_03,openai/gpt-4o,coin_change,1,7,,False
CC_04,openai/gpt-4o,coin_change,0,27,17,False
CC_04,openai/gpt-4o,coin_change,1,10,,False
CC_05,openai/gpt-4o,coin_change,0,11,7,False
CC_05,openai/gpt-4o,coin_change,1,7,7,True
CC_06,openai/gpt-4o,coin_change,0,15,15,True
CC_06,openai/gpt-4o,coin_change,1,7,1,False
CC_06,openai/gpt-4o,coin_change,2,7,,False
CC_07,openai/gpt-4o,coin_change,0,8,9,False
CC_07,openai/gpt-4o,coin_change,1,4,1,False
CC_08,openai/gpt-4o,coin_change,0,25,25,True
CC_08,openai/gpt-4o,coin_change,1,15,,False
CC_09,openai/gpt-4o,coin_change,0,197,197,True
CC_09,openai/gpt-4o,coin_change,1,197,11,False
CC_09,openai/gpt-4o,coin_change,2,11,7,False
CC_09,openai/gpt-4o,coin_change,3,11,,False
CC_09,openai/gpt-4o,coin_change,4,7,,False
CC_10,openai/gpt-4o,coin_change,0,201,197,False
CC_10,openai/gpt-4o,coin_change,1,201,197,False
CC_10,openai/gpt-4o,coin_change,2,201,31,False
CC_10,openai/gpt-4o,coin_change,3,197,,False
CC_10,openai/gpt-4o,coin_change,4,67,,False
CC_10,openai/gpt-4o,coin_change,5,67,,False
CC_10,openai/gpt-4o,coin_change,6,31,,False
SP_003,openai/gpt-4o,shortest_path,0,11,18,False
SP_003,openai/gpt-4o,shortest_path,1,10,19,False
SP_003,openai/gpt-4o,shortest_path,2,2,1,False
SP_003,openai/gpt-4o,shortest_path,3,3,16,False
SP_003,openai/gpt-4o,shortest_path,4,9,4,False
SP_004,openai/gpt-4o,shortest_path,0,5,1,False
SP_004,openai/gpt-4o,shortest_path,1,6,5,False
SP_004,openai/gpt-4o,shortest_path,2,4,9,False
SP_004,openai/gpt-4o,shortest_path,3,5,5,True
SP_004,openai/gpt-4o,shortest_path,4,9,5,False
SP_005,openai/gpt-4o,shortest_path,0,4,5,False
SP_005,openai/gpt-4o,shortest_path,1,9,6,False
SP_005,openai/gpt-4o,shortest_path,2,11,10,False
SP_005,openai/gpt-4o,shortest_path,3,14,12,False
SP_005,openai/gpt-4o,shortest_path,4,15,,False
WIS_003,openai/gpt-4o,wis,0,SELECT 0,SELECT 0,True
WIS_003,openai/gpt-4o,wis,1,SELECT 1,SELECT 12,False
WIS_003,openai/gpt-4o,wis,2,SELECT 2,SELECT 5,False
WIS_003,openai/gpt-4o,wis,3,SELECT 3,,False
WIS_003,openai/gpt-4o,wis,4,SELECT 4,,False
WIS_003,openai/gpt-4o,wis,5,RULE OUT 5,,False
WIS_003,openai/gpt-4o,wis,6,RULE OUT 6,,False
WIS_003,openai/gpt-4o,wis,7,RULE OUT 7,,False
WIS_003,openai/gpt-4o,wis,8,RULE OUT 8,,False
WIS_003,openai/gpt-4o,wis,9,RULE OUT 9,,False
WIS_003,openai/gpt-4o,wis,10,SELECT 10,,False
WIS_003,openai/gpt-4o,wis,11,SELECT 11,,False
WIS_003,openai/gpt-4o,wis,12,RULE OUT 12,,False
WIS_003,openai/gpt-4o,wis,13,SELECT 13,,False
WIS_004,openai/gpt-4o,wis,0,SELECT 3,SELECT 9,False
WIS_004,openai/gpt-4o,wis,1,SELECT 1,,False
WIS_004,openai/gpt-4o,wis,2,RULE OUT 2,,False
WIS_004,openai/gpt-4o,wis,3,SELECT 3,,False
WIS_004,openai/gpt-4o,wis,4,RULE OUT 4,,False
WIS_004,openai/gpt-4o,wis,5,RULE OUT 5,,False
WIS_004,openai/gpt-4o,wis,6,SELECT 6,,False
WIS_004,openai/gpt-4o,wis,7,RULE OUT 7,,False
WIS_004,openai/gpt-4o,wis,8,RULE OUT 8,,False
WIS_004,openai/gpt-4o,wis,9,SELECT 9,,False
WIS_004,openai/gpt-4o,wis,10,RULE OUT 10,,False
WIS_004,openai/gpt-4o,wis,11,SELECT 11,,False
WIS_004,openai/gpt-4o,wis,12,SELECT 12,,False
WIS_004,openai/gpt-4o,wis,13,RULE OUT 13,,False
WIS_004,openai/gpt-4o,wis,14,RULE OUT 14,,False
WIS_004,openai/gpt-4o,wis,15,RULE OUT 15,,False
SP_019,openai/gpt-4o,shortest_path,0,1,1,True
SP_019,openai/gpt-4o,shortest_path,1,4,2,False
SP_019,openai/gpt-4o,shortest_path,2,6,4,False
SP_020,openai/gpt-4o,shortest_path,0,0,1,False
SP_020,openai/gpt-4o,shortest_path,1,4,2,False
SP_020,openai/gpt-4o,shortest_path,2,5,4,False
SP_021,openai/gpt-4o,shortest_path,0,1,3,False
SP_021,openai/gpt-4o,shortest_path,1,4,4,True
SP_021,openai/gpt-4o,shortest_path,2,8,8,True
SP_023,openai/gpt-4o,shortest_path,0,2,2,True
SP_023,openai/gpt-4o,shortest_path,1,3,3,True
SP_023,openai/gpt-4o,shortest_path,2,5,5,True
SP_024,openai/gpt-4o,shortest_path,0,0,2,False
SP_024,openai/gpt-4o,shortest_path,1,3,3,True
SP_024,openai/gpt-4o,shortest_path,2,7,7,True
SP_026,openai/gpt-4o,shortest_path,0,8,2,False
SP_026,openai/gpt-4o,shortest_path,1,3,3,True
SP_026,openai/gpt-4o,shortest_path,2,8,8,True
SP_027,openai/gpt-4o,shortest_path,0,0,2,False
SP_027,openai/gpt-4o,shortest_path,1,1,1,True
SP_027,openai/gpt-4o,shortest_path,2,6,6,True
SP_028,openai/gpt-4o,shortest_path,0,2,2,True
SP_028,openai/gpt-4o,shortest_path,1,1,1,True
SP_028,openai/gpt-4o,shortest_path,2,7,7,True
SP_029,openai/gpt-4o,shortest_path,0,0,1,False
SP_029,openai/gpt-4o,shortest_path,1,1,7,False
SP_029,openai/gpt-4o,shortest_path,2,7,,False
SP_030,openai/gpt-4o,shortest_path,0,2,1,False
SP_030,openai/gpt-4o,shortest_path,1,1,7,False
SP_030,openai/gpt-4o,shortest_path,2,7,7,True
WIS_013,openai/gpt-4o,wis,0,RULE OUT 0,SELECT 5,False
WIS_013,openai/gpt-4o,wis,1,RULE OUT 1,,False
WIS_013,openai/gpt-4o,wis,2,RULE OUT 2,,False
WIS_013,openai/gpt-4o,wis,3,RULE OUT 3,,False
WIS_013,openai/gpt-4o,wis,4,SELECT 4,,False
WIS_013,openai/gpt-4o,wis,5,SELECT 5,,False
WIS_014,openai/gpt-4o,wis,0,SELECT 0,SELECT 4,False
WIS_014,openai/gpt-4o,wis,1,RULE OUT 1,SELECT 5,False
