family,problem_id,model,model_short,subtype,tep,cci,final_ok,inject_at_step,instance_type,tep_inclusive,first_response_class,session_status,tep_valid,final_ok_defined,quality_flag,dissoc_label
GSM,GSM_043,anthropic/claude-sonnet-4,Claude,,1.0,0.0,True,1,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_044,anthropic/claude-sonnet-4,Claude,,1.0,0.0,True,1,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_045,anthropic/claude-sonnet-4,Claude,,0.3333,0.4,True,2,,,,,True,True,analysis_ready,aligned_low_tep_correct_final
GSM,GSM_046,anthropic/claude-sonnet-4,Claude,,0.0,0.3333,True,1,,,,,True,True,analysis_ready,aligned_low_tep_correct_final
GSM,GSM_047,anthropic/claude-sonnet-4,Claude,,1.0,0.3333,True,3,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_048,anthropic/claude-sonnet-4,Claude,,0.3333,0.0,True,2,,,,,True,True,analysis_ready,aligned_low_tep_correct_final
GSM,GSM_049,anthropic/claude-sonnet-4,Claude,,1.0,0.0,True,4,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_050,anthropic/claude-sonnet-4,Claude,,0.0,0.0,True,2,,,,,True,True,analysis_ready,aligned_low_tep_correct_final
GSM,GSM_051,anthropic/claude-sonnet-4,Claude,,0.5,0.0,True,2,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_052,anthropic/claude-sonnet-4,Claude,,1.0,0.1429,False,3,,,,,True,True,analysis_ready,aligned_high_tep_wrong_final
GSM,GSM_053,anthropic/claude-sonnet-4,Claude,,0.75,0.25,True,8,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_054,anthropic/claude-sonnet-4,Claude,,0.0,0.2,True,2,,,,,True,True,analysis_ready,aligned_low_tep_correct_final
GSM,GSM_055,anthropic/claude-sonnet-4,Claude,,0.5,0.0,True,3,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_056,anthropic/claude-sonnet-4,Claude,,1.0,0.2222,True,4,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_057,anthropic/claude-sonnet-4,Claude,,0.0,0.3636,True,5,,,,,True,True,analysis_ready,aligned_low_tep_correct_final
GSM,GSM_058,anthropic/claude-sonnet-4,Claude,,0.0,0.1429,True,3,,,,,True,True,analysis_ready,aligned_low_tep_correct_final
GSM,GSM_059,anthropic/claude-sonnet-4,Claude,,0.75,0.25,True,4,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_060,anthropic/claude-sonnet-4,Claude,,0.75,0.2857,False,3,,,,,True,True,analysis_ready,aligned_high_tep_wrong_final
GSM,GSM_061,anthropic/claude-sonnet-4,Claude,,1.0,0.125,True,4,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_062,anthropic/claude-sonnet-4,Claude,,0.0,0.0,False,1,,,,,True,True,analysis_ready,dissociated_low_tep_wrong_final
GSM,GSM_063,anthropic/claude-sonnet-4,Claude,,0.0,0.0,True,1,,,,,True,True,analysis_ready,aligned_low_tep_correct_final
GSM,GSM_064,anthropic/claude-sonnet-4,Claude,,0.0,0.75,True,2,,,,,True,True,analysis_ready,aligned_low_tep_correct_final
GSM,GSM_001,openai/gpt-4o,GPT-4o,,0.0,0.0,False,1,,,,,True,True,analysis_ready,dissociated_low_tep_wrong_final
GSM,GSM_002,openai/gpt-4o,GPT-4o,,0.0,0.0,True,1,,,,,True,True,analysis_ready,aligned_low_tep_correct_final
GSM,GSM_003,openai/gpt-4o,GPT-4o,,0.5,0.5,True,2,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_004,openai/gpt-4o,GPT-4o,,0.0,0.1429,True,3,,,,,True,True,analysis_ready,aligned_low_tep_correct_final
GSM,GSM_005,openai/gpt-4o,GPT-4o,,1.0,0.0,True,1,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_006,openai/gpt-4o,GPT-4o,,0.0,0.1,False,5,,,,,True,True,analysis_ready,dissociated_low_tep_wrong_final
GSM,GSM_007,openai/gpt-4o,GPT-4o,,1.0,0.0,False,1,,,,,True,True,analysis_ready,aligned_high_tep_wrong_final
GSM,GSM_008,openai/gpt-4o,GPT-4o,,1.0,0.3333,True,3,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_009,openai/gpt-4o,GPT-4o,,0.5,0.0,True,5,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_010,openai/gpt-4o,GPT-4o,,0.0,0.1667,True,3,,,,,True,True,analysis_ready,aligned_low_tep_correct_final
GSM,GSM_011,openai/gpt-4o,GPT-4o,,1.0,0.0,True,1,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_012,openai/gpt-4o,GPT-4o,,0.0,0.0,True,1,,,,,True,True,analysis_ready,aligned_low_tep_correct_final
GSM,GSM_013,openai/gpt-4o,GPT-4o,,1.0,0.0,True,2,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_014,openai/gpt-4o,GPT-4o,,1.0,0.0,True,1,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_015,openai/gpt-4o,GPT-4o,,0.0,0.0,False,1,,,,,True,True,analysis_ready,dissociated_low_tep_wrong_final
GSM,GSM_016,openai/gpt-4o,GPT-4o,,0.5,0.5714,False,3,,,,,True,True,analysis_ready,aligned_high_tep_wrong_final
GSM,GSM_017,openai/gpt-4o,GPT-4o,,1.0,0.0,True,1,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_018,openai/gpt-4o,GPT-4o,,1.0,0.0,True,9,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_019,openai/gpt-4o,GPT-4o,,1.0,0.5,True,4,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_020,openai/gpt-4o,GPT-4o,,0.75,0.1429,True,3,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_041,openai/gpt-4o,GPT-4o,,1.0,0.0,True,1,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_042,openai/gpt-4o,GPT-4o,,0.0,0.0,True,1,,,,,True,True,analysis_ready,aligned_low_tep_correct_final
GSM,GSM_043,openai/gpt-4o,GPT-4o,,1.0,0.0,True,1,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_044,openai/gpt-4o,GPT-4o,,1.0,0.0,True,1,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_045,openai/gpt-4o,GPT-4o,,0.5,0.3333,True,1,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_046,openai/gpt-4o,GPT-4o,,0.5,0.0,True,1,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_047,openai/gpt-4o,GPT-4o,,1.0,0.3333,True,3,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_048,openai/gpt-4o,GPT-4o,,0.0,0.0,False,1,,,,,True,True,analysis_ready,dissociated_low_tep_wrong_final
GSM,GSM_049,openai/gpt-4o,GPT-4o,,0.25,0.1429,False,3,,,,,True,True,analysis_ready,dissociated_low_tep_wrong_final
GSM,GSM_050,openai/gpt-4o,GPT-4o,,1.0,0.5,True,3,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_051,openai/gpt-4o,GPT-4o,,1.0,0.4,True,2,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_052,openai/gpt-4o,GPT-4o,,0.6667,0.2,False,2,,,,,True,True,analysis_ready,aligned_high_tep_wrong_final
GSM,GSM_053,openai/gpt-4o,GPT-4o,,1.0,0.0,True,2,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_054,openai/gpt-4o,GPT-4o,,1.0,0.0,False,1,,,,,True,True,analysis_ready,aligned_high_tep_wrong_final
GSM,GSM_055,openai/gpt-4o,GPT-4o,,1.0,0.0,False,1,,,,,True,True,analysis_ready,aligned_high_tep_wrong_final
GSM,GSM_056,openai/gpt-4o,GPT-4o,,1.0,0.0,True,1,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_057,openai/gpt-4o,GPT-4o,,1.0,0.0,True,1,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_058,openai/gpt-4o,GPT-4o,,0.0,0.0,False,1,,,,,True,True,analysis_ready,dissociated_low_tep_wrong_final
GSM,GSM_059,openai/gpt-4o,GPT-4o,,1.0,0.0,True,1,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_060,openai/gpt-4o,GPT-4o,,0.0,0.0,False,1,,,,,True,True,analysis_ready,dissociated_low_tep_wrong_final
GSM,GSM_061,openai/gpt-4o,GPT-4o,,0.6667,0.4,True,2,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_062,openai/gpt-4o,GPT-4o,,0.0,0.0,False,1,,,,,True,True,analysis_ready,dissociated_low_tep_wrong_final
GSM,GSM_063,openai/gpt-4o,GPT-4o,,0.0,0.0,True,2,,,,,True,True,analysis_ready,aligned_low_tep_correct_final
GSM,GSM_064,openai/gpt-4o,GPT-4o,,0.5,0.0,True,1,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_001,meta-llama/llama-3.1-8b-instruct,Llama,,0.0,0.0,True,1,,,,,True,True,analysis_ready,aligned_low_tep_correct_final
GSM,GSM_002,meta-llama/llama-3.1-8b-instruct,Llama,,1.0,0.0,False,1,,,,,True,True,analysis_ready,aligned_high_tep_wrong_final
GSM,GSM_003,meta-llama/llama-3.1-8b-instruct,Llama,,1.0,0.2,True,2,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_004,meta-llama/llama-3.1-8b-instruct,Llama,,1.0,0.5,False,1,,,,,True,True,analysis_ready,aligned_high_tep_wrong_final
GSM,GSM_005,meta-llama/llama-3.1-8b-instruct,Llama,,1.0,0.1667,False,3,,,,,True,True,analysis_ready,aligned_high_tep_wrong_final
GSM,GSM_006,meta-llama/llama-3.1-8b-instruct,Llama,,1.0,0.25,False,2,,,,,True,True,analysis_ready,aligned_high_tep_wrong_final
GSM,GSM_007,meta-llama/llama-3.1-8b-instruct,Llama,,0.0,0.0,False,1,,,,,True,True,analysis_ready,dissociated_low_tep_wrong_final
GSM,GSM_008,meta-llama/llama-3.1-8b-instruct,Llama,,1.0,0.0,True,1,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_009,meta-llama/llama-3.1-8b-instruct,Llama,,1.0,0.5,True,2,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_010,meta-llama/llama-3.1-8b-instruct,Llama,,1.0,0.2222,True,4,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_011,meta-llama/llama-3.1-8b-instruct,Llama,,1.0,0.6,True,2,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_012,meta-llama/llama-3.1-8b-instruct,Llama,,1.0,0.2,True,2,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_013,meta-llama/llama-3.1-8b-instruct,Llama,,1.0,0.0,False,3,,,,,True,True,analysis_ready,aligned_high_tep_wrong_final
GSM,GSM_014,meta-llama/llama-3.1-8b-instruct,Llama,,1.0,0.25,False,2,,,,,True,True,analysis_ready,aligned_high_tep_wrong_final
GSM,GSM_015,meta-llama/llama-3.1-8b-instruct,Llama,,0.0,0.3333,False,1,,,,,True,True,analysis_ready,dissociated_low_tep_wrong_final
GSM,GSM_016,meta-llama/llama-3.1-8b-instruct,Llama,,0.8333,0.1818,True,5,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_017,meta-llama/llama-3.1-8b-instruct,Llama,,0.0,0.0,False,10,,,,,True,True,analysis_ready,dissociated_low_tep_wrong_final
GSM,GSM_018,meta-llama/llama-3.1-8b-instruct,Llama,,1.0,0.0,True,1,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_019,meta-llama/llama-3.1-8b-instruct,Llama,,0.0,0.0,False,10,,,,,True,True,analysis_ready,dissociated_low_tep_wrong_final
GSM,GSM_020,meta-llama/llama-3.1-8b-instruct,Llama,,1.0,0.3333,False,4,,,,,True,True,analysis_ready,aligned_high_tep_wrong_final
GSM,GSM_041,meta-llama/llama-3.1-8b-instruct,Llama,,1.0,0.0,True,3,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_042,meta-llama/llama-3.1-8b-instruct,Llama,,1.0,0.25,False,2,,,,,True,True,analysis_ready,aligned_high_tep_wrong_final
GSM,GSM_043,meta-llama/llama-3.1-8b-instruct,Llama,,1.0,0.0,True,1,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_044,meta-llama/llama-3.1-8b-instruct,Llama,,1.0,0.0,True,1,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_045,meta-llama/llama-3.1-8b-instruct,Llama,,1.0,0.75,True,2,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_046,meta-llama/llama-3.1-8b-instruct,Llama,,1.0,0.1667,False,3,,,,,True,True,analysis_ready,aligned_high_tep_wrong_final
GSM,GSM_047,meta-llama/llama-3.1-8b-instruct,Llama,,1.0,0.0,True,1,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_048,meta-llama/llama-3.1-8b-instruct,Llama,,1.0,0.0,False,1,,,,,True,True,analysis_ready,aligned_high_tep_wrong_final
GSM,GSM_049,meta-llama/llama-3.1-8b-instruct,Llama,,1.0,0.0,False,1,,,,,True,True,analysis_ready,aligned_high_tep_wrong_final
GSM,GSM_050,meta-llama/llama-3.1-8b-instruct,Llama,,1.0,0.0,True,3,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_051,meta-llama/llama-3.1-8b-instruct,Llama,,1.0,0.0,False,1,,,,,True,True,analysis_ready,aligned_high_tep_wrong_final
GSM,GSM_052,meta-llama/llama-3.1-8b-instruct,Llama,,1.0,0.0,False,1,,,,,True,True,analysis_ready,aligned_high_tep_wrong_final
GSM,GSM_053,meta-llama/llama-3.1-8b-instruct,Llama,,0.0,0.0,True,1,,,,,True,True,analysis_ready,aligned_low_tep_correct_final
GSM,GSM_054,meta-llama/llama-3.1-8b-instruct,Llama,,0.0,0.0,False,1,,,,,True,True,analysis_ready,dissociated_low_tep_wrong_final
GSM,GSM_055,meta-llama/llama-3.1-8b-instruct,Llama,,1.0,0.2857,True,3,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_056,meta-llama/llama-3.1-8b-instruct,Llama,,0.6667,0.0,False,2,,,,,True,True,analysis_ready,aligned_high_tep_wrong_final
GSM,GSM_057,meta-llama/llama-3.1-8b-instruct,Llama,,1.0,0.0,True,1,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_058,meta-llama/llama-3.1-8b-instruct,Llama,,0.0,1.0,False,1,,,,,True,True,analysis_ready,dissociated_low_tep_wrong_final
GSM,GSM_059,meta-llama/llama-3.1-8b-instruct,Llama,,0.5,0.6667,False,1,,,,,True,True,analysis_ready,aligned_high_tep_wrong_final
GSM,GSM_060,meta-llama/llama-3.1-8b-instruct,Llama,,0.0,0.0018,False,271,,,,,True,True,analysis_ready,dissociated_low_tep_wrong_final
GSM,GSM_061,meta-llama/llama-3.1-8b-instruct,Llama,,1.0,0.0,True,1,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_062,meta-llama/llama-3.1-8b-instruct,Llama,,1.0,0.0,False,1,,,,,True,True,analysis_ready,aligned_high_tep_wrong_final
GSM,GSM_063,meta-llama/llama-3.1-8b-instruct,Llama,,1.0,0.5,False,1,,,,,True,True,analysis_ready,aligned_high_tep_wrong_final
GSM,GSM_064,meta-llama/llama-3.1-8b-instruct,Llama,,1.0,0.0,True,1,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_001,google/gemini-2.5-flash,Gemini,,0.5,0.25,True,2,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_002,google/gemini-2.5-flash,Gemini,,0.0,0.5,True,1,,,,,True,True,analysis_ready,aligned_low_tep_correct_final
GSM,GSM_003,google/gemini-2.5-flash,Gemini,,0.3333,0.4,True,2,,,,,True,True,analysis_ready,aligned_low_tep_correct_final
GSM,GSM_004,google/gemini-2.5-flash,Gemini,,0.5,0.3333,True,1,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_005,google/gemini-2.5-flash,Gemini,,0.0,0.0,False,1,,,,,True,True,analysis_ready,dissociated_low_tep_wrong_final
GSM,GSM_006,google/gemini-2.5-flash,Gemini,,1.0,0.0,True,2,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_007,google/gemini-2.5-flash,Gemini,,0.3333,0.2,True,2,,,,,True,True,analysis_ready,aligned_low_tep_correct_final
GSM,GSM_008,google/gemini-2.5-flash,Gemini,,1.0,0.125,True,4,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_009,google/gemini-2.5-flash,Gemini,,0.3333,0.2,True,2,,,,,True,True,analysis_ready,aligned_low_tep_correct_final
GSM,GSM_010,google/gemini-2.5-flash,Gemini,,1.0,0.1667,True,3,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_011,google/gemini-2.5-flash,Gemini,,0.6667,0.4,True,2,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_012,google/gemini-2.5-flash,Gemini,,1.0,0.0,True,2,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_013,google/gemini-2.5-flash,Gemini,,1.0,0.0,False,1,,,,,True,True,analysis_ready,aligned_high_tep_wrong_final
GSM,GSM_014,google/gemini-2.5-flash,Gemini,,0.3333,0.0,True,3,,,,,True,True,analysis_ready,aligned_low_tep_correct_final
GSM,GSM_015,google/gemini-2.5-flash,Gemini,,0.6667,0.2727,True,5,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_016,google/gemini-2.5-flash,Gemini,,1.0,0.1818,True,5,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_017,google/gemini-2.5-flash,Gemini,,0.9,0.1579,True,9,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_018,google/gemini-2.5-flash,Gemini,,0.8333,0.2727,True,5,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_019,google/gemini-2.5-flash,Gemini,,1.0,0.3333,True,4,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_020,google/gemini-2.5-flash,Gemini,,1.0,0.1111,True,4,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_041,google/gemini-2.5-flash,Gemini,,1.0,0.3333,True,3,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_042,google/gemini-2.5-flash,Gemini,,0.5,0.5,True,2,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_043,google/gemini-2.5-flash,Gemini,,0.0,1.0,True,1,,,,,True,True,analysis_ready,aligned_low_tep_correct_final
GSM,GSM_044,google/gemini-2.5-flash,Gemini,,1.0,0.3333,True,1,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_045,google/gemini-2.5-flash,Gemini,,0.0,0.5,True,2,,,,,True,True,analysis_ready,aligned_low_tep_correct_final
GSM,GSM_046,google/gemini-2.5-flash,Gemini,,0.5,0.6667,True,1,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_047,google/gemini-2.5-flash,Gemini,,1.0,0.3333,True,3,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_048,google/gemini-2.5-flash,Gemini,,1.0,0.1667,True,3,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_049,google/gemini-2.5-flash,Gemini,,1.0,0.3333,True,4,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_050,google/gemini-2.5-flash,Gemini,,0.5,0.4286,True,3,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_051,google/gemini-2.5-flash,Gemini,,0.5,0.25,True,2,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_052,google/gemini-2.5-flash,Gemini,,0.0,0.0,True,1,,,,,True,True,analysis_ready,aligned_low_tep_correct_final
GSM,GSM_053,google/gemini-2.5-flash,Gemini,,1.0,0.0,True,6,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_054,google/gemini-2.5-flash,Gemini,,1.0,0.0,False,3,,,,,True,True,analysis_ready,aligned_high_tep_wrong_final
GSM,GSM_055,google/gemini-2.5-flash,Gemini,,0.5,0.1429,False,3,,,,,True,True,analysis_ready,aligned_high_tep_wrong_final
GSM,GSM_056,google/gemini-2.5-flash,Gemini,,0.6,0.4444,True,4,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_057,google/gemini-2.5-flash,Gemini,,0.6667,0.7273,True,5,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_058,google/gemini-2.5-flash,Gemini,,0.0,0.2857,True,3,,,,,True,True,analysis_ready,aligned_low_tep_correct_final
GSM,GSM_059,google/gemini-2.5-flash,Gemini,,1.0,0.0,True,2,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_060,google/gemini-2.5-flash,Gemini,,1.0,0.25,False,4,,,,,True,True,analysis_ready,aligned_high_tep_wrong_final
GSM,GSM_061,google/gemini-2.5-flash,Gemini,,1.0,0.4,True,2,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_062,google/gemini-2.5-flash,Gemini,,0.0,0.2,True,2,,,,,True,True,analysis_ready,aligned_low_tep_correct_final
GSM,GSM_063,google/gemini-2.5-flash,Gemini,,0.5,0.0,True,2,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_064,google/gemini-2.5-flash,Gemini,,1.0,0.6667,True,1,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_001,openai/o4-mini,o4-mini,,1.0,0.0,True,2,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_002,openai/o4-mini,o4-mini,,1.0,0.0,False,1,,,,,True,True,analysis_ready,aligned_high_tep_wrong_final
GSM,GSM_003,openai/o4-mini,o4-mini,,1.0,0.0,True,2,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_004,openai/o4-mini,o4-mini,,1.0,0.3333,True,1,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_005,openai/o4-mini,o4-mini,,1.0,0.1429,True,3,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_006,openai/o4-mini,o4-mini,,0.6667,0.0,True,2,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_007,openai/o4-mini,o4-mini,,0.6667,0.2,True,2,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_008,openai/o4-mini,o4-mini,,1.0,0.0,True,3,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_009,openai/o4-mini,o4-mini,,0.5,0.75,True,2,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_010,openai/o4-mini,o4-mini,,1.0,0.0,True,4,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_011,openai/o4-mini,o4-mini,,1.0,0.3333,True,3,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_012,openai/o4-mini,o4-mini,,1.0,0.75,True,2,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_013,openai/o4-mini,o4-mini,,0.0,0.75,True,2,,,,,True,True,analysis_ready,aligned_low_tep_correct_final
GSM,GSM_014,openai/o4-mini,o4-mini,,0.3333,0.2,True,2,,,,,True,True,analysis_ready,aligned_low_tep_correct_final
