problem_id,model,difficulty,contamination_pole,session_status,goal_reached,executed_length,illegal_action_count,skip_count,first_illegal_step,partial_goal_achievement,goals_met,executed_steps_json,parser_classifications_json,preamble_lines,remapped_lines,canonical_lines,unparseable_lines,cci,matched_steps,total_steps_compared,generated_plan_length
MBW_496,anthropic/claude-sonnet-4,hard,high,complete,False,50,47,0,1,0.0,0,"[""attack a"", ""feast a c"", ""attack a"", ""feast a c"", ""attack a"", ""feast a c"", ""attack a"", ""feast a c"", ""attack a"", ""feast a c"", ""attack a"", ""feast a c"", ""attack a"", ""feast a c"", ""attack a"", ""feast a c"", ""attack a"", ""overcome a c"", ""feast a c"", ""attack a"", ""feast a c"", ""attack a"", ""feast a c"", ""attack a"", ""feast a c"", ""attack a"", ""feast a c"", ""attack a"", ""feast a c"", ""attack a"", ""feast a c"", ""attack a"", ""feast a c"", ""attack a"", ""feast a c"", ""attack a"", ""feast a c"", ""attack a"", ""feast a c"", ""attack a"", ""feast a c"", ""attack a"", ""feast a c"", ""attack a"", ""feast a c"", ""attack a"", ""feast a c"", ""attack a"", ""feast a c"", ""attack a""]","{""canonical"": 50}",0,0,50,0,0.0556,1,18,18
MBW_497,anthropic/claude-sonnet-4,hard,high,aborted: planning_loop,False,8,0,0,,0.0,0,"[""attack a"", ""succumb a"", ""attack a"", ""succumb a"", ""attack a"", ""succumb a"", ""attack a"", ""succumb a""]","{""canonical"": 8}",0,0,8,0,,0,0,18
MBW_498,anthropic/claude-sonnet-4,hard,high,complete,False,50,48,0,2,0.0,0,"[""attack a"", ""overcome a b"", ""feast a h"", ""attack b"", ""feast a h"", ""attack b"", ""feast a h"", ""attack b"", ""feast a h"", ""attack b"", ""feast a h"", ""attack b"", ""feast a h"", ""attack b"", ""succumb a"", ""attack b"", ""feast a h"", ""attack b"", ""succumb a"", ""attack b"", ""feast a h"", ""attack a"", ""feast a h"", ""attack b"", ""feast a h"", ""attack b"", ""feast a h"", ""attack b"", ""succumb a"", ""attack a"", ""feast a h"", ""attack b"", ""feast a h"", ""attack b"", ""feast a h"", ""attack b"", ""feast a h"", ""attack b"", ""feast a h"", ""attack b"", ""feast a h"", ""attack b"", ""feast a h"", ""attack b"", ""feast a h"", ""attack b"", ""feast a h"", ""attack b"", ""feast a h"", ""attack b""]","{""canonical"": 50}",0,0,50,0,0.0,0,22,22
MBW_499,anthropic/claude-sonnet-4,hard,high,complete,False,50,47,0,2,0.0,0,"[""attack a"", ""overcome a b"", ""feast a h"", ""attack h"", ""overcome a h"", ""feast a h"", ""overcome a h"", ""feast a h"", ""overcome a h"", ""feast a h"", ""overcome a h"", ""feast a h"", ""overcome a h"", ""feast a h"", ""overcome a h"", ""feast a h"", ""overcome a h"", ""feast a h"", ""overcome a h"", ""feast a h"", ""overcome a h"", ""feast a h"", ""overcome a h"", ""feast a h"", ""overcome a h"", ""feast a h"", ""overcome a h"", ""feast a h"", ""overcome a h"", ""feast a h"", ""overcome a h"", ""feast a h"", ""overcome a h"", ""feast a h"", ""overcome a h"", ""feast a h"", ""overcome a h"", ""feast a h"", ""overcome a h"", ""feast a h"", ""overcome a h"", ""feast a h"", ""overcome a h"", ""feast a h"", ""overcome a h"", ""feast a h"", ""overcome a h"", ""feast a h"", ""overcome a h"", ""feast a h""]","{""canonical"": 50}",0,0,50,0,0.0714,1,14,14
MBW_500,anthropic/claude-sonnet-4,hard,high,aborted: planning_loop,False,8,0,0,,0.0,0,"[""attack a"", ""succumb a"", ""attack a"", ""succumb a"", ""attack a"", ""succumb a"", ""attack a"", ""succumb a""]","{""canonical"": 8}",0,0,8,0,,0,0,18
MBW_001,openai/gpt-4o,hard,low,aborted: excessive illegal steps,False,39,31,6,1,0.0,0,"[""attack b"", ""overcome d b"", ""overcome b h"", ""feast b h"", ""overcome b h"", ""feast b h"", ""overcome b h"", ""feast b h"", ""succumb b"", ""feast b h"", ""feast d b"", ""feast f i"", ""feast j f"", ""feast h l"", ""STEP_SKIP"", ""feast h l"", ""STEP_SKIP"", ""feast i g"", ""feast h l"", ""feast j f"", ""feast h l"", ""feast i g"", ""feast h l"", ""feast i g"", ""STEP_SKIP"", ""feast h l"", ""feast j f"", ""feast b h"", ""feast d b"", ""feast f i"", ""feast j f"", ""feast h l"", ""feast j f"", ""feast h l"", ""STEP_SKIP"", ""feast h l"", ""STEP_SKIP"", ""feast h l"", ""STEP_SKIP""]","{""canonical"": 39}",0,0,39,0,,0,0,14
MBW_002,openai/gpt-4o,hard,low,complete,False,50,50,5,0,0.0,0,"[""feast a b"", ""feast b k"", ""feast a b"", ""feast b k"", ""feast a b"", ""feast b k"", ""STEP_SKIP"", ""feast a b"", ""feast b k"", ""feast b a"", ""feast g a"", ""feast b k"", ""succumb a"", ""feast a b"", ""feast b k"", ""feast a b"", ""feast b k"", ""STEP_SKIP"", ""feast b k"", ""succumb a"", ""feast a b"", ""feast b k"", ""succumb a"", ""feast a b"", ""feast b k"", ""feast a b"", ""overcome b k"", ""feast b k"", ""feast a b"", ""feast b k"", ""feast b a"", ""overcome b k"", ""feast b k"", ""STEP_SKIP"", ""feast a b"", ""feast b k"", ""feast a b"", ""feast b k"", ""feast a b"", ""feast b k"", ""STEP_SKIP"", ""feast a b"", ""feast b k"", ""feast a b"", ""feast b k"", ""feast a b"", ""feast b k"", ""succumb b"", ""feast b k"", ""STEP_SKIP""]","{""canonical"": 50}",0,0,50,0,0.0,0,12,12
MBW_010,openai/gpt-4o,medium,low,aborted: excessive illegal steps,False,14,12,6,2,0.25,1,"[""attack a"", ""overcome a b"", ""feast b f"", ""STEP_SKIP"", ""feast b f"", ""STEP_SKIP"", ""feast b f"", ""STEP_SKIP"", ""feast b f"", ""STEP_SKIP"", ""feast b f"", ""STEP_SKIP"", ""feast b f"", ""STEP_SKIP""]","{""canonical"": 13, ""remapped"": 1}",0,1,13,0,,0,0,7
MBW_014,openai/gpt-4o,easy,low,complete,False,49,49,0,0,0.0,0,"[""feast e g"", ""feast l e"", ""feast g e"", ""feast l e"", ""feast g e"", ""feast l e"", ""feast g e"", ""feast l e"", ""succumb e"", ""feast e g"", ""feast l e"", ""feast g e"", ""feast l e"", ""feast g e"", ""feast l e"", ""feast g e"", ""feast l e"", ""feast g e"", ""feast l e"", ""succumb e"", ""feast e g"", ""feast l e"", ""feast g e"", ""feast l e"", ""succumb e"", ""feast e g"", ""feast l e"", ""feast g e"", ""feast l e"", ""feast g e"", ""feast l e"", ""feast g e"", ""feast l e"", ""feast g l"", ""feast e g"", ""feast l e"", ""feast g e"", ""feast l e"", ""succumb e"", ""feast e g"", ""feast l e"", ""feast g e"", ""overcome l e"", ""feast e g"", ""feast l e"", ""feast g e"", ""feast l e"", ""feast g e"", ""feast l e""]","{""preamble_only"": 1, ""canonical"": 49}",1,0,49,0,0.0,0,4,4
MBW_037,openai/gpt-4o,easy,low,complete,False,50,50,0,0,0.0,0,"[""succumb c"", ""feast c d"", ""overcome d h"", ""feast d h"", ""feast c d"", ""overcome d h"", ""feast d h"", ""feast c d"", ""overcome d h"", ""feast d h"", ""feast d i"", ""feast c d"", ""feast d h"", ""feast c d"", ""overcome d h"", ""feast d h"", ""feast c d"", ""overcome d h"", ""feast d h"", ""feast c d"", ""overcome d h"", ""feast d h"", ""feast c d"", ""feast d h"", ""feast c d"", ""overcome d h"", ""feast d h"", ""feast c d"", ""overcome d h"", ""feast d h"", ""feast c d"", ""feast d h"", ""feast c d"", ""feast d h"", ""feast c d"", ""overcome d h"", ""feast d h"", ""feast c d"", ""overcome d h"", ""feast d h"", ""feast c d"", ""overcome d h"", ""feast d h"", ""feast c d"", ""overcome d h"", ""feast d h"", ""feast c d"", ""overcome d h"", ""feast d h"", ""feast c d""]","{""canonical"": 50}",0,0,50,0,0.0,0,6,6
MBW_10,openai/gpt-4o,easy,low,complete,False,50,50,0,0,0.0,0,"[""succumb a"", ""feast a b"", ""feast d e"", ""feast b f"", ""feast d e"", ""feast b f"", ""feast d e"", ""feast b f"", ""feast d e"", ""feast e a"", ""feast d e"", ""feast b f"", ""feast d e"", ""succumb a"", ""feast a b"", ""feast b f"", ""feast d e"", ""feast e a"", ""feast d e"", ""feast b f"", ""feast d e"", ""feast b f"", ""feast d e"", ""succumb a"", ""feast a b"", ""feast d e"", ""feast e a"", ""feast b f"", ""feast d e"", ""feast b f"", ""feast d e"", ""feast b f"", ""feast d e"", ""succumb a"", ""feast a b"", ""feast d e"", ""succumb a"", ""feast a b"", ""feast d e"", ""feast b f"", ""feast d e"", ""feast b f"", ""feast d e"", ""feast b f"", ""feast d e"", ""feast e a"", ""feast d e"", ""succumb a"", ""feast a b"", ""feast b f""]","{""canonical"": 50}",0,0,50,0,0.0,0,8,8
MBW_100,openai/gpt-4o,easy,low,aborted: excessive illegal steps,False,34,34,6,0,0.0,0,"[""succumb b"", ""feast b j"", ""feast j l"", ""feast b j"", ""feast j l"", ""feast b j"", ""feast j l"", ""STEP_SKIP"", ""feast j l"", ""STEP_SKIP"", ""feast j l"", ""feast l i"", ""feast b j"", ""feast j l"", ""feast l i"", ""feast b j"", ""feast j l"", ""feast b j"", ""feast j l"", ""feast l i"", ""feast j l"", ""STEP_SKIP"", ""feast b j"", ""feast j l"", ""STEP_SKIP"", ""feast l i"", ""feast b j"", ""feast j l"", ""STEP_SKIP"", ""feast b j"", ""feast j l"", ""feast b j"", ""feast j l"", ""STEP_SKIP""]","{""canonical"": 34}",0,0,34,0,,0,0,6
MBW_127,openai/gpt-4o,easy,low,complete,False,50,50,0,0,0.0,0,"[""succumb e"", ""feast e b"", ""feast g j"", ""feast k g"", ""feast e b"", ""feast g j"", ""feast j e"", ""feast k g"", ""feast e b"", ""feast g j"", ""succumb g"", ""feast e b"", ""feast g j"", ""feast j e"", ""feast g j"", ""feast j e"", ""feast g j"", ""feast j e"", ""feast g j"", ""feast j e"", ""feast g j"", ""feast j e"", ""feast k g"", ""feast e b"", ""feast g j"", ""feast j e"", ""feast g j"", ""feast j e"", ""feast k g"", ""feast e b"", ""feast g j"", ""feast j e"", ""feast g j"", ""feast j e"", ""feast k g"", ""feast e b"", ""feast g j"", ""feast j e"", ""feast k g"", ""feast e b"", ""feast g j"", ""feast j e"", ""feast k g"", ""feast e b"", ""succumb e"", ""feast e b"", ""feast g j"", ""feast j e"", ""feast k g"", ""feast e b""]","{""canonical"": 50}",0,0,50,0,0.0,0,8,8
MBW_185,openai/gpt-4o,hard,low,aborted: excessive illegal steps,False,18,18,6,0,0.0,0,"[""feast h a"", ""succumb a"", ""feast a h"", ""succumb j"", ""feast a h"", ""feast b e"", ""feast e l"", ""STEP_SKIP"", ""feast e l"", ""STEP_SKIP"", ""feast e l"", ""STEP_SKIP"", ""feast e l"", ""STEP_SKIP"", ""feast e l"", ""STEP_SKIP"", ""feast e l"", ""STEP_SKIP""]","{""preamble_only"": 1, ""canonical"": 18}",1,0,18,0,,0,0,18
MBW_495,openai/gpt-4o,medium,low,complete,False,50,50,0,0,0.0,0,"[""feast c l"", ""feast e h"", ""succumb c"", ""feast c l"", ""feast e h"", ""feast i e"", ""feast c l"", ""feast e h"", ""feast i e"", ""feast c l"", ""feast e h"", ""feast i e"", ""feast c l"", ""feast e h"", ""feast i e"", ""feast c l"", ""feast e h"", ""feast i e"", ""feast l i"", ""feast c l"", ""feast e h"", ""feast i e"", ""feast l i"", ""feast c l"", ""feast e h"", ""succumb c"", ""feast c l"", ""feast e h"", ""feast i e"", ""feast l i"", ""feast c l"", ""feast e h"", ""feast i e"", ""feast c l"", ""feast e h"", ""feast i e"", ""feast l i"", ""feast c l"", ""feast e h"", ""feast i e"", ""feast l i"", ""feast c l"", ""feast e h"", ""feast i e"", ""feast c l"", ""feast e h"", ""feast i e"", ""feast c l"", ""feast e h"", ""feast i e""]","{""canonical"": 50}",0,0,50,0,0.0,0,8,8
MBW_496,openai/gpt-4o,hard,high,complete,False,50,50,0,0,0.0,0,"[""feast a c"", ""feast c j"", ""feast a c"", ""feast c j"", ""feast a c"", ""feast c j"", ""feast a c"", ""feast c j"", ""feast a c"", ""feast c j"", ""feast a c"", ""feast c j"", ""feast a c"", ""feast c j"", ""feast a c"", ""feast c j"", ""feast a c"", ""feast c j"", ""feast a c"", ""feast c j"", ""feast a c"", ""feast c j"", ""feast a c"", ""feast c j"", ""feast a c"", ""feast c j"", ""feast a c"", ""feast c j"", ""feast a c"", ""feast c j"", ""feast a c"", ""feast c j"", ""feast a c"", ""feast c j"", ""feast a c"", ""feast c j"", ""feast a c"", ""feast c j"", ""feast a c"", ""feast c j"", ""feast a c"", ""feast c j"", ""feast a c"", ""feast c j"", ""feast a c"", ""feast c j"", ""feast a c"", ""feast c j"", ""feast a c"", ""feast c j""]","{""canonical"": 50}",0,0,50,0,0.0,0,18,18
MBW_497,openai/gpt-4o,hard,high,aborted: excessive illegal steps,False,13,13,6,0,0.0,0,"[""feast a f"", ""feast f c"", ""STEP_SKIP"", ""feast f c"", ""STEP_SKIP"", ""feast f c"", ""STEP_SKIP"", ""feast f c"", ""STEP_SKIP"", ""feast f c"", ""STEP_SKIP"", ""feast f c"", ""STEP_SKIP""]","{""canonical"": 13}",0,0,13,0,,0,0,18
MBW_498,openai/gpt-4o,hard,high,complete,False,50,50,1,0,0.0,0,"[""feast a h"", ""succumb g"", ""feast g a"", ""feast d g"", ""feast e d"", ""feast g a"", ""feast d g"", ""feast g a"", ""overcome g a"", ""feast g a"", ""overcome g a"", ""feast g a"", ""succumb g"", ""feast g a"", ""feast d g"", ""feast e d"", ""feast g a"", ""feast h c"", ""feast g a"", ""succumb g"", ""feast g a"", ""feast h c"", ""feast i j"", ""feast g a"", ""succumb g"", ""feast g a"", ""feast h c"", ""feast g a"", ""succumb g"", ""feast g a"", ""feast h c"", ""succumb h"", ""feast e d"", ""feast g a"", ""STEP_SKIP"", ""succumb g"", ""feast g a"", ""succumb g"", ""feast g a"", ""feast h c"", ""feast g a"", ""overcome g a"", ""feast g a"", ""overcome g a"", ""feast g a"", ""feast h c"", ""feast g a"", ""succumb g"", ""feast g a"", ""feast h c""]","{""canonical"": 50}",0,0,50,0,0.0,0,22,22
MBW_499,openai/gpt-4o,hard,high,complete,False,50,50,0,0,0.0,0,"[""feast a h"", ""feast b f"", ""feast f j"", ""feast j d"", ""feast f j"", ""succumb j"", ""feast d a"", ""feast j d"", ""feast l c"", ""feast j d"", ""feast l c"", ""feast j d"", ""feast f j"", ""feast j d"", ""feast f j"", ""feast j d"", ""feast f j"", ""feast j d"", ""feast l c"", ""feast j d"", ""feast l c"", ""feast j d"", ""feast f j"", ""feast j d"", ""feast f j"", ""feast j d"", ""feast f j"", ""succumb j"", ""feast d a"", ""feast j d"", ""feast f j"", ""feast j d"", ""feast f j"", ""feast j d"", ""feast l c"", ""feast j d"", ""feast f j"", ""feast j d"", ""feast f j"", ""feast j d"", ""feast f j"", ""feast j d"", ""feast f j"", ""feast j d"", ""feast f j"", ""feast j d"", ""feast f j"", ""feast j d"", ""feast l c"", ""feast j d""]","{""canonical"": 50}",0,0,50,0,0.0,0,14,14
MBW_500,openai/gpt-4o,hard,high,aborted: excessive illegal steps,False,45,45,6,0,0.0,0,"[""feast a e"", ""feast b k"", ""feast e b"", ""STEP_SKIP"", ""feast e b"", ""feast f i"", ""succumb f"", ""feast a e"", ""feast b k"", ""feast e b"", ""feast a e"", ""feast b k"", ""feast e b"", ""feast a e"", ""feast b k"", ""feast e b"", ""feast f i"", ""feast h c"", ""STEP_SKIP"", ""feast b k"", ""feast e b"", ""feast a e"", ""feast b k"", ""feast e b"", ""feast f i"", ""STEP_SKIP"", ""feast f i"", ""feast a e"", ""feast b k"", ""feast e b"", ""STEP_SKIP"", ""feast a e"", ""feast b k"", ""feast e b"", ""feast a e"", ""feast b k"", ""feast e b"", ""feast f i"", ""succumb h"", ""feast a e"", ""feast b k"", ""feast e b"", ""STEP_SKIP"", ""feast e b"", ""STEP_SKIP""]","{""preamble_only"": 1, ""canonical"": 45}",1,0,45,0,,0,0,18
MBW_001,meta-llama/llama-3.1-8b-instruct,hard,low,aborted: excessive illegal steps,False,13,12,6,1,0.0,0,"[""attack b"", ""feast b h"", ""STEP_SKIP"", ""feast b h"", ""STEP_SKIP"", ""feast b h"", ""STEP_SKIP"", ""feast b h"", ""STEP_SKIP"", ""feast b h"", ""STEP_SKIP"", ""feast b h"", ""STEP_SKIP""]","{""canonical"": 13}",0,0,13,0,,0,0,14
MBW_002,meta-llama/llama-3.1-8b-instruct,hard,low,aborted: excessive illegal steps,False,13,12,6,1,0.0,0,"[""attack b"", ""feast b k"", ""STEP_SKIP"", ""feast b k"", ""STEP_SKIP"", ""feast b k"", ""STEP_SKIP"", ""feast b k"", ""STEP_SKIP"", ""feast b k"", ""STEP_SKIP"", ""feast b k"", ""STEP_SKIP""]","{""canonical"": 13}",0,0,13,0,,0,0,12
MBW_010,meta-llama/llama-3.1-8b-instruct,medium,low,aborted: excessive illegal steps,False,13,12,6,1,0.0,0,"[""attack b"", ""feast b f"", ""STEP_SKIP"", ""feast b f"", ""STEP_SKIP"", ""feast b f"", ""STEP_SKIP"", ""feast b f"", ""STEP_SKIP"", ""feast b f"", ""STEP_SKIP"", ""feast b f"", ""STEP_SKIP""]","{""canonical"": 13}",0,0,13,0,,0,0,7
MBW_014,meta-llama/llama-3.1-8b-instruct,easy,low,aborted: excessive illegal steps,False,13,12,6,1,0.0,0,"[""attack e"", ""feast e g"", ""STEP_SKIP"", ""feast e g"", ""STEP_SKIP"", ""feast e g"", ""STEP_SKIP"", ""feast e g"", ""STEP_SKIP"", ""feast e g"", ""STEP_SKIP"", ""feast e g"", ""STEP_SKIP""]","{""canonical"": 13}",0,0,13,0,,0,0,4
MBW_037,meta-llama/llama-3.1-8b-instruct,easy,low,aborted: excessive illegal steps,False,13,12,6,1,0.0,0,"[""attack h"", ""feast h i"", ""STEP_SKIP"", ""feast h i"", ""STEP_SKIP"", ""feast h i"", ""STEP_SKIP"", ""feast h i"", ""STEP_SKIP"", ""feast h i"", ""STEP_SKIP"", ""feast h i"", ""STEP_SKIP""]","{""canonical"": 13}",0,0,13,0,,0,0,6
MBW_10,meta-llama/llama-3.1-8b-instruct,easy,low,aborted: excessive illegal steps,False,13,12,6,1,0.0,0,"[""attack b"", ""feast b f"", ""STEP_SKIP"", ""feast b f"", ""STEP_SKIP"", ""feast b f"", ""STEP_SKIP"", ""feast b f"", ""STEP_SKIP"", ""feast b f"", ""STEP_SKIP"", ""feast b f"", ""STEP_SKIP""]","{""canonical"": 13}",0,0,13,0,,0,0,8
MBW_100,meta-llama/llama-3.1-8b-instruct,easy,low,aborted: excessive illegal steps,False,13,12,6,1,0.0,0,"[""attack j"", ""feast j l"", ""STEP_SKIP"", ""feast j l"", ""STEP_SKIP"", ""feast j l"", ""STEP_SKIP"", ""feast j l"", ""STEP_SKIP"", ""feast j l"", ""STEP_SKIP"", ""feast j l"", ""STEP_SKIP""]","{""canonical"": 13}",0,0,13,0,,0,0,6
MBW_127,meta-llama/llama-3.1-8b-instruct,easy,low,aborted: excessive illegal steps,False,13,12,6,1,0.0,0,"[""attack e"", ""feast e b"", ""STEP_SKIP"", ""feast e b"", ""STEP_SKIP"", ""feast e b"", ""STEP_SKIP"", ""feast e b"", ""STEP_SKIP"", ""feast e b"", ""STEP_SKIP"", ""feast e b"", ""STEP_SKIP""]","{""canonical"": 13}",0,0,13,0,,0,0,8
MBW_185,meta-llama/llama-3.1-8b-instruct,hard,low,aborted: excessive illegal steps,False,13,12,6,1,0.0,0,"[""attack a"", ""feast a b"", ""STEP_SKIP"", ""feast a b"", ""STEP_SKIP"", ""feast a b"", ""STEP_SKIP"", ""feast a b"", ""STEP_SKIP"", ""feast a b"", ""STEP_SKIP"", ""feast a b"", ""STEP_SKIP""]","{""canonical"": 13}",0,0,13,0,,0,0,18
MBW_495,meta-llama/llama-3.1-8b-instruct,medium,low,aborted: excessive illegal steps,False,13,12,6,1,0.0,0,"[""attack l"", ""feast l i"", ""STEP_SKIP"", ""feast l i"", ""STEP_SKIP"", ""feast l i"", ""STEP_SKIP"", ""feast l i"", ""STEP_SKIP"", ""feast l i"", ""STEP_SKIP"", ""feast l i"", ""STEP_SKIP""]","{""canonical"": 13}",0,0,13,0,,0,0,8
MBW_496,meta-llama/llama-3.1-8b-instruct,hard,high,aborted: excessive illegal steps,False,14,13,6,1,0.0,0,"[""attack a"", ""feast a e"", ""feast e a"", ""STEP_SKIP"", ""feast e a"", ""STEP_SKIP"", ""feast e a"", ""STEP_SKIP"", ""feast e a"", ""STEP_SKIP"", ""feast e a"", ""STEP_SKIP"", ""feast e a"", ""STEP_SKIP""]","{""canonical"": 14}",0,0,14,0,,0,0,18
MBW_497,meta-llama/llama-3.1-8b-instruct,hard,high,aborted: excessive illegal steps,False,13,12,6,1,0.0,0,"[""attack a"", ""feast a l"", ""STEP_SKIP"", ""feast a l"", ""STEP_SKIP"", ""feast a l"", ""STEP_SKIP"", ""feast a l"", ""STEP_SKIP"", ""feast a l"", ""STEP_SKIP"", ""feast a l"", ""STEP_SKIP""]","{""canonical"": 13}",0,0,13,0,,0,0,18
MBW_498,meta-llama/llama-3.1-8b-instruct,hard,high,aborted: excessive illegal steps,False,13,12,6,1,0.0,0,"[""attack h"", ""attack h"", ""STEP_SKIP"", ""attack h"", ""STEP_SKIP"", ""attack h"", ""STEP_SKIP"", ""attack h"", ""STEP_SKIP"", ""attack h"", ""STEP_SKIP"", ""attack h"", ""STEP_SKIP""]","{""canonical"": 13}",0,0,13,0,,0,0,22
MBW_499,meta-llama/llama-3.1-8b-instruct,hard,high,aborted: excessive illegal steps,False,13,12,6,1,0.0,0,"[""attack h"", ""feast h l"", ""STEP_SKIP"", ""feast h l"", ""STEP_SKIP"", ""feast h l"", ""STEP_SKIP"", ""feast h l"", ""STEP_SKIP"", ""feast h l"", ""STEP_SKIP"", ""feast h l"", ""STEP_SKIP""]","{""canonical"": 13}",0,0,13,0,,0,0,14
