problem_id,base_id,var_canonical,var_w5,css,behavioral_model,contamination_score,crystallization_layer,cci,problem_family,execution_unavailable,var_signal,css_signal,contamination_signal,cci_signal,agreement,n_signals,diagnosis
MBW_014,MBW_014,0.0,0.0,0.0,anthropic/claude-sonnet-4,0.0545,,,planning_suite,False,retrieval,retrieval,computation,,diverging,2,diverging
GSM_052,GSM_052,0.0,1.0,0.0,anthropic/claude-sonnet-4,,,,arithmetic_reasoning,False,retrieval,retrieval,,,insufficient,1,insufficient
BW_E015_W6,BW_E015,,,,,,-1.0,,planning_suite,True,,,,,execution_unavailable,0,execution_unavailable
GSM_004,GSM_004,1.0,1.0,0.75,anthropic/claude-sonnet-4,,,,arithmetic_reasoning,False,computation,computation,,,insufficient,1,insufficient
BW_155_W6,BW_155,,,,,,-1.0,,planning_suite,False,,,,,insufficient,0,insufficient
GSM_008,GSM_008,1.0,1.0,0.5,anthropic/claude-sonnet-4,,,,arithmetic_reasoning,False,computation,computation,,,insufficient,1,insufficient
BW_155,BW_155,0.0,1.0,0.0,anthropic/claude-sonnet-4,0.0411,-1.0,,planning_suite,False,retrieval,retrieval,computation,,diverging,2,diverging
MBW_498,MBW_498,0.0,0.0,0.0,anthropic/claude-sonnet-4,0.068,,,planning_suite,False,retrieval,retrieval,computation,,diverging,2,diverging
MBW_500,MBW_500,0.0,0.0,0.0,anthropic/claude-sonnet-4,0.0576,,,planning_suite,False,retrieval,retrieval,computation,,diverging,2,diverging
BW_514,BW_514,0.0,1.0,0.25,anthropic/claude-sonnet-4,0.0455,,0.0,planning_suite,False,retrieval,retrieval,computation,retrieval,diverging,3,diverging
GSM_046,GSM_046,1.0,1.0,1.0,anthropic/claude-sonnet-4,,,,arithmetic_reasoning,False,computation,computation,,,insufficient,1,insufficient
GSM_009,GSM_009,0.0,1.0,0.25,anthropic/claude-sonnet-4,,,,arithmetic_reasoning,False,retrieval,retrieval,,,insufficient,1,insufficient
BW_498,BW_498,0.0,0.0,0.25,anthropic/claude-sonnet-4,0.044,,,planning_suite,False,retrieval,retrieval,computation,,diverging,2,diverging
BW_509,BW_509,0.0,0.0,0.25,anthropic/claude-sonnet-4,0.0408,,,planning_suite,False,retrieval,retrieval,computation,,diverging,2,diverging
GSM_015,GSM_015,1.0,1.0,0.5,anthropic/claude-sonnet-4,,,,arithmetic_reasoning,False,computation,computation,,,insufficient,1,insufficient
MBW_002,MBW_002,0.0,0.0,0.0,anthropic/claude-sonnet-4,0.0397,,,planning_suite,False,retrieval,retrieval,computation,,diverging,2,diverging
BW_511,BW_511,1.0,1.0,0.25,anthropic/claude-sonnet-4,0.0429,,,planning_suite,False,computation,retrieval,computation,,converging,2,converging_computation
BW_310,BW_310,0.0,1.0,0.0,anthropic/claude-sonnet-4,0.0395,,,planning_suite,True,retrieval,retrieval,computation,,execution_unavailable,2,execution_unavailable
BW_505,BW_505,0.0,0.0,0.0,anthropic/claude-sonnet-4,0.0408,,,planning_suite,False,retrieval,retrieval,computation,,diverging,2,diverging
BW_515,BW_515,0.0,1.0,0.0,anthropic/claude-sonnet-4,0.0455,,,planning_suite,False,retrieval,retrieval,computation,,diverging,2,diverging
GSM_041,GSM_041,1.0,1.0,1.0,anthropic/claude-sonnet-4,,,,arithmetic_reasoning,False,computation,computation,,,insufficient,1,insufficient
BW_E002_W6,BW_E002,,,,,,-1.0,,planning_suite,True,,,,,execution_unavailable,0,execution_unavailable
BW_E002,BW_E002,1.0,1.0,0.75,anthropic/claude-sonnet-4,0.0423,-1.0,,planning_suite,True,computation,computation,computation,,execution_unavailable,2,execution_unavailable
GSM_014,GSM_014,1.0,0.0,1.0,anthropic/claude-sonnet-4,,,,arithmetic_reasoning,False,computation,computation,,,insufficient,1,insufficient
BW_120,BW_120,0.0,1.0,0.0,anthropic/claude-sonnet-4,0.0432,-1.0,,planning_suite,False,retrieval,retrieval,computation,,diverging,2,diverging
GSM_020,GSM_020,1.0,1.0,1.0,anthropic/claude-sonnet-4,,,,arithmetic_reasoning,False,computation,computation,,,insufficient,1,insufficient
BW_137_W6,BW_137,,,,,,-1.0,,planning_suite,False,,,,,insufficient,0,insufficient
BW_467,BW_467,0.0,0.0,0.0,anthropic/claude-sonnet-4,0.0375,-1.0,0.0,planning_suite,False,retrieval,retrieval,computation,retrieval,diverging,3,diverging
BW_503,BW_503,0.0,0.0,0.0,anthropic/claude-sonnet-4,0.0612,,0.0,planning_suite,False,retrieval,retrieval,computation,retrieval,diverging,3,diverging
GSM_019,GSM_019,0.0,1.0,0.75,anthropic/claude-sonnet-4,,,,arithmetic_reasoning,False,retrieval,computation,,,insufficient,1,insufficient
MBW_127,MBW_127,0.0,0.0,0.0,anthropic/claude-sonnet-4,0.0424,-1.0,,planning_suite,False,retrieval,retrieval,computation,,diverging,2,diverging
GSM_054,GSM_054,1.0,1.0,0.75,anthropic/claude-sonnet-4,,,,arithmetic_reasoning,False,computation,computation,,,insufficient,1,insufficient
GSM_007,GSM_007,1.0,1.0,0.75,anthropic/claude-sonnet-4,,,,arithmetic_reasoning,False,computation,computation,,,insufficient,1,insufficient
MBW_010,MBW_010,0.0,0.0,0.0,anthropic/claude-sonnet-4,0.0424,,,planning_suite,False,retrieval,retrieval,computation,,diverging,2,diverging
BW_512,BW_512,0.0,0.0,0.0,anthropic/claude-sonnet-4,0.0455,,,planning_suite,False,retrieval,retrieval,computation,,diverging,2,diverging
GSM_048,GSM_048,1.0,1.0,1.0,anthropic/claude-sonnet-4,,,,arithmetic_reasoning,False,computation,computation,,,insufficient,1,insufficient
GSM_010,GSM_010,1.0,1.0,0.75,anthropic/claude-sonnet-4,,,,arithmetic_reasoning,False,computation,computation,,,insufficient,1,insufficient
BW_E100,BW_E100,0.0,1.0,0.25,anthropic/claude-sonnet-4,0.039,23.0,,planning_suite,True,retrieval,retrieval,computation,,execution_unavailable,2,execution_unavailable
GSM_016,GSM_016,1.0,1.0,1.0,anthropic/claude-sonnet-4,,,,arithmetic_reasoning,False,computation,computation,,,insufficient,1,insufficient
GSM_062,GSM_062,0.0,1.0,0.25,anthropic/claude-sonnet-4,,,,arithmetic_reasoning,False,retrieval,retrieval,,,insufficient,1,insufficient
GSM_064,GSM_064,1.0,0.0,1.0,anthropic/claude-sonnet-4,,,,arithmetic_reasoning,False,computation,computation,,,insufficient,1,insufficient
BW_467_W6,BW_467,,,,,,-1.0,0.0,planning_suite,False,,,,retrieval,insufficient,1,insufficient
BW_E019,BW_E019,1.0,0.0,0.5,anthropic/claude-sonnet-4,0.042,-1.0,,planning_suite,True,computation,computation,computation,,execution_unavailable,2,execution_unavailable
BW_203,BW_203,1.0,1.0,0.0,anthropic/claude-sonnet-4,0.0432,,,planning_suite,True,computation,retrieval,computation,,execution_unavailable,2,execution_unavailable
MBW_496,MBW_496,0.0,0.0,0.0,anthropic/claude-sonnet-4,0.0576,,,planning_suite,False,retrieval,retrieval,computation,,diverging,2,diverging
BW_172_W6,BW_172,,,,,,-1.0,,planning_suite,False,,,,,insufficient,0,insufficient
MBW_185,MBW_185,0.0,0.0,0.0,anthropic/claude-sonnet-4,0.0362,-1.0,,planning_suite,False,retrieval,retrieval,computation,,diverging,2,diverging
BW_E019_W6,BW_E019,,,,,,-1.0,,planning_suite,True,,,,,execution_unavailable,0,execution_unavailable
BW_011,BW_011,0.0,1.0,0.0,anthropic/claude-sonnet-4,0.0331,-1.0,0.1,planning_suite,False,retrieval,retrieval,computation,retrieval,diverging,3,diverging
GSM_011,GSM_011,1.0,1.0,0.75,anthropic/claude-sonnet-4,,,,arithmetic_reasoning,False,computation,computation,,,insufficient,1,insufficient
MBW_10,MBW_10,0.0,0.0,0.0,anthropic/claude-sonnet-4,0.0424,-1.0,,planning_suite,False,retrieval,retrieval,computation,,diverging,2,diverging
GSM_063,GSM_063,1.0,1.0,1.0,anthropic/claude-sonnet-4,,,,arithmetic_reasoning,False,computation,computation,,,insufficient,1,insufficient
GSM_043,GSM_043,1.0,1.0,1.0,anthropic/claude-sonnet-4,,,,arithmetic_reasoning,False,computation,computation,,,insufficient,1,insufficient
BW_E017_W6,BW_E017,,,,,,-1.0,,planning_suite,True,,,,,execution_unavailable,0,execution_unavailable
BW_227_W6,BW_227,,,,,,-1.0,,planning_suite,False,,,,,insufficient,0,insufficient
GSM_053,GSM_053,1.0,1.0,0.5,anthropic/claude-sonnet-4,,,,arithmetic_reasoning,False,computation,computation,,,insufficient,1,insufficient
BW_501,BW_501,0.0,0.0,0.0,anthropic/claude-sonnet-4,0.0357,,,planning_suite,False,retrieval,retrieval,computation,,diverging,2,diverging
MBW_499,MBW_499,0.0,0.0,0.0,anthropic/claude-sonnet-4,0.0458,,,planning_suite,False,retrieval,retrieval,computation,,diverging,2,diverging
GSM_051,GSM_051,1.0,1.0,1.0,anthropic/claude-sonnet-4,,,,arithmetic_reasoning,False,computation,computation,,,insufficient,1,insufficient
MBW_495,MBW_495,0.0,0.0,0.0,anthropic/claude-sonnet-4,0.0424,,,planning_suite,False,retrieval,retrieval,computation,,diverging,2,diverging
BW_001_W6,BW_001,,,,,,-1.0,0.0,planning_suite,False,,,,retrieval,insufficient,1,insufficient
BW_080_W6,BW_080,,,,,,-1.0,,planning_suite,False,,,,,insufficient,0,insufficient
GSM_060,GSM_060,0.0,1.0,0.0,anthropic/claude-sonnet-4,,,,arithmetic_reasoning,False,retrieval,retrieval,,,insufficient,1,insufficient
GSM_044,GSM_044,1.0,1.0,1.0,anthropic/claude-sonnet-4,,,,arithmetic_reasoning,False,computation,computation,,,insufficient,1,insufficient
BW_010_W6,BW_010,,,,,,-1.0,,planning_suite,False,,,,,insufficient,0,insufficient
GSM_050,GSM_050,1.0,1.0,0.75,anthropic/claude-sonnet-4,,,,arithmetic_reasoning,False,computation,computation,,,insufficient,1,insufficient
GSM_045,GSM_045,1.0,1.0,0.75,anthropic/claude-sonnet-4,,,,arithmetic_reasoning,False,computation,computation,,,insufficient,1,insufficient
BW_E_003,BW_E_003,0.0,1.0,0.25,anthropic/claude-sonnet-4,0.0408,,,planning_suite,True,retrieval,retrieval,computation,,execution_unavailable,2,execution_unavailable
BW_080,BW_080,0.0,1.0,0.0,anthropic/claude-sonnet-4,0.0392,-1.0,,planning_suite,False,retrieval,retrieval,computation,,diverging,2,diverging
BW_513,BW_513,0.0,0.0,0.0,anthropic/claude-sonnet-4,0.0373,,,planning_suite,False,retrieval,retrieval,computation,,diverging,2,diverging
BW_022,BW_022,0.0,1.0,0.0,anthropic/claude-sonnet-4,0.0411,,,planning_suite,True,retrieval,retrieval,computation,,execution_unavailable,2,execution_unavailable
GSM_005,GSM_005,1.0,1.0,0.75,anthropic/claude-sonnet-4,,,,arithmetic_reasoning,False,computation,computation,,,insufficient,1,insufficient
BW_350,BW_350,0.0,1.0,0.0,anthropic/claude-sonnet-4,0.0331,,,planning_suite,True,retrieval,retrieval,computation,,execution_unavailable,2,execution_unavailable
BW_496,BW_496,0.0,0.0,0.0,anthropic/claude-sonnet-4,0.0582,,0.0,planning_suite,False,retrieval,retrieval,computation,retrieval,diverging,3,diverging
BW_506,BW_506,0.0,1.0,0.25,anthropic/claude-sonnet-4,0.0526,,,planning_suite,False,retrieval,retrieval,computation,,diverging,2,diverging
BW_507,BW_507,0.0,0.0,0.0,anthropic/claude-sonnet-4,0.0526,,,planning_suite,False,retrieval,retrieval,computation,,diverging,2,diverging
GSM_059,GSM_059,1.0,1.0,0.5,anthropic/claude-sonnet-4,,,,arithmetic_reasoning,False,computation,computation,,,insufficient,1,insufficient
BW_001,BW_001,0.0,1.0,0.0,anthropic/claude-sonnet-4,0.0359,-1.0,0.0,planning_suite,False,retrieval,retrieval,computation,retrieval,diverging,3,diverging
BW_508,BW_508,1.0,1.0,0.0,anthropic/claude-sonnet-4,0.0476,,,planning_suite,False,computation,retrieval,computation,,converging,2,converging_computation
BW_011_W6,BW_011,,,,,,-1.0,0.1,planning_suite,False,,,,retrieval,insufficient,1,insufficient
