config_id,config_index,cci_threshold,cci_retrieval_max,cci_computation_min,w3_cutoff,contam_percentile,n_retrieval,n_computation,n_mixed,n_ambiguous,n,matches_paper_15_1_300_124,rule_structure,tie_break,probes_combined
cci0.05_w30.00_p50,0,0.05,0.05,0.95,0.0,50,0,0,62,378,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.05_w30.75_p90,11,0.05,0.05,0.95,0.75,90,0,1,292,147,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.05_w31.00_p50,12,0.05,0.05,0.95,1.0,50,74,0,4,362,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.05_w31.00_p75,13,0.05,0.05,0.95,1.0,75,15,0,284,141,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.05_w31.00_p90,14,0.05,0.05,0.95,1.0,90,0,0,284,156,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.10_w30.00_p50,15,0.1,0.1,0.9,0.0,50,0,0,62,378,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.10_w30.00_p75,16,0.1,0.1,0.9,0.0,75,0,1,86,353,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.10_w30.00_p90,17,0.1,0.1,0.9,0.0,90,0,1,78,361,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.10_w30.25_p50,18,0.1,0.1,0.9,0.25,50,74,0,62,304,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.10_w30.25_p75,19,0.1,0.1,0.9,0.25,75,15,1,300,124,440,1,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.10_w30.25_p90,20,0.1,0.1,0.9,0.25,90,0,1,292,147,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.10_w30.50_p50,21,0.1,0.1,0.9,0.5,50,74,0,62,304,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.10_w30.50_p75,22,0.1,0.1,0.9,0.5,75,15,1,300,124,440,1,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.10_w30.50_p90,23,0.1,0.1,0.9,0.5,90,0,1,292,147,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.10_w30.75_p50,24,0.1,0.1,0.9,0.75,50,74,0,62,304,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.10_w30.75_p75,25,0.1,0.1,0.9,0.75,75,15,1,300,124,440,1,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.10_w30.75_p90,26,0.1,0.1,0.9,0.75,90,0,1,292,147,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.10_w31.00_p50,27,0.1,0.1,0.9,1.0,50,74,0,4,362,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.10_w31.00_p75,28,0.1,0.1,0.9,1.0,75,15,0,284,141,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.10_w31.00_p90,29,0.1,0.1,0.9,1.0,90,0,0,284,156,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.15_w30.00_p50,30,0.15,0.15,0.85,0.0,50,0,0,62,378,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.15_w30.00_p75,31,0.15,0.15,0.85,0.0,75,0,1,86,353,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.15_w30.00_p90,32,0.15,0.15,0.85,0.0,90,0,1,78,361,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.15_w30.25_p50,33,0.15,0.15,0.85,0.25,50,74,0,62,304,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.15_w30.25_p75,34,0.15,0.15,0.85,0.25,75,15,1,300,124,440,1,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.15_w30.25_p90,35,0.15,0.15,0.85,0.25,90,0,1,292,147,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.15_w30.50_p50,36,0.15,0.15,0.85,0.5,50,74,0,62,304,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.15_w30.50_p75,37,0.15,0.15,0.85,0.5,75,15,1,300,124,440,1,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.15_w30.50_p90,38,0.15,0.15,0.85,0.5,90,0,1,292,147,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.15_w30.75_p50,39,0.15,0.15,0.85,0.75,50,74,0,62,304,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.15_w30.75_p75,40,0.15,0.15,0.85,0.75,75,15,1,300,124,440,1,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.15_w30.75_p90,41,0.15,0.15,0.85,0.75,90,0,1,292,147,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.15_w31.00_p50,42,0.15,0.15,0.85,1.0,50,74,0,4,362,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.15_w31.00_p75,43,0.15,0.15,0.85,1.0,75,15,0,284,141,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.15_w31.00_p90,44,0.15,0.15,0.85,1.0,90,0,0,284,156,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.20_w30.00_p50,45,0.2,0.2,0.8,0.0,50,0,0,62,378,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.20_w30.00_p75,46,0.2,0.2,0.8,0.0,75,0,1,86,353,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.20_w30.00_p90,47,0.2,0.2,0.8,0.0,90,0,1,78,361,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.20_w30.25_p50,48,0.2,0.2,0.8,0.25,50,74,0,62,304,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.20_w30.25_p75,49,0.2,0.2,0.8,0.25,75,15,1,300,124,440,1,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.20_w30.25_p90,50,0.2,0.2,0.8,0.25,90,0,1,292,147,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.20_w30.50_p50,51,0.2,0.2,0.8,0.5,50,74,0,62,304,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.20_w30.50_p75,52,0.2,0.2,0.8,0.5,75,15,1,300,124,440,1,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.20_w30.50_p90,53,0.2,0.2,0.8,0.5,90,0,1,292,147,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.20_w30.75_p50,54,0.2,0.2,0.8,0.75,50,74,0,62,304,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.20_w30.75_p75,55,0.2,0.2,0.8,0.75,75,15,1,300,124,440,1,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.20_w30.75_p90,56,0.2,0.2,0.8,0.75,90,0,1,292,147,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.20_w31.00_p50,57,0.2,0.2,0.8,1.0,50,74,0,4,362,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.20_w31.00_p75,58,0.2,0.2,0.8,1.0,75,15,0,284,141,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.20_w31.00_p90,59,0.2,0.2,0.8,1.0,90,0,0,284,156,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.25_w30.00_p50,60,0.25,0.25,0.75,0.0,50,0,0,62,378,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.25_w30.00_p75,61,0.25,0.25,0.75,0.0,75,0,1,86,353,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.25_w30.00_p90,62,0.25,0.25,0.75,0.0,90,0,1,78,361,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.25_w30.25_p50,63,0.25,0.25,0.75,0.25,50,74,0,62,304,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.25_w30.25_p75,64,0.25,0.25,0.75,0.25,75,15,1,300,124,440,1,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.25_w30.25_p90,65,0.25,0.25,0.75,0.25,90,0,1,292,147,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.25_w30.50_p50,66,0.25,0.25,0.75,0.5,50,74,0,62,304,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.25_w30.50_p75,67,0.25,0.25,0.75,0.5,75,15,1,300,124,440,1,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.25_w30.50_p90,68,0.25,0.25,0.75,0.5,90,0,1,292,147,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.25_w30.75_p50,69,0.25,0.25,0.75,0.75,50,74,0,62,304,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.25_w30.75_p75,70,0.25,0.25,0.75,0.75,75,15,1,300,124,440,1,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.25_w30.75_p90,71,0.25,0.25,0.75,0.75,90,0,1,292,147,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.25_w31.00_p50,72,0.25,0.25,0.75,1.0,50,74,0,4,362,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.25_w31.00_p75,73,0.25,0.25,0.75,1.0,75,15,0,284,141,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.25_w31.00_p90,74,0.25,0.25,0.75,1.0,90,0,0,284,156,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.30_w30.00_p50,75,0.3,0.3,0.7,0.0,50,0,0,62,378,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.30_w30.00_p75,76,0.3,0.3,0.7,0.0,75,0,1,86,353,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.30_w30.00_p90,77,0.3,0.3,0.7,0.0,90,0,1,78,361,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.30_w30.25_p50,78,0.3,0.3,0.7,0.25,50,74,0,62,304,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.30_w30.25_p75,79,0.3,0.3,0.7,0.25,75,15,1,300,124,440,1,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.30_w30.25_p90,80,0.3,0.3,0.7,0.25,90,0,1,292,147,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.30_w30.50_p50,81,0.3,0.3,0.7,0.5,50,74,0,62,304,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.30_w30.50_p75,82,0.3,0.3,0.7,0.5,75,15,1,300,124,440,1,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.30_w30.50_p90,83,0.3,0.3,0.7,0.5,90,0,1,292,147,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.30_w30.75_p50,84,0.3,0.3,0.7,0.75,50,74,0,62,304,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.30_w30.75_p75,85,0.3,0.3,0.7,0.75,75,15,1,300,124,440,1,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.30_w30.75_p90,86,0.3,0.3,0.7,0.75,90,0,1,292,147,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.30_w31.00_p50,87,0.3,0.3,0.7,1.0,50,74,0,4,362,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.30_w31.00_p75,88,0.3,0.3,0.7,1.0,75,15,0,284,141,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.30_w31.00_p90,89,0.3,0.3,0.7,1.0,90,0,0,284,156,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.35_w30.00_p50,90,0.35,0.35,0.65,0.0,50,0,0,99,341,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.35_w30.00_p75,91,0.35,0.35,0.65,0.0,75,0,6,186,248,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.35_w30.00_p90,92,0.35,0.35,0.65,0.0,90,0,6,178,256,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.35_w30.25_p50,93,0.35,0.35,0.65,0.25,50,170,0,99,171,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.35_w30.25_p75,94,0.35,0.35,0.65,0.25,75,25,6,314,95,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.35_w30.25_p90,95,0.35,0.35,0.65,0.25,90,0,6,306,128,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.35_w30.50_p50,96,0.35,0.35,0.65,0.5,50,170,0,99,171,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.35_w30.50_p75,97,0.35,0.35,0.65,0.5,75,25,6,314,95,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.35_w30.50_p90,98,0.35,0.35,0.65,0.5,90,0,6,306,128,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.35_w30.75_p50,99,0.35,0.35,0.65,0.75,50,170,0,99,171,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.35_w30.75_p75,100,0.35,0.35,0.65,0.75,75,25,6,314,95,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.35_w30.75_p90,101,0.35,0.35,0.65,0.75,90,0,6,306,128,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.35_w31.00_p50,102,0.35,0.35,0.65,1.0,50,170,0,47,223,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.35_w31.00_p75,103,0.35,0.35,0.65,1.0,75,25,0,299,116,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.35_w31.00_p90,104,0.35,0.35,0.65,1.0,90,0,0,298,142,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
cci0.40_w30.00_p50,105,0.4,0.4,0.6,0.0,50,0,0,99,341,440,0,appendix_three_signal_signed_votes,unanimous_-1=retrieval; unanimous_+1=computation; conflict=mixed; else=ambiguous,W3_vote|CCI_bands|contamination_floor_vs_percentile
