family,model,subtype,tri_v2_label,n,pct
ALGO,Llama,shortest_path,mixed,9,0.16363636363636364
ALGO,Llama,shortest_path,retrieval,5,0.09090909090909091
ALGO,Llama,shortest_path,computation,4,0.07272727272727272
ALGO,Llama,shortest_path,weak_computation,4,0.07272727272727272
ALGO,Llama,wis,insufficient,13,0.43333333333333335
ALGO,Llama,wis,computation,10,0.3333333333333333
ALGO,Llama,wis,weak_computation,5,0.16666666666666666
ALGO,Llama,wis,mixed,2,0.06666666666666667
ALGO,o4-mini,coin_change,computation,17,0.68
ALGO,o4-mini,coin_change,retrieval,3,0.12
ALGO,o4-mini,coin_change,weak_retrieval,3,0.12
ALGO,o4-mini,coin_change,weak_computation,2,0.08
ALGO,o4-mini,shortest_path,computation,41,0.7454545454545455
ALGO,o4-mini,shortest_path,weak_computation,7,0.12727272727272726
ALGO,o4-mini,shortest_path,retrieval,6,0.10909090909090909
ALGO,o4-mini,shortest_path,weak_retrieval,1,0.01818181818181818
ALGO,o4-mini,wis,mixed,15,0.5
ALGO,o4-mini,wis,weak_retrieval,11,0.36666666666666664
ALGO,o4-mini,wis,retrieval,4,0.13333333333333333
BW,Claude,(all),computation,29,0.6590909090909091
BW,Claude,(all),insufficient,8,0.18181818181818182
BW,Claude,(all),retrieval,7,0.1590909090909091
BW,Claude,blocksworld,insufficient,40,0.8
BW,Claude,blocksworld,weak_retrieval,9,0.18
BW,Claude,blocksworld,computation,1,0.02
BW,Claude,mystery_blocksworld,insufficient,15,1.0
BW,GPT-4o,(all),insufficient,23,0.3898305084745763
BW,GPT-4o,(all),computation,20,0.3389830508474576
BW,GPT-4o,(all),retrieval,16,0.2711864406779661
BW,GPT-4o,blocksworld,insufficient,46,0.92
BW,GPT-4o,blocksworld,weak_retrieval,4,0.08
BW,GPT-4o,mystery_blocksworld,insufficient,15,1.0
BW,Gemini,blocksworld,insufficient,25,0.5
BW,Gemini,blocksworld,weak_retrieval,22,0.44
BW,Gemini,blocksworld,computation,3,0.06
BW,Gemini,mystery_blocksworld,insufficient,15,1.0
BW,Llama,(all),insufficient,26,0.4406779661016949
BW,Llama,(all),retrieval,19,0.3220338983050847
BW,Llama,(all),computation,14,0.23728813559322035
BW,Llama,blocksworld,insufficient,49,0.98
BW,Llama,blocksworld,weak_retrieval,1,0.02
BW,Llama,mystery_blocksworld,insufficient,15,1.0
BW,o4-mini,blocksworld,weak_retrieval,43,0.86
BW,o4-mini,blocksworld,computation,7,0.14
BW,o4-mini,mystery_blocksworld,insufficient,15,1.0
GSM,Claude,gsm_p1p2,computation,4,0.8
GSM,Claude,gsm_p1p2,mixed,1,0.2
GSM,Claude,gsm_symbolic,computation,25,0.6410256410256411
GSM,Claude,gsm_symbolic,mixed,7,0.1794871794871795
GSM,Claude,gsm_symbolic,retrieval,6,0.15384615384615385
GSM,Claude,gsm_symbolic,weak_retrieval,1,0.02564102564102564
GSM,GPT-4o,(all),retrieval,10,0.5
GSM,GPT-4o,(all),computation,6,0.3
GSM,GPT-4o,(all),insufficient,4,0.2
GSM,GPT-4o,gsm_p1p2,computation,3,0.6
GSM,GPT-4o,gsm_p1p2,retrieval,2,0.4
GSM,GPT-4o,gsm_symbolic,retrieval,8,0.5333333333333333
GSM,GPT-4o,gsm_symbolic,computation,4,0.26666666666666666
GSM,GPT-4o,gsm_symbolic,mixed,2,0.13333333333333333
GSM,GPT-4o,gsm_symbolic,weak_retrieval,1,0.06666666666666667
GSM,Gemini,gsm_p1p2,retrieval,3,0.6
GSM,Gemini,gsm_p1p2,computation,1,0.2
GSM,Gemini,gsm_p1p2,weak_retrieval,1,0.2
GSM,Gemini,gsm_symbolic,computation,20,0.5128205128205128
GSM,Gemini,gsm_symbolic,retrieval,10,0.2564102564102564
GSM,Gemini,gsm_symbolic,mixed,5,0.1282051282051282
GSM,Gemini,gsm_symbolic,weak_retrieval,4,0.10256410256410256
GSM,Llama,(all),retrieval,13,0.65
GSM,Llama,(all),computation,4,0.2
GSM,Llama,(all),insufficient,3,0.15
GSM,Llama,gsm_p1p2,retrieval,2,0.4
GSM,Llama,gsm_p1p2,computation,1,0.2
GSM,Llama,gsm_p1p2,mixed,1,0.2
GSM,Llama,gsm_p1p2,weak_retrieval,1,0.2
GSM,Llama,gsm_symbolic,mixed,6,0.4
GSM,Llama,gsm_symbolic,retrieval,6,0.4
GSM,Llama,gsm_symbolic,computation,2,0.13333333333333333
GSM,Llama,gsm_symbolic,weak_retrieval,1,0.06666666666666667
GSM,o4-mini,gsm_p1p2,computation,4,0.8
GSM,o4-mini,gsm_p1p2,mixed,1,0.2
GSM,o4-mini,gsm_symbolic,computation,32,0.8205128205128205
GSM,o4-mini,gsm_symbolic,mixed,5,0.1282051282051282
GSM,o4-mini,gsm_symbolic,insufficient,1,0.02564102564102564
GSM,o4-mini,gsm_symbolic,retrieval,1,0.02564102564102564
