mech_model_key,problem_id,rank_canonical,rank_w3,rank_shift_canonical_minus_w3,w3_ok,cluster_id,model
Qwen/Qwen2.5-1.5B-Instruct,SP_020,28,30,-2,False,ALGO_CLONE_005,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,SP_021,28,27,1,False,ALGO_CLONE_005,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,SP_023,182,201,-19,False,ALGO_CLONE_006,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,SP_024,179,214,-35,False,ALGO_CLONE_006,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,SP_026,167,206,-39,False,ALGO_CLONE_006,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,SP_027,187,144,43,False,ALGO_CLONE_007,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,SP_028,192,146,46,False,ALGO_CLONE_007,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,SP_029,184,127,57,False,ALGO_CLONE_007,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,SP_030,200,153,47,False,ALGO_CLONE_007,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,SP_037,29,35,-6,False,ALGO_CLONE_005,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,SP_038,28,35,-7,False,ALGO_CLONE_005,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,SP_039,28,29,-1,False,ALGO_CLONE_005,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,SP_040,31,32,-1,False,ALGO_CLONE_005,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,SP_042,169,223,-54,False,ALGO_CLONE_006,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,SP_044,165,195,-30,False,ALGO_CLONE_006,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,SP_045,190,150,40,False,ALGO_CLONE_007,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,SP_046,199,172,27,False,ALGO_CLONE_007,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,SP_047,193,135,58,False,ALGO_CLONE_007,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,SP_048,207,133,74,False,ALGO_CLONE_007,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,SP_062,28,30,-2,False,ALGO_CLONE_005,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,SP_063,28,28,0,False,ALGO_CLONE_005,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,SP_064,29,27,2,False,ALGO_CLONE_005,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,SP_065,29,28,1,False,ALGO_CLONE_005,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,SP_066,180,173,7,False,ALGO_CLONE_006,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,SP_068,175,229,-54,False,ALGO_CLONE_006,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,SP_069,194,208,-14,False,ALGO_CLONE_006,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,SP_070,181,146,35,False,ALGO_CLONE_007,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,SP_071,183,127,56,False,ALGO_CLONE_007,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,SP_072,192,144,48,False,ALGO_CLONE_007,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,SP_073,202,159,43,False,ALGO_CLONE_007,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,WIS_003,97,114,-17,False,SINGLETON_WIS_003,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,WIS_004,61,235,-174,False,SINGLETON_WIS_004,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,WIS_013,159,207,-48,False,ALGO_CLONE_013,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,WIS_014,60,114,-54,False,ALGO_CLONE_013,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,WIS_015,159,208,-49,False,ALGO_CLONE_013,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,WIS_016,67,105,-38,False,ALGO_CLONE_013,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,WIS_017,59,79,-20,False,ALGO_CLONE_013,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,WIS_018,59,92,-33,False,ALGO_CLONE_013,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,WIS_019,67,116,-49,False,ALGO_CLONE_013,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,WIS_020,59,96,-37,False,ALGO_CLONE_013,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,WIS_023,167,224,-57,False,ALGO_CLONE_014,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,WIS_024,161,213,-52,False,ALGO_CLONE_013,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,WIS_025,170,214,-44,False,ALGO_CLONE_014,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,WIS_026,65,110,-45,False,ALGO_CLONE_013,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,WIS_027,63,101,-38,False,ALGO_CLONE_013,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,WIS_028,172,229,-57,False,ALGO_CLONE_014,Qwen2.5-1.5B
Qwen/Qwen2.5-1.5B-Instruct,WIS_029,162,212,-50,False,ALGO_CLONE_013,Qwen2.5-1.5B
