problem_id,problem_subtype,old_template_contamination_score,new_template_contamination_score,new_max_ngram_length,new_max_ngram_count,template_query
BW_509,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
BW_510,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
BW_511,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
BW_512,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
BW_513,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
BW_514,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
BW_515,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
MBW_496,mystery_blocksworld,0.0,0.0,0,0,"Available actions: attack X, succumb X, overcome X Y, feast X Y."
MBW_497,mystery_blocksworld,0.0,0.0,0,0,"Available actions: attack X, succumb X, overcome X Y, feast X Y."
MBW_498,mystery_blocksworld,0.0,0.0,0,0,"Available actions: attack X, succumb X, overcome X Y, feast X Y."
MBW_499,mystery_blocksworld,0.0,0.0,0,0,"Available actions: attack X, succumb X, overcome X Y, feast X Y."
MBW_500,mystery_blocksworld,0.0,0.0,0,0,"Available actions: attack X, succumb X, overcome X Y, feast X Y."
BW_E_001,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
BW_E_002,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
BW_E_003,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
BW_E_004,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
BW_E_005,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
