defect,family,problem_id,model,variant,role,before,after,delta,source
ALGO_SP_W3_node_mapping,ALGO,SP_052,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_053,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_054,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_055,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_056,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_057,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_058,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_059,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_060,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_061,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_062,Claude,W3,perturbed,False,False,0.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_063,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_064,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_065,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_066,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_068,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_069,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_070,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_071,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_072,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_073,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_001,Claude,canonical,canonical,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_002,Claude,canonical,canonical,False,False,0.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_003,Claude,canonical,canonical,False,False,0.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_004,Claude,canonical,canonical,True,True,0.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_005,Claude,canonical,canonical,False,False,0.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_019,Claude,canonical,canonical,True,True,0.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_020,Claude,canonical,canonical,True,True,0.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_021,Claude,canonical,canonical,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_023,Claude,canonical,canonical,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_024,Claude,canonical,canonical,True,True,0.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_026,Claude,canonical,canonical,True,True,0.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_027,Claude,canonical,canonical,True,True,0.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_028,Claude,canonical,canonical,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_029,Claude,canonical,canonical,True,True,0.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_030,Claude,canonical,canonical,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_031,Claude,canonical,canonical,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_032,Claude,canonical,canonical,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_033,Claude,canonical,canonical,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_034,Claude,canonical,canonical,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_035,Claude,canonical,canonical,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_036,Claude,canonical,canonical,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_037,Claude,canonical,canonical,True,True,0.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_038,Claude,canonical,canonical,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_039,Claude,canonical,canonical,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_040,Claude,canonical,canonical,True,True,0.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_042,Claude,canonical,canonical,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_044,Claude,canonical,canonical,True,True,0.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_045,Claude,canonical,canonical,True,True,0.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_046,Claude,canonical,canonical,True,True,0.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_047,Claude,canonical,canonical,True,True,0.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_048,Claude,canonical,canonical,True,True,0.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_049,Claude,canonical,canonical,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_050,Claude,canonical,canonical,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_051,Claude,canonical,canonical,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_052,Claude,canonical,canonical,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_053,Claude,canonical,canonical,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_054,Claude,canonical,canonical,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_055,Claude,canonical,canonical,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_056,Claude,canonical,canonical,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_057,Claude,canonical,canonical,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_058,Claude,canonical,canonical,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_059,Claude,canonical,canonical,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_060,Claude,canonical,canonical,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_061,Claude,canonical,canonical,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_062,Claude,canonical,canonical,True,True,0.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_063,Claude,canonical,canonical,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_064,Claude,canonical,canonical,True,True,0.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_065,Claude,canonical,canonical,True,True,0.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_066,Claude,canonical,canonical,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_068,Claude,canonical,canonical,True,True,0.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_069,Claude,canonical,canonical,True,True,0.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_070,Claude,canonical,canonical,True,True,0.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_071,Claude,canonical,canonical,True,True,0.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_072,Claude,canonical,canonical,True,True,0.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_073,Claude,canonical,canonical,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_001,Gemini,W3,perturbed,False,False,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_002,Gemini,W3,perturbed,False,False,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_003,Gemini,W3,perturbed,False,False,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_004,Gemini,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_005,Gemini,W3,perturbed,False,False,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_019,Gemini,W3,perturbed,False,False,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_020,Gemini,W3,perturbed,True,True,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_021,Gemini,W3,perturbed,False,False,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_023,Gemini,W3,perturbed,True,True,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_024,Gemini,W3,perturbed,True,True,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_026,Gemini,W3,perturbed,True,True,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_027,Gemini,W3,perturbed,False,False,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_028,Gemini,W3,perturbed,False,False,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_029,Gemini,W3,perturbed,False,False,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_030,Gemini,W3,perturbed,False,False,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_031,Gemini,W3,perturbed,True,True,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_032,Gemini,W3,perturbed,True,True,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_033,Gemini,W3,perturbed,False,False,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_034,Gemini,W3,perturbed,True,True,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_035,Gemini,W3,perturbed,False,False,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_036,Gemini,W3,perturbed,False,False,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_037,Gemini,W3,perturbed,False,False,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_038,Gemini,W3,perturbed,False,False,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_039,Gemini,W3,perturbed,False,False,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_040,Gemini,W3,perturbed,False,False,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_042,Gemini,W3,perturbed,True,True,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_044,Gemini,W3,perturbed,True,True,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_045,Gemini,W3,perturbed,False,False,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_046,Gemini,W3,perturbed,True,True,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_047,Gemini,W3,perturbed,False,False,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_048,Gemini,W3,perturbed,False,False,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_049,Gemini,W3,perturbed,True,True,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_050,Gemini,W3,perturbed,False,False,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_051,Gemini,W3,perturbed,False,False,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_052,Gemini,W3,perturbed,False,False,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_053,Gemini,W3,perturbed,True,True,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_054,Gemini,W3,perturbed,False,False,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_055,Gemini,W3,perturbed,True,True,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_056,Gemini,W3,perturbed,True,True,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_057,Gemini,W3,perturbed,True,True,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_058,Gemini,W3,perturbed,True,True,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_059,Gemini,W3,perturbed,True,True,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_060,Gemini,W3,perturbed,False,False,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_061,Gemini,W3,perturbed,False,False,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_062,Gemini,W3,perturbed,False,False,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_063,Gemini,W3,perturbed,False,False,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_064,Gemini,W3,perturbed,True,True,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_065,Gemini,W3,perturbed,False,False,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_066,Gemini,W3,perturbed,True,True,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_068,Gemini,W3,perturbed,True,True,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_069,Gemini,W3,perturbed,False,False,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_070,Gemini,W3,perturbed,True,True,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_071,Gemini,W3,perturbed,False,False,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_072,Gemini,W3,perturbed,False,False,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_073,Gemini,W3,perturbed,False,False,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_001,Gemini,canonical,canonical,False,False,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_002,Gemini,canonical,canonical,True,True,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_003,Gemini,canonical,canonical,False,False,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_004,Gemini,canonical,canonical,False,True,1.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_005,Gemini,canonical,canonical,False,False,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_019,Gemini,canonical,canonical,True,True,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_020,Gemini,canonical,canonical,True,True,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_021,Gemini,canonical,canonical,True,True,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_023,Gemini,canonical,canonical,True,True,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_024,Gemini,canonical,canonical,True,True,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_026,Gemini,canonical,canonical,True,True,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_027,Gemini,canonical,canonical,True,True,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_028,Gemini,canonical,canonical,False,False,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_029,Gemini,canonical,canonical,False,False,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_030,Gemini,canonical,canonical,False,False,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_031,Gemini,canonical,canonical,True,True,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_032,Gemini,canonical,canonical,False,False,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_033,Gemini,canonical,canonical,False,False,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_034,Gemini,canonical,canonical,True,True,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_035,Gemini,canonical,canonical,True,True,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_036,Gemini,canonical,canonical,False,False,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_037,Gemini,canonical,canonical,True,True,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_038,Gemini,canonical,canonical,True,True,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_039,Gemini,canonical,canonical,True,True,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_040,Gemini,canonical,canonical,True,True,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_042,Gemini,canonical,canonical,False,False,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_044,Gemini,canonical,canonical,True,True,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_045,Gemini,canonical,canonical,True,True,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_046,Gemini,canonical,canonical,True,True,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_047,Gemini,canonical,canonical,True,True,0.0,ALGO_P1_behavioral_gemini_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_048,Gemini,canonical,canonical,False,False,0.0,ALGO_P1_behavioral_gemini_rescored.csv
