problem_id,model,tep,session_status,adapted,resistant,illegal_both,n_nl_remappable,n_canonical_shape,null_cause
BW_E002,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E002,meta-llama/llama-3.1-8b-instruct,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_001,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,27,0,25,abort_forces_null
BW_001,anthropic/claude-sonnet-4,,complete,0,0,36,0,40,tep_denom_zero_all_illegal_or_ambiguous
BW_002,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_002,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_002,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_002,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_010,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,18,0,13,abort_forces_null
BW_010,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,12,0,6,abort_forces_null
BW_010,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,12,0,6,abort_forces_null
BW_010,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,18,0,12,abort_forces_null
BW_011,anthropic/claude-sonnet-4,,complete,0,0,16,0,47,tep_denom_zero_all_illegal_or_ambiguous
BW_011,anthropic/claude-sonnet-4,1.0,complete,1,0,2,0,7,has_score
BW_011,anthropic/claude-sonnet-4,,complete,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_011,anthropic/claude-sonnet-4,,complete,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_014,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_014,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_014,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_014,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_022,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_022,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_022,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_022,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_080,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,12,0,7,abort_forces_null
BW_080,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,12,0,6,abort_forces_null
BW_080,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,12,0,6,abort_forces_null
BW_080,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,12,0,6,abort_forces_null
BW_120,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,13,0,7,abort_forces_null
BW_120,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,12,0,6,abort_forces_null
BW_120,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,14,0,8,abort_forces_null
BW_137,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,12,0,6,abort_forces_null
BW_137,anthropic/claude-sonnet-4,,complete,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_137,anthropic/claude-sonnet-4,,complete,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_137,anthropic/claude-sonnet-4,,complete,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_155,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,13,0,7,abort_forces_null
BW_155,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,12,0,6,abort_forces_null
BW_155,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,15,0,9,abort_forces_null
BW_155,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,12,0,6,abort_forces_null
BW_172,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,18,8,5,abort_forces_null
BW_172,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,15,6,3,abort_forces_null
BW_172,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,23,11,6,abort_forces_null
BW_172,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,22,10,6,abort_forces_null
BW_203,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_203,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_203,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_203,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_227,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,12,0,7,abort_forces_null
BW_227,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,12,0,6,abort_forces_null
BW_227,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,12,0,6,abort_forces_null
BW_227,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,12,6,0,abort_forces_null
BW_282,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_282,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_282,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_282,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_310,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_310,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_310,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_310,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_331,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_331,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_331,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_350,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_350,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_350,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_350,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_408,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_408,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_408,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_408,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_467,anthropic/claude-sonnet-4,,complete,0,0,0,0,47,tep_denom_zero_all_illegal_or_ambiguous
BW_467,anthropic/claude-sonnet-4,,complete,0,0,0,0,43,tep_denom_zero_all_illegal_or_ambiguous
BW_467,anthropic/claude-sonnet-4,,complete,0,0,0,0,40,tep_denom_zero_all_illegal_or_ambiguous
BW_467,anthropic/claude-sonnet-4,,complete,0,0,0,0,37,tep_denom_zero_all_illegal_or_ambiguous
BW_495,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_495,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_495,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_495,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E002,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E015,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E017,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E019,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E100,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E100,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E100,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_E100,anthropic/claude-sonnet-4,,blank,0,0,0,0,0,tep_denom_zero_all_illegal_or_ambiguous
BW_496,anthropic/claude-sonnet-4,,complete,0,0,0,0,47,tep_denom_zero_all_illegal_or_ambiguous
BW_496,anthropic/claude-sonnet-4,,complete,0,0,0,0,43,tep_denom_zero_all_illegal_or_ambiguous
BW_496,anthropic/claude-sonnet-4,,complete,0,0,0,0,39,tep_denom_zero_all_illegal_or_ambiguous
BW_496,anthropic/claude-sonnet-4,,complete,0,0,0,0,36,tep_denom_zero_all_illegal_or_ambiguous
BW_497,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,14,0,8,abort_forces_null
BW_498,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,12,0,6,abort_forces_null
BW_498,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,12,0,6,abort_forces_null
BW_498,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,12,0,6,abort_forces_null
BW_498,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,12,0,6,abort_forces_null
BW_499,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,12,0,6,abort_forces_null
BW_499,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,12,0,6,abort_forces_null
BW_499,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,1,0,12,0,7,abort_forces_null
BW_499,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,12,0,6,abort_forces_null
BW_500,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,12,0,7,abort_forces_null
BW_500,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,12,0,6,abort_forces_null
BW_500,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,12,0,6,abort_forces_null
BW_500,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,12,0,6,abort_forces_null
BW_501,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,15,0,11,abort_forces_null
BW_501,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,1,0,14,0,9,abort_forces_null
BW_501,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,12,0,6,abort_forces_null
BW_501,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,12,0,6,abort_forces_null
BW_502,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,12,0,6,abort_forces_null
BW_502,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,12,6,0,abort_forces_null
BW_502,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,12,0,6,abort_forces_null
BW_502,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,12,0,6,abort_forces_null
BW_503,anthropic/claude-sonnet-4,,complete,0,0,0,0,47,tep_denom_zero_all_illegal_or_ambiguous
BW_503,anthropic/claude-sonnet-4,,complete,0,0,0,0,42,tep_denom_zero_all_illegal_or_ambiguous
BW_503,anthropic/claude-sonnet-4,,complete,0,0,0,0,38,tep_denom_zero_all_illegal_or_ambiguous
BW_503,anthropic/claude-sonnet-4,,complete,0,0,0,0,35,tep_denom_zero_all_illegal_or_ambiguous
BW_504,anthropic/claude-sonnet-4,,complete,0,0,0,0,47,tep_denom_zero_all_illegal_or_ambiguous
BW_504,anthropic/claude-sonnet-4,,complete,0,0,0,0,41,tep_denom_zero_all_illegal_or_ambiguous
BW_504,anthropic/claude-sonnet-4,,complete,0,0,0,0,37,tep_denom_zero_all_illegal_or_ambiguous
BW_504,anthropic/claude-sonnet-4,,complete,0,0,0,0,33,tep_denom_zero_all_illegal_or_ambiguous
BW_505,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,12,0,6,abort_forces_null
BW_505,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,12,0,6,abort_forces_null
BW_505,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,12,0,6,abort_forces_null
BW_505,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,12,0,6,abort_forces_null
BW_506,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,12,0,6,abort_forces_null
BW_506,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,12,0,6,abort_forces_null
BW_506,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,12,0,6,abort_forces_null
BW_507,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,12,0,6,abort_forces_null
BW_508,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,13,0,8,abort_forces_null
BW_508,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,12,0,6,abort_forces_null
BW_508,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,12,0,6,abort_forces_null
BW_508,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,13,0,8,abort_forces_null
BW_509,anthropic/claude-sonnet-4,,aborted: excessive illegal steps,0,0,12,0,6,abort_forces_null
