family,scope,model,vote_signal,fire_rate,n_instances
BW,model,GPT-4o,p1_w3_keep,0.16129032258064516,124
BW,model,GPT-4o,p1_multi_variant,0.16129032258064516,124
BW,model,GPT-4o,p1_vri_high,0.16129032258064516,124
BW,model,GPT-4o,p2_cci_comp,0.0,124
BW,model,GPT-4o,p2_cci_retr,0.0,124
BW,model,GPT-4o,p2_match_first,0.0,124
BW,model,GPT-4o,p2_crit_step,0.0,124
BW,model,GPT-4o,p2_impl_recovery,0.0,124
BW,model,GPT-4o,p2_impl_fail,0.0,124
BW,model,GPT-4o,p3_contam_high,0.0,124
BW,model,GPT-4o,p3_depth_high,0.0,124
BW,model,Gemini,p3_contam_low,1.0,65
BW,model,Gemini,p1_rename_fragile,0.3384615384615385,65
BW,model,Gemini,p1_vri_high,0.3384615384615385,65
BW,model,Gemini,p1_w3_keep,0.046153846153846156,65
BW,model,Gemini,p1_multi_variant,0.046153846153846156,65
BW,model,Gemini,p2_cci_comp,0.0,65
BW,model,Gemini,p2_cci_retr,0.0,65
BW,model,Gemini,p2_match_first,0.0,65
BW,model,Gemini,p2_crit_step,0.0,65
BW,model,Gemini,p2_impl_recovery,0.0,65
BW,model,Gemini,p2_impl_fail,0.0,65
BW,model,Gemini,p3_contam_high,0.0,65
BW,model,Gemini,p3_depth_high,0.0,65
BW,model,Llama,p3_contam_low,0.5241935483870968,124
BW,model,Llama,p1_rename_fragile,0.16129032258064516,124
BW,model,Llama,p1_vri_high,0.16129032258064516,124
BW,model,Llama,p1_w3_keep,0.12096774193548387,124
BW,model,Llama,p1_multi_variant,0.11290322580645161,124
BW,model,Llama,p2_cci_comp,0.0,124
BW,model,Llama,p2_cci_retr,0.0,124
BW,model,Llama,p2_match_first,0.0,124
BW,model,Llama,p2_crit_step,0.0,124
BW,model,Llama,p2_impl_recovery,0.0,124
BW,model,Llama,p2_impl_fail,0.0,124
BW,model,Llama,p3_contam_high,0.0,124
BW,model,Llama,p3_depth_high,0.0,124
BW,model,o4-mini,p3_contam_low,1.0,65
BW,model,o4-mini,p1_rename_fragile,0.6615384615384615,65
BW,model,o4-mini,p1_vri_high,0.6615384615384615,65
BW,model,o4-mini,p1_w3_keep,0.1076923076923077,65
BW,model,o4-mini,p1_multi_variant,0.1076923076923077,65
BW,model,o4-mini,p2_cci_comp,0.0,65
BW,model,o4-mini,p2_cci_retr,0.0,65
BW,model,o4-mini,p2_match_first,0.0,65
BW,model,o4-mini,p2_crit_step,0.0,65
BW,model,o4-mini,p2_impl_recovery,0.0,65
BW,model,o4-mini,p2_impl_fail,0.0,65
BW,model,o4-mini,p3_contam_high,0.0,65
BW,model,o4-mini,p3_depth_high,0.0,65
GSM,family,(all),p3_contam_low,0.8113207547169812,212
GSM,family,(all),p2_cci_retr,0.5613207547169812,212
GSM,family,(all),p1_w3_keep,0.4858490566037736,212
GSM,family,(all),p1_multi_variant,0.4858490566037736,212
GSM,family,(all),p1_rename_fragile,0.3632075471698113,212
GSM,family,(all),p1_vri_high,0.3632075471698113,212
GSM,family,(all),p2_cci_comp,0.12264150943396226,212
GSM,family,(all),p2_match_first,0.0,212
GSM,family,(all),p2_crit_step,0.0,212
GSM,family,(all),p2_impl_recovery,0.0,212
GSM,family,(all),p2_impl_fail,0.0,212
GSM,family,(all),p3_contam_high,0.0,212
GSM,family,(all),p3_depth_high,0.0,212
GSM,model,Claude,p3_contam_low,1.0,44
GSM,model,Claude,p2_cci_retr,0.7272727272727273,44
GSM,model,Claude,p1_w3_keep,0.6590909090909091,44
GSM,model,Claude,p1_multi_variant,0.6590909090909091,44
GSM,model,Claude,p1_rename_fragile,0.18181818181818182,44
GSM,model,Claude,p1_vri_high,0.18181818181818182,44
GSM,model,Claude,p2_cci_comp,0.1590909090909091,44
GSM,model,Claude,p2_match_first,0.0,44
GSM,model,Claude,p2_crit_step,0.0,44
GSM,model,Claude,p2_impl_recovery,0.0,44
GSM,model,Claude,p2_impl_fail,0.0,44
GSM,model,Claude,p3_contam_high,0.0,44
GSM,model,Claude,p3_depth_high,0.0,44
GSM,model,GPT-4o,p1_rename_fragile,0.55,40
GSM,model,GPT-4o,p1_vri_high,0.55,40
GSM,model,GPT-4o,p3_contam_low,0.5,40
GSM,model,GPT-4o,p2_cci_retr,0.4,40
GSM,model,GPT-4o,p1_w3_keep,0.275,40
GSM,model,GPT-4o,p1_multi_variant,0.275,40
GSM,model,GPT-4o,p2_cci_comp,0.075,40
GSM,model,GPT-4o,p2_match_first,0.0,40
GSM,model,GPT-4o,p2_crit_step,0.0,40
GSM,model,GPT-4o,p2_impl_recovery,0.0,40
GSM,model,GPT-4o,p2_impl_fail,0.0,40
GSM,model,GPT-4o,p3_contam_high,0.0,40
GSM,model,GPT-4o,p3_depth_high,0.0,40
GSM,model,Gemini,p3_contam_low,1.0,44
GSM,model,Gemini,p2_cci_retr,0.5909090909090909,44
GSM,model,Gemini,p1_w3_keep,0.4772727272727273,44
GSM,model,Gemini,p1_multi_variant,0.4772727272727273,44
GSM,model,Gemini,p1_rename_fragile,0.4318181818181818,44
GSM,model,Gemini,p1_vri_high,0.4318181818181818,44
GSM,model,Gemini,p2_cci_comp,0.1590909090909091,44
GSM,model,Gemini,p2_match_first,0.0,44
GSM,model,Gemini,p2_crit_step,0.0,44
GSM,model,Gemini,p2_impl_recovery,0.0,44
GSM,model,Gemini,p2_impl_fail,0.0,44
GSM,model,Gemini,p3_contam_high,0.0,44
GSM,model,Gemini,p3_depth_high,0.0,44
GSM,model,Llama,p1_rename_fragile,0.65,40
GSM,model,Llama,p1_vri_high,0.65,40
GSM,model,Llama,p3_contam_low,0.5,40
GSM,model,Llama,p2_cci_retr,0.375,40
GSM,model,Llama,p1_w3_keep,0.175,40
GSM,model,Llama,p1_multi_variant,0.175,40
GSM,model,Llama,p2_cci_comp,0.075,40
GSM,model,Llama,p2_match_first,0.0,40
GSM,model,Llama,p2_crit_step,0.0,40
GSM,model,Llama,p2_impl_recovery,0.0,40
GSM,model,Llama,p2_impl_fail,0.0,40
GSM,model,Llama,p3_contam_high,0.0,40
GSM,model,Llama,p3_depth_high,0.0,40
GSM,model,o4-mini,p3_contam_low,1.0,44
GSM,model,o4-mini,p1_w3_keep,0.7954545454545454,44
GSM,model,o4-mini,p1_multi_variant,0.7954545454545454,44
GSM,model,o4-mini,p2_cci_retr,0.6818181818181818,44
GSM,model,o4-mini,p2_cci_comp,0.13636363636363635,44
GSM,model,o4-mini,p1_rename_fragile,0.045454545454545456,44
GSM,model,o4-mini,p1_vri_high,0.045454545454545456,44
GSM,model,o4-mini,p2_match_first,0.0,44
GSM,model,o4-mini,p2_crit_step,0.0,44
GSM,model,o4-mini,p2_impl_recovery,0.0,44
GSM,model,o4-mini,p2_impl_fail,0.0,44
GSM,model,o4-mini,p3_contam_high,0.0,44
GSM,model,o4-mini,p3_depth_high,0.0,44
