cell,model,subtype,variant,pool,k,n,n_clone_families,acc,iid_bootstrap_lo,iid_bootstrap_hi,iid_width,cluster_bootstrap_lo,cluster_bootstrap_hi,cluster_width,width_ratio_cluster_over_iid,wilson_lo,wilson_hi,wilson_width,note
Claude|ALL|canonical|bank110,Claude,ALL,canonical,bank_110,40,110,51,0.36363636363636365,0.2727272727272727,0.45454545454545453,0.18181818181818182,0.19718309859154928,0.48031496062992124,0.28313186203837193,1.5572252412110457,0.2797508773735517,0.4567250681507558,0.1769741907772041,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|shortest_path|W1|bank110,Claude,shortest_path,W1,bank_110_subtype,25,55,20,0.45454545454545453,0.32727272727272727,0.5818181818181818,0.2545454545454545,0.1724137931034483,0.5977042728635682,0.4252904797601199,1.6707840276290427,0.330250717464462,0.584775386516395,0.25452466905193305,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|shortest_path|W2|bank110,Claude,shortest_path,W2,bank_110_subtype,37,55,20,0.6727272727272727,0.5454545454545454,0.8,0.25454545454545463,0.46551724137931033,0.8431372549019608,0.37762001352265046,1.4835071959818407,0.5410297617609947,0.7818710431117484,0.24084128135075367,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|shortest_path|W3|bank110,Claude,shortest_path,W3,bank_110_subtype,1,55,20,0.01818181818181818,0.0,0.05454545454545454,0.05454545454545454,0.0,0.08108108108108109,0.08108108108108109,1.4864864864864866,0.003216697592252786,0.09606000460483224,0.09284330701257945,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|shortest_path|W4|bank110,Claude,shortest_path,W4,bank_110_subtype,48,55,20,0.8727272727272727,0.7818181818181819,0.9454545454545454,0.16363636363636358,0.75,0.9666666666666667,0.21666666666666667,1.3240740740740746,0.7598272515317739,0.9369586958251979,0.17713144429342398,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|shortest_path|W5|bank110,Claude,shortest_path,W5,bank_110_subtype,0,50,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.07135003417431873,0.07135003417431873,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|SP|canonical|table7_chall,Claude,SP,canonical,table7_chall,22,34,6,0.6470588235294118,0.47058823529411764,0.7941176470588235,0.32352941176470584,0.46153846153846156,0.717948717948718,0.2564102564102564,0.7925407925407926,0.4791365883001342,0.7851228510470394,0.30598626274690516,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|SP|canonical|table7_std,Claude,SP,canonical,table7_std,0,21,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.15464382326420195,0.15464382326420195,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|SP|W1|table7_chall,Claude,SP,W1,table7_chall,21,34,6,0.6176470588235294,0.4411764705882353,0.7647058823529411,0.32352941176470584,0.23076923076923078,0.7627118644067796,0.5319426336375488,1.6441863221524238,0.4504071999938267,0.7610003514839122,0.3105931514900855,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|SP|W1|table7_std,Claude,SP,W1,table7_std,4,21,15,0.19047619047619047,0.047619047619047616,0.38095238095238093,0.3333333333333333,0.041666666666666664,0.4117647058823529,0.37009803921568624,1.1102941176470589,0.07667440615177301,0.40000986539273287,0.32333545924095985,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|SP|W2|table7_chall,Claude,SP,W2,table7_chall,23,34,6,0.6764705882352942,0.5,0.8235294117647058,0.32352941176470584,0.35294117647058826,0.918918918918919,0.5659777424483308,1.7493857493857499,0.5084258404811939,0.8086854867354143,0.3002596462542204,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|SP|W2|table7_std,Claude,SP,W2,table7_std,14,21,15,0.6666666666666666,0.47619047619047616,0.8571428571428571,0.38095238095238093,0.42105263157894735,0.875,0.45394736842105265,1.1916118421052633,0.45373075657210293,0.8280546356731631,0.37432387910106013,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|SP|W3|table7_chall,Claude,SP,W3,table7_chall,0,34,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.10151790621961015,0.10151790621961015,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|SP|W3|table7_std,Claude,SP,W3,table7_std,1,21,15,0.047619047619047616,0.0,0.14285714285714285,0.14285714285714285,0.0,0.16666666666666666,0.16666666666666666,1.1666666666666667,0.008455769471923294,0.22669816586235464,0.21824239639043136,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|SP|W4|table7_chall,Claude,SP,W4,table7_chall,28,34,6,0.8235294117647058,0.6764705882352942,0.9411764705882353,0.2647058823529411,0.5294117647058824,0.9534883720930233,0.4240766073871409,1.6020671834625326,0.6648593225994784,0.9165114439643031,0.2516521213648246,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|SP|W4|table7_std,Claude,SP,W4,table7_std,20,21,15,0.9523809523809523,0.8571428571428571,1.0,0.1428571428571429,0.8571428571428571,1.0,0.1428571428571429,1.0,0.7733018341376452,0.9915442305280766,0.21824239639043141,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|SP|W5|table7_chall,Claude,SP,W5,table7_chall,0,31,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.11025900073475384,0.11025900073475384,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|SP|W5|table7_std,Claude,SP,W5,table7_std,0,19,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.16818436536845055,0.16818436536845055,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|wis|canonical|bank110,Claude,wis,canonical,bank_110_subtype,7,30,17,0.23333333333333334,0.1,0.4,0.30000000000000004,0.0,0.34782608695652173,0.34782608695652173,1.1594202898550723,0.11792239210501232,0.40928672330324267,0.29136433119823035,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|wis|W1|bank110,Claude,wis,W1,bank_110_subtype,6,30,17,0.2,0.06666666666666667,0.3333333333333333,0.26666666666666666,0.09523809523809523,0.35294117647058826,0.257703081232493,0.9663865546218489,0.09504978102401235,0.37306047381027446,0.2780106927862621,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|wis|W2|bank110,Claude,wis,W2,bank_110_subtype,5,30,17,0.16666666666666666,0.03333333333333333,0.3,0.26666666666666666,0.058823529411764705,0.3684210526315789,0.3095975232198142,1.1609907120743033,0.07336434240351683,0.33564705185680177,0.2622827094532849,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|wis|W3|bank110,Claude,wis,W3,bank_110_subtype,0,30,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.113517091390478,0.113517091390478,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|wis|W4|bank110,Claude,wis,W4,bank_110_subtype,2,30,17,0.06666666666666667,0.0,0.16666666666666666,0.16666666666666666,0.0,0.23529411764705882,0.23529411764705882,1.411764705882353,0.01847663532769335,0.21323817721072091,0.19476154188302758,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|WIS|canonical|table7_chall,Claude,WIS,canonical,table7_chall,6,17,4,0.35294117647058826,0.11764705882352941,0.5882352941176471,0.47058823529411764,0.0,0.6,0.6,1.275,0.17309486143904904,0.5870003327878818,0.4139054713488327,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|WIS|canonical|table7_std,Claude,WIS,canonical,table7_std,1,13,13,0.07692307692307693,0.0,0.23076923076923078,0.23076923076923078,0.0,0.23076923076923078,0.23076923076923078,1.0,0.013710066379696323,0.3331453392824736,0.3194352729027773,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|WIS|W1|table7_chall,Claude,WIS,W1,table7_chall,3,17,4,0.17647058823529413,0.0,0.35294117647058826,0.35294117647058826,0.0,0.3,0.3,0.8499999999999999,0.0619101371254899,0.41029929017375777,0.3483891530482679,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|WIS|W1|table7_std,Claude,WIS,W1,table7_std,3,13,13,0.23076923076923078,0.0,0.46153846153846156,0.46153846153846156,0.0,0.46153846153846156,0.46153846153846156,1.0,0.08179379092465713,0.5025687399512693,0.42077494902661217,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|WIS|W2|table7_chall,Claude,WIS,W2,table7_chall,2,17,4,0.11764705882352941,0.0,0.29411764705882354,0.29411764705882354,0.0,0.5,0.5,1.7,0.03287908001292092,0.3433684249770991,0.3104893449641781,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|WIS|W2|table7_std,Claude,WIS,W2,table7_std,3,13,13,0.23076923076923078,0.0,0.46153846153846156,0.46153846153846156,0.0,0.46153846153846156,0.46153846153846156,1.0,0.08179379092465713,0.5025687399512693,0.42077494902661217,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|WIS|W3|table7_chall,Claude,WIS,W3,table7_chall,0,17,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.18432366037156456,0.18432366037156456,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|WIS|W3|table7_std,Claude,WIS,W3,table7_std,0,13,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.22810184305529166,0.22810184305529166,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|WIS|W4|table7_chall,Claude,WIS,W4,table7_chall,1,17,4,0.058823529411764705,0.0,0.17647058823529413,0.17647058823529413,0.0,0.5,0.5,2.833333333333333,0.010460130645164212,0.269825452035628,0.2593653213904638,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|WIS|W4|table7_std,Claude,WIS,W4,table7_std,1,13,13,0.07692307692307693,0.0,0.23076923076923078,0.23076923076923078,0.0,0.23076923076923078,0.23076923076923078,1.0,0.013710066379696323,0.3331453392824736,0.3194352729027773,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|ALL|canonical|frozen61,Claude,ALL,canonical,frozen_61,35,61,14,0.5737704918032787,0.4426229508196721,0.7049180327868853,0.26229508196721313,0.38461538461538464,0.719303594351733,0.33468820973634833,1.2759987996198279,0.44895006843512514,0.6898497144203256,0.24089964598520047,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|ALL|W1|frozen61,Claude,ALL,W1,frozen_61,31,61,14,0.5081967213114754,0.3770491803278688,0.639344262295082,0.2622950819672132,0.2553191489361702,0.697685388328214,0.44236623939204384,1.6865212876821667,0.386024064532302,0.6293981335627482,0.24337406903044623,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|ALL|W2|frozen61,Claude,ALL,W2,frozen_61,32,61,14,0.5245901639344263,0.39344262295081966,0.6557377049180327,0.2622950819672131,0.23402482269503563,0.7878787878787878,0.5538539651837522,2.1115682422630555,0.4015694171531101,0.6446971771320402,0.2431277599789301,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|ALL|W3|frozen61,Claude,ALL,W3,frozen_61,6,61,14,0.09836065573770492,0.03278688524590164,0.18032786885245902,0.14754098360655737,0.0,0.30911011523687554,0.30911011523687554,2.095079669938823,0.045863951367309724,0.1984483419752358,0.15258439060792608,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|ALL|W4|frozen61,Claude,ALL,W4,frozen_61,37,61,14,0.6065573770491803,0.4918032786885246,0.7213114754098361,0.2295081967213115,0.24242424242424243,0.8695652173913043,0.6271409749670619,2.732542819499341,0.4811702438560874,0.7193183313795637,0.23814808752347627,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|ALL|W5|frozen61,Claude,ALL,W5,frozen_61,0,31,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.11025900073475384,0.11025900073475384,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|SP|canonical|frozen61,Claude,SP,canonical,frozen_61_subtype,22,34,6,0.6470588235294118,0.47058823529411764,0.7941176470588235,0.32352941176470584,0.46153846153846156,0.717948717948718,0.2564102564102564,0.7925407925407926,0.4791365883001342,0.7851228510470394,0.30598626274690516,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|SP|W1|frozen61,Claude,SP,W1,frozen_61_subtype,21,34,6,0.6176470588235294,0.4411764705882353,0.7647058823529411,0.32352941176470584,0.23076923076923078,0.7627118644067796,0.5319426336375488,1.6441863221524238,0.4504071999938267,0.7610003514839122,0.3105931514900855,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|SP|W2|frozen61,Claude,SP,W2,frozen_61_subtype,23,34,6,0.6764705882352942,0.5,0.8235294117647058,0.32352941176470584,0.35294117647058826,0.918918918918919,0.5659777424483308,1.7493857493857499,0.5084258404811939,0.8086854867354143,0.3002596462542204,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|SP|W3|frozen61,Claude,SP,W3,frozen_61_subtype,0,34,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.10151790621961015,0.10151790621961015,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|SP|W4|frozen61,Claude,SP,W4,frozen_61_subtype,28,34,6,0.8235294117647058,0.6764705882352942,0.9411764705882353,0.2647058823529411,0.5294117647058824,0.9534883720930233,0.4240766073871409,1.6020671834625326,0.6648593225994784,0.9165114439643031,0.2516521213648246,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|SP|W5|frozen61,Claude,SP,W5,frozen_61_subtype,0,31,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.11025900073475384,0.11025900073475384,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|CC|canonical|frozen61,Claude,CC,canonical,frozen_61_subtype,7,10,4,0.7,0.4,1.0,0.6,0.0,0.9545454545454546,0.9545454545454546,1.590909090909091,0.39677321997956516,0.892210712513788,0.49543749253422287,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|CC|W1|frozen61,Claude,CC,W1,frozen_61_subtype,7,10,4,0.7,0.4,1.0,0.6,0.0,0.875,0.875,1.4583333333333335,0.39677321997956516,0.892210712513788,0.49543749253422287,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|CC|W2|frozen61,Claude,CC,W2,frozen_61_subtype,7,10,4,0.7,0.4,1.0,0.6,0.0,0.9545454545454546,0.9545454545454546,1.590909090909091,0.39677321997956516,0.892210712513788,0.49543749253422287,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|CC|W3|frozen61,Claude,CC,W3,frozen_61_subtype,6,10,4,0.6,0.3,0.9,0.6000000000000001,0.0,0.75,0.75,1.2499999999999998,0.3126695474501863,0.8318224187964902,0.5191528713463038,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|CC|W4|frozen61,Claude,CC,W4,frozen_61_subtype,8,10,4,0.8,0.5,1.0,0.5,0.0,1.0,1.0,2.0,0.49015684672072335,0.9433190520193067,0.4531622052985833,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|WIS|canonical|frozen61,Claude,WIS,canonical,frozen_61_subtype,6,17,4,0.35294117647058826,0.11764705882352941,0.5882352941176471,0.47058823529411764,0.0,0.6,0.6,1.275,0.17309486143904904,0.5870003327878818,0.4139054713488327,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|WIS|W1|frozen61,Claude,WIS,W1,frozen_61_subtype,3,17,4,0.17647058823529413,0.0,0.35294117647058826,0.35294117647058826,0.0,0.3,0.3,0.8499999999999999,0.0619101371254899,0.41029929017375777,0.3483891530482679,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|WIS|W2|frozen61,Claude,WIS,W2,frozen_61_subtype,2,17,4,0.11764705882352941,0.0,0.29411764705882354,0.29411764705882354,0.0,0.5,0.5,1.7,0.03287908001292092,0.3433684249770991,0.3104893449641781,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|WIS|W3|frozen61,Claude,WIS,W3,frozen_61_subtype,0,17,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.18432366037156456,0.18432366037156456,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
Claude|WIS|W4|frozen61,Claude,WIS,W4,frozen_61_subtype,1,17,4,0.058823529411764705,0.0,0.17647058823529413,0.17647058823529413,0.0,0.5,0.5,2.833333333333333,0.010460130645164212,0.269825452035628,0.2593653213904638,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
GPT-4o|ALL|canonical|bank110,GPT-4o,ALL,canonical,bank_110,47,110,51,0.42727272727272725,0.33636363636363636,0.5181818181818182,0.18181818181818182,0.28301576464746775,0.5724179644048943,0.2894021997574266,1.5917120986658462,0.33882136454071754,0.5206324730722465,0.18181110853152893,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
GPT-4o|ALL|W1|bank110,GPT-4o,ALL,W1,bank_110,48,110,51,0.43636363636363634,0.34545454545454546,0.5272727272727272,0.18181818181818177,0.325,0.5618004280363831,0.23680042803638307,1.3024023542001073,0.3473834458841848,0.5296386620271587,0.1822552161429739,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
GPT-4o|ALL|W2|bank110,GPT-4o,ALL,W2,bank_110,12,110,51,0.10909090909090909,0.05454545454545454,0.17272727272727273,0.1181818181818182,0.012048192771084338,0.2214765100671141,0.20942831729602976,1.7720857617356363,0.06351398138853154,0.18105039578114984,0.1175364143926183,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
GPT-4o|ALL|W3|bank110,GPT-4o,ALL,W3,bank_110,19,110,51,0.17272727272727273,0.10909090909090909,0.24545454545454545,0.13636363636363635,0.07316628093288235,0.30275390877374336,0.229587627840861,1.6836426041663142,0.11345829455900079,0.25408397469933713,0.14062568014033633,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
GPT-4o|ALL|W4|bank110,GPT-4o,ALL,W4,bank_110,49,110,51,0.44545454545454544,0.35454545454545455,0.5363636363636364,0.18181818181818182,0.2575720072007201,0.6265150152850205,0.3689430080843004,2.029186544463652,0.3559755711590631,0.53861480705066,0.18263923589159692,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
GPT-4o|ALL|W5|bank110,GPT-4o,ALL,W5,bank_110,0,50,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.07135003417431873,0.07135003417431873,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
GPT-4o|coin_change|canonical|bank110,GPT-4o,coin_change,canonical,bank_110_subtype,10,25,14,0.4,0.2,0.6,0.39999999999999997,0.16666666666666666,0.5384615384615384,0.3717948717948718,0.9294871794871796,0.23403057664190918,0.5926087221487266,0.35857814550681744,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
GPT-4o|coin_change|W1|bank110,GPT-4o,coin_change,W1,bank_110_subtype,10,25,14,0.4,0.2,0.6,0.39999999999999997,0.21428571428571427,0.5238095238095238,0.30952380952380953,0.773809523809524,0.23403057664190918,0.5926087221487266,0.35857814550681744,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
GPT-4o|coin_change|W2|bank110,GPT-4o,coin_change,W2,bank_110_subtype,6,25,14,0.24,0.08,0.4,0.32,0.0,0.4864864864864865,0.4864864864864865,1.5202702702702704,0.11496157730326725,0.43430059955238565,0.31933902224911836,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
GPT-4o|coin_change|W3|bank110,GPT-4o,coin_change,W3,bank_110_subtype,1,25,14,0.04,0.0,0.12,0.12,0.0,0.14814814814814814,0.14814814814814814,1.2345679012345678,0.007096050386699165,0.19544472405022525,0.1883486736635261,iid=10k problem bootstrap (metric scripts); cluster=10k family resample; wilson=paper name
