family,model,variant,problem_id,error_class,canonical_gold,variant_gold,response_normalized,clone_family,rescored_correct,chance_i
ALGO,Gemini,W3,SP_019,OTHER_ERROR,"Path: 0 -> 3 -> 4 -> 6, Cost: 12","Path: Berlin -> Frankfurt -> Stuttgart -> Cologne, Cost: 12",0 -> 1 -> 2 -> 4 -> 6,ALGO_CLONE_005,False,0.0
ALGO,Gemini,W3,SP_021,OTHER_ERROR,"Path: 0 -> 3 -> 4 -> 8, Cost: 12","Path: London -> Bristol -> Birmingham -> Edinburgh, Cost: 12",0 -> 1 -> 2 -> 8,ALGO_CLONE_005,False,0.0
ALGO,Gemini,W3,SP_033,OTHER_ERROR,"Path: 0 -> 1 -> 2 -> 3 -> 4 -> 7, Cost: 23","Path: Paris -> Lyon -> Marseille -> Nice -> Monaco -> Montpellier, Cost: 23",0 -> 5 -> 6 -> 7,SINGLETON_SP_033,False,0.0
ALGO,Gemini,W3,SP_035,OTHER_ERROR,"Path: 0 -> 1 -> 4 -> 6, Cost: 19","Path: London -> Paris -> Lyon -> Milan, Cost: 19",0 -> 2 -> 3 -> 6,SINGLETON_SP_035,False,0.0
ALGO,Gemini,W3,SP_036,OTHER_ERROR,"Path: 0 -> 1 -> 3 -> 4 -> 6 -> 7, Cost: 12","Path: London -> Paris -> Rome -> Vienna -> Zurich -> Madrid, Cost: 12",0 -> 2 -> 5 -> 7,ALGO_CLONE_005,False,0.0
ALGO,Gemini,W3,SP_037,OTHER_ERROR,"Path: 0 -> 3 -> 4 -> 6, Cost: 12","Path: Madrid -> Avila -> Salamanca -> Leon, Cost: 12",0 -> 1 -> 2 -> 4 -> 6,ALGO_CLONE_005,False,0.0
ALGO,Gemini,W3,SP_038,OTHER_ERROR,"Path: 0 -> 3 -> 4 -> 8, Cost: 12","Path: Berlin -> Munich -> Vienna -> Budapest, Cost: 12",0 -> 1 -> 2 -> 4 -> 8,ALGO_CLONE_005,False,0.0
ALGO,Gemini,W3,SP_039,OTHER_ERROR,"Path: 0 -> 3 -> 4 -> 8, Cost: 12","Path: London -> Brussels -> Geneva -> Rome, Cost: 12",0 -> 1 -> 2 -> 4 -> 8,ALGO_CLONE_005,False,0.0
ALGO,Gemini,W3,SP_050,OTHER_ERROR,"Path: 0 -> 3 -> 4 -> 5 -> 7, Cost: 11","Path: Tokyo -> Nagoya -> Kobe -> Nara -> Sendai, Cost: 11",0 -> 1 -> 2 -> 7,ALGO_CLONE_011,False,0.0
ALGO,Gemini,W3,SP_051,OTHER_ERROR,"Path: 0 -> 1 -> 3 -> 4 -> 5 -> 7, Cost: 18","Path: London -> Paris -> Lyon -> Geneva -> Milan -> Rome, Cost: 18",0 -> 2 -> 6 -> 7,SINGLETON_SP_051,False,0.0
ALGO,Gemini,W3,SP_052,OTHER_ERROR,"Path: 0 -> 1 -> 2 -> 5 -> 6 -> 8, Cost: 11","Path: London -> Paris -> Lyon -> Geneva -> Milan -> Rome, Cost: 11",0 -> 3 -> 4 -> 8,ALGO_CLONE_011,False,0.0
ALGO,Gemini,W3,SP_054,OTHER_ERROR,"Path: 0 -> 1 -> 3 -> 4 -> 6 -> 7, Cost: 12","Path: London -> Paris -> Lyon -> Geneva -> Zurich -> Milan, Cost: 12",0 -> 2 -> 5 -> 7,ALGO_CLONE_005,False,0.0
ALGO,Gemini,W3,SP_058,PARTIAL_INTRUSION,"Path: 0 -> 3 -> 5 -> 7, Cost: 20","Path: London -> Birmingham -> Nottingham -> Sheffield, Cost: 20",0 -> 5 -> 7,ALGO_CLONE_008,True,0.0
ALGO,Gemini,W3,SP_061,OTHER_ERROR,"Path: 0 -> 1 -> 2 -> 5 -> 7, Cost: 16","Path: London -> Paris -> Berlin -> Prague -> Warsaw, Cost: 16",0 -> 3 -> 4 -> 7,SINGLETON_SP_061,False,0.0
ALGO,Gemini,W3,SP_062,OTHER_ERROR,"Path: 0 -> 3 -> 4 -> 6, Cost: 12","Path: London -> Amsterdam -> Prague -> Rome, Cost: 12",0 -> 1 -> 2 -> 4 -> 6,ALGO_CLONE_005,False,0.0
ALGO,Gemini,W3,SP_063,OTHER_ERROR,"Path: 0 -> 3 -> 4 -> 8, Cost: 12","Path: London -> Reading -> Bristol -> Edinburgh, Cost: 12",0 -> 6 -> 8,ALGO_CLONE_005,False,0.0
ALGO,Gemini,W3,SP_065,OTHER_ERROR,"Path: 0 -> 3 -> 4 -> 6, Cost: 12","Path: London -> Bristol -> Birmingham -> Edinburgh, Cost: 12",0 -> 1 -> 2 -> 6,ALGO_CLONE_005,False,0.0
ALGO,Gemini,W3,SP_069,OTHER_ERROR,"Path: 0 -> 2 -> 3 -> 7, Cost: 5","Path: London -> Brussels -> Amsterdam -> Munich, Cost: 5",0 -> 1 -> 7,ALGO_CLONE_006,False,0.0
ALGO,GPT-4o,W3,SP_001,OTHER_ERROR,"Path: 0 → 5 → 10 → 11, Cost: 17","Path: Hub A → Hub F → Hub K → Hub L, Cost: 17",A -> B -> D -> I -> L,SINGLETON_SP_001,False,0.0
ALGO,GPT-4o,W3,SP_002,INTRUSION,"Path: 16 → 12 → 9 → 19 → 18 → 6 → 5 → 10 → 15 → 21 → 11, Cost: 40","Path: Hub Q → Hub M → Hub J → Hub T → Hub S → Hub G → Hub F → Hub K → Hub P → Hub V → Hub L, Cost: 40",16 -> 12 -> 9 -> 19 -> 18 -> 6 -> 5 -> 10 -> 15 -> 21 -> 11,SINGLETON_SP_002,True,0.0
ALGO,GPT-4o,W3,SP_003,OTHER_ERROR,"Path: 11 → 17 → 10 → 2 → 3 → 9, Cost: 22","Path: Hub L → Hub R → Hub K → Hub C → Hub D → Hub J, Cost: 22",11 -> 18 -> 14 -> 0 -> 15 -> 5 -> 12 -> 3 -> 9,SINGLETON_SP_003,False,0.0
ALGO,GPT-4o,W3,SP_004,INTRUSION,"Path: 0 → 3 → 6 → 4 → 5 → 9, Cost: 8","Path: Hub A → Hub D → Hub G → Hub E → Hub F → Hub J, Cost: 8",0 -> 3 -> 6 -> 4 -> 5 -> 9,SINGLETON_SP_004,True,0.0
ALGO,GPT-4o,W3,SP_005,OTHER_ERROR,"Path: 0 → 4 → 9 → 11 → 14 → 15, Cost: 32","Path: Hub A → Hub E → Hub J → Hub L → Hub O → Hub P, Cost: 32",0 -> 1 -> 2 -> 6 -> 8 -> 10 -> 12 -> 14 -> 15,SINGLETON_SP_005,False,0.0
ALGO,GPT-4o,W3,WIS_001,PARTIAL_INTRUSION,"Selected: {0, 2, 4, 6, 9}, Total: 40","Selected: {Item A, Item C, Item E, Item G, Item J}, Total: 40","{0, 2, 4, 6, 8, 9}",SINGLETON_WIS_001,False,0.0
ALGO,GPT-4o,W3,WIS_002,OTHER_ERROR,"Selected: {1, 3, 7, 10, 11}, Total: 52","Selected: {Item B, Item D, Item H, Item K, Item L}, Total: 52","{1, 10, 11, 2, 3, 5, 6, 7, 8, 9}",SINGLETON_WIS_002,False,0.0
ALGO,GPT-4o,W3,WIS_003,OTHER_ERROR,"Selected: {1, 2, 3, 4, 10, 11, 13}, Total: 55","Selected: {Item B, Item C, Item D, Item E, Item K, Item L, Item N}, Total: 55","{0, 11, 12, 4, 9}",SINGLETON_WIS_003,False,0.0
ALGO,GPT-4o,W3,WIS_004,OTHER_ERROR,"Selected: {0, 1, 3, 6, 9, 11, 12}, Total: 37","Selected: {Item A, Item B, Item D, Item G, Item J, Item L, Item M}, Total: 37","{11, 15, 3, 4}",SINGLETON_WIS_004,False,0.0
ALGO,GPT-4o,W3,WIS_005,OTHER_ERROR,"Selected: {2, 5, 7, 8, 11, 14}, Total: 67","Selected: {Item C, Item F, Item H, Item I, Item L, Item O}, Total: 67","{0, 11, 13, 16, 2, 5, 8}",SINGLETON_WIS_005,False,0.0
ALGO,GPT-4o,W3,SP_019,OTHER_ERROR,"Path: 0 -> 3 -> 4 -> 6, Cost: 12","Path: Berlin -> Frankfurt -> Stuttgart -> Cologne, Cost: 12",0 -> 1 -> 2 -> 4 -> 6,ALGO_CLONE_005,False,0.0
ALGO,GPT-4o,W3,SP_020,OTHER_ERROR,"Path: 0 -> 3 -> 4 -> 5, Cost: 12","Path: Rome -> Florence -> Bologna -> Naples, Cost: 12",0 -> 1 -> 2 -> 4 -> 5,ALGO_CLONE_005,False,0.0
ALGO,GPT-4o,W3,SP_021,OTHER_ERROR,"Path: 0 -> 3 -> 4 -> 8, Cost: 12","Path: London -> Bristol -> Birmingham -> Edinburgh, Cost: 12",0 -> 1 -> 2 -> 4 -> 8,ALGO_CLONE_005,False,0.0
ALGO,GPT-4o,W3,SP_023,PARTIAL_INTRUSION,"Path: 0 -> 2 -> 3 -> 5, Cost: 5","Path: Tokyo -> Kyoto -> Nagoya -> Kobe, Cost: 5",0 -> 1 -> 3 -> 5,ALGO_CLONE_006,False,0.0
ALGO,GPT-4o,W3,SP_026,PARTIAL_INTRUSION,"Path: 0 -> 2 -> 3 -> 8, Cost: 5","Path: Paris -> Nice -> Marseille -> Monaco, Cost: 5",0 -> 1 -> 3 -> 8,ALGO_CLONE_006,False,0.0
ALGO,GPT-4o,W3,SP_028,PARTIAL_INTRUSION,"Path: 0 -> 2 -> 1 -> 7, Cost: 3","Path: Tokyo -> Kyoto -> Osaka -> Sendai, Cost: 3",0 -> 1 -> 7,ALGO_CLONE_007,False,0.0
ALGO,GPT-4o,W3,SP_031,OTHER_ERROR,"Path: 0 -> 1 -> 3 -> 8, Cost: 22","Path: Paris -> Lyon -> Nice -> Strasbourg, Cost: 22",0 -> 2 -> 4 -> 8,SINGLETON_SP_031,False,0.0
ALGO,GPT-4o,W3,SP_032,OTHER_ERROR,"Path: 0 -> 4 -> 5 -> 6 -> 7, Cost: 20","Path: London -> Brussels -> Amsterdam -> Hamburg -> Berlin, Cost: 20",0 -> 1 -> 2 -> 7,ALGO_CLONE_008,False,0.0
ALGO,GPT-4o,W3,SP_036,OTHER_ERROR,"Path: 0 -> 1 -> 3 -> 4 -> 6 -> 7, Cost: 12","Path: London -> Paris -> Rome -> Vienna -> Zurich -> Madrid, Cost: 12",0 -> 2 -> 5 -> 7,ALGO_CLONE_005,False,0.0
ALGO,GPT-4o,W3,SP_037,OTHER_ERROR,"Path: 0 -> 3 -> 4 -> 6, Cost: 12","Path: Madrid -> Avila -> Salamanca -> Leon, Cost: 12",0 -> 1 -> 2 -> 4 -> 6,ALGO_CLONE_005,False,0.0
ALGO,GPT-4o,W3,SP_038,OTHER_ERROR,"Path: 0 -> 3 -> 4 -> 8, Cost: 12","Path: Berlin -> Munich -> Vienna -> Budapest, Cost: 12",0 -> 1 -> 2 -> 4 -> 8,ALGO_CLONE_005,False,0.0
ALGO,GPT-4o,W3,SP_039,OTHER_ERROR,"Path: 0 -> 3 -> 4 -> 8, Cost: 12","Path: London -> Brussels -> Geneva -> Rome, Cost: 12",0 -> 1 -> 2 -> 4 -> 8,ALGO_CLONE_005,False,0.0
ALGO,GPT-4o,W3,SP_040,OTHER_ERROR,"Path: 0 -> 3 -> 4 -> 7, Cost: 12","Path: London -> Amsterdam -> Berlin -> Prague, Cost: 12",0 -> 1 -> 2 -> 4 -> 7,ALGO_CLONE_005,False,0.0
ALGO,GPT-4o,W3,SP_045,PARTIAL_INTRUSION,"Path: 0 -> 2 -> 1 -> 6, Cost: 3","Path: Berlin -> Vienna -> Prague -> Paris, Cost: 3",0 -> 1 -> 6,ALGO_CLONE_007,False,0.0
ALGO,GPT-4o,W3,SP_047,PARTIAL_INTRUSION,"Path: 0 -> 2 -> 1 -> 6, Cost: 3","Path: Paris -> Marseille -> Lyon -> Lille, Cost: 3",0 -> 1 -> 6,ALGO_CLONE_007,False,0.0
ALGO,GPT-4o,W3,SP_048,PARTIAL_INTRUSION,"Path: 0 -> 2 -> 1 -> 7, Cost: 3","Path: London -> Berlin -> Paris -> Warsaw, Cost: 3",0 -> 1 -> 7,ALGO_CLONE_007,False,0.0
ALGO,GPT-4o,W3,SP_051,OTHER_ERROR,"Path: 0 -> 1 -> 3 -> 4 -> 5 -> 7, Cost: 18","Path: London -> Paris -> Lyon -> Geneva -> Milan -> Rome, Cost: 18",0 -> 2 -> 6 -> 7,SINGLETON_SP_051,False,0.0
ALGO,GPT-4o,W3,SP_052,OTHER_ERROR,"Path: 0 -> 1 -> 2 -> 5 -> 6 -> 8, Cost: 11","Path: London -> Paris -> Lyon -> Geneva -> Milan -> Rome, Cost: 11",0 -> 3 -> 4 -> 8,ALGO_CLONE_011,False,0.0
ALGO,GPT-4o,W3,SP_054,OTHER_ERROR,"Path: 0 -> 1 -> 3 -> 4 -> 6 -> 7, Cost: 12","Path: London -> Paris -> Lyon -> Geneva -> Zurich -> Milan, Cost: 12",0 -> 2 -> 5 -> 7,ALGO_CLONE_005,False,0.0
ALGO,GPT-4o,W3,SP_055,OTHER_ERROR,"Path: 0 -> 2 -> 3 -> 5 -> 6, Cost: 17","Path: London -> Brussels -> Amsterdam -> Prague -> Vienna, Cost: 17",0 -> 1 -> 4 -> 6,SINGLETON_SP_055,False,0.0
ALGO,GPT-4o,W3,SP_056,OTHER_ERROR,"Path: 0 -> 1 -> 3 -> 6 -> 7, Cost: 21","Path: Berlin -> Prague -> Vienna -> Budapest -> Rome, Cost: 21",0 -> 2 -> 4 -> 7,ALGO_CLONE_009,False,0.0
ALGO,GPT-4o,W3,SP_057,OTHER_ERROR,"Path: 0 -> 1 -> 2 -> 3 -> 6, Cost: 24","Path: London -> Paris -> Brussels -> Amsterdam -> Berlin, Cost: 24",0 -> 4 -> 5 -> 6,SINGLETON_SP_057,False,0.0
ALGO,GPT-4o,W3,SP_062,OTHER_ERROR,"Path: 0 -> 3 -> 4 -> 6, Cost: 12","Path: London -> Amsterdam -> Prague -> Rome, Cost: 12",0 -> 1 -> 2 -> 4 -> 6,ALGO_CLONE_005,False,0.0
ALGO,GPT-4o,W3,SP_063,OTHER_ERROR,"Path: 0 -> 3 -> 4 -> 8, Cost: 12","Path: London -> Reading -> Bristol -> Edinburgh, Cost: 12",0 -> 6 -> 8,ALGO_CLONE_005,False,0.0
ALGO,GPT-4o,W3,SP_064,OTHER_ERROR,"Path: 0 -> 3 -> 4 -> 6, Cost: 12","Path: Berlin -> Munich -> Budapest -> Zagreb, Cost: 12",0 -> 1 -> 2 -> 4 -> 6,ALGO_CLONE_005,False,0.0
ALGO,GPT-4o,W3,SP_065,OTHER_ERROR,"Path: 0 -> 3 -> 4 -> 6, Cost: 12","Path: London -> Bristol -> Birmingham -> Edinburgh, Cost: 12",0 -> 1 -> 2 -> 4 -> 6,ALGO_CLONE_005,False,0.0
ALGO,GPT-4o,W3,SP_071,PARTIAL_INTRUSION,"Path: 0 -> 2 -> 1 -> 8, Cost: 3","Path: Berlin -> Vienna -> Prague -> Warsaw, Cost: 3",0 -> 1 -> 8,ALGO_CLONE_007,False,0.0
ALGO,Llama,W3,SP_001,OTHER_ERROR,"Path: 0 → 5 → 10 → 11, Cost: 17","Path: Hub A → Hub F → Hub K → Hub L, Cost: 17",,SINGLETON_SP_001,False,0.0
ALGO,Llama,W3,SP_002,OTHER_ERROR,"Path: 16 → 12 → 9 → 19 → 18 → 6 → 5 → 10 → 15 → 21 → 11, Cost: 40","Path: Hub Q → Hub M → Hub J → Hub T → Hub S → Hub G → Hub F → Hub K → Hub P → Hub V → Hub L, Cost: 40",16 -> 17 -> 20 -> 3 -> 0 -> 20 -> 7 -> 2 -> 9 -> 6 -> 5 -> 10 -> 11,SINGLETON_SP_002,False,0.0
ALGO,Llama,W3,SP_003,OTHER_ERROR,"Path: 11 → 17 → 10 → 2 → 3 → 9, Cost: 22","Path: Hub L → Hub R → Hub K → Hub C → Hub D → Hub J, Cost: 22",11 -> 14 -> 0 -> 15 -> 5 -> 12 -> 2 -> 9,SINGLETON_SP_003,False,0.0
ALGO,Llama,W3,SP_004,OTHER_ERROR,"Path: 0 → 3 → 6 → 4 → 5 → 9, Cost: 8","Path: Hub A → Hub D → Hub G → Hub E → Hub F → Hub J, Cost: 8",,SINGLETON_SP_004,False,0.0
ALGO,Llama,W3,SP_005,OTHER_ERROR,"Path: 0 → 4 → 9 → 11 → 14 → 15, Cost: 32","Path: Hub A → Hub E → Hub J → Hub L → Hub O → Hub P, Cost: 32",0 -> 1 -> 5 -> 6 -> 8 -> 10 -> 12 -> 14 -> 15,SINGLETON_SP_005,False,0.0
ALGO,Llama,W3,WIS_001,OTHER_ERROR,"Selected: {0, 2, 4, 6, 9}, Total: 40","Selected: {Item A, Item C, Item E, Item G, Item J}, Total: 40","{0, 2, 5, 8}",SINGLETON_WIS_001,False,0.0
ALGO,Llama,W3,WIS_002,OTHER_ERROR,"Selected: {1, 3, 7, 10, 11}, Total: 52","Selected: {Item B, Item D, Item H, Item K, Item L}, Total: 52",{},SINGLETON_WIS_002,True,0.0
ALGO,Llama,W3,WIS_003,OTHER_ERROR,"Selected: {1, 2, 3, 4, 10, 11, 13}, Total: 55","Selected: {Item B, Item C, Item D, Item E, Item K, Item L, Item N}, Total: 55",{},SINGLETON_WIS_003,False,0.0
ALGO,Llama,W3,WIS_004,OTHER_ERROR,"Selected: {0, 1, 3, 6, 9, 11, 12}, Total: 37","Selected: {Item A, Item B, Item D, Item G, Item J, Item L, Item M}, Total: 37",{},SINGLETON_WIS_004,False,0.0
ALGO,Llama,W3,WIS_005,PARTIAL_INTRUSION,"Selected: {2, 5, 7, 8, 11, 14}, Total: 67","Selected: {Item C, Item F, Item H, Item I, Item L, Item O}, Total: 67","{11, 14, 17, 2, 5, 8}",SINGLETON_WIS_005,False,0.0
ALGO,Llama,W3,SP_019,OTHER_ERROR,"Path: 0 -> 3 -> 4 -> 6, Cost: 12","Path: Berlin -> Frankfurt -> Stuttgart -> Cologne, Cost: 12",0 -> 1 -> 2 -> 4 -> 6,ALGO_CLONE_005,False,0.0
ALGO,Llama,W3,SP_020,PARTIAL_INTRUSION,"Path: 0 -> 3 -> 4 -> 5, Cost: 12","Path: Rome -> Florence -> Bologna -> Naples, Cost: 12",0 -> 3 -> 2 -> 5,ALGO_CLONE_005,False,0.0
ALGO,Llama,W3,SP_021,OTHER_ERROR,"Path: 0 -> 3 -> 4 -> 8, Cost: 12","Path: London -> Bristol -> Birmingham -> Edinburgh, Cost: 12",0 -> 1 -> 2 -> 8,ALGO_CLONE_005,False,0.0
ALGO,Llama,W3,SP_023,PARTIAL_INTRUSION,"Path: 0 -> 2 -> 3 -> 5, Cost: 5","Path: Tokyo -> Kyoto -> Nagoya -> Kobe, Cost: 5",0 -> 2 -> 5,ALGO_CLONE_006,False,0.0
ALGO,Llama,W3,SP_026,PARTIAL_INTRUSION,"Path: 0 -> 2 -> 3 -> 8, Cost: 5","Path: Paris -> Nice -> Marseille -> Monaco, Cost: 5",0 -> 1 -> 3 -> 8,ALGO_CLONE_006,False,0.0
ALGO,Llama,W3,SP_028,PARTIAL_INTRUSION,"Path: 0 -> 2 -> 1 -> 7, Cost: 3","Path: Tokyo -> Kyoto -> Osaka -> Sendai, Cost: 3",0 -> 1 -> 7,ALGO_CLONE_007,False,0.0
ALGO,Llama,W3,SP_030,PARTIAL_INTRUSION,"Path: 0 -> 2 -> 1 -> 7, Cost: 3","Path: Berlin -> Munich -> Hamburg -> Bremen, Cost: 3",0 -> 1 -> 7,ALGO_CLONE_007,False,0.0
ALGO,Llama,W3,SP_031,PARTIAL_INTRUSION,"Path: 0 -> 1 -> 3 -> 8, Cost: 22","Path: Paris -> Lyon -> Nice -> Strasbourg, Cost: 22",0 -> 3 -> 8,SINGLETON_SP_031,False,0.0
ALGO,Llama,W3,SP_033,OTHER_ERROR,"Path: 0 -> 1 -> 2 -> 3 -> 4 -> 7, Cost: 23","Path: Paris -> Lyon -> Marseille -> Nice -> Monaco -> Montpellier, Cost: 23",0 -> 5 -> 6 -> 7,SINGLETON_SP_033,False,0.0
ALGO,Llama,W3,SP_035,OTHER_ERROR,"Path: 0 -> 1 -> 4 -> 6, Cost: 19","Path: London -> Paris -> Lyon -> Milan, Cost: 19",0 -> 2 -> 3 -> 6,SINGLETON_SP_035,False,0.0
ALGO,Llama,W3,SP_036,OTHER_ERROR,"Path: 0 -> 1 -> 3 -> 4 -> 6 -> 7, Cost: 12","Path: London -> Paris -> Rome -> Vienna -> Zurich -> Madrid, Cost: 12",0 -> 2 -> 5 -> MADRIDCOST47,ALGO_CLONE_005,False,0.0
ALGO,Llama,W3,SP_038,OTHER_ERROR,"Path: 0 -> 3 -> 4 -> 8, Cost: 12","Path: Berlin -> Munich -> Vienna -> Budapest, Cost: 12",0 -> 1 -> 2 -> 4 -> 8,ALGO_CLONE_005,False,0.0
ALGO,Llama,W3,SP_039,OTHER_ERROR,"Path: 0 -> 3 -> 4 -> 8, Cost: 12","Path: London -> Brussels -> Geneva -> Rome, Cost: 12",,ALGO_CLONE_005,False,0.0
ALGO,Llama,W3,SP_040,PARTIAL_INTRUSION,"Path: 0 -> 3 -> 4 -> 7, Cost: 12","Path: London -> Amsterdam -> Berlin -> Prague, Cost: 12",0 -> 3 -> 2 -> 4 -> 7,ALGO_CLONE_005,False,0.0
ALGO,Llama,W3,SP_044,OTHER_ERROR,"Path: 0 -> 2 -> 3 -> 6, Cost: 5","Path: London -> Cambridge -> Birmingham -> Edinburgh, Cost: 5",0 -> 1 -> 6,ALGO_CLONE_006,False,0.0
