problem_id,model,source_file,either_session_correct,phase1_correct,phase2a_correct,phase2b_correct,phase2a_values_persisted,phase2b_values_persisted,correct_answer,phase1_final_answer
GSM_007,meta-llama/llama-3.1-8b-instruct,GSM_P2_phase1_llama.csv,False,,,,false,false,30,
GSM_008,meta-llama/llama-3.1-8b-instruct,GSM_P2_phase1_llama.csv,True,True,,,false,false,1024,1024.0
GSM_009,meta-llama/llama-3.1-8b-instruct,GSM_P2_phase1_llama.csv,True,True,,,false,false,49,49.0
GSM_010,meta-llama/llama-3.1-8b-instruct,GSM_P2_phase1_llama.csv,True,True,,,false,false,885,885.0
GSM_011,meta-llama/llama-3.1-8b-instruct,GSM_P2_phase1_llama.csv,True,True,,,false,false,86,86.0
GSM_012,meta-llama/llama-3.1-8b-instruct,GSM_P2_phase1_llama.csv,True,True,,,false,false,81,81.0
GSM_013,meta-llama/llama-3.1-8b-instruct,GSM_P2_phase1_llama.csv,False,,,,false,false,90,
GSM_014,meta-llama/llama-3.1-8b-instruct,GSM_P2_phase1_llama.csv,False,False,,,false,false,70,2.917
GSM_015,meta-llama/llama-3.1-8b-instruct,GSM_P2_phase1_llama.csv,False,,,,false,false,354,
GSM_016,meta-llama/llama-3.1-8b-instruct,GSM_P2_phase1_llama.csv,True,True,,,false,false,5,5.0
GSM_017,meta-llama/llama-3.1-8b-instruct,GSM_P2_phase1_llama.csv,False,False,,,false,false,922,796.0
GSM_018,meta-llama/llama-3.1-8b-instruct,GSM_P2_phase1_llama.csv,True,True,,,false,false,21,21.0
GSM_019,meta-llama/llama-3.1-8b-instruct,GSM_P2_phase1_llama.csv,False,,,,false,false,3,
GSM_020,meta-llama/llama-3.1-8b-instruct,GSM_P2_phase1_llama.csv,False,False,,,false,false,24,21.0
GSM_041,meta-llama/llama-3.1-8b-instruct,GSM_P2_phase1_llama.csv,True,True,,,false,false,150,150.0
GSM_042,meta-llama/llama-3.1-8b-instruct,GSM_P2_phase1_llama.csv,False,False,,,false,false,2820,235.0
GSM_043,meta-llama/llama-3.1-8b-instruct,GSM_P2_phase1_llama.csv,True,True,,,false,false,8,8.0
GSM_044,meta-llama/llama-3.1-8b-instruct,GSM_P2_phase1_llama.csv,True,True,,,false,false,59,59.0
GSM_045,meta-llama/llama-3.1-8b-instruct,GSM_P2_phase1_llama.csv,True,True,,,false,false,1122,1122.0
GSM_046,meta-llama/llama-3.1-8b-instruct,GSM_P2_phase1_llama.csv,False,False,,,false,false,121,120.0
GSM_047,meta-llama/llama-3.1-8b-instruct,GSM_P2_phase1_llama.csv,True,True,,,false,false,510,510.0
GSM_048,meta-llama/llama-3.1-8b-instruct,GSM_P2_phase1_llama.csv,False,False,,,false,false,206,346.0
GSM_049,meta-llama/llama-3.1-8b-instruct,GSM_P2_phase1_llama.csv,False,False,,,false,false,1782,5324.0
GSM_050,meta-llama/llama-3.1-8b-instruct,GSM_P2_phase1_llama.csv,True,True,,,false,false,20,20.0
GSM_051,meta-llama/llama-3.1-8b-instruct,GSM_P2_phase1_llama.csv,False,False,,,false,false,256,512.0
GSM_052,meta-llama/llama-3.1-8b-instruct,GSM_P2_phase1_llama.csv,False,False,,,false,false,43.75,43.77
GSM_053,meta-llama/llama-3.1-8b-instruct,GSM_P2_phase1_llama.csv,True,True,,,false,false,378,378.0
GSM_054,meta-llama/llama-3.1-8b-instruct,GSM_P2_phase1_llama.csv,False,,,,false,false,16,
GSM_055,meta-llama/llama-3.1-8b-instruct,GSM_P2_phase1_llama.csv,True,True,,,false,false,6,6.0
GSM_056,meta-llama/llama-3.1-8b-instruct,GSM_P2_phase1_llama.csv,False,False,,,false,false,69,52.0
GSM_057,meta-llama/llama-3.1-8b-instruct,GSM_P2_phase1_llama.csv,True,True,,,false,false,84,84.0
GSM_058,meta-llama/llama-3.1-8b-instruct,GSM_P2_phase1_llama.csv,False,,,,false,false,285,
GSM_059,meta-llama/llama-3.1-8b-instruct,GSM_P2_phase1_llama.csv,False,,,,false,false,29,
GSM_060,meta-llama/llama-3.1-8b-instruct,GSM_P2_phase1_llama.csv,False,,,,false,false,46,
GSM_061,meta-llama/llama-3.1-8b-instruct,GSM_P2_phase1_llama.csv,True,True,,,false,false,420,420.0
GSM_062,meta-llama/llama-3.1-8b-instruct,GSM_P2_phase1_llama.csv,False,,,,false,false,112000,
GSM_063,meta-llama/llama-3.1-8b-instruct,GSM_P2_phase1_llama.csv,False,,,,false,false,16200,
GSM_064,meta-llama/llama-3.1-8b-instruct,GSM_P2_phase1_llama.csv,True,True,,,false,false,75,75.0
GSM_001,google/gemini-2.5-flash,GSM_P2_phase1_gemini.csv,True,True,,,false,false,51,51.0
GSM_002,google/gemini-2.5-flash,GSM_P2_phase1_gemini.csv,True,True,,,false,false,30,30.0
GSM_003,google/gemini-2.5-flash,GSM_P2_phase1_gemini.csv,True,True,,,false,false,150,150.0
GSM_004,google/gemini-2.5-flash,GSM_P2_phase1_gemini.csv,True,True,,,false,false,21600,21600.0
GSM_005,google/gemini-2.5-flash,GSM_P2_phase1_gemini.csv,False,,,,false,false,54,
GSM_006,google/gemini-2.5-flash,GSM_P2_phase1_gemini.csv,True,True,,,false,false,546,546.0
GSM_007,google/gemini-2.5-flash,GSM_P2_phase1_gemini.csv,True,True,,,false,false,30,30.0
GSM_008,google/gemini-2.5-flash,GSM_P2_phase1_gemini.csv,True,True,,,false,false,1024,1024.0
GSM_009,google/gemini-2.5-flash,GSM_P2_phase1_gemini.csv,True,True,,,false,false,49,49.0
GSM_010,google/gemini-2.5-flash,GSM_P2_phase1_gemini.csv,True,True,,,false,false,885,885.0
GSM_011,google/gemini-2.5-flash,GSM_P2_phase1_gemini.csv,True,True,,,false,false,86,86.0
GSM_012,google/gemini-2.5-flash,GSM_P2_phase1_gemini.csv,True,True,,,false,false,81,81.0
GSM_013,google/gemini-2.5-flash,GSM_P2_phase1_gemini.csv,False,,,,false,false,90,
GSM_014,google/gemini-2.5-flash,GSM_P2_phase1_gemini.csv,True,True,,,false,false,70,70.0
GSM_015,google/gemini-2.5-flash,GSM_P2_phase1_gemini.csv,True,True,,,false,false,354,354.0
GSM_016,google/gemini-2.5-flash,GSM_P2_phase1_gemini.csv,True,True,,,false,false,5,5.0
GSM_017,google/gemini-2.5-flash,GSM_P2_phase1_gemini.csv,True,True,,,false,false,922,922.0
GSM_018,google/gemini-2.5-flash,GSM_P2_phase1_gemini.csv,True,True,,,false,false,21,21.0
GSM_019,google/gemini-2.5-flash,GSM_P2_phase1_gemini.csv,True,True,,,false,false,3,3.0
GSM_020,google/gemini-2.5-flash,GSM_P2_phase1_gemini.csv,True,True,,,false,false,24,24.0
GSM_041,google/gemini-2.5-flash,GSM_P2_phase1_gemini.csv,True,True,,,false,false,150,150.0
GSM_042,google/gemini-2.5-flash,GSM_P2_phase1_gemini.csv,True,True,,,false,false,2820,2820.0
GSM_043,google/gemini-2.5-flash,GSM_P2_phase1_gemini.csv,True,True,,,false,false,8,8.0
GSM_044,google/gemini-2.5-flash,GSM_P2_phase1_gemini.csv,True,True,,,false,false,59,59.0
GSM_045,google/gemini-2.5-flash,GSM_P2_phase1_gemini.csv,True,,,,false,false,1122,
GSM_046,google/gemini-2.5-flash,GSM_P2_phase1_gemini.csv,True,True,,,false,false,121,121.0
GSM_047,google/gemini-2.5-flash,GSM_P2_phase1_gemini.csv,True,True,,,false,false,510,510.0
GSM_048,google/gemini-2.5-flash,GSM_P2_phase1_gemini.csv,True,True,,,false,false,206,206.0
GSM_049,google/gemini-2.5-flash,GSM_P2_phase1_gemini.csv,True,True,,,false,false,1782,1782.0
GSM_050,google/gemini-2.5-flash,GSM_P2_phase1_gemini.csv,True,,,,false,false,20,
GSM_051,google/gemini-2.5-flash,GSM_P2_phase1_gemini.csv,True,,,,false,false,256,
GSM_052,google/gemini-2.5-flash,GSM_P2_phase1_gemini.csv,True,True,,,false,false,43.75,43.75
GSM_053,google/gemini-2.5-flash,GSM_P2_phase1_gemini.csv,True,True,,,false,false,378,378.0
GSM_054,google/gemini-2.5-flash,GSM_P2_phase1_gemini.csv,False,,,,false,false,16,
GSM_055,google/gemini-2.5-flash,GSM_P2_phase1_gemini.csv,False,,,,false,false,6,
GSM_056,google/gemini-2.5-flash,GSM_P2_phase1_gemini.csv,True,True,,,false,false,69,69.0
GSM_057,google/gemini-2.5-flash,GSM_P2_phase1_gemini.csv,True,True,,,false,false,84,84.0
GSM_058,google/gemini-2.5-flash,GSM_P2_phase1_gemini.csv,True,True,,,false,false,285,285.0
GSM_059,google/gemini-2.5-flash,GSM_P2_phase1_gemini.csv,True,True,,,false,false,29,29.0
GSM_060,google/gemini-2.5-flash,GSM_P2_phase1_gemini.csv,False,False,,,false,false,46,44.0
GSM_061,google/gemini-2.5-flash,GSM_P2_phase1_gemini.csv,True,True,,,false,false,420,420.0
GSM_062,google/gemini-2.5-flash,GSM_P2_phase1_gemini.csv,True,True,,,false,false,112000,112000.0
GSM_063,google/gemini-2.5-flash,GSM_P2_phase1_gemini.csv,True,True,,,false,false,16200,16200.0
GSM_064,google/gemini-2.5-flash,GSM_P2_phase1_gemini.csv,True,True,,,false,false,75,75.0
GSM_001,openai/o4-mini,GSM_P2_phase1_o1mini.csv,True,True,,,false,false,51,51.0
GSM_002,openai/o4-mini,GSM_P2_phase1_o1mini.csv,False,False,,,false,false,30,45.0
GSM_003,openai/o4-mini,GSM_P2_phase1_o1mini.csv,True,True,,,false,false,150,150.0
GSM_004,openai/o4-mini,GSM_P2_phase1_o1mini.csv,True,True,,,false,false,21600,21600.0
GSM_005,openai/o4-mini,GSM_P2_phase1_o1mini.csv,True,True,,,false,false,54,54.0
GSM_006,openai/o4-mini,GSM_P2_phase1_o1mini.csv,True,True,,,false,false,546,546.0
GSM_007,openai/o4-mini,GSM_P2_phase1_o1mini.csv,True,True,,,false,false,30,30.0
GSM_008,openai/o4-mini,GSM_P2_phase1_o1mini.csv,True,True,,,false,false,1024,1024.0
GSM_009,openai/o4-mini,GSM_P2_phase1_o1mini.csv,True,True,,,false,false,49,49.0
GSM_010,openai/o4-mini,GSM_P2_phase1_o1mini.csv,True,True,,,false,false,885,885.0
GSM_011,openai/o4-mini,GSM_P2_phase1_o1mini.csv,True,True,,,false,false,86,86.0
GSM_012,openai/o4-mini,GSM_P2_phase1_o1mini.csv,True,True,,,false,false,81,81.0
GSM_013,openai/o4-mini,GSM_P2_phase1_o1mini.csv,True,True,,,false,false,90,90.0
GSM_014,openai/o4-mini,GSM_P2_phase1_o1mini.csv,True,True,,,false,false,70,70.0
GSM_015,openai/o4-mini,GSM_P2_phase1_o1mini.csv,True,True,,,false,false,354,354.0
GSM_016,openai/o4-mini,GSM_P2_phase1_o1mini.csv,True,True,,,false,false,5,5.0
GSM_017,openai/o4-mini,GSM_P2_phase1_o1mini.csv,True,True,,,false,false,922,922.0
GSM_018,openai/o4-mini,GSM_P2_phase1_o1mini.csv,True,True,,,false,false,21,21.0
GSM_019,openai/o4-mini,GSM_P2_phase1_o1mini.csv,True,True,,,false,false,3,3.0
GSM_020,openai/o4-mini,GSM_P2_phase1_o1mini.csv,True,True,,,false,false,24,24.0
GSM_041,openai/o4-mini,GSM_P2_phase1_o1mini.csv,True,True,,,false,false,150,150.0
GSM_042,openai/o4-mini,GSM_P2_phase1_o1mini.csv,True,True,,,false,false,2820,2820.0
GSM_043,openai/o4-mini,GSM_P2_phase1_o1mini.csv,True,True,,,false,false,8,8.0
GSM_044,openai/o4-mini,GSM_P2_phase1_o1mini.csv,True,True,,,false,false,59,59.0
GSM_045,openai/o4-mini,GSM_P2_phase1_o1mini.csv,True,True,,,false,false,1122,1122.0
GSM_046,openai/o4-mini,GSM_P2_phase1_o1mini.csv,True,True,,,false,false,121,121.0
GSM_047,openai/o4-mini,GSM_P2_phase1_o1mini.csv,True,True,,,false,false,510,510.0
GSM_048,openai/o4-mini,GSM_P2_phase1_o1mini.csv,True,True,,,false,false,206,206.0
GSM_049,openai/o4-mini,GSM_P2_phase1_o1mini.csv,True,True,,,false,false,1782,1782.0
GSM_050,openai/o4-mini,GSM_P2_phase1_o1mini.csv,True,True,,,false,false,20,20.0
GSM_051,openai/o4-mini,GSM_P2_phase1_o1mini.csv,True,True,,,false,false,256,256.0
GSM_052,openai/o4-mini,GSM_P2_phase1_o1mini.csv,True,True,,,false,false,43.75,43.75
GSM_053,openai/o4-mini,GSM_P2_phase1_o1mini.csv,True,True,,,false,false,378,378.0
GSM_054,openai/o4-mini,GSM_P2_phase1_o1mini.csv,True,True,,,false,false,16,16.0
GSM_055,openai/o4-mini,GSM_P2_phase1_o1mini.csv,True,True,,,false,false,6,6.0
GSM_056,openai/o4-mini,GSM_P2_phase1_o1mini.csv,True,True,,,false,false,69,69.0
GSM_057,openai/o4-mini,GSM_P2_phase1_o1mini.csv,True,True,,,false,false,84,84.0
GSM_058,openai/o4-mini,GSM_P2_phase1_o1mini.csv,True,True,,,false,false,285,285.0
GSM_059,openai/o4-mini,GSM_P2_phase1_o1mini.csv,True,True,,,false,false,29,29.0
GSM_060,openai/o4-mini,GSM_P2_phase1_o1mini.csv,False,,,,false,false,46,
GSM_061,openai/o4-mini,GSM_P2_phase1_o1mini.csv,True,True,,,false,false,420,420.0
GSM_062,openai/o4-mini,GSM_P2_phase1_o1mini.csv,True,False,,,false,false,112000,130000.0
GSM_063,openai/o4-mini,GSM_P2_phase1_o1mini.csv,True,True,,,false,false,16200,16200.0
GSM_064,openai/o4-mini,GSM_P2_phase1_o1mini.csv,True,True,,,false,false,75,75.0
