instance_key,model,problem_id,n_configs,n_distinct_labels,modal_label,modal_count,modal_fraction,stable_gt_90pct,flips,frac_retrieval,frac_computation,frac_mixed,frac_ambiguous,label_histogram
anthropic/claude-sonnet-4::CC_032,anthropic/claude-sonnet-4,CC_032,270,2,ambiguous,198,0.7333,False,True,0.0,0.0,0.2667,0.7333,ambiguous:198|mixed:72
anthropic/claude-sonnet-4::CC_033,anthropic/claude-sonnet-4,CC_033,270,1,ambiguous,270,1.0,True,False,0.0,0.0,0.0,1.0,ambiguous:270
anthropic/claude-sonnet-4::CC_034,anthropic/claude-sonnet-4,CC_034,270,2,mixed,144,0.5333,False,True,0.0,0.0,0.5333,0.4667,mixed:144|ambiguous:126
anthropic/claude-sonnet-4::CC_035,anthropic/claude-sonnet-4,CC_035,270,2,mixed,216,0.8,False,True,0.0,0.0,0.8,0.2,mixed:216|ambiguous:54
anthropic/claude-sonnet-4::CC_036,anthropic/claude-sonnet-4,CC_036,270,1,ambiguous,270,1.0,True,False,0.0,0.0,0.0,1.0,ambiguous:270
anthropic/claude-sonnet-4::CC_037,anthropic/claude-sonnet-4,CC_037,270,1,ambiguous,270,1.0,True,False,0.0,0.0,0.0,1.0,ambiguous:270
anthropic/claude-sonnet-4::CC_038,anthropic/claude-sonnet-4,CC_038,270,1,ambiguous,270,1.0,True,False,0.0,0.0,0.0,1.0,ambiguous:270
anthropic/claude-sonnet-4::CC_039,anthropic/claude-sonnet-4,CC_039,270,2,ambiguous,198,0.7333,False,True,0.0,0.0,0.2667,0.7333,ambiguous:198|mixed:72
anthropic/claude-sonnet-4::CC_040,anthropic/claude-sonnet-4,CC_040,270,2,mixed,144,0.5333,False,True,0.0,0.0,0.5333,0.4667,mixed:144|ambiguous:126
anthropic/claude-sonnet-4::CC_041,anthropic/claude-sonnet-4,CC_041,270,2,mixed,144,0.5333,False,True,0.0,0.0,0.5333,0.4667,mixed:144|ambiguous:126
anthropic/claude-sonnet-4::CC_042,anthropic/claude-sonnet-4,CC_042,270,1,ambiguous,270,1.0,True,False,0.0,0.0,0.0,1.0,ambiguous:270
anthropic/claude-sonnet-4::CC_043,anthropic/claude-sonnet-4,CC_043,270,2,mixed,144,0.5333,False,True,0.0,0.0,0.5333,0.4667,mixed:144|ambiguous:126
anthropic/claude-sonnet-4::CC_044,anthropic/claude-sonnet-4,CC_044,270,1,ambiguous,270,1.0,True,False,0.0,0.0,0.0,1.0,ambiguous:270
anthropic/claude-sonnet-4::CC_045,anthropic/claude-sonnet-4,CC_045,270,1,ambiguous,270,1.0,True,False,0.0,0.0,0.0,1.0,ambiguous:270
anthropic/claude-sonnet-4::SP_019,anthropic/claude-sonnet-4,SP_019,270,2,retrieval,144,0.5333,False,True,0.5333,0.0,0.0,0.4667,retrieval:144|ambiguous:126
anthropic/claude-sonnet-4::SP_020,anthropic/claude-sonnet-4,SP_020,270,2,retrieval,144,0.5333,False,True,0.5333,0.0,0.0,0.4667,retrieval:144|ambiguous:126
anthropic/claude-sonnet-4::SP_021,anthropic/claude-sonnet-4,SP_021,270,3,mixed,180,0.6667,False,True,0.2667,0.0,0.6667,0.0667,mixed:180|retrieval:72|ambiguous:18
anthropic/claude-sonnet-4::SP_023,anthropic/claude-sonnet-4,SP_023,270,2,ambiguous,214,0.7926,False,True,0.2074,0.0,0.0,0.7926,ambiguous:214|retrieval:56
anthropic/claude-sonnet-4::SP_024,anthropic/claude-sonnet-4,SP_024,270,2,mixed,179,0.663,False,True,0.0,0.0,0.663,0.337,mixed:179|ambiguous:91
anthropic/claude-sonnet-4::SP_026,anthropic/claude-sonnet-4,SP_026,270,3,mixed,180,0.6667,False,True,0.2667,0.0,0.6667,0.0667,mixed:180|retrieval:72|ambiguous:18
anthropic/claude-sonnet-4::SP_027,anthropic/claude-sonnet-4,SP_027,270,3,mixed,158,0.5852,False,True,0.1037,0.0,0.5852,0.3111,mixed:158|ambiguous:84|retrieval:28
anthropic/claude-sonnet-4::SP_028,anthropic/claude-sonnet-4,SP_028,270,3,mixed,158,0.5852,False,True,0.1037,0.0,0.5852,0.3111,mixed:158|ambiguous:84|retrieval:28
anthropic/claude-sonnet-4::SP_029,anthropic/claude-sonnet-4,SP_029,270,3,mixed,158,0.5852,False,True,0.1037,0.0,0.5852,0.3111,mixed:158|ambiguous:84|retrieval:28
anthropic/claude-sonnet-4::SP_030,anthropic/claude-sonnet-4,SP_030,270,2,mixed,234,0.8667,False,True,0.0,0.0,0.8667,0.1333,mixed:234|ambiguous:36
anthropic/claude-sonnet-4::SP_031,anthropic/claude-sonnet-4,SP_031,270,2,mixed,144,0.5333,False,True,0.0,0.0,0.5333,0.4667,mixed:144|ambiguous:126
anthropic/claude-sonnet-4::SP_032,anthropic/claude-sonnet-4,SP_032,270,1,ambiguous,270,1.0,True,False,0.0,0.0,0.0,1.0,ambiguous:270
anthropic/claude-sonnet-4::SP_033,anthropic/claude-sonnet-4,SP_033,270,1,ambiguous,270,1.0,True,False,0.0,0.0,0.0,1.0,ambiguous:270
anthropic/claude-sonnet-4::SP_034,anthropic/claude-sonnet-4,SP_034,270,2,mixed,144,0.5333,False,True,0.0,0.0,0.5333,0.4667,mixed:144|ambiguous:126
anthropic/claude-sonnet-4::SP_035,anthropic/claude-sonnet-4,SP_035,270,2,mixed,144,0.5333,False,True,0.0,0.0,0.5333,0.4667,mixed:144|ambiguous:126
anthropic/claude-sonnet-4::SP_036,anthropic/claude-sonnet-4,SP_036,270,1,ambiguous,270,1.0,True,False,0.0,0.0,0.0,1.0,ambiguous:270
anthropic/claude-sonnet-4::SP_037,anthropic/claude-sonnet-4,SP_037,270,2,retrieval,144,0.5333,False,True,0.5333,0.0,0.0,0.4667,retrieval:144|ambiguous:126
anthropic/claude-sonnet-4::SP_038,anthropic/claude-sonnet-4,SP_038,270,3,mixed,180,0.6667,False,True,0.2667,0.0,0.6667,0.0667,mixed:180|retrieval:72|ambiguous:18
anthropic/claude-sonnet-4::SP_039,anthropic/claude-sonnet-4,SP_039,270,3,mixed,180,0.6667,False,True,0.2667,0.0,0.6667,0.0667,mixed:180|retrieval:72|ambiguous:18
anthropic/claude-sonnet-4::SP_040,anthropic/claude-sonnet-4,SP_040,270,3,mixed,180,0.6667,False,True,0.2667,0.0,0.6667,0.0667,mixed:180|retrieval:72|ambiguous:18
anthropic/claude-sonnet-4::SP_042,anthropic/claude-sonnet-4,SP_042,270,2,mixed,179,0.663,False,True,0.0,0.0,0.663,0.337,mixed:179|ambiguous:91
anthropic/claude-sonnet-4::SP_044,anthropic/claude-sonnet-4,SP_044,270,2,mixed,179,0.663,False,True,0.0,0.0,0.663,0.337,mixed:179|ambiguous:91
anthropic/claude-sonnet-4::SP_045,anthropic/claude-sonnet-4,SP_045,270,2,mixed,179,0.663,False,True,0.0,0.0,0.663,0.337,mixed:179|ambiguous:91
anthropic/claude-sonnet-4::SP_046,anthropic/claude-sonnet-4,SP_046,270,2,mixed,179,0.663,False,True,0.0,0.0,0.663,0.337,mixed:179|ambiguous:91
anthropic/claude-sonnet-4::SP_047,anthropic/claude-sonnet-4,SP_047,270,2,mixed,179,0.663,False,True,0.0,0.0,0.663,0.337,mixed:179|ambiguous:91
anthropic/claude-sonnet-4::SP_048,anthropic/claude-sonnet-4,SP_048,270,2,mixed,234,0.8667,False,True,0.0,0.0,0.8667,0.1333,mixed:234|ambiguous:36
anthropic/claude-sonnet-4::SP_049,anthropic/claude-sonnet-4,SP_049,270,2,mixed,144,0.5333,False,True,0.0,0.0,0.5333,0.4667,mixed:144|ambiguous:126
anthropic/claude-sonnet-4::SP_050,anthropic/claude-sonnet-4,SP_050,270,1,ambiguous,270,1.0,True,False,0.0,0.0,0.0,1.0,ambiguous:270
anthropic/claude-sonnet-4::SP_051,anthropic/claude-sonnet-4,SP_051,270,1,ambiguous,270,1.0,True,False,0.0,0.0,0.0,1.0,ambiguous:270
anthropic/claude-sonnet-4::SP_052,anthropic/claude-sonnet-4,SP_052,270,1,ambiguous,270,1.0,True,False,0.0,0.0,0.0,1.0,ambiguous:270
anthropic/claude-sonnet-4::SP_053,anthropic/claude-sonnet-4,SP_053,270,2,mixed,144,0.5333,False,True,0.0,0.0,0.5333,0.4667,mixed:144|ambiguous:126
anthropic/claude-sonnet-4::SP_054,anthropic/claude-sonnet-4,SP_054,270,1,ambiguous,270,1.0,True,False,0.0,0.0,0.0,1.0,ambiguous:270
anthropic/claude-sonnet-4::SP_055,anthropic/claude-sonnet-4,SP_055,270,1,ambiguous,270,1.0,True,False,0.0,0.0,0.0,1.0,ambiguous:270
anthropic/claude-sonnet-4::SP_056,anthropic/claude-sonnet-4,SP_056,270,1,ambiguous,270,1.0,True,False,0.0,0.0,0.0,1.0,ambiguous:270
anthropic/claude-sonnet-4::SP_057,anthropic/claude-sonnet-4,SP_057,270,1,ambiguous,270,1.0,True,False,0.0,0.0,0.0,1.0,ambiguous:270
anthropic/claude-sonnet-4::SP_058,anthropic/claude-sonnet-4,SP_058,270,1,ambiguous,270,1.0,True,False,0.0,0.0,0.0,1.0,ambiguous:270
anthropic/claude-sonnet-4::SP_059,anthropic/claude-sonnet-4,SP_059,270,1,ambiguous,270,1.0,True,False,0.0,0.0,0.0,1.0,ambiguous:270
anthropic/claude-sonnet-4::SP_060,anthropic/claude-sonnet-4,SP_060,270,1,ambiguous,270,1.0,True,False,0.0,0.0,0.0,1.0,ambiguous:270
anthropic/claude-sonnet-4::SP_061,anthropic/claude-sonnet-4,SP_061,270,1,ambiguous,270,1.0,True,False,0.0,0.0,0.0,1.0,ambiguous:270
anthropic/claude-sonnet-4::SP_062,anthropic/claude-sonnet-4,SP_062,270,2,retrieval,144,0.5333,False,True,0.5333,0.0,0.0,0.4667,retrieval:144|ambiguous:126
anthropic/claude-sonnet-4::SP_063,anthropic/claude-sonnet-4,SP_063,270,3,mixed,158,0.5852,False,True,0.1037,0.0,0.5852,0.3111,mixed:158|ambiguous:84|retrieval:28
anthropic/claude-sonnet-4::SP_064,anthropic/claude-sonnet-4,SP_064,270,2,retrieval,144,0.5333,False,True,0.5333,0.0,0.0,0.4667,retrieval:144|ambiguous:126
anthropic/claude-sonnet-4::SP_065,anthropic/claude-sonnet-4,SP_065,270,2,ambiguous,214,0.7926,False,True,0.2074,0.0,0.0,0.7926,ambiguous:214|retrieval:56
anthropic/claude-sonnet-4::SP_066,anthropic/claude-sonnet-4,SP_066,270,2,mixed,179,0.663,False,True,0.0,0.0,0.663,0.337,mixed:179|ambiguous:91
anthropic/claude-sonnet-4::SP_068,anthropic/claude-sonnet-4,SP_068,270,3,mixed,158,0.5852,False,True,0.1037,0.0,0.5852,0.3111,mixed:158|ambiguous:84|retrieval:28
anthropic/claude-sonnet-4::SP_069,anthropic/claude-sonnet-4,SP_069,270,2,mixed,179,0.663,False,True,0.0,0.0,0.663,0.337,mixed:179|ambiguous:91
anthropic/claude-sonnet-4::SP_070,anthropic/claude-sonnet-4,SP_070,270,2,mixed,234,0.8667,False,True,0.0,0.0,0.8667,0.1333,mixed:234|ambiguous:36
anthropic/claude-sonnet-4::SP_071,anthropic/claude-sonnet-4,SP_071,270,2,mixed,179,0.663,False,True,0.0,0.0,0.663,0.337,mixed:179|ambiguous:91
anthropic/claude-sonnet-4::SP_072,anthropic/claude-sonnet-4,SP_072,270,2,mixed,179,0.663,False,True,0.0,0.0,0.663,0.337,mixed:179|ambiguous:91
anthropic/claude-sonnet-4::SP_073,anthropic/claude-sonnet-4,SP_073,270,3,mixed,158,0.5852,False,True,0.1037,0.0,0.5852,0.3111,mixed:158|ambiguous:84|retrieval:28
anthropic/claude-sonnet-4::WIS_006,anthropic/claude-sonnet-4,WIS_006,270,2,mixed,144,0.5333,False,True,0.0,0.0,0.5333,0.4667,mixed:144|ambiguous:126
anthropic/claude-sonnet-4::WIS_007,anthropic/claude-sonnet-4,WIS_007,270,2,mixed,144,0.5333,False,True,0.0,0.0,0.5333,0.4667,mixed:144|ambiguous:126
anthropic/claude-sonnet-4::WIS_009,anthropic/claude-sonnet-4,WIS_009,270,1,ambiguous,270,1.0,True,False,0.0,0.0,0.0,1.0,ambiguous:270
anthropic/claude-sonnet-4::WIS_010,anthropic/claude-sonnet-4,WIS_010,270,2,mixed,144,0.5333,False,True,0.0,0.0,0.5333,0.4667,mixed:144|ambiguous:126
anthropic/claude-sonnet-4::WIS_012,anthropic/claude-sonnet-4,WIS_012,270,1,ambiguous,270,1.0,True,False,0.0,0.0,0.0,1.0,ambiguous:270
anthropic/claude-sonnet-4::WIS_013,anthropic/claude-sonnet-4,WIS_013,270,3,mixed,158,0.5852,False,True,0.1037,0.0,0.5852,0.3111,mixed:158|ambiguous:84|retrieval:28
anthropic/claude-sonnet-4::WIS_014,anthropic/claude-sonnet-4,WIS_014,270,3,mixed,158,0.5852,False,True,0.1037,0.0,0.5852,0.3111,mixed:158|ambiguous:84|retrieval:28
anthropic/claude-sonnet-4::WIS_015,anthropic/claude-sonnet-4,WIS_015,270,3,mixed,158,0.5852,False,True,0.1037,0.0,0.5852,0.3111,mixed:158|ambiguous:84|retrieval:28
anthropic/claude-sonnet-4::WIS_016,anthropic/claude-sonnet-4,WIS_016,270,3,mixed,158,0.5852,False,True,0.1037,0.0,0.5852,0.3111,mixed:158|ambiguous:84|retrieval:28
anthropic/claude-sonnet-4::WIS_017,anthropic/claude-sonnet-4,WIS_017,270,3,mixed,158,0.5852,False,True,0.1037,0.0,0.5852,0.3111,mixed:158|ambiguous:84|retrieval:28
anthropic/claude-sonnet-4::WIS_018,anthropic/claude-sonnet-4,WIS_018,270,2,mixed,179,0.663,False,True,0.0,0.0,0.663,0.337,mixed:179|ambiguous:91
anthropic/claude-sonnet-4::WIS_019,anthropic/claude-sonnet-4,WIS_019,270,3,mixed,158,0.5852,False,True,0.1037,0.0,0.5852,0.3111,mixed:158|ambiguous:84|retrieval:28
anthropic/claude-sonnet-4::WIS_020,anthropic/claude-sonnet-4,WIS_020,270,2,mixed,179,0.663,False,True,0.0,0.0,0.663,0.337,mixed:179|ambiguous:91
anthropic/claude-sonnet-4::WIS_021,anthropic/claude-sonnet-4,WIS_021,270,2,mixed,144,0.5333,False,True,0.0,0.0,0.5333,0.4667,mixed:144|ambiguous:126
anthropic/claude-sonnet-4::WIS_022,anthropic/claude-sonnet-4,WIS_022,270,2,mixed,144,0.5333,False,True,0.0,0.0,0.5333,0.4667,mixed:144|ambiguous:126
anthropic/claude-sonnet-4::WIS_023,anthropic/claude-sonnet-4,WIS_023,270,3,mixed,158,0.5852,False,True,0.1037,0.0,0.5852,0.3111,mixed:158|ambiguous:84|retrieval:28
anthropic/claude-sonnet-4::WIS_024,anthropic/claude-sonnet-4,WIS_024,270,3,mixed,158,0.5852,False,True,0.1037,0.0,0.5852,0.3111,mixed:158|ambiguous:84|retrieval:28
anthropic/claude-sonnet-4::WIS_025,anthropic/claude-sonnet-4,WIS_025,270,3,mixed,158,0.5852,False,True,0.1037,0.0,0.5852,0.3111,mixed:158|ambiguous:84|retrieval:28
anthropic/claude-sonnet-4::WIS_026,anthropic/claude-sonnet-4,WIS_026,270,3,mixed,158,0.5852,False,True,0.1037,0.0,0.5852,0.3111,mixed:158|ambiguous:84|retrieval:28
anthropic/claude-sonnet-4::WIS_027,anthropic/claude-sonnet-4,WIS_027,270,3,mixed,158,0.5852,False,True,0.1037,0.0,0.5852,0.3111,mixed:158|ambiguous:84|retrieval:28
anthropic/claude-sonnet-4::WIS_028,anthropic/claude-sonnet-4,WIS_028,270,3,mixed,158,0.5852,False,True,0.1037,0.0,0.5852,0.3111,mixed:158|ambiguous:84|retrieval:28
anthropic/claude-sonnet-4::WIS_029,anthropic/claude-sonnet-4,WIS_029,270,3,mixed,158,0.5852,False,True,0.1037,0.0,0.5852,0.3111,mixed:158|ambiguous:84|retrieval:28
anthropic/claude-sonnet-4::WIS_030,anthropic/claude-sonnet-4,WIS_030,270,2,mixed,144,0.5333,False,True,0.0,0.0,0.5333,0.4667,mixed:144|ambiguous:126
anthropic/claude-sonnet-4::WIS_031,anthropic/claude-sonnet-4,WIS_031,270,2,mixed,144,0.5333,False,True,0.0,0.0,0.5333,0.4667,mixed:144|ambiguous:126
anthropic/claude-sonnet-4::WIS_032,anthropic/claude-sonnet-4,WIS_032,270,2,mixed,144,0.5333,False,True,0.0,0.0,0.5333,0.4667,mixed:144|ambiguous:126
openai/gpt-4o::CC_01,openai/gpt-4o,CC_01,270,2,mixed,179,0.663,False,True,0.0,0.0,0.663,0.337,mixed:179|ambiguous:91
openai/gpt-4o::CC_02,openai/gpt-4o,CC_02,270,3,mixed,158,0.5852,False,True,0.1037,0.0,0.5852,0.3111,mixed:158|ambiguous:84|retrieval:28
openai/gpt-4o::CC_03,openai/gpt-4o,CC_03,270,3,mixed,158,0.5852,False,True,0.1037,0.0,0.5852,0.3111,mixed:158|ambiguous:84|retrieval:28
openai/gpt-4o::CC_04,openai/gpt-4o,CC_04,270,2,mixed,179,0.663,False,True,0.0,0.0,0.663,0.337,mixed:179|ambiguous:91
openai/gpt-4o::CC_05,openai/gpt-4o,CC_05,270,3,mixed,158,0.5852,False,True,0.1037,0.0,0.5852,0.3111,mixed:158|ambiguous:84|retrieval:28
openai/gpt-4o::CC_06,openai/gpt-4o,CC_06,270,3,mixed,158,0.5852,False,True,0.1037,0.0,0.5852,0.3111,mixed:158|ambiguous:84|retrieval:28
openai/gpt-4o::CC_07,openai/gpt-4o,CC_07,270,3,mixed,180,0.6667,False,True,0.2667,0.0,0.6667,0.0667,mixed:180|retrieval:72|ambiguous:18
openai/gpt-4o::CC_08,openai/gpt-4o,CC_08,270,3,mixed,158,0.5852,False,True,0.1037,0.0,0.5852,0.3111,mixed:158|ambiguous:84|retrieval:28
openai/gpt-4o::CC_09,openai/gpt-4o,CC_09,270,2,mixed,179,0.663,False,True,0.0,0.0,0.663,0.337,mixed:179|ambiguous:91
openai/gpt-4o::CC_10,openai/gpt-4o,CC_10,270,3,mixed,158,0.5852,False,True,0.1037,0.0,0.5852,0.3111,mixed:158|ambiguous:84|retrieval:28
openai/gpt-4o::SP_001,openai/gpt-4o,SP_001,270,2,mixed,144,0.5333,False,True,0.0,0.0,0.5333,0.4667,mixed:144|ambiguous:126
openai/gpt-4o::SP_002,openai/gpt-4o,SP_002,270,2,mixed,144,0.5333,False,True,0.0,0.0,0.5333,0.4667,mixed:144|ambiguous:126
openai/gpt-4o::SP_003,openai/gpt-4o,SP_003,270,3,mixed,180,0.6667,False,True,0.2667,0.0,0.6667,0.0667,mixed:180|retrieval:72|ambiguous:18
openai/gpt-4o::SP_004,openai/gpt-4o,SP_004,270,3,mixed,158,0.5852,False,True,0.1037,0.0,0.5852,0.3111,mixed:158|ambiguous:84|retrieval:28
openai/gpt-4o::SP_005,openai/gpt-4o,SP_005,270,3,mixed,180,0.6667,False,True,0.2667,0.0,0.6667,0.0667,mixed:180|retrieval:72|ambiguous:18
openai/gpt-4o::WIS_001,openai/gpt-4o,WIS_001,270,2,mixed,144,0.5333,False,True,0.0,0.0,0.5333,0.4667,mixed:144|ambiguous:126
openai/gpt-4o::WIS_002,openai/gpt-4o,WIS_002,270,2,mixed,144,0.5333,False,True,0.0,0.0,0.5333,0.4667,mixed:144|ambiguous:126
openai/gpt-4o::WIS_003,openai/gpt-4o,WIS_003,270,3,mixed,180,0.6667,False,True,0.2667,0.0,0.6667,0.0667,mixed:180|retrieval:72|ambiguous:18
openai/gpt-4o::WIS_004,openai/gpt-4o,WIS_004,270,3,mixed,180,0.6667,False,True,0.2667,0.0,0.6667,0.0667,mixed:180|retrieval:72|ambiguous:18
openai/gpt-4o::WIS_005,openai/gpt-4o,WIS_005,270,2,mixed,144,0.5333,False,True,0.0,0.0,0.5333,0.4667,mixed:144|ambiguous:126
openai/gpt-4o::CC_031,openai/gpt-4o,CC_031,270,2,mixed,144,0.5333,False,True,0.0,0.0,0.5333,0.4667,mixed:144|ambiguous:126
openai/gpt-4o::CC_032,openai/gpt-4o,CC_032,270,2,mixed,144,0.5333,False,True,0.0,0.0,0.5333,0.4667,mixed:144|ambiguous:126
openai/gpt-4o::CC_033,openai/gpt-4o,CC_033,270,1,ambiguous,270,1.0,True,False,0.0,0.0,0.0,1.0,ambiguous:270
openai/gpt-4o::CC_034,openai/gpt-4o,CC_034,270,2,mixed,144,0.5333,False,True,0.0,0.0,0.5333,0.4667,mixed:144|ambiguous:126
openai/gpt-4o::CC_035,openai/gpt-4o,CC_035,270,2,mixed,216,0.8,False,True,0.0,0.0,0.8,0.2,mixed:216|ambiguous:54
openai/gpt-4o::CC_036,openai/gpt-4o,CC_036,270,1,ambiguous,270,1.0,True,False,0.0,0.0,0.0,1.0,ambiguous:270
openai/gpt-4o::CC_037,openai/gpt-4o,CC_037,270,1,ambiguous,270,1.0,True,False,0.0,0.0,0.0,1.0,ambiguous:270
openai/gpt-4o::CC_038,openai/gpt-4o,CC_038,270,1,ambiguous,270,1.0,True,False,0.0,0.0,0.0,1.0,ambiguous:270
openai/gpt-4o::CC_039,openai/gpt-4o,CC_039,270,2,mixed,144,0.5333,False,True,0.0,0.0,0.5333,0.4667,mixed:144|ambiguous:126
openai/gpt-4o::CC_040,openai/gpt-4o,CC_040,270,2,mixed,144,0.5333,False,True,0.0,0.0,0.5333,0.4667,mixed:144|ambiguous:126
openai/gpt-4o::CC_041,openai/gpt-4o,CC_041,270,2,mixed,144,0.5333,False,True,0.0,0.0,0.5333,0.4667,mixed:144|ambiguous:126
openai/gpt-4o::CC_042,openai/gpt-4o,CC_042,270,1,ambiguous,270,1.0,True,False,0.0,0.0,0.0,1.0,ambiguous:270
openai/gpt-4o::CC_043,openai/gpt-4o,CC_043,270,2,mixed,144,0.5333,False,True,0.0,0.0,0.5333,0.4667,mixed:144|ambiguous:126
openai/gpt-4o::CC_044,openai/gpt-4o,CC_044,270,1,ambiguous,270,1.0,True,False,0.0,0.0,0.0,1.0,ambiguous:270
openai/gpt-4o::CC_045,openai/gpt-4o,CC_045,270,1,ambiguous,270,1.0,True,False,0.0,0.0,0.0,1.0,ambiguous:270
openai/gpt-4o::SP_019,openai/gpt-4o,SP_019,270,2,ambiguous,214,0.7926,False,True,0.2074,0.0,0.0,0.7926,ambiguous:214|retrieval:56
openai/gpt-4o::SP_020,openai/gpt-4o,SP_020,270,2,retrieval,144,0.5333,False,True,0.5333,0.0,0.0,0.4667,retrieval:144|ambiguous:126
openai/gpt-4o::SP_021,openai/gpt-4o,SP_021,270,2,mixed,179,0.663,False,True,0.0,0.0,0.663,0.337,mixed:179|ambiguous:91
openai/gpt-4o::SP_023,openai/gpt-4o,SP_023,270,2,ambiguous,214,0.7926,False,True,0.2074,0.0,0.0,0.7926,ambiguous:214|retrieval:56
openai/gpt-4o::SP_024,openai/gpt-4o,SP_024,270,3,ambiguous,135,0.5,False,True,0.0,0.2074,0.2926,0.5,ambiguous:135|mixed:79|computation:56
openai/gpt-4o::SP_026,openai/gpt-4o,SP_026,270,3,mixed,158,0.5852,False,True,0.1037,0.0,0.5852,0.3111,mixed:158|ambiguous:84|retrieval:28
openai/gpt-4o::SP_027,openai/gpt-4o,SP_027,270,2,mixed,142,0.5259,False,True,0.0,0.0,0.5259,0.4741,mixed:142|ambiguous:128
openai/gpt-4o::SP_028,openai/gpt-4o,SP_028,270,3,mixed,158,0.5852,False,True,0.1037,0.0,0.5852,0.3111,mixed:158|ambiguous:84|retrieval:28
openai/gpt-4o::SP_029,openai/gpt-4o,SP_029,270,3,mixed,180,0.6667,False,True,0.2667,0.0,0.6667,0.0667,mixed:180|retrieval:72|ambiguous:18
