problem_id,problem_subtype,byte_identical_text,identical_answer,canonical_n_denominations,canonical_target,canonical_optimal_coin_count,w6_n_denominations,w6_target,w6_optimal_coin_count,Claude_canonical_correct,Claude_w6_correct,GPT-4o_canonical_correct,GPT-4o_w6_correct,Gemini_canonical_correct,Gemini_w6_correct,Llama_canonical_correct,Llama_w6_correct,o4-mini_canonical_correct,o4-mini_w6_correct,canonical_n_nodes,canonical_n_edges,canonical_optimal_path_length,w6_n_nodes,w6_n_edges,w6_optimal_path_length,canonical_n_intervals,canonical_optimal_weight,w6_n_intervals,w6_optimal_weight
CC_042,coin_change,False,False,3.0,34.0,10.0,3.0,111.0,29.0,False,False,False,False,False,False,False,False,True,True,,,,,,,,,,
CC_043,coin_change,False,False,4.0,104.0,6.0,4.0,82.0,4.0,False,False,False,True,False,True,False,False,True,True,,,,,,,,,,
CC_044,coin_change,False,False,3.0,83.0,9.0,3.0,62.0,8.0,False,False,False,False,False,False,False,False,True,True,,,,,,,,,,
CC_045,coin_change,False,False,3.0,64.0,8.0,3.0,43.0,5.0,False,False,False,False,False,False,False,False,True,True,,,,,,,,,,
SP_019,shortest_path,False,False,,,,,,,True,True,False,True,True,True,False,False,True,True,7.0,11.0,12.0,7.0,11.0,5.0,,,,
SP_020,shortest_path,False,False,,,,,,,True,True,False,False,True,False,False,False,True,True,6.0,9.0,12.0,6.0,9.0,15.0,,,,
SP_021,shortest_path,False,False,,,,,,,True,False,False,False,True,False,False,False,True,False,9.0,15.0,12.0,9.0,15.0,10.0,,,,
SP_023,shortest_path,False,False,,,,,,,True,True,True,True,True,False,False,True,True,True,6.0,10.0,5.0,5.0,10.0,7.0,,,,
SP_024,shortest_path,False,False,,,,,,,True,False,True,False,True,False,False,True,True,True,8.0,14.0,5.0,7.0,14.0,9.0,,,,
SP_026,shortest_path,False,False,,,,,,,True,False,True,False,True,False,False,False,True,False,9.0,16.0,5.0,9.0,16.0,8.0,,,,
SP_027,shortest_path,False,False,,,,,,,True,True,False,True,True,False,False,False,True,True,7.0,11.0,4.0,7.0,11.0,3.0,,,,
SP_028,shortest_path,False,False,,,,,,,True,False,False,False,False,False,False,False,True,False,8.0,13.0,4.0,8.0,13.0,9.0,,,,
SP_029,shortest_path,False,False,,,,,,,True,False,True,False,False,False,False,False,True,False,8.0,13.0,4.0,8.0,13.0,3.0,,,,
SP_030,shortest_path,False,False,,,,,,,True,False,False,False,False,False,False,False,True,False,8.0,13.0,4.0,8.0,13.0,7.0,,,,
SP_031,shortest_path,False,False,,,,,,,True,False,True,False,True,False,False,False,True,False,9.0,9.0,22.0,7.0,9.0,8.0,,,,
SP_032,shortest_path,False,False,,,,,,,True,True,True,False,False,False,False,False,True,True,8.0,8.0,20.0,8.0,8.0,9.0,,,,
SP_033,shortest_path,False,False,,,,,,,True,True,True,False,False,True,False,False,True,False,8.0,8.0,23.0,8.0,8.0,10.0,,,,
SP_034,shortest_path,False,False,,,,,,,True,True,True,True,True,True,True,True,True,True,8.0,8.0,21.0,6.0,8.0,2.0,,,,
SP_035,shortest_path,False,False,,,,,,,True,False,True,False,True,False,False,False,True,False,7.0,7.0,19.0,7.0,7.0,11.0,,,,
SP_036,shortest_path,False,False,,,,,,,True,False,False,False,False,False,False,False,True,False,8.0,8.0,12.0,7.0,8.0,6.0,,,,
SP_037,shortest_path,False,False,,,,,,,True,True,False,False,True,False,False,False,True,True,7.0,11.0,12.0,7.0,11.0,10.0,,,,
SP_038,shortest_path,False,False,,,,,,,True,False,False,False,True,False,False,False,True,False,9.0,15.0,12.0,8.0,15.0,9.0,,,,
SP_039,shortest_path,False,False,,,,,,,True,False,False,False,True,False,False,False,True,False,9.0,15.0,12.0,8.0,15.0,8.0,,,,
SP_040,shortest_path,False,False,,,,,,,True,False,False,True,True,False,False,False,True,True,8.0,13.0,12.0,8.0,13.0,13.0,,,,
SP_042,shortest_path,False,False,,,,,,,True,False,True,False,False,False,False,False,True,False,9.0,16.0,5.0,9.0,16.0,5.0,,,,
SP_044,shortest_path,False,False,,,,,,,True,False,True,False,True,False,False,False,True,False,7.0,12.0,5.0,7.0,12.0,8.0,,,,
SP_045,shortest_path,False,False,,,,,,,True,False,True,False,True,False,False,False,True,True,7.0,11.0,4.0,7.0,11.0,10.0,,,,
SP_046,shortest_path,False,False,,,,,,,True,True,False,True,True,True,False,True,True,True,8.0,13.0,4.0,8.0,13.0,6.0,,,,
SP_047,shortest_path,False,False,,,,,,,True,False,True,False,True,False,False,False,True,False,7.0,11.0,4.0,7.0,11.0,7.0,,,,
SP_048,shortest_path,False,False,,,,,,,True,False,False,False,False,False,False,False,True,False,8.0,13.0,4.0,8.0,13.0,8.0,,,,
SP_049,shortest_path,False,False,,,,,,,True,True,True,False,True,False,False,False,True,True,9.0,9.0,10.0,9.0,9.0,17.0,,,,
SP_050,shortest_path,False,False,,,,,,,True,False,True,False,True,False,False,False,True,False,8.0,8.0,11.0,8.0,8.0,7.0,,,,
SP_051,shortest_path,False,False,,,,,,,True,True,False,True,True,False,False,False,True,False,8.0,8.0,18.0,7.0,8.0,6.0,,,,
SP_052,shortest_path,False,False,,,,,,,True,False,False,True,False,False,False,False,True,False,9.0,9.0,11.0,8.0,9.0,9.0,,,,
SP_053,shortest_path,False,False,,,,,,,True,True,True,True,False,True,False,False,True,True,6.0,6.0,25.0,6.0,6.0,13.0,,,,
SP_054,shortest_path,False,False,,,,,,,True,True,False,False,False,False,False,False,True,True,8.0,8.0,12.0,7.0,8.0,8.0,,,,
SP_055,shortest_path,False,False,,,,,,,True,False,True,False,True,False,False,False,True,False,7.0,7.0,17.0,6.0,7.0,5.0,,,,
SP_056,shortest_path,False,False,,,,,,,True,False,True,True,True,True,False,False,True,True,8.0,8.0,21.0,7.0,8.0,13.0,,,,
SP_057,shortest_path,False,False,,,,,,,True,True,True,True,True,False,False,False,True,True,7.0,7.0,24.0,6.0,7.0,8.0,,,,
SP_058,shortest_path,False,False,,,,,,,True,True,True,False,True,False,False,True,True,True,8.0,8.0,20.0,7.0,8.0,11.0,,,,
SP_059,shortest_path,False,False,,,,,,,True,True,True,True,True,True,False,False,True,False,9.0,9.0,25.0,8.0,9.0,9.0,,,,
SP_060,shortest_path,False,False,,,,,,,True,True,True,False,True,False,False,False,True,True,9.0,9.0,10.0,8.0,9.0,12.0,,,,
SP_061,shortest_path,False,False,,,,,,,True,False,True,False,False,False,False,False,True,False,8.0,8.0,16.0,7.0,8.0,15.0,,,,
SP_062,shortest_path,False,False,,,,,,,True,False,False,False,True,False,False,False,True,True,7.0,11.0,12.0,7.0,11.0,9.0,,,,
SP_063,shortest_path,False,False,,,,,,,True,True,False,True,True,True,False,False,True,False,9.0,15.0,12.0,9.0,15.0,4.0,,,,
SP_064,shortest_path,False,False,,,,,,,True,False,False,False,True,False,False,False,True,False,7.0,11.0,12.0,7.0,11.0,3.0,,,,
SP_065,shortest_path,False,False,,,,,,,True,False,False,False,True,False,False,False,True,False,7.0,11.0,12.0,7.0,11.0,5.0,,,,
SP_066,shortest_path,False,False,,,,,,,True,False,True,False,False,False,True,False,True,False,7.0,12.0,5.0,7.0,12.0,8.0,,,,
SP_068,shortest_path,False,False,,,,,,,True,True,True,True,True,False,False,False,True,True,9.0,16.0,5.0,9.0,16.0,8.0,,,,
SP_069,shortest_path,False,False,,,,,,,True,False,True,False,True,False,False,False,True,False,8.0,14.0,5.0,8.0,14.0,4.0,,,,
SP_070,shortest_path,False,False,,,,,,,True,True,True,False,True,True,False,True,True,True,7.0,11.0,4.0,7.0,11.0,4.0,,,,
SP_071,shortest_path,False,False,,,,,,,True,False,False,True,False,False,False,False,True,False,9.0,15.0,4.0,9.0,15.0,5.0,,,,
SP_072,shortest_path,False,False,,,,,,,True,True,True,False,True,False,False,False,True,True,7.0,11.0,4.0,7.0,11.0,9.0,,,,
SP_073,shortest_path,False,False,,,,,,,True,False,False,False,False,False,False,False,True,True,8.0,13.0,4.0,8.0,13.0,12.0,,,,
WIS_006,wis,True,False,,,,,,,False,False,False,False,False,False,False,False,True,False,,,,,,,7.0,40.0,7.0,79.0
WIS_007,wis,True,False,,,,,,,False,False,True,False,False,False,False,False,True,False,,,,,,,6.0,60.0,6.0,68.0
WIS_009,wis,True,False,,,,,,,False,False,False,False,False,False,False,False,True,False,,,,,,,9.0,72.0,9.0,81.0
WIS_010,wis,True,False,,,,,,,False,False,False,False,False,False,False,False,True,False,,,,,,,8.0,62.0,8.0,95.0
WIS_012,wis,True,False,,,,,,,False,False,False,False,False,False,False,False,True,False,,,,,,,9.0,83.0,9.0,70.0
WIS_013,wis,True,False,,,,,,,False,False,False,False,False,False,False,False,True,False,,,,,,,6.0,49.0,6.0,74.0
WIS_014,wis,True,False,,,,,,,True,False,False,False,False,False,False,False,True,False,,,,,,,6.0,53.0,6.0,75.0
WIS_015,wis,True,False,,,,,,,False,False,False,False,False,False,False,False,True,False,,,,,,,6.0,49.0,6.0,77.0
WIS_016,wis,True,False,,,,,,,True,False,False,False,False,False,False,False,True,False,,,,,,,6.0,51.0,6.0,72.0
WIS_017,wis,True,False,,,,,,,False,False,True,False,False,False,False,False,True,False,,,,,,,6.0,57.0,6.0,60.0
WIS_018,wis,True,False,,,,,,,False,False,True,False,True,False,True,False,True,False,,,,,,,6.0,55.0,6.0,65.0
WIS_019,wis,True,False,,,,,,,False,False,True,False,False,False,False,False,True,False,,,,,,,6.0,58.0,6.0,71.0
WIS_020,wis,True,False,,,,,,,False,False,True,False,True,False,False,False,True,False,,,,,,,6.0,59.0,6.0,75.0
WIS_021,wis,True,False,,,,,,,False,False,False,False,False,False,False,False,True,False,,,,,,,11.0,73.0,11.0,111.0
WIS_022,wis,True,False,,,,,,,False,False,False,False,False,False,False,False,True,False,,,,,,,9.0,69.0,9.0,106.0
WIS_023,wis,True,False,,,,,,,False,False,False,False,True,False,False,False,True,False,,,,,,,5.0,47.0,5.0,62.0
WIS_024,wis,True,False,,,,,,,True,False,False,False,True,False,False,False,True,False,,,,,,,6.0,47.0,6.0,62.0
WIS_025,wis,True,False,,,,,,,True,False,False,False,True,False,False,False,True,False,,,,,,,5.0,44.0,5.0,43.0
WIS_026,wis,True,False,,,,,,,True,False,False,False,False,False,False,False,True,False,,,,,,,6.0,53.0,6.0,69.0
WIS_027,wis,True,False,,,,,,,False,False,True,False,True,False,False,False,True,False,,,,,,,6.0,56.0,6.0,54.0
WIS_028,wis,True,False,,,,,,,True,False,True,False,False,False,False,False,True,False,,,,,,,5.0,43.0,5.0,45.0
WIS_029,wis,True,False,,,,,,,False,False,False,False,False,False,False,False,True,False,,,,,,,6.0,47.0,6.0,63.0
WIS_030,wis,True,False,,,,,,,False,False,False,False,False,False,False,False,True,False,,,,,,,9.0,62.0,9.0,102.0
WIS_031,wis,True,False,,,,,,,False,False,False,False,False,False,False,False,True,False,,,,,,,9.0,51.0,9.0,104.0
WIS_032,wis,True,False,,,,,,,False,False,False,False,False,False,False,False,True,False,,,,,,,9.0,80.0,9.0,92.0
