family,probe,model,gap_kind,gap_id,api_needed
GSM,P1,GPT-4o,missing_w4,GSM_050,yes
GSM,P1,GPT-4o,missing_w5,GSM_050,yes
GSM,P1,GPT-4o,missing_w6,GSM_050,no
GSM,P1,GPT-4o,missing_w1,GSM_051,yes
GSM,P1,GPT-4o,missing_w2,GSM_051,yes
GSM,P1,GPT-4o,missing_w3,GSM_051,yes
GSM,P1,GPT-4o,missing_w4,GSM_051,yes
GSM,P1,GPT-4o,missing_w5,GSM_051,yes
GSM,P1,GPT-4o,missing_w6,GSM_051,no
GSM,P1,GPT-4o,missing_w1,GSM_052,yes
GSM,P1,GPT-4o,missing_w2,GSM_052,yes
GSM,P1,GPT-4o,missing_w3,GSM_052,yes
GSM,P1,GPT-4o,missing_w4,GSM_052,yes
GSM,P1,GPT-4o,missing_w5,GSM_052,yes
GSM,P1,GPT-4o,missing_w6,GSM_052,no
GSM,P1,GPT-4o,missing_w1,GSM_053,yes
GSM,P1,GPT-4o,missing_w2,GSM_053,yes
GSM,P1,GPT-4o,missing_w3,GSM_053,yes
GSM,P1,GPT-4o,missing_w4,GSM_053,yes
GSM,P1,GPT-4o,missing_w5,GSM_053,yes
GSM,P1,GPT-4o,missing_w6,GSM_053,no
GSM,P1,GPT-4o,missing_w1,GSM_054,yes
GSM,P1,GPT-4o,missing_w2,GSM_054,yes
GSM,P1,GPT-4o,missing_w3,GSM_054,yes
GSM,P1,GPT-4o,missing_w4,GSM_054,yes
GSM,P1,GPT-4o,missing_w5,GSM_054,yes
GSM,P1,GPT-4o,missing_w6,GSM_054,no
GSM,P1,GPT-4o,missing_w1,GSM_055,yes
GSM,P1,GPT-4o,missing_w2,GSM_055,yes
GSM,P1,GPT-4o,missing_w3,GSM_055,yes
GSM,P1,GPT-4o,missing_w4,GSM_055,yes
GSM,P1,GPT-4o,missing_w5,GSM_055,yes
GSM,P1,GPT-4o,missing_w6,GSM_055,no
GSM,P1,GPT-4o,missing_w1,GSM_056,yes
GSM,P1,GPT-4o,missing_w2,GSM_056,yes
GSM,P1,GPT-4o,missing_w3,GSM_056,yes
GSM,P1,GPT-4o,missing_w4,GSM_056,yes
GSM,P1,GPT-4o,missing_w5,GSM_056,yes
GSM,P1,GPT-4o,missing_w6,GSM_056,no
GSM,P1,GPT-4o,missing_w1,GSM_057,yes
GSM,P1,GPT-4o,missing_w2,GSM_057,yes
GSM,P1,GPT-4o,missing_w3,GSM_057,yes
GSM,P1,GPT-4o,missing_w4,GSM_057,yes
GSM,P1,GPT-4o,missing_w5,GSM_057,yes
GSM,P1,GPT-4o,missing_w6,GSM_057,no
GSM,P1,GPT-4o,missing_w1,GSM_058,yes
GSM,P1,GPT-4o,missing_w2,GSM_058,yes
GSM,P1,GPT-4o,missing_w3,GSM_058,yes
GSM,P1,GPT-4o,missing_w4,GSM_058,yes
GSM,P1,GPT-4o,missing_w5,GSM_058,yes
GSM,P1,GPT-4o,missing_w6,GSM_058,no
GSM,P1,GPT-4o,missing_w1,GSM_059,yes
GSM,P1,GPT-4o,missing_w2,GSM_059,yes
GSM,P1,GPT-4o,missing_w3,GSM_059,yes
GSM,P1,GPT-4o,missing_w4,GSM_059,yes
GSM,P1,GPT-4o,missing_w5,GSM_059,yes
GSM,P1,GPT-4o,missing_w6,GSM_059,no
GSM,P1,GPT-4o,missing_w1,GSM_060,yes
GSM,P1,GPT-4o,missing_w2,GSM_060,yes
GSM,P1,GPT-4o,missing_w3,GSM_060,yes
GSM,P1,GPT-4o,missing_w4,GSM_060,yes
GSM,P1,GPT-4o,missing_w5,GSM_060,yes
GSM,P1,GPT-4o,missing_w6,GSM_060,no
GSM,P1,GPT-4o,missing_w1,GSM_061,yes
GSM,P1,GPT-4o,missing_w2,GSM_061,yes
GSM,P1,GPT-4o,missing_w3,GSM_061,yes
GSM,P1,GPT-4o,missing_w4,GSM_061,yes
GSM,P1,GPT-4o,missing_w5,GSM_061,yes
GSM,P1,GPT-4o,missing_w6,GSM_061,no
GSM,P1,GPT-4o,missing_w1,GSM_062,yes
GSM,P1,GPT-4o,missing_w2,GSM_062,yes
GSM,P1,GPT-4o,missing_w3,GSM_062,yes
GSM,P1,GPT-4o,missing_w4,GSM_062,yes
GSM,P1,GPT-4o,missing_w5,GSM_062,yes
GSM,P1,GPT-4o,missing_w6,GSM_062,no
GSM,P1,GPT-4o,missing_w1,GSM_063,yes
GSM,P1,GPT-4o,missing_w2,GSM_063,yes
GSM,P1,GPT-4o,missing_w3,GSM_063,yes
GSM,P1,GPT-4o,missing_w4,GSM_063,yes
GSM,P1,GPT-4o,missing_w5,GSM_063,yes
GSM,P1,GPT-4o,missing_w6,GSM_063,no
GSM,P1,GPT-4o,missing_w1,GSM_064,yes
GSM,P1,GPT-4o,missing_w2,GSM_064,yes
GSM,P1,GPT-4o,missing_w3,GSM_064,yes
GSM,P1,GPT-4o,missing_w4,GSM_064,yes
GSM,P1,GPT-4o,missing_w5,GSM_064,yes
GSM,P1,GPT-4o,missing_w6,GSM_064,no
GSM,P1,Llama,missing_canonical,GSM_041,yes
GSM,P1,Llama,missing_canonical,GSM_042,yes
GSM,P1,Llama,missing_canonical,GSM_043,yes
GSM,P1,Llama,missing_canonical,GSM_044,yes
GSM,P1,Llama,missing_canonical,GSM_045,yes
GSM,P1,Llama,missing_canonical,GSM_046,yes
GSM,P1,Llama,missing_canonical,GSM_047,yes
GSM,P1,Llama,missing_canonical,GSM_048,yes
GSM,P1,Llama,missing_canonical,GSM_049,yes
GSM,P1,Llama,missing_canonical,GSM_050,yes
GSM,P1,Llama,missing_canonical,GSM_051,yes
GSM,P1,Llama,missing_canonical,GSM_052,yes
GSM,P1,Llama,missing_canonical,GSM_053,yes
GSM,P1,Llama,missing_canonical,GSM_054,yes
GSM,P1,Llama,missing_canonical,GSM_055,yes
GSM,P1,Llama,missing_canonical,GSM_056,yes
GSM,P1,Llama,missing_canonical,GSM_057,yes
GSM,P1,Llama,missing_canonical,GSM_058,yes
GSM,P1,Llama,missing_canonical,GSM_059,yes
GSM,P1,Llama,missing_canonical,GSM_060,yes
GSM,P1,Llama,missing_canonical,GSM_061,yes
GSM,P1,Llama,missing_canonical,GSM_062,yes
GSM,P1,Llama,missing_canonical,GSM_063,yes
GSM,P1,Llama,missing_canonical,GSM_064,yes
GSM,P1,Llama,missing_w1,GSM_041,yes
GSM,P1,Llama,missing_w2,GSM_041,yes
GSM,P1,Llama,missing_w3,GSM_041,yes
GSM,P1,Llama,missing_w4,GSM_041,yes
GSM,P1,Llama,missing_w5,GSM_041,yes
GSM,P1,Llama,missing_w6,GSM_041,no
GSM,P1,Llama,missing_w1,GSM_042,yes
GSM,P1,Llama,missing_w2,GSM_042,yes
GSM,P1,Llama,missing_w3,GSM_042,yes
GSM,P1,Llama,missing_w4,GSM_042,yes
GSM,P1,Llama,missing_w5,GSM_042,yes
GSM,P1,Llama,missing_w6,GSM_042,no
GSM,P1,Llama,missing_w1,GSM_043,yes
GSM,P1,Llama,missing_w2,GSM_043,yes
GSM,P1,Llama,missing_w3,GSM_043,yes
GSM,P1,Llama,missing_w4,GSM_043,yes
GSM,P1,Llama,missing_w5,GSM_043,yes
GSM,P1,Llama,missing_w6,GSM_043,no
GSM,P1,Llama,missing_w1,GSM_044,yes
GSM,P1,Llama,missing_w2,GSM_044,yes
GSM,P1,Llama,missing_w3,GSM_044,yes
GSM,P1,Llama,missing_w4,GSM_044,yes
GSM,P1,Llama,missing_w5,GSM_044,yes
GSM,P1,Llama,missing_w6,GSM_044,no
GSM,P1,Llama,missing_w1,GSM_045,yes
GSM,P1,Llama,missing_w2,GSM_045,yes
GSM,P1,Llama,missing_w3,GSM_045,yes
GSM,P1,Llama,missing_w4,GSM_045,yes
GSM,P1,Llama,missing_w5,GSM_045,yes
GSM,P1,Llama,missing_w6,GSM_045,no
GSM,P1,Llama,missing_w1,GSM_046,yes
GSM,P1,Llama,missing_w2,GSM_046,yes
GSM,P1,Llama,missing_w3,GSM_046,yes
GSM,P1,Llama,missing_w4,GSM_046,yes
GSM,P1,Llama,missing_w5,GSM_046,yes
GSM,P1,Llama,missing_w6,GSM_046,no
GSM,P1,Llama,missing_w1,GSM_047,yes
GSM,P1,Llama,missing_w2,GSM_047,yes
GSM,P1,Llama,missing_w3,GSM_047,yes
GSM,P1,Llama,missing_w4,GSM_047,yes
GSM,P1,Llama,missing_w5,GSM_047,yes
GSM,P1,Llama,missing_w6,GSM_047,no
GSM,P1,Llama,missing_w1,GSM_048,yes
GSM,P1,Llama,missing_w2,GSM_048,yes
GSM,P1,Llama,missing_w3,GSM_048,yes
GSM,P1,Llama,missing_w4,GSM_048,yes
GSM,P1,Llama,missing_w5,GSM_048,yes
GSM,P1,Llama,missing_w6,GSM_048,no
GSM,P1,Llama,missing_w1,GSM_049,yes
GSM,P1,Llama,missing_w2,GSM_049,yes
GSM,P1,Llama,missing_w3,GSM_049,yes
GSM,P1,Llama,missing_w4,GSM_049,yes
GSM,P1,Llama,missing_w5,GSM_049,yes
GSM,P1,Llama,missing_w6,GSM_049,no
GSM,P1,Llama,missing_w1,GSM_050,yes
GSM,P1,Llama,missing_w2,GSM_050,yes
GSM,P1,Llama,missing_w3,GSM_050,yes
GSM,P1,Llama,missing_w4,GSM_050,yes
GSM,P1,Llama,missing_w5,GSM_050,yes
GSM,P1,Llama,missing_w6,GSM_050,no
GSM,P1,Llama,missing_w1,GSM_051,yes
GSM,P1,Llama,missing_w2,GSM_051,yes
GSM,P1,Llama,missing_w3,GSM_051,yes
GSM,P1,Llama,missing_w4,GSM_051,yes
GSM,P1,Llama,missing_w5,GSM_051,yes
GSM,P1,Llama,missing_w6,GSM_051,no
GSM,P1,Llama,missing_w1,GSM_052,yes
GSM,P1,Llama,missing_w2,GSM_052,yes
GSM,P1,Llama,missing_w3,GSM_052,yes
GSM,P1,Llama,missing_w4,GSM_052,yes
GSM,P1,Llama,missing_w5,GSM_052,yes
GSM,P1,Llama,missing_w6,GSM_052,no
GSM,P1,Llama,missing_w1,GSM_053,yes
GSM,P1,Llama,missing_w2,GSM_053,yes
GSM,P1,Llama,missing_w3,GSM_053,yes
GSM,P1,Llama,missing_w4,GSM_053,yes
GSM,P1,Llama,missing_w5,GSM_053,yes
GSM,P1,Llama,missing_w6,GSM_053,no
GSM,P1,Llama,missing_w1,GSM_054,yes
GSM,P1,Llama,missing_w2,GSM_054,yes
GSM,P1,Llama,missing_w3,GSM_054,yes
GSM,P1,Llama,missing_w4,GSM_054,yes
GSM,P1,Llama,missing_w5,GSM_054,yes
GSM,P1,Llama,missing_w6,GSM_054,no
GSM,P1,Llama,missing_w1,GSM_055,yes
GSM,P1,Llama,missing_w2,GSM_055,yes
GSM,P1,Llama,missing_w3,GSM_055,yes
GSM,P1,Llama,missing_w4,GSM_055,yes
GSM,P1,Llama,missing_w5,GSM_055,yes
GSM,P1,Llama,missing_w6,GSM_055,no
GSM,P1,Llama,missing_w1,GSM_056,yes
GSM,P1,Llama,missing_w2,GSM_056,yes
GSM,P1,Llama,missing_w3,GSM_056,yes
GSM,P1,Llama,missing_w4,GSM_056,yes
GSM,P1,Llama,missing_w5,GSM_056,yes
GSM,P1,Llama,missing_w6,GSM_056,no
GSM,P1,Llama,missing_w1,GSM_057,yes
GSM,P1,Llama,missing_w2,GSM_057,yes
GSM,P1,Llama,missing_w3,GSM_057,yes
GSM,P1,Llama,missing_w4,GSM_057,yes
GSM,P1,Llama,missing_w5,GSM_057,yes
GSM,P1,Llama,missing_w6,GSM_057,no
GSM,P1,Llama,missing_w1,GSM_058,yes
GSM,P1,Llama,missing_w2,GSM_058,yes
GSM,P1,Llama,missing_w3,GSM_058,yes
GSM,P1,Llama,missing_w4,GSM_058,yes
GSM,P1,Llama,missing_w5,GSM_058,yes
GSM,P1,Llama,missing_w6,GSM_058,no
GSM,P1,Llama,missing_w1,GSM_059,yes
GSM,P1,Llama,missing_w2,GSM_059,yes
GSM,P1,Llama,missing_w3,GSM_059,yes
GSM,P1,Llama,missing_w4,GSM_059,yes
GSM,P1,Llama,missing_w5,GSM_059,yes
GSM,P1,Llama,missing_w6,GSM_059,no
GSM,P1,Llama,missing_w1,GSM_060,yes
GSM,P1,Llama,missing_w2,GSM_060,yes
GSM,P1,Llama,missing_w3,GSM_060,yes
GSM,P1,Llama,missing_w4,GSM_060,yes
GSM,P1,Llama,missing_w5,GSM_060,yes
GSM,P1,Llama,missing_w6,GSM_060,no
GSM,P1,Llama,missing_w1,GSM_061,yes
GSM,P1,Llama,missing_w2,GSM_061,yes
GSM,P1,Llama,missing_w3,GSM_061,yes
GSM,P1,Llama,missing_w4,GSM_061,yes
GSM,P1,Llama,missing_w5,GSM_061,yes
GSM,P1,Llama,missing_w6,GSM_061,no
GSM,P1,Llama,missing_w1,GSM_062,yes
GSM,P1,Llama,missing_w2,GSM_062,yes
GSM,P1,Llama,missing_w3,GSM_062,yes
GSM,P1,Llama,missing_w4,GSM_062,yes
GSM,P1,Llama,missing_w5,GSM_062,yes
GSM,P1,Llama,missing_w6,GSM_062,no
GSM,P1,Llama,missing_w1,GSM_063,yes
GSM,P1,Llama,missing_w2,GSM_063,yes
GSM,P1,Llama,missing_w3,GSM_063,yes
GSM,P1,Llama,missing_w4,GSM_063,yes
GSM,P1,Llama,missing_w5,GSM_063,yes
GSM,P1,Llama,missing_w6,GSM_063,no
GSM,P1,Llama,missing_w1,GSM_064,yes
GSM,P1,Llama,missing_w2,GSM_064,yes
GSM,P1,Llama,missing_w3,GSM_064,yes
GSM,P1,Llama,missing_w4,GSM_064,yes
GSM,P1,Llama,missing_w5,GSM_064,yes
GSM,P1,Llama,missing_w6,GSM_064,no
ALGO,P2A_elicited,Claude,missing_canonical,CC_031,yes
ALGO,P2A_elicited,Claude,missing_canonical,CC_032,yes
ALGO,P2A_elicited,Claude,missing_canonical,CC_033,yes
ALGO,P2A_elicited,Claude,missing_canonical,CC_034,yes
ALGO,P2A_elicited,Claude,missing_canonical,CC_035,yes
ALGO,P2A_elicited,Claude,missing_canonical,CC_036,yes
ALGO,P2A_elicited,Claude,missing_canonical,CC_037,yes
ALGO,P2A_elicited,Claude,missing_canonical,CC_038,yes
ALGO,P2A_elicited,Claude,missing_canonical,CC_039,yes
ALGO,P2A_elicited,Claude,missing_canonical,CC_040,yes
ALGO,P2A_elicited,Claude,missing_canonical,CC_041,yes
ALGO,P2A_elicited,Claude,missing_canonical,CC_042,yes
ALGO,P2A_elicited,Claude,missing_canonical,CC_043,yes
ALGO,P2A_elicited,Claude,missing_canonical,CC_044,yes
ALGO,P2A_elicited,Claude,missing_canonical,CC_045,yes
ALGO,P2A_elicited,Claude,missing_canonical,SP_001,yes
ALGO,P2A_elicited,Claude,missing_canonical,SP_002,yes
ALGO,P2A_elicited,Claude,missing_canonical,SP_031,yes
ALGO,P2A_elicited,Claude,missing_canonical,SP_032,yes
ALGO,P2A_elicited,Claude,missing_canonical,SP_033,yes
ALGO,P2A_elicited,Claude,missing_canonical,SP_034,yes
ALGO,P2A_elicited,Claude,missing_canonical,SP_035,yes
ALGO,P2A_elicited,Claude,missing_canonical,SP_036,yes
ALGO,P2A_elicited,Claude,missing_canonical,SP_049,yes
ALGO,P2A_elicited,Claude,missing_canonical,SP_050,yes
ALGO,P2A_elicited,Claude,missing_canonical,SP_051,yes
ALGO,P2A_elicited,Claude,missing_canonical,SP_052,yes
ALGO,P2A_elicited,Claude,missing_canonical,SP_053,yes
ALGO,P2A_elicited,Claude,missing_canonical,SP_054,yes
ALGO,P2A_elicited,Claude,missing_canonical,SP_055,yes
ALGO,P2A_elicited,Claude,missing_canonical,SP_056,yes
ALGO,P2A_elicited,Claude,missing_canonical,SP_057,yes
ALGO,P2A_elicited,Claude,missing_canonical,SP_058,yes
ALGO,P2A_elicited,Claude,missing_canonical,SP_059,yes
ALGO,P2A_elicited,Claude,missing_canonical,SP_060,yes
ALGO,P2A_elicited,Claude,missing_canonical,SP_061,yes
ALGO,P2A_elicited,Claude,missing_canonical,WIS_001,yes
ALGO,P2A_elicited,Claude,missing_canonical,WIS_002,yes
ALGO,P2A_elicited,Claude,missing_canonical,WIS_005,yes
ALGO,P2A_elicited,Claude,missing_canonical,WIS_006,yes
ALGO,P2A_elicited,Claude,missing_canonical,WIS_007,yes
ALGO,P2A_elicited,Claude,missing_canonical,WIS_009,yes
ALGO,P2A_elicited,Claude,missing_canonical,WIS_010,yes
ALGO,P2A_elicited,Claude,missing_canonical,WIS_012,yes
ALGO,P2A_elicited,Claude,missing_canonical,WIS_021,yes
ALGO,P2A_elicited,Claude,missing_canonical,WIS_022,yes
ALGO,P2A_elicited,Claude,missing_canonical,WIS_030,yes
ALGO,P2A_elicited,Claude,missing_canonical,WIS_031,yes
ALGO,P2A_elicited,Claude,missing_canonical,WIS_032,yes
ALGO,P2A_elicited,Gemini,missing_canonical,CC_031,yes
ALGO,P2A_elicited,Gemini,missing_canonical,CC_032,yes
ALGO,P2A_elicited,Gemini,missing_canonical,CC_033,yes
ALGO,P2A_elicited,Gemini,missing_canonical,CC_034,yes
ALGO,P2A_elicited,Gemini,missing_canonical,CC_035,yes
ALGO,P2A_elicited,Gemini,missing_canonical,CC_036,yes
ALGO,P2A_elicited,Gemini,missing_canonical,CC_037,yes
ALGO,P2A_elicited,Gemini,missing_canonical,CC_038,yes
ALGO,P2A_elicited,Gemini,missing_canonical,CC_039,yes
ALGO,P2A_elicited,Gemini,missing_canonical,CC_040,yes
ALGO,P2A_elicited,Gemini,missing_canonical,CC_041,yes
ALGO,P2A_elicited,Gemini,missing_canonical,CC_042,yes
ALGO,P2A_elicited,Gemini,missing_canonical,CC_043,yes
ALGO,P2A_elicited,Gemini,missing_canonical,CC_044,yes
ALGO,P2A_elicited,Gemini,missing_canonical,CC_045,yes
ALGO,P2A_elicited,Gemini,missing_canonical,SP_001,yes
ALGO,P2A_elicited,Gemini,missing_canonical,SP_002,yes
ALGO,P2A_elicited,Gemini,missing_canonical,SP_031,yes
ALGO,P2A_elicited,Gemini,missing_canonical,SP_032,yes
ALGO,P2A_elicited,Gemini,missing_canonical,SP_033,yes
ALGO,P2A_elicited,Gemini,missing_canonical,SP_034,yes
ALGO,P2A_elicited,Gemini,missing_canonical,SP_035,yes
ALGO,P2A_elicited,Gemini,missing_canonical,SP_036,yes
ALGO,P2A_elicited,Gemini,missing_canonical,SP_049,yes
ALGO,P2A_elicited,Gemini,missing_canonical,SP_050,yes
ALGO,P2A_elicited,Gemini,missing_canonical,SP_051,yes
ALGO,P2A_elicited,Gemini,missing_canonical,SP_052,yes
ALGO,P2A_elicited,Gemini,missing_canonical,SP_053,yes
ALGO,P2A_elicited,Gemini,missing_canonical,SP_054,yes
ALGO,P2A_elicited,Gemini,missing_canonical,SP_055,yes
ALGO,P2A_elicited,Gemini,missing_canonical,SP_056,yes
ALGO,P2A_elicited,Gemini,missing_canonical,SP_057,yes
ALGO,P2A_elicited,Gemini,missing_canonical,SP_058,yes
ALGO,P2A_elicited,Gemini,missing_canonical,SP_059,yes
ALGO,P2A_elicited,Gemini,missing_canonical,SP_060,yes
ALGO,P2A_elicited,Gemini,missing_canonical,SP_061,yes
ALGO,P2A_elicited,Gemini,missing_canonical,WIS_001,yes
ALGO,P2A_elicited,Gemini,missing_canonical,WIS_002,yes
ALGO,P2A_elicited,Gemini,missing_canonical,WIS_005,yes
ALGO,P2A_elicited,Gemini,missing_canonical,WIS_006,yes
ALGO,P2A_elicited,Gemini,missing_canonical,WIS_007,yes
ALGO,P2A_elicited,Gemini,missing_canonical,WIS_009,yes
ALGO,P2A_elicited,Gemini,missing_canonical,WIS_010,yes
ALGO,P2A_elicited,Gemini,missing_canonical,WIS_012,yes
ALGO,P2A_elicited,Gemini,missing_canonical,WIS_021,yes
ALGO,P2A_elicited,Gemini,missing_canonical,WIS_022,yes
ALGO,P2A_elicited,Gemini,missing_canonical,WIS_030,yes
ALGO,P2A_elicited,Gemini,missing_canonical,WIS_031,yes
ALGO,P2A_elicited,Gemini,missing_canonical,WIS_032,yes
ALGO,P2A_elicited,Llama,missing_canonical,CC_031,yes
ALGO,P2A_elicited,Llama,missing_canonical,CC_032,yes
ALGO,P2A_elicited,Llama,missing_canonical,CC_033,yes
ALGO,P2A_elicited,Llama,missing_canonical,CC_034,yes
ALGO,P2A_elicited,Llama,missing_canonical,CC_035,yes
ALGO,P2A_elicited,Llama,missing_canonical,CC_036,yes
ALGO,P2A_elicited,Llama,missing_canonical,CC_037,yes
ALGO,P2A_elicited,Llama,missing_canonical,CC_038,yes
ALGO,P2A_elicited,Llama,missing_canonical,CC_039,yes
ALGO,P2A_elicited,Llama,missing_canonical,CC_040,yes
ALGO,P2A_elicited,Llama,missing_canonical,CC_041,yes
ALGO,P2A_elicited,Llama,missing_canonical,CC_042,yes
ALGO,P2A_elicited,Llama,missing_canonical,CC_043,yes
ALGO,P2A_elicited,Llama,missing_canonical,CC_044,yes
ALGO,P2A_elicited,Llama,missing_canonical,CC_045,yes
ALGO,P2A_elicited,Llama,missing_canonical,SP_001,yes
ALGO,P2A_elicited,Llama,missing_canonical,SP_002,yes
ALGO,P2A_elicited,Llama,missing_canonical,SP_031,yes
ALGO,P2A_elicited,Llama,missing_canonical,SP_032,yes
ALGO,P2A_elicited,Llama,missing_canonical,SP_033,yes
ALGO,P2A_elicited,Llama,missing_canonical,SP_034,yes
ALGO,P2A_elicited,Llama,missing_canonical,SP_035,yes
ALGO,P2A_elicited,Llama,missing_canonical,SP_036,yes
ALGO,P2A_elicited,Llama,missing_canonical,SP_049,yes
ALGO,P2A_elicited,Llama,missing_canonical,SP_050,yes
ALGO,P2A_elicited,Llama,missing_canonical,SP_051,yes
ALGO,P2A_elicited,Llama,missing_canonical,SP_052,yes
ALGO,P2A_elicited,Llama,missing_canonical,SP_053,yes
ALGO,P2A_elicited,Llama,missing_canonical,SP_054,yes
ALGO,P2A_elicited,Llama,missing_canonical,SP_055,yes
ALGO,P2A_elicited,Llama,missing_canonical,SP_056,yes
ALGO,P2A_elicited,Llama,missing_canonical,SP_057,yes
ALGO,P2A_elicited,Llama,missing_canonical,SP_058,yes
ALGO,P2A_elicited,Llama,missing_canonical,SP_059,yes
ALGO,P2A_elicited,Llama,missing_canonical,SP_060,yes
ALGO,P2A_elicited,Llama,missing_canonical,SP_061,yes
ALGO,P2A_elicited,Llama,missing_canonical,WIS_001,yes
ALGO,P2A_elicited,Llama,missing_canonical,WIS_002,yes
ALGO,P2A_elicited,Llama,missing_canonical,WIS_005,yes
ALGO,P2A_elicited,Llama,missing_canonical,WIS_006,yes
ALGO,P2A_elicited,Llama,missing_canonical,WIS_007,yes
ALGO,P2A_elicited,Llama,missing_canonical,WIS_009,yes
ALGO,P2A_elicited,Llama,missing_canonical,WIS_010,yes
ALGO,P2A_elicited,Llama,missing_canonical,WIS_012,yes
ALGO,P2A_elicited,Llama,missing_canonical,WIS_021,yes
ALGO,P2A_elicited,Llama,missing_canonical,WIS_022,yes
