probe,phase,family,model,temperature_sent,temperature_value,client,driver,output_file,notes
P1,behavioral,BW,anthropic/claude-sonnet-4,no,(omitted — provider default),OpenRouterClient,scripts/BW_P1_SCR_run_behavioral_sweep.py,results/raw/BW_P1_behavioral.csv,
P1,behavioral,BW,deepseek/deepseek-r1-distill-llama-70b,no,(omitted — provider default),OpenRouterClient,scripts/BW_P1_SCR_run_behavioral_sweep.py,results/raw/BW_P1_behavioral.csv,
P1,behavioral,BW,meta-llama/llama-3.1-8b-instruct,no,(omitted — provider default),OpenRouterClient,scripts/BW_P1_SCR_run_behavioral_sweep.py,results/raw/BW_P1_behavioral.csv,
P1,behavioral,BW,openai/gpt-4o,no,(omitted — provider default),OpenRouterClient,scripts/BW_P1_SCR_run_behavioral_sweep.py,results/raw/BW_P1_behavioral.csv,
P1,behavioral,BW,google/gemini-2.5-flash,no,(omitted — provider default),OpenRouterClient,scripts/BW_P1_SCR_run_behavioral_sweep.py,results/raw/BW_P1_behavioral_gemini.csv,
P1,behavioral,BW,openai/o4-mini,no,(omitted — provider default),OpenRouterClient,scripts/BW_P1_SCR_run_behavioral_sweep.py,results/raw/BW_P1_behavioral_o1mini.csv,
P2,P2-Ph1,GSM,anthropic/claude-sonnet-4,no,(omitted — provider default),OpenRouterClient,scripts/GSM_P2_SCR_run_probe2.py,results/raw/GSM_P2_phase1_claude.csv,GSM_P2_SCR_run_probe2 writes Ph1+Ph2A+Ph2B into one row; file named phase1_* holds full schema; Claude may use AnthropicClient if ANTHROPIC_API_KEY else OpenRouter — neither sends temperature
P2,P2-Ph2A,GSM,anthropic/claude-sonnet-4,no,(omitted — provider default),OpenRouterClient,scripts/GSM_P2_SCR_run_probe2.py,results/raw/GSM_P2_phase1_claude.csv,GSM_P2_SCR_run_probe2 writes Ph1+Ph2A+Ph2B into one row; file named phase1_* holds full schema; Claude may use AnthropicClient if ANTHROPIC_API_KEY else OpenRouter — neither sends temperature
P2,P2-Ph2B,GSM,anthropic/claude-sonnet-4,no,(omitted — provider default),OpenRouterClient,scripts/GSM_P2_SCR_run_probe2.py,results/raw/GSM_P2_phase1_claude.csv,GSM_P2_SCR_run_probe2 writes Ph1+Ph2A+Ph2B into one row; file named phase1_* holds full schema; Claude may use AnthropicClient if ANTHROPIC_API_KEY else OpenRouter — neither sends temperature
P2,P2-Ph1,GSM,openai/gpt-4o,no,(omitted — provider default),OpenRouterClient,scripts/GSM_P2_SCR_run_probe2.py,results/raw/GSM_P2_phase1_gpt4o.csv,GSM_P2_SCR_run_probe2 writes Ph1+Ph2A+Ph2B into one row; file named phase1_* holds full schema
P2,P2-Ph2A,GSM,openai/gpt-4o,no,(omitted — provider default),OpenRouterClient,scripts/GSM_P2_SCR_run_probe2.py,results/raw/GSM_P2_phase1_gpt4o.csv,GSM_P2_SCR_run_probe2 writes Ph1+Ph2A+Ph2B into one row; file named phase1_* holds full schema
P2,P2-Ph2B,GSM,openai/gpt-4o,no,(omitted — provider default),OpenRouterClient,scripts/GSM_P2_SCR_run_probe2.py,results/raw/GSM_P2_phase1_gpt4o.csv,GSM_P2_SCR_run_probe2 writes Ph1+Ph2A+Ph2B into one row; file named phase1_* holds full schema
P2,P2-Ph1,GSM,meta-llama/llama-3.1-8b-instruct,no,(omitted — provider default),OpenRouterClient,scripts/GSM_P2_SCR_run_probe2.py,results/raw/GSM_P2_phase1_llama.csv,GSM_P2_SCR_run_probe2 writes Ph1+Ph2A+Ph2B into one row; file named phase1_* holds full schema
P2,P2-Ph2A,GSM,meta-llama/llama-3.1-8b-instruct,no,(omitted — provider default),OpenRouterClient,scripts/GSM_P2_SCR_run_probe2.py,results/raw/GSM_P2_phase1_llama.csv,GSM_P2_SCR_run_probe2 writes Ph1+Ph2A+Ph2B into one row; file named phase1_* holds full schema
P2,P2-Ph2B,GSM,meta-llama/llama-3.1-8b-instruct,no,(omitted — provider default),OpenRouterClient,scripts/GSM_P2_SCR_run_probe2.py,results/raw/GSM_P2_phase1_llama.csv,GSM_P2_SCR_run_probe2 writes Ph1+Ph2A+Ph2B into one row; file named phase1_* holds full schema
P2,P2-Ph1,GSM,google/gemini-2.5-flash,no,(omitted — provider default),OpenRouterClient,scripts/GSM_P2_SCR_run_probe2.py,results/raw/GSM_P2_phase1_gemini.csv,GSM_P2_SCR_run_probe2 writes Ph1+Ph2A+Ph2B into one row; file named phase1_* holds full schema
P2,P2-Ph2A,GSM,google/gemini-2.5-flash,no,(omitted — provider default),OpenRouterClient,scripts/GSM_P2_SCR_run_probe2.py,results/raw/GSM_P2_phase1_gemini.csv,GSM_P2_SCR_run_probe2 writes Ph1+Ph2A+Ph2B into one row; file named phase1_* holds full schema
P2,P2-Ph2B,GSM,google/gemini-2.5-flash,no,(omitted — provider default),OpenRouterClient,scripts/GSM_P2_SCR_run_probe2.py,results/raw/GSM_P2_phase1_gemini.csv,GSM_P2_SCR_run_probe2 writes Ph1+Ph2A+Ph2B into one row; file named phase1_* holds full schema
P2,P2-Ph1,GSM,openai/o4-mini,no,(omitted — provider default),OpenRouterClient,scripts/GSM_P2_SCR_run_probe2.py,results/raw/GSM_P2_phase1_o1mini.csv,GSM_P2_SCR_run_probe2 writes Ph1+Ph2A+Ph2B into one row; file named phase1_* holds full schema
P2,P2-Ph2A,GSM,openai/o4-mini,no,(omitted — provider default),OpenRouterClient,scripts/GSM_P2_SCR_run_probe2.py,results/raw/GSM_P2_phase1_o1mini.csv,GSM_P2_SCR_run_probe2 writes Ph1+Ph2A+Ph2B into one row; file named phase1_* holds full schema
P2,P2-Ph2B,GSM,openai/o4-mini,no,(omitted — provider default),OpenRouterClient,scripts/GSM_P2_SCR_run_probe2.py,results/raw/GSM_P2_phase1_o1mini.csv,GSM_P2_SCR_run_probe2 writes Ph1+Ph2A+Ph2B into one row; file named phase1_* holds full schema
P2,P2-Ph1,GSM,anthropic/claude-sonnet-4,no,(omitted — provider default),OpenRouterClient,scripts/GSM_P2_SCR_run_probe2.py,results/raw/GSM_P2_cci.csv,alternate/older aggregate CSV schema; temperature still omitted
P2,P2-Ph2A,GSM,anthropic/claude-sonnet-4,no,(omitted — provider default),OpenRouterClient,scripts/GSM_P2_SCR_run_probe2.py,results/raw/GSM_P2_cci.csv,alternate/older aggregate CSV schema; temperature still omitted
P2,P2-Ph2B,GSM,anthropic/claude-sonnet-4,no,(omitted — provider default),OpenRouterClient,scripts/GSM_P2_SCR_run_probe2.py,results/raw/GSM_P2_cci.csv,alternate/older aggregate CSV schema; temperature still omitted
P2,P2-Ph1,GSM,google/gemini-2.5-flash,no,(omitted — provider default),OpenRouterClient,scripts/GSM_P2_SCR_run_probe2.py,results/raw/GSM_P2_cci.csv,alternate/older aggregate CSV schema; temperature still omitted
P2,P2-Ph2A,GSM,google/gemini-2.5-flash,no,(omitted — provider default),OpenRouterClient,scripts/GSM_P2_SCR_run_probe2.py,results/raw/GSM_P2_cci.csv,alternate/older aggregate CSV schema; temperature still omitted
P2,P2-Ph2B,GSM,google/gemini-2.5-flash,no,(omitted — provider default),OpenRouterClient,scripts/GSM_P2_SCR_run_probe2.py,results/raw/GSM_P2_cci.csv,alternate/older aggregate CSV schema; temperature still omitted
P2,P2-Ph1,GSM,meta-llama/llama-3.1-8b-instruct,no,(omitted — provider default),OpenRouterClient,scripts/GSM_P2_SCR_run_probe2.py,results/raw/GSM_P2_cci.csv,alternate/older aggregate CSV schema; temperature still omitted
P2,P2-Ph2A,GSM,meta-llama/llama-3.1-8b-instruct,no,(omitted — provider default),OpenRouterClient,scripts/GSM_P2_SCR_run_probe2.py,results/raw/GSM_P2_cci.csv,alternate/older aggregate CSV schema; temperature still omitted
P2,P2-Ph2B,GSM,meta-llama/llama-3.1-8b-instruct,no,(omitted — provider default),OpenRouterClient,scripts/GSM_P2_SCR_run_probe2.py,results/raw/GSM_P2_cci.csv,alternate/older aggregate CSV schema; temperature still omitted
P2,P2-Ph1,GSM,openai/gpt-4o,no,(omitted — provider default),OpenRouterClient,scripts/GSM_P2_SCR_run_probe2.py,results/raw/GSM_P2_cci.csv,alternate/older aggregate CSV schema; temperature still omitted
P2,P2-Ph2A,GSM,openai/gpt-4o,no,(omitted — provider default),OpenRouterClient,scripts/GSM_P2_SCR_run_probe2.py,results/raw/GSM_P2_cci.csv,alternate/older aggregate CSV schema; temperature still omitted
P2,P2-Ph2B,GSM,openai/gpt-4o,no,(omitted — provider default),OpenRouterClient,scripts/GSM_P2_SCR_run_probe2.py,results/raw/GSM_P2_cci.csv,alternate/older aggregate CSV schema; temperature still omitted
P2,P2-Ph1,ALGO,anthropic/claude-sonnet-4,no,(omitted — provider default),OpenRouterClient,scripts/ALGO_P2_SCR_run_phase1.py,results/raw/ALGO_P2_phase1_claude_new.csv,
P2,P2-Ph1,ALGO,openai/gpt-4o,no,(omitted — provider default),OpenRouterClient,scripts/ALGO_P2_SCR_run_phase1.py,results/raw/ALGO_P2_phase1_gpt4o_new.csv,
P2,P2-Ph1,ALGO,meta-llama/llama-3.1-8b-instruct,no,(omitted — provider default),OpenRouterClient,scripts/ALGO_P2_SCR_run_phase1.py,results/raw/ALGO_P2_phase1_llama_new.csv,
P2,P2-Ph1,ALGO,google/gemini-2.5-flash,no,(omitted — provider default),OpenRouterClient,scripts/ALGO_P2_SCR_run_phase1.py,results/raw/ALGO_P2_phase1_gemini.csv,
P2,P2-Ph1,ALGO,openai/gpt-4o,no,(omitted — provider default),OpenRouterClient,scripts/ALGO_P2_SCR_run_phase1.py,results/raw/ALGO_P2_phase1_gpt4o.csv,
P2,P2-Ph1,ALGO,meta-llama/llama-3.1-8b-instruct,no,(omitted — provider default),OpenRouterClient,scripts/ALGO_P2_SCR_run_phase1.py,results/raw/ALGO_P2_phase1_llama.csv,
P2,P2-Ph2A,ALGO,anthropic/claude-sonnet-4,no,(omitted — provider default),OpenRouterClient,scripts/ALGO_P2_SCR_run_phase2.py --condition normal,results/raw/ALGO_P2_phase2_normal.csv,condition=normal
P2,P2-Ph2A,ALGO,google/gemini-2.5-flash,no,(omitted — provider default),OpenRouterClient,scripts/ALGO_P2_SCR_run_phase2.py --condition normal,results/raw/ALGO_P2_phase2_normal.csv,condition=normal
P2,P2-Ph2A,ALGO,meta-llama/llama-3.1-8b-instruct,no,(omitted — provider default),OpenRouterClient,scripts/ALGO_P2_SCR_run_phase2.py --condition normal,results/raw/ALGO_P2_phase2_normal.csv,condition=normal
P2,P2-Ph2A,ALGO,openai/gpt-4o,no,(omitted — provider default),OpenRouterClient,scripts/ALGO_P2_SCR_run_phase2.py --condition normal,results/raw/ALGO_P2_phase2_normal.csv,condition=normal
P2,P2-Ph2A,ALGO,openai/o4-mini,no,(omitted — provider default),OpenRouterClient,scripts/ALGO_P2_SCR_run_phase2.py --condition normal,results/raw/ALGO_P2_phase2_normal.csv,condition=normal
P2,P2-Ph2A,ALGO,anthropic/claude-sonnet-4,no,(omitted — provider default),OpenRouterClient,scripts/ALGO_P2_SCR_run_phase2.py --condition normal,results/raw/ALGO_P2_phase2_normal_elicited.csv,condition=normal --elicit-algorithm
P2,P2-Ph2A,ALGO,google/gemini-2.5-flash,no,(omitted — provider default),OpenRouterClient,scripts/ALGO_P2_SCR_run_phase2.py --condition normal,results/raw/ALGO_P2_phase2_normal_elicited.csv,condition=normal --elicit-algorithm
P2,P2-Ph2A,ALGO,meta-llama/llama-3.1-8b-instruct,no,(omitted — provider default),OpenRouterClient,scripts/ALGO_P2_SCR_run_phase2.py --condition normal,results/raw/ALGO_P2_phase2_normal_elicited.csv,condition=normal --elicit-algorithm
P2,P2-Ph2A,ALGO,openai/gpt-4o,no,(omitted — provider default),OpenRouterClient,scripts/ALGO_P2_SCR_run_phase2.py --condition normal,results/raw/ALGO_P2_phase2_normal_elicited.csv,condition=normal --elicit-algorithm
P2,P2-Ph2A,ALGO,openai/o4-mini,no,(omitted — provider default),OpenRouterClient,scripts/ALGO_P2_SCR_run_phase2.py --condition normal,results/raw/ALGO_P2_phase2_normal_elicited.csv,condition=normal --elicit-algorithm
P2,P2-Ph2A,ALGO,google/gemini-2.5-flash,no,(omitted — provider default),OpenRouterClient,scripts/ALGO_P2_SCR_run_phase2.py --condition normal,results/raw/ALGO_P2_phase2_normal_gemini.csv,condition=normal (gemini-only shard)
P2,P2-Ph2B,ALGO,anthropic/claude-sonnet-4,no,(omitted — provider default),OpenRouterClient,scripts/ALGO_P2_SCR_run_phase2.py --condition injected,results/raw/ALGO_P2_phase2_injected.csv,condition=injected plausible
P2,P2-Ph2B,ALGO,google/gemini-2.5-flash,no,(omitted — provider default),OpenRouterClient,scripts/ALGO_P2_SCR_run_phase2.py --condition injected,results/raw/ALGO_P2_phase2_injected.csv,condition=injected plausible
P2,P2-Ph2B,ALGO,meta-llama/llama-3.1-8b-instruct,no,(omitted — provider default),OpenRouterClient,scripts/ALGO_P2_SCR_run_phase2.py --condition injected,results/raw/ALGO_P2_phase2_injected.csv,condition=injected plausible
P2,P2-Ph2B,ALGO,openai/gpt-4o,no,(omitted — provider default),OpenRouterClient,scripts/ALGO_P2_SCR_run_phase2.py --condition injected,results/raw/ALGO_P2_phase2_injected.csv,condition=injected plausible
P2,P2-Ph2B,ALGO,openai/o4-mini,no,(omitted — provider default),OpenRouterClient,scripts/ALGO_P2_SCR_run_phase2.py --condition injected,results/raw/ALGO_P2_phase2_injected.csv,condition=injected plausible
P2,P2-Ph2B,ALGO,anthropic/claude-sonnet-4,no,(omitted — provider default),OpenRouterClient,scripts/ALGO_P2_SCR_run_phase2.py --condition injected,results/raw/ALGO_P2_phase2_injected_implausible.csv,condition=injected --injection-mode implausible
P2,P2-Ph2B,ALGO,google/gemini-2.5-flash,no,(omitted — provider default),OpenRouterClient,scripts/ALGO_P2_SCR_run_phase2.py --condition injected,results/raw/ALGO_P2_phase2_injected_implausible.csv,condition=injected --injection-mode implausible
P2,P2-Ph2B,ALGO,meta-llama/llama-3.1-8b-instruct,no,(omitted — provider default),OpenRouterClient,scripts/ALGO_P2_SCR_run_phase2.py --condition injected,results/raw/ALGO_P2_phase2_injected_implausible.csv,condition=injected --injection-mode implausible
P2,P2-Ph2B,ALGO,openai/gpt-4o,no,(omitted — provider default),OpenRouterClient,scripts/ALGO_P2_SCR_run_phase2.py --condition injected,results/raw/ALGO_P2_phase2_injected_implausible.csv,condition=injected --injection-mode implausible
P2,P2-Ph2B,ALGO,openai/o4-mini,no,(omitted — provider default),OpenRouterClient,scripts/ALGO_P2_SCR_run_phase2.py --condition injected,results/raw/ALGO_P2_phase2_injected_implausible.csv,condition=injected --injection-mode implausible
P2,P2-Ph2B,ALGO,google/gemini-2.5-flash,no,(omitted — provider default),OpenRouterClient,scripts/ALGO_P2_SCR_run_phase2.py --condition injected,results/raw/ALGO_P2_phase2_injected_gemini.csv,condition=injected (gemini-only shard)
P2,P2-Ph2A,BW,anthropic/claude-sonnet-4,yes,0.0,ModelClient,scripts/BW_P2_SCR_run_cci.py,results/raw/BW_P2_cci.csv,ModelClient(temperature=0.0)
P2,P2-Ph2A,BW,meta-llama/llama-3.1-8b-instruct,yes,0.0,ModelClient,scripts/BW_P2_SCR_run_cci.py,results/raw/BW_P2_cci.csv,ModelClient(temperature=0.0)
P2,P2-Ph2A,BW,openai/gpt-4o,yes,0.0,ModelClient,scripts/BW_P2_SCR_run_cci.py,results/raw/BW_P2_cci.csv,ModelClient(temperature=0.0)
P2,P2-Ph2A,BW,anthropic/claude-sonnet-4,yes,0.0,ModelClient,scripts/BW_P2_SCR_run_cci_nl.py,results/raw/BW_P2_cci_nl.csv,ModelClient(temperature=0.0)
P2,P2-Ph2A,BW,meta-llama/llama-3.1-8b-instruct,yes,0.0,ModelClient,scripts/BW_P2_SCR_run_cci_nl.py,results/raw/BW_P2_cci_nl.csv,ModelClient(temperature=0.0)
P2,P2-Ph2A,BW,openai/gpt-4o,yes,0.0,ModelClient,scripts/BW_P2_SCR_run_cci_nl.py,results/raw/BW_P2_cci_nl.csv,ModelClient(temperature=0.0)
P2,P2-Ph2B,BW,anthropic/claude-sonnet-4,yes,0.0,ModelClient,scripts/BW_P2_SCR_run_tep.py,results/raw/BW_P2_tep.csv,ModelClient(temperature=0.0)
P2,P2-Ph2B,BW,meta-llama/llama-3.1-8b-instruct,yes,0.0,ModelClient,scripts/BW_P2_SCR_run_tep.py,results/raw/BW_P2_tep.csv,ModelClient(temperature=0.0)
P2,P2-Ph2B,BW,openai/gpt-4o,yes,0.0,ModelClient,scripts/BW_P2_SCR_run_tep.py,results/raw/BW_P2_tep.csv,ModelClient(temperature=0.0)
