mode,model_short,subtype,inj_reasoning_type,critical_step,n,post_ok_rate
plausible,Llama,wis,local_greedy,1,1,0.0
plausible,o4-mini,shortest_path,local_greedy,0,30,0.0
plausible,o4-mini,wis,local_greedy,0,8,0.875
plausible,o4-mini,wis,unclear,0,7,1.0
plausible,o4-mini,coin_change,forward_simulation,0,5,1.0
plausible,o4-mini,coin_change,local_greedy,0,2,0.0
plausible,o4-mini,shortest_path,unclear,0,2,1.0
plausible,o4-mini,coin_change,local_greedy,2,1,0.0
plausible,o4-mini,coin_change,local_greedy,3,1,0.0
plausible,o4-mini,coin_change,unclear,0,1,1.0
plausible,o4-mini,shortest_path,forward_simulation,1,1,0.0
plausible,o4-mini,shortest_path,local_greedy,1,1,0.0
plausible,o4-mini,wis,forward_simulation,0,1,1.0
plausible,o4-mini,wis,unclear,1,1,0.0
