family,problem_id,model,contam,cci_composite_num,impl_post_correct,retrieval_votes,computation_votes,votes_total,tri_plus_score,tri_plus_confidence,tri_plus_label
ALGO,CC_045,Claude,0.4545,,,0,0,0,0,0.0,insufficient
ALGO,CC_045,Gemini,0.4545,,,0,0,0,0,0.0,insufficient
ALGO,CC_045,Llama,0.4545,,,0,0,0,0,0.0,insufficient
ALGO,CC_045,GPT-4o,0.4545,,,0,0,0,0,0.0,insufficient
ALGO,CC_045,o4-mini,0.4545,,,0,1,1,1,1.0,insufficient
ALGO,CC_05,Claude,0.0,0.6666666666666666,True,0,4,4,4,1.0,computation_signal_plus
ALGO,CC_05,Gemini,0.0,0.0,False,2,2,4,0,0.0,mixed
ALGO,CC_05,Llama,0.0,0.0,False,2,1,3,-1,0.3333333333333333,weak_retrieval
ALGO,CC_05,GPT-4o,0.0,0.3333333333333333,True,1,2,3,1,0.3333333333333333,weak_computation
ALGO,CC_05,o4-mini,0.0,,True,0,3,3,3,1.0,computation_signal_plus
ALGO,CC_06,Claude,0.0,0.0,False,2,1,3,-1,0.3333333333333333,weak_retrieval
ALGO,CC_06,Gemini,0.0,0.3333333333333333,False,1,1,2,0,0.0,mixed
ALGO,CC_06,Llama,0.0,0.0,False,2,1,3,-1,0.3333333333333333,weak_retrieval
ALGO,CC_06,GPT-4o,0.0,0.3333333333333333,False,2,1,3,-1,0.3333333333333333,weak_retrieval
ALGO,CC_06,o4-mini,0.0,,True,0,3,3,3,1.0,computation_signal_plus
ALGO,CC_07,Claude,0.0,0.3333333333333333,False,1,2,3,1,0.3333333333333333,weak_computation
ALGO,CC_07,Gemini,0.0,0.3333333333333333,False,1,2,3,1,0.3333333333333333,weak_computation
ALGO,CC_07,Llama,0.0,0.3333333333333333,False,2,1,3,-1,0.3333333333333333,weak_retrieval
ALGO,CC_07,GPT-4o,0.0,0.0,False,2,1,3,-1,0.3333333333333333,weak_retrieval
ALGO,CC_07,o4-mini,0.0,,True,0,3,3,3,1.0,computation_signal_plus
ALGO,CC_08,Claude,0.0,0.0,False,3,1,4,-2,0.5,retrieval_signal_plus
ALGO,CC_08,Gemini,0.0,0.0,False,2,1,3,-1,0.3333333333333333,weak_retrieval
ALGO,CC_08,Llama,0.0,0.3333333333333333,False,1,1,2,0,0.0,mixed
ALGO,CC_08,GPT-4o,0.0,0.3333333333333333,True,1,2,3,1,0.3333333333333333,weak_computation
ALGO,CC_08,o4-mini,0.0,,True,0,3,3,3,1.0,computation_signal_plus
ALGO,CC_09,Claude,0.0,0.6666666666666666,False,1,2,3,1,0.3333333333333333,weak_computation
ALGO,CC_09,Gemini,0.0,0.0,False,2,1,3,-1,0.3333333333333333,weak_retrieval
ALGO,CC_09,Llama,0.0,0.3333333333333333,False,1,1,2,0,0.0,mixed
ALGO,CC_09,GPT-4o,0.0,0.6666666666666666,False,1,2,3,1,0.3333333333333333,weak_computation
ALGO,CC_09,o4-mini,0.0,,False,1,2,3,1,0.3333333333333333,weak_computation
ALGO,CC_10,Claude,0.0,0.3333333333333333,False,1,1,2,0,0.0,mixed
ALGO,CC_10,Gemini,0.0,0.3333333333333333,False,1,1,2,0,0.0,mixed
ALGO,CC_10,Llama,0.0,0.0,False,2,1,3,-1,0.3333333333333333,weak_retrieval
ALGO,CC_10,GPT-4o,0.0,0.3333333333333333,False,1,1,2,0,0.0,mixed
ALGO,CC_10,o4-mini,0.0,,True,0,3,3,3,1.0,computation_signal_plus
ALGO,SP_001,Claude,0.0,,,0,1,1,1,1.0,insufficient
ALGO,SP_001,Gemini,0.0,,,0,1,1,1,1.0,insufficient
ALGO,SP_001,Llama,0.0,,,0,1,1,1,1.0,insufficient
ALGO,SP_001,GPT-4o,0.0,,,0,1,1,1,1.0,insufficient
ALGO,SP_001,o4-mini,0.0,,,0,2,2,2,1.0,computation_signal_plus
ALGO,SP_002,Claude,0.0,,,0,1,1,1,1.0,insufficient
ALGO,SP_002,Gemini,0.0,,,1,1,2,0,0.0,mixed
ALGO,SP_002,Llama,0.0,,,0,1,1,1,1.0,insufficient
ALGO,SP_002,GPT-4o,0.0,,,0,1,1,1,1.0,insufficient
ALGO,SP_002,o4-mini,0.0,,,0,2,2,2,1.0,computation_signal_plus
ALGO,SP_003,Claude,0.0,0.0,False,2,1,3,-1,0.3333333333333333,weak_retrieval
ALGO,SP_003,Gemini,0.0,0.0,False,2,1,3,-1,0.3333333333333333,weak_retrieval
ALGO,SP_003,Llama,0.0,0.0,False,2,1,3,-1,0.3333333333333333,weak_retrieval
ALGO,SP_003,GPT-4o,0.0,0.0,False,2,1,3,-1,0.3333333333333333,weak_retrieval
ALGO,SP_003,o4-mini,0.0,,False,1,2,3,1,0.3333333333333333,weak_computation
ALGO,SP_004,Claude,0.0,0.3333333333333333,True,1,2,3,1,0.3333333333333333,weak_computation
ALGO,SP_004,Gemini,0.0,0.3333333333333333,True,0,2,2,2,1.0,computation_signal_plus
ALGO,SP_004,Llama,0.0,0.0,False,3,1,4,-2,0.5,retrieval_signal_plus
ALGO,SP_004,GPT-4o,0.0,0.3333333333333333,True,1,2,3,1,0.3333333333333333,weak_computation
ALGO,SP_004,o4-mini,0.0,,True,0,3,3,3,1.0,computation_signal_plus
ALGO,SP_005,Claude,0.0,0.3333333333333333,False,1,1,2,0,0.0,mixed
ALGO,SP_005,Gemini,0.0,0.0,False,2,1,3,-1,0.3333333333333333,weak_retrieval
ALGO,SP_005,Llama,0.0,0.0,False,2,1,3,-1,0.3333333333333333,weak_retrieval
ALGO,SP_005,GPT-4o,0.0,0.0,False,2,1,3,-1,0.3333333333333333,weak_retrieval
ALGO,SP_005,o4-mini,0.0,,False,2,1,3,-1,0.3333333333333333,weak_retrieval
ALGO,SP_019,Claude,0.5,0.0,False,3,0,3,-3,1.0,retrieval_signal_plus
ALGO,SP_019,Gemini,0.5,0.3333333333333333,False,2,0,2,-2,1.0,retrieval_signal_plus
ALGO,SP_019,Llama,0.5,0.3333333333333333,True,0,1,1,1,1.0,insufficient
ALGO,SP_019,GPT-4o,0.5,0.3333333333333333,False,1,0,1,-1,1.0,insufficient
ALGO,SP_019,o4-mini,0.5,,False,1,1,2,0,0.0,mixed
ALGO,SP_020,Claude,0.5,0.0,False,3,0,3,-3,1.0,retrieval_signal_plus
ALGO,SP_020,Gemini,0.5,0.0,False,2,1,3,-1,0.3333333333333333,weak_retrieval
ALGO,SP_020,Llama,0.5,0.0,False,2,0,2,-2,1.0,retrieval_signal_plus
ALGO,SP_020,GPT-4o,0.5,0.0,False,2,0,2,-2,1.0,retrieval_signal_plus
ALGO,SP_020,o4-mini,0.5,,False,1,1,2,0,0.0,mixed
ALGO,SP_021,Claude,0.0,0.0,False,2,1,3,-1,0.3333333333333333,weak_retrieval
ALGO,SP_021,Gemini,0.0,0.0,False,3,1,4,-2,0.5,retrieval_signal_plus
ALGO,SP_021,Llama,0.0,0.0,False,2,1,3,-1,0.3333333333333333,weak_retrieval
ALGO,SP_021,GPT-4o,0.0,0.6666666666666666,False,1,2,3,1,0.3333333333333333,weak_computation
ALGO,SP_021,o4-mini,0.0,,False,1,2,3,1,0.3333333333333333,weak_computation
ALGO,SP_023,Claude,0.5,0.3333333333333333,False,1,0,1,-1,1.0,insufficient
ALGO,SP_023,Gemini,0.5,0.6666666666666666,False,1,2,3,1,0.3333333333333333,weak_computation
ALGO,SP_023,Llama,0.5,0.0,False,2,0,2,-2,1.0,retrieval_signal_plus
ALGO,SP_023,GPT-4o,0.5,0.3333333333333333,True,1,1,2,0,0.0,mixed
ALGO,SP_023,o4-mini,0.5,,False,1,1,2,0,0.0,mixed
ALGO,SP_024,Claude,0.0,0.6666666666666666,True,1,3,4,2,0.5,computation_signal_plus
ALGO,SP_024,Gemini,0.0,0.0,False,2,2,4,0,0.0,mixed
ALGO,SP_024,Llama,0.0,0.3333333333333333,False,1,1,2,0,0.0,mixed
ALGO,SP_024,GPT-4o,0.0,0.6666666666666666,True,0,4,4,4,1.0,computation_signal_plus
ALGO,SP_024,o4-mini,0.0,,False,1,2,3,1,0.3333333333333333,weak_computation
ALGO,SP_026,Claude,0.0,0.0,True,2,2,4,0,0.0,mixed
ALGO,SP_026,Gemini,0.0,0.3333333333333333,True,0,3,3,3,1.0,computation_signal_plus
ALGO,SP_026,Llama,0.0,0.3333333333333333,False,1,1,2,0,0.0,mixed
ALGO,SP_026,GPT-4o,0.0,0.3333333333333333,True,1,2,3,1,0.3333333333333333,weak_computation
ALGO,SP_026,o4-mini,0.0,,False,1,2,3,1,0.3333333333333333,weak_computation
ALGO,SP_027,Claude,0.0,0.3333333333333333,True,1,2,3,1,0.3333333333333333,weak_computation
ALGO,SP_027,Gemini,0.0,0.3333333333333333,False,2,1,3,-1,0.3333333333333333,weak_retrieval
ALGO,SP_027,Llama,0.0,0.3333333333333333,False,1,1,2,0,0.0,mixed
ALGO,SP_027,GPT-4o,0.0,0.3333333333333333,True,0,2,2,2,1.0,computation_signal_plus
ALGO,SP_027,o4-mini,0.0,,False,1,2,3,1,0.3333333333333333,weak_computation
ALGO,SP_028,Claude,0.0,0.3333333333333333,True,0,2,2,2,1.0,computation_signal_plus
ALGO,SP_028,Gemini,0.0,0.3333333333333333,False,1,1,2,0,0.0,mixed
ALGO,SP_028,Llama,0.0,0.3333333333333333,False,1,1,2,0,0.0,mixed
ALGO,SP_028,GPT-4o,0.0,0.3333333333333333,True,0,2,2,2,1.0,computation_signal_plus
ALGO,SP_028,o4-mini,0.0,,False,1,2,3,1,0.3333333333333333,weak_computation
ALGO,SP_029,Claude,0.0,0.3333333333333333,False,2,1,3,-1,0.3333333333333333,weak_retrieval
ALGO,SP_029,Gemini,0.0,0.0,False,2,1,3,-1,0.3333333333333333,weak_retrieval
ALGO,SP_029,Llama,0.0,0.3333333333333333,False,1,1,2,0,0.0,mixed
ALGO,SP_029,GPT-4o,0.0,0.0,True,2,2,4,0,0.0,mixed
ALGO,SP_029,o4-mini,0.0,,True,0,3,3,3,1.0,computation_signal_plus
ALGO,SP_030,Claude,0.0,1.0,True,0,3,3,3,1.0,computation_signal_plus
ALGO,SP_030,Gemini,0.0,0.0,False,2,1,3,-1,0.3333333333333333,weak_retrieval
ALGO,SP_030,Llama,0.0,0.3333333333333333,False,1,1,2,0,0.0,mixed
ALGO,SP_030,GPT-4o,0.0,0.0,False,2,1,3,-1,0.3333333333333333,weak_retrieval
ALGO,SP_030,o4-mini,0.0,,False,1,1,2,0,0.0,mixed
ALGO,SP_031,Claude,0.0,,,0,1,1,1,1.0,insufficient
ALGO,SP_031,Gemini,0.0,,,0,2,2,2,1.0,computation_signal_plus
ALGO,SP_031,Llama,0.0,,,0,1,1,1,1.0,insufficient
ALGO,SP_031,GPT-4o,0.0,,,1,1,2,0,0.0,mixed
ALGO,SP_031,o4-mini,0.0,,,0,2,2,2,1.0,computation_signal_plus
ALGO,SP_032,Claude,0.5833,,,0,0,0,0,0.0,insufficient
ALGO,SP_032,Gemini,0.5833,,,0,0,0,0,0.0,insufficient
ALGO,SP_032,Llama,0.5833,,,0,0,0,0,0.0,insufficient
ALGO,SP_032,GPT-4o,0.5833,,,1,0,1,-1,1.0,insufficient
ALGO,SP_032,o4-mini,0.5833,,,0,1,1,1,1.0,insufficient
ALGO,SP_033,Claude,0.5714,,,0,0,0,0,0.0,insufficient
ALGO,SP_033,Gemini,0.5714,,,0,0,0,0,0.0,insufficient
ALGO,SP_033,Llama,0.5714,,,0,0,0,0,0.0,insufficient
ALGO,SP_033,GPT-4o,0.5714,,,0,1,1,1,1.0,insufficient
ALGO,SP_033,o4-mini,0.5714,,,0,1,1,1,1.0,insufficient
ALGO,SP_034,Claude,0.0,,,0,1,1,1,1.0,insufficient
ALGO,SP_034,Gemini,0.0,,,0,2,2,2,1.0,computation_signal_plus
ALGO,SP_034,Llama,0.0,,,1,1,2,0,0.0,mixed
ALGO,SP_034,GPT-4o,0.0,,,0,2,2,2,1.0,computation_signal_plus
ALGO,SP_034,o4-mini,0.0,,,0,2,2,2,1.0,computation_signal_plus
ALGO,SP_035,Claude,0.0,,,0,1,1,1,1.0,insufficient
ALGO,SP_035,Gemini,0.0,,,1,1,2,0,0.0,mixed
ALGO,SP_035,Llama,0.0,,,0,1,1,1,1.0,insufficient
ALGO,SP_035,GPT-4o,0.0,,,0,2,2,2,1.0,computation_signal_plus
ALGO,SP_035,o4-mini,0.0,,,0,2,2,2,1.0,computation_signal_plus
ALGO,SP_036,Claude,0.5714,,,0,0,0,0,0.0,insufficient
ALGO,SP_036,Gemini,0.5714,,,0,0,0,0,0.0,insufficient
ALGO,SP_036,Llama,0.5714,,,0,0,0,0,0.0,insufficient
ALGO,SP_036,GPT-4o,0.5714,,,0,0,0,0,0.0,insufficient
ALGO,SP_036,o4-mini,0.5714,,,0,1,1,1,1.0,insufficient
ALGO,SP_037,Claude,0.5,0.0,False,3,0,3,-3,1.0,retrieval_signal_plus
ALGO,SP_037,Gemini,0.5,0.0,False,3,0,3,-3,1.0,retrieval_signal_plus
ALGO,SP_037,Llama,0.5,0.0,False,2,0,2,-2,1.0,retrieval_signal_plus
ALGO,SP_037,GPT-4o,0.5,0.0,False,2,0,2,-2,1.0,retrieval_signal_plus
ALGO,SP_037,o4-mini,0.5,,False,2,0,2,-2,1.0,retrieval_signal_plus
ALGO,SP_038,Claude,0.0,0.0,False,2,1,3,-1,0.3333333333333333,weak_retrieval
ALGO,SP_038,Gemini,0.0,0.0,False,3,1,4,-2,0.5,retrieval_signal_plus
ALGO,SP_038,Llama,0.0,0.0,False,2,1,3,-1,0.3333333333333333,weak_retrieval
ALGO,SP_038,GPT-4o,0.0,0.0,False,2,1,3,-1,0.3333333333333333,weak_retrieval
ALGO,SP_038,o4-mini,0.0,,False,1,2,3,1,0.3333333333333333,weak_computation
ALGO,SP_039,Claude,0.0,0.0,False,2,1,3,-1,0.3333333333333333,weak_retrieval
ALGO,SP_039,Gemini,0.0,0.3333333333333333,False,2,1,3,-1,0.3333333333333333,weak_retrieval
ALGO,SP_039,Llama,0.0,0.0,False,2,1,3,-1,0.3333333333333333,weak_retrieval
ALGO,SP_039,GPT-4o,0.0,0.0,False,2,1,3,-1,0.3333333333333333,weak_retrieval
ALGO,SP_039,o4-mini,0.0,,False,2,1,3,-1,0.3333333333333333,weak_retrieval
ALGO,SP_040,Claude,0.0,0.0,False,3,1,4,-2,0.5,retrieval_signal_plus
ALGO,SP_040,Gemini,0.0,0.3333333333333333,False,2,1,3,-1,0.3333333333333333,weak_retrieval
ALGO,SP_040,Llama,0.0,0.3333333333333333,False,1,1,2,0,0.0,mixed
ALGO,SP_040,GPT-4o,0.0,0.0,False,2,1,3,-1,0.3333333333333333,weak_retrieval
ALGO,SP_040,o4-mini,0.0,,False,2,1,3,-1,0.3333333333333333,weak_retrieval
ALGO,SP_042,Claude,0.0,0.6666666666666666,True,0,3,3,3,1.0,computation_signal_plus
ALGO,SP_042,Gemini,0.0,0.3333333333333333,False,1,1,2,0,0.0,mixed
ALGO,SP_042,Llama,0.0,0.3333333333333333,False,1,1,2,0,0.0,mixed
ALGO,SP_042,GPT-4o,0.0,0.3333333333333333,True,0,3,3,3,1.0,computation_signal_plus
ALGO,SP_042,o4-mini,0.0,,False,1,2,3,1,0.3333333333333333,weak_computation
ALGO,SP_044,Claude,0.0,0.6666666666666666,True,1,3,4,2,0.5,computation_signal_plus
ALGO,SP_044,Gemini,0.0,0.6666666666666666,False,1,3,4,2,0.5,computation_signal_plus
ALGO,SP_044,Llama,0.0,0.3333333333333333,True,0,2,2,2,1.0,computation_signal_plus
ALGO,SP_044,GPT-4o,0.0,1.0,True,0,4,4,4,1.0,computation_signal_plus
ALGO,SP_044,o4-mini,0.0,,False,1,2,3,1,0.3333333333333333,weak_computation
ALGO,SP_045,Claude,0.0,0.6666666666666666,True,1,3,4,2,0.5,computation_signal_plus
ALGO,SP_045,Gemini,0.0,0.0,False,3,1,4,-2,0.5,retrieval_signal_plus
ALGO,SP_045,Llama,0.0,0.0,False,2,1,3,-1,0.3333333333333333,weak_retrieval
ALGO,SP_045,GPT-4o,0.0,0.0,False,3,1,4,-2,0.5,retrieval_signal_plus
ALGO,SP_045,o4-mini,0.0,,False,1,2,3,1,0.3333333333333333,weak_computation
ALGO,SP_046,Claude,0.0,0.6666666666666666,True,1,3,4,2,0.5,computation_signal_plus
ALGO,SP_046,Gemini,0.0,0.0,False,2,1,3,-1,0.3333333333333333,weak_retrieval
ALGO,SP_046,Llama,0.0,0.0,False,2,1,3,-1,0.3333333333333333,weak_retrieval
ALGO,SP_046,GPT-4o,0.0,0.0,False,2,1,3,-1,0.3333333333333333,weak_retrieval
ALGO,SP_046,o4-mini,0.0,,False,1,2,3,1,0.3333333333333333,weak_computation
ALGO,SP_047,Claude,0.0,0.6666666666666666,True,1,3,4,2,0.5,computation_signal_plus
ALGO,SP_047,Gemini,0.0,0.0,False,3,1,4,-2,0.5,retrieval_signal_plus
ALGO,SP_047,Llama,0.0,0.0,False,2,1,3,-1,0.3333333333333333,weak_retrieval
ALGO,SP_047,GPT-4o,0.0,0.3333333333333333,True,1,2,3,1,0.3333333333333333,weak_computation
ALGO,SP_047,o4-mini,0.0,,False,1,2,3,1,0.3333333333333333,weak_computation
ALGO,SP_048,Claude,0.0,1.0,True,1,3,4,2,0.5,computation_signal_plus
ALGO,SP_048,Gemini,0.0,0.0,False,2,1,3,-1,0.3333333333333333,weak_retrieval
ALGO,SP_048,Llama,0.0,0.3333333333333333,False,1,1,2,0,0.0,mixed
ALGO,SP_048,GPT-4o,0.0,0.3333333333333333,False,1,1,2,0,0.0,mixed
ALGO,SP_048,o4-mini,0.0,,False,1,2,3,1,0.3333333333333333,weak_computation
ALGO,SP_049,Claude,0.0,,,0,1,1,1,1.0,insufficient
ALGO,SP_049,Gemini,0.0,,,0,2,2,2,1.0,computation_signal_plus
ALGO,SP_049,Llama,0.0,,,0,1,1,1,1.0,insufficient
ALGO,SP_049,GPT-4o,0.0,,,0,2,2,2,1.0,computation_signal_plus
ALGO,SP_049,o4-mini,0.0,,,0,2,2,2,1.0,computation_signal_plus
ALGO,SP_050,Claude,0.5,,,0,0,0,0,0.0,insufficient
ALGO,SP_050,Gemini,0.5,,,1,0,1,-1,1.0,insufficient
ALGO,SP_050,Llama,0.5,,,0,0,0,0,0.0,insufficient
ALGO,SP_050,GPT-4o,0.5,,,0,1,1,1,1.0,insufficient
ALGO,SP_050,o4-mini,0.5,,,0,1,1,1,1.0,insufficient
ALGO,SP_051,Claude,0.5714,,,0,0,0,0,0.0,insufficient
ALGO,SP_051,Gemini,0.5714,,,1,0,1,-1,1.0,insufficient
ALGO,SP_051,Llama,0.5714,,,0,0,0,0,0.0,insufficient
ALGO,SP_051,GPT-4o,0.5714,,,0,0,0,0,0.0,insufficient
ALGO,SP_051,o4-mini,0.5714,,,0,1,1,1,1.0,insufficient
ALGO,SP_052,Claude,0.5714,,,0,0,0,0,0.0,insufficient
ALGO,SP_052,Gemini,0.5714,,,0,0,0,0,0.0,insufficient
ALGO,SP_052,Llama,0.5714,,,0,0,0,0,0.0,insufficient
ALGO,SP_052,GPT-4o,0.5714,,,0,0,0,0,0.0,insufficient
ALGO,SP_052,o4-mini,0.5714,,,0,1,1,1,1.0,insufficient
ALGO,SP_053,Claude,0.0,,,0,1,1,1,1.0,insufficient
ALGO,SP_053,Gemini,0.0,,,0,1,1,1,1.0,insufficient
ALGO,SP_053,Llama,0.0,,,0,1,1,1,1.0,insufficient
ALGO,SP_053,GPT-4o,0.0,,,0,2,2,2,1.0,computation_signal_plus
ALGO,SP_053,o4-mini,0.0,,,1,1,2,0,0.0,mixed
ALGO,SP_054,Claude,0.5714,,,0,0,0,0,0.0,insufficient
ALGO,SP_054,Gemini,0.5714,,,0,0,0,0,0.0,insufficient
ALGO,SP_054,Llama,0.5714,,,0,0,0,0,0.0,insufficient
ALGO,SP_054,GPT-4o,0.5714,,,0,0,0,0,0.0,insufficient
ALGO,SP_054,o4-mini,0.5714,,,0,1,1,1,1.0,insufficient
ALGO,SP_055,Claude,0.5,,,0,0,0,0,0.0,insufficient
ALGO,SP_055,Gemini,0.5,,,0,1,1,1,1.0,insufficient
