problem_id,model,w3_ok,verify_reason,model_answer
SP_062,Qwen/qwen2.5:1.5b-instruct,False,"path_cost_mismatch: path_sum=31, claimed=24","Path: London -> Amsterdam -> Berlin -> Prague -> Rome, Cost: 24"
SP_063,Qwen/qwen2.5:1.5b-instruct,False,"path_cost_mismatch: path_sum=26, claimed=43","Path: London -> Cambridge -> Oxford -> Edinburgh, Cost: 43"
SP_064,Qwen/qwen2.5:1.5b-instruct,False,"path_cost_mismatch: path_sum=18, claimed=4","Path: Berlin -> Prague -> Vienna -> Budapest -> Zagreb, Cost: 4 + 14 + 12 + 4 = 34"
SP_065,Qwen/qwen2.5:1.5b-instruct,False,"path_cost_mismatch: path_sum=18, claimed=4","Path: London -> Oxford -> Cambridge -> Birmingham -> Edinburgh, Cost: 4 + 1 + 12 + 4 = 21"
SP_066,Qwen/qwen2.5:1.5b-instruct,False,"path_cost_mismatch: path_sum=10, claimed=13","Path: Berlin -> Hamburg -> Frankfurt -> Dresden, Cost: 13"
SP_068,Qwen/qwen2.5:1.5b-instruct,False,"path_cost_mismatch: path_sum=5, claimed=22","Path: London -> Cambridge -> Birmingham -> Edinburgh, Cost: 22"
SP_069,Qwen/qwen2.5:1.5b-instruct,False,path_endpoints_invalid,"Path: London -> Paris -> Amsterdam, Cost: 3 + 6 = 9"
SP_070,Qwen/qwen2.5:1.5b-instruct,False,"wrong_cost: predicted=4, expected=3","Path: London -> Paris -> Prague, Cost: 4"
SP_071,Qwen/qwen2.5:1.5b-instruct,False,"wrong_cost: predicted=4, expected=3","Path: Berlin -> Prague -> Warsaw, Cost: 4"
SP_072,Qwen/qwen2.5:1.5b-instruct,False,"path_cost_mismatch: path_sum=3, claimed=16","Path: Paris -> Marseille -> Lyon -> Strasbourg, Cost: 16"
SP_073,Qwen/qwen2.5:1.5b-instruct,False,"path_cost_mismatch: path_sum=3, claimed=24","Path: Berlin -> Vienna -> Prague -> Paris, Cost: 24"
WIS_013,Qwen/qwen2.5:1.5b-instruct,False,"wrong_total: predicted=20, expected=49","Selected: {Opening Keynote, Tech Workshop, Networking Break}
Total: 20"
WIS_014,Qwen/qwen2.5:1.5b-instruct,False,"wrong_total: predicted=21, expected=53","Selected: {Opening Keynote, Networking Break, Full Day Bootcamp}
Total: 21"
WIS_015,Qwen/qwen2.5:1.5b-instruct,False,"wrong_total: predicted=29, expected=49","Selected: {Opening Keynote, Tech Workshop, Networking Break}
Total: 29"
WIS_016,Qwen/qwen2.5:1.5b-instruct,False,"wrong_total: predicted=22, expected=51","Selected: {Opening Keynote, Workshop Session, Networking Break}
Total: 22"
WIS_017,Qwen/qwen2.5:1.5b-instruct,False,"wrong_total: predicted=58, expected=57","Selected: {1, 3, 4}
Total: 58"
WIS_018,Qwen/qwen2.5:1.5b-instruct,False,"wrong_total: predicted=50, expected=55","Selected: {1, 3, 4}
Total: 50"
WIS_019,Qwen/qwen2.5:1.5b-instruct,False,"wrong_total: predicted=70, expected=58","Selected: {1, 3, 4, 6}
Total: 70"
WIS_020,Qwen/qwen2.5:1.5b-instruct,False,"wrong_total: predicted=33, expected=59","Selected: {1, 3, 4}
Total: 33"
WIS_023,Qwen/qwen2.5:1.5b-instruct,False,"wrong_total: predicted=24, expected=47","Selected: {1, 2, 3}
Total: 24"
WIS_024,Qwen/qwen2.5:1.5b-instruct,False,"wrong_total: predicted=20, expected=47","Selected: {Opening Keynote, Tech Panel, Product Demo}
Total: 20"
WIS_025,Qwen/qwen2.5:1.5b-instruct,False,"wrong_total: predicted=21, expected=44","Selected: {1, 2, 3}
Total: 21"
WIS_026,Qwen/qwen2.5:1.5b-instruct,False,"wrong_total: predicted=23, expected=53","Selected: {Opening Keynote, Tech Workshop, Networking Session}
Total: 23"
WIS_027,Qwen/qwen2.5:1.5b-instruct,False,"wrong_total: predicted=50, expected=56","Selected: {1, 3, 4}
Total: 50"
WIS_028,Qwen/qwen2.5:1.5b-instruct,False,"wrong_total: predicted=24, expected=43","Selected: {1, 2, 3}
Total: 24"
WIS_029,Qwen/qwen2.5:1.5b-instruct,False,"wrong_total: predicted=20, expected=47","Selected: {2, 4, 8}
Total: 20"
