family,phase,model,n_rows,canonical_execution_accuracy,cci_computed,tep_computed,reason_if_missing
BW,phase1_declare,Llama,50,0.0,True,False,"tep_mostly_null_aborts; goal_reached=0; partial_goal_mean=0.1355; BW Probe 2 dead twice over: (1) floor effects on Claude/GPT-4o/Llama (goal_reached=0; partial_goal_mean GPT-4o=0.008 to Llama=0.136); (2) no data at all for Gemini, o4-mini, DeepSeek. Do not use 0.02–0.22 canonical-execution figure (unrecovered)."
BW,phase2A_execute,Llama,50,0.0,True,False,"tep_mostly_null_aborts; goal_reached=0; partial_goal_mean=0.1355; BW Probe 2 dead twice over: (1) floor effects on Claude/GPT-4o/Llama (goal_reached=0; partial_goal_mean GPT-4o=0.008 to Llama=0.136); (2) no data at all for Gemini, o4-mini, DeepSeek. Do not use 0.02–0.22 canonical-execution figure (unrecovered)."
BW,phase2B_inject,Llama,179,0.0,False,False,"tep_mostly_null_aborts; goal_reached=0; partial_goal_mean=0.1355; BW Probe 2 dead twice over: (1) floor effects on Claude/GPT-4o/Llama (goal_reached=0; partial_goal_mean GPT-4o=0.008 to Llama=0.136); (2) no data at all for Gemini, o4-mini, DeepSeek. Do not use 0.02–0.22 canonical-execution figure (unrecovered)."
BW,phase1_declare,Gemini,0,,False,False,"never_collected; BW Probe 2 dead twice over: (1) floor effects on Claude/GPT-4o/Llama (goal_reached=0; partial_goal_mean GPT-4o=0.008 to Llama=0.136); (2) no data at all for Gemini, o4-mini, DeepSeek. Do not use 0.02–0.22 canonical-execution figure (unrecovered)."
BW,phase2A_execute,Gemini,0,,False,False,"never_collected; BW Probe 2 dead twice over: (1) floor effects on Claude/GPT-4o/Llama (goal_reached=0; partial_goal_mean GPT-4o=0.008 to Llama=0.136); (2) no data at all for Gemini, o4-mini, DeepSeek. Do not use 0.02–0.22 canonical-execution figure (unrecovered)."
BW,phase2B_inject,Gemini,0,,False,False,"never_collected; BW Probe 2 dead twice over: (1) floor effects on Claude/GPT-4o/Llama (goal_reached=0; partial_goal_mean GPT-4o=0.008 to Llama=0.136); (2) no data at all for Gemini, o4-mini, DeepSeek. Do not use 0.02–0.22 canonical-execution figure (unrecovered)."
BW,phase1_declare,o4-mini,0,,False,False,"never_collected; BW Probe 2 dead twice over: (1) floor effects on Claude/GPT-4o/Llama (goal_reached=0; partial_goal_mean GPT-4o=0.008 to Llama=0.136); (2) no data at all for Gemini, o4-mini, DeepSeek. Do not use 0.02–0.22 canonical-execution figure (unrecovered)."
BW,phase2A_execute,o4-mini,0,,False,False,"never_collected; BW Probe 2 dead twice over: (1) floor effects on Claude/GPT-4o/Llama (goal_reached=0; partial_goal_mean GPT-4o=0.008 to Llama=0.136); (2) no data at all for Gemini, o4-mini, DeepSeek. Do not use 0.02–0.22 canonical-execution figure (unrecovered)."
BW,phase2B_inject,o4-mini,0,,False,False,"never_collected; BW Probe 2 dead twice over: (1) floor effects on Claude/GPT-4o/Llama (goal_reached=0; partial_goal_mean GPT-4o=0.008 to Llama=0.136); (2) no data at all for Gemini, o4-mini, DeepSeek. Do not use 0.02–0.22 canonical-execution figure (unrecovered)."
BW,phase1_declare,DeepSeek,0,,False,False,"never_collected; BW Probe 2 dead twice over: (1) floor effects on Claude/GPT-4o/Llama (goal_reached=0; partial_goal_mean GPT-4o=0.008 to Llama=0.136); (2) no data at all for Gemini, o4-mini, DeepSeek. Do not use 0.02–0.22 canonical-execution figure (unrecovered)."
BW,phase2A_execute,DeepSeek,0,,False,False,"never_collected; BW Probe 2 dead twice over: (1) floor effects on Claude/GPT-4o/Llama (goal_reached=0; partial_goal_mean GPT-4o=0.008 to Llama=0.136); (2) no data at all for Gemini, o4-mini, DeepSeek. Do not use 0.02–0.22 canonical-execution figure (unrecovered)."
BW,phase2B_inject,DeepSeek,0,,False,False,"never_collected; BW Probe 2 dead twice over: (1) floor effects on Claude/GPT-4o/Llama (goal_reached=0; partial_goal_mean GPT-4o=0.008 to Llama=0.136); (2) no data at all for Gemini, o4-mini, DeepSeek. Do not use 0.02–0.22 canonical-execution figure (unrecovered)."
