family,level,model,n,n_clusters,tep_mean,ci_low,ci_high,tep_median,bootstrap,n_boot,seed,source,model_full,problem_id,subtype,instance_type,tep,cci,critical_step_index,n_post_steps_compared,comparison_mode,cluster_id
ALGO,instance,Llama,,,,,,,,,,normal×injected join,meta-llama/llama-3.1-8b-instruct,CC_02,coin_change,adversarial,0.0,,0.0,1.0,parseable_fallback,ALGO_CLONE_001
ALGO,instance,GPT-4o,,,,,,,,,,normal×injected join,openai/gpt-4o,CC_02,coin_change,adversarial,1.0,0.0,0.0,1.0,parseable_fallback,ALGO_CLONE_001
ALGO,instance,o4-mini,,,,,,,,,,normal×injected join,openai/o4-mini,CC_02,coin_change,adversarial,0.0,,0.0,1.0,strict_compliant,ALGO_CLONE_001
ALGO,instance,Claude,,,,,,,,,,normal×injected join,anthropic/claude-sonnet-4,CC_03,coin_change,adversarial,0.0,0.0,0.0,1.0,strict_compliant,ALGO_CLONE_001
ALGO,instance,Gemini,,,,,,,,,,normal×injected join,google/gemini-2.5-flash,CC_03,coin_change,adversarial,0.0,,0.0,1.0,parseable_fallback,ALGO_CLONE_001
ALGO,instance,Llama,,,,,,,,,,normal×injected join,meta-llama/llama-3.1-8b-instruct,CC_03,coin_change,adversarial,1.0,,0.0,1.0,parseable_fallback,ALGO_CLONE_001
ALGO,instance,GPT-4o,,,,,,,,,,normal×injected join,openai/gpt-4o,CC_03,coin_change,adversarial,1.0,0.0,0.0,1.0,parseable_fallback,ALGO_CLONE_001
ALGO,instance,o4-mini,,,,,,,,,,normal×injected join,openai/o4-mini,CC_03,coin_change,adversarial,0.0,,0.0,1.0,strict_compliant,ALGO_CLONE_001
ALGO,instance,Claude,,,,,,,,,,normal×injected join,anthropic/claude-sonnet-4,CC_04,coin_change,adversarial,0.0,0.0,0.0,1.0,strict_compliant,ALGO_CLONE_001
ALGO,instance,Gemini,,,,,,,,,,normal×injected join,google/gemini-2.5-flash,CC_04,coin_change,adversarial,0.0,,0.0,1.0,parseable_fallback,ALGO_CLONE_001
ALGO,instance,Llama,,,,,,,,,,normal×injected join,meta-llama/llama-3.1-8b-instruct,CC_04,coin_change,adversarial,1.0,,0.0,1.0,parseable_fallback,ALGO_CLONE_001
ALGO,instance,GPT-4o,,,,,,,,,,normal×injected join,openai/gpt-4o,CC_04,coin_change,adversarial,1.0,0.0,0.0,1.0,strict_compliant,ALGO_CLONE_001
ALGO,instance,o4-mini,,,,,,,,,,normal×injected join,openai/o4-mini,CC_04,coin_change,adversarial,1.0,,0.0,1.0,strict_compliant,ALGO_CLONE_001
ALGO,instance,Claude,,,,,,,,,,normal×injected join,anthropic/claude-sonnet-4,CC_05,coin_change,adversarial,0.0,1.0,0.0,1.0,strict_compliant,ALGO_CLONE_001
ALGO,instance,Gemini,,,,,,,,,,normal×injected join,google/gemini-2.5-flash,CC_05,coin_change,adversarial,0.0,,0.0,1.0,parseable_fallback,ALGO_CLONE_001
ALGO,instance,Llama,,,,,,,,,,normal×injected join,meta-llama/llama-3.1-8b-instruct,CC_05,coin_change,adversarial,1.0,1.0,0.0,1.0,parseable_fallback,ALGO_CLONE_001
ALGO,instance,GPT-4o,,,,,,,,,,normal×injected join,openai/gpt-4o,CC_05,coin_change,adversarial,1.0,0.5,0.0,1.0,parseable_fallback,ALGO_CLONE_001
ALGO,instance,o4-mini,,,,,,,,,,normal×injected join,openai/o4-mini,CC_05,coin_change,adversarial,0.0,,0.0,1.0,strict_compliant,ALGO_CLONE_001
ALGO,instance,Claude,,,,,,,,,,normal×injected join,anthropic/claude-sonnet-4,CC_06,coin_change,adversarial,0.0,0.0,0.0,2.0,strict_compliant,SINGLETON_CC_06
ALGO,instance,Gemini,,,,,,,,,,normal×injected join,google/gemini-2.5-flash,CC_06,coin_change,adversarial,1.0,,0.0,2.0,parseable_fallback,SINGLETON_CC_06
ALGO,instance,Llama,,,,,,,,,,normal×injected join,meta-llama/llama-3.1-8b-instruct,CC_06,coin_change,adversarial,1.0,0.0,0.0,1.0,parseable_fallback,SINGLETON_CC_06
ALGO,instance,GPT-4o,,,,,,,,,,normal×injected join,openai/gpt-4o,CC_06,coin_change,adversarial,1.0,0.5,0.0,1.0,strict_compliant,SINGLETON_CC_06
ALGO,instance,o4-mini,,,,,,,,,,normal×injected join,openai/o4-mini,CC_06,coin_change,adversarial,1.0,,0.0,2.0,strict_compliant,SINGLETON_CC_06
ALGO,instance,Claude,,,,,,,,,,normal×injected join,anthropic/claude-sonnet-4,CC_07,coin_change,adversarial,0.0,0.0,0.0,1.0,strict_compliant,ALGO_CLONE_001
ALGO,instance,Gemini,,,,,,,,,,normal×injected join,google/gemini-2.5-flash,CC_07,coin_change,adversarial,0.0,,0.0,1.0,parseable_fallback,ALGO_CLONE_001
ALGO,instance,Llama,,,,,,,,,,normal×injected join,meta-llama/llama-3.1-8b-instruct,CC_07,coin_change,adversarial,1.0,0.0,0.0,1.0,parseable_fallback,ALGO_CLONE_001
ALGO,instance,GPT-4o,,,,,,,,,,normal×injected join,openai/gpt-4o,CC_07,coin_change,adversarial,1.0,0.0,0.0,1.0,strict_compliant,ALGO_CLONE_001
ALGO,instance,o4-mini,,,,,,,,,,normal×injected join,openai/o4-mini,CC_07,coin_change,adversarial,0.0,,0.0,1.0,strict_compliant,ALGO_CLONE_001
ALGO,instance,Claude,,,,,,,,,,normal×injected join,anthropic/claude-sonnet-4,CC_08,coin_change,adversarial,0.0,0.0,0.0,1.0,strict_compliant,ALGO_CLONE_001
ALGO,instance,Gemini,,,,,,,,,,normal×injected join,google/gemini-2.5-flash,CC_08,coin_change,adversarial,1.0,,0.0,1.0,parseable_fallback,ALGO_CLONE_001
ALGO,instance,Llama,,,,,,,,,,normal×injected join,meta-llama/llama-3.1-8b-instruct,CC_08,coin_change,adversarial,1.0,,0.0,1.0,parseable_fallback,ALGO_CLONE_001
ALGO,instance,GPT-4o,,,,,,,,,,normal×injected join,openai/gpt-4o,CC_08,coin_change,adversarial,1.0,1.0,0.0,1.0,strict_compliant,ALGO_CLONE_001
ALGO,instance,o4-mini,,,,,,,,,,normal×injected join,openai/o4-mini,CC_08,coin_change,adversarial,0.0,,0.0,1.0,strict_compliant,ALGO_CLONE_001
ALGO,instance,Claude,,,,,,,,,,normal×injected join,anthropic/claude-sonnet-4,CC_09,coin_change,adversarial,1.0,1.0,2.0,1.0,strict_compliant,ALGO_CLONE_004
ALGO,instance,Gemini,,,,,,,,,,normal×injected join,google/gemini-2.5-flash,CC_09,coin_change,adversarial,0.5,,2.0,2.0,parseable_fallback,ALGO_CLONE_004
ALGO,instance,Llama,,,,,,,,,,normal×injected join,meta-llama/llama-3.1-8b-instruct,CC_09,coin_change,adversarial,0.5,0.0,2.0,2.0,parseable_fallback,ALGO_CLONE_004
ALGO,instance,GPT-4o,,,,,,,,,,normal×injected join,openai/gpt-4o,CC_09,coin_change,adversarial,0.5,0.3333,2.0,2.0,parseable_fallback,ALGO_CLONE_004
ALGO,instance,o4-mini,,,,,,,,,,normal×injected join,openai/o4-mini,CC_09,coin_change,adversarial,1.0,,2.0,1.0,strict_compliant,ALGO_CLONE_004
ALGO,instance,Claude,,,,,,,,,,normal×injected join,anthropic/claude-sonnet-4,CC_10,coin_change,adversarial,0.0,0.8333,3.0,2.0,strict_compliant,SINGLETON_CC_10
ALGO,instance,Gemini,,,,,,,,,,normal×injected join,google/gemini-2.5-flash,CC_10,coin_change,adversarial,0.3333,,3.0,3.0,parseable_fallback,SINGLETON_CC_10
ALGO,instance,Llama,,,,,,,,,,normal×injected join,meta-llama/llama-3.1-8b-instruct,CC_10,coin_change,adversarial,0.6667,0.0,3.0,3.0,parseable_fallback,SINGLETON_CC_10
ALGO,instance,GPT-4o,,,,,,,,,,normal×injected join,openai/gpt-4o,CC_10,coin_change,adversarial,1.0,0.0,3.0,1.0,strict_compliant,SINGLETON_CC_10
ALGO,instance,o4-mini,,,,,,,,,,normal×injected join,openai/o4-mini,CC_10,coin_change,adversarial,0.6667,,3.0,3.0,strict_compliant,SINGLETON_CC_10
ALGO,instance,Claude,,,,,,,,,,normal×injected join,anthropic/claude-sonnet-4,SP_003,shortest_path,adversarial,1.0,0.0,1.0,2.0,strict_compliant,SINGLETON_SP_003
ALGO,instance,Gemini,,,,,,,,,,normal×injected join,google/gemini-2.5-flash,SP_003,shortest_path,adversarial,1.0,,1.0,3.0,parseable_fallback,SINGLETON_SP_003
ALGO,instance,Llama,,,,,,,,,,normal×injected join,meta-llama/llama-3.1-8b-instruct,SP_003,shortest_path,adversarial,1.0,0.0,1.0,3.0,parseable_fallback,SINGLETON_SP_003
ALGO,instance,GPT-4o,,,,,,,,,,normal×injected join,openai/gpt-4o,SP_003,shortest_path,adversarial,1.0,0.0,1.0,3.0,strict_compliant,SINGLETON_SP_003
ALGO,instance,o4-mini,,,,,,,,,,normal×injected join,openai/o4-mini,SP_003,shortest_path,adversarial,1.0,,1.0,3.0,strict_compliant,SINGLETON_SP_003
ALGO,instance,Claude,,,,,,,,,,normal×injected join,anthropic/claude-sonnet-4,SP_004,shortest_path,adversarial,0.0,0.3333,0.0,4.0,strict_compliant,SINGLETON_SP_004
ALGO,instance,Gemini,,,,,,,,,,normal×injected join,google/gemini-2.5-flash,SP_004,shortest_path,adversarial,0.0,,0.0,3.0,parseable_fallback,SINGLETON_SP_004
ALGO,instance,Llama,,,,,,,,,,normal×injected join,meta-llama/llama-3.1-8b-instruct,SP_004,shortest_path,adversarial,1.0,0.0,0.0,1.0,strict_compliant,SINGLETON_SP_004
ALGO,instance,GPT-4o,,,,,,,,,,normal×injected join,openai/gpt-4o,SP_004,shortest_path,adversarial,0.75,0.2,0.0,4.0,strict_compliant,SINGLETON_SP_004
ALGO,instance,o4-mini,,,,,,,,,,normal×injected join,openai/o4-mini,SP_004,shortest_path,adversarial,0.0,,0.0,4.0,strict_compliant,SINGLETON_SP_004
ALGO,instance,Claude,,,,,,,,,,normal×injected join,anthropic/claude-sonnet-4,SP_005,shortest_path,adversarial,1.0,0.0,1.0,3.0,strict_compliant,SINGLETON_SP_005
ALGO,instance,Gemini,,,,,,,,,,normal×injected join,google/gemini-2.5-flash,SP_005,shortest_path,adversarial,1.0,,1.0,3.0,parseable_fallback,SINGLETON_SP_005
ALGO,instance,Llama,,,,,,,,,,normal×injected join,meta-llama/llama-3.1-8b-instruct,SP_005,shortest_path,adversarial,1.0,,1.0,2.0,parseable_fallback,SINGLETON_SP_005
ALGO,instance,GPT-4o,,,,,,,,,,normal×injected join,openai/gpt-4o,SP_005,shortest_path,adversarial,0.0,0.0,1.0,3.0,strict_compliant,SINGLETON_SP_005
ALGO,instance,o4-mini,,,,,,,,,,normal×injected join,openai/o4-mini,SP_005,shortest_path,adversarial,1.0,,1.0,3.0,strict_compliant,SINGLETON_SP_005
ALGO,instance,Claude,,,,,,,,,,normal×injected join,anthropic/claude-sonnet-4,SP_019,shortest_path,adversarial,0.0,0.3333,0.0,2.0,strict_compliant,ALGO_CLONE_005
ALGO,instance,Gemini,,,,,,,,,,normal×injected join,google/gemini-2.5-flash,SP_019,shortest_path,adversarial,0.0,,0.0,2.0,parseable_fallback,ALGO_CLONE_005
ALGO,instance,Llama,,,,,,,,,,normal×injected join,meta-llama/llama-3.1-8b-instruct,SP_019,shortest_path,adversarial,1.0,0.0,0.0,1.0,strict_compliant,ALGO_CLONE_005
ALGO,instance,GPT-4o,,,,,,,,,,normal×injected join,openai/gpt-4o,SP_019,shortest_path,adversarial,0.0,0.3333,0.0,2.0,strict_compliant,ALGO_CLONE_005
ALGO,instance,o4-mini,,,,,,,,,,normal×injected join,openai/o4-mini,SP_019,shortest_path,adversarial,0.0,,0.0,2.0,strict_compliant,ALGO_CLONE_005
ALGO,instance,Claude,,,,,,,,,,normal×injected join,anthropic/claude-sonnet-4,SP_020,shortest_path,adversarial,0.0,0.3333,0.0,2.0,strict_compliant,ALGO_CLONE_005
ALGO,instance,Gemini,,,,,,,,,,normal×injected join,google/gemini-2.5-flash,SP_020,shortest_path,adversarial,0.0,,0.0,2.0,parseable_fallback,ALGO_CLONE_005
ALGO,instance,Llama,,,,,,,,,,normal×injected join,meta-llama/llama-3.1-8b-instruct,SP_020,shortest_path,adversarial,1.0,0.0,0.0,2.0,parseable_fallback,ALGO_CLONE_005
ALGO,instance,GPT-4o,,,,,,,,,,normal×injected join,openai/gpt-4o,SP_020,shortest_path,adversarial,0.0,0.0,0.0,2.0,strict_compliant,ALGO_CLONE_005
ALGO,instance,o4-mini,,,,,,,,,,normal×injected join,openai/o4-mini,SP_020,shortest_path,adversarial,0.0,,0.0,2.0,strict_compliant,ALGO_CLONE_005
ALGO,instance,Claude,,,,,,,,,,normal×injected join,anthropic/claude-sonnet-4,SP_021,shortest_path,adversarial,0.0,0.3333,0.0,2.0,strict_compliant,ALGO_CLONE_005
ALGO,instance,Gemini,,,,,,,,,,normal×injected join,google/gemini-2.5-flash,SP_021,shortest_path,adversarial,0.0,,0.0,2.0,parseable_fallback,ALGO_CLONE_005
ALGO,instance,Llama,,,,,,,,,,normal×injected join,meta-llama/llama-3.1-8b-instruct,SP_021,shortest_path,adversarial,1.0,0.0,0.0,1.0,strict_compliant,ALGO_CLONE_005
ALGO,instance,GPT-4o,,,,,,,,,,normal×injected join,openai/gpt-4o,SP_021,shortest_path,adversarial,1.0,0.6667,0.0,2.0,strict_compliant,ALGO_CLONE_005
ALGO,instance,o4-mini,,,,,,,,,,normal×injected join,openai/o4-mini,SP_021,shortest_path,adversarial,0.0,,0.0,2.0,strict_compliant,ALGO_CLONE_005
ALGO,instance,Claude,,,,,,,,,,normal×injected join,anthropic/claude-sonnet-4,SP_023,shortest_path,adversarial,0.0,1.0,0.0,2.0,strict_compliant,ALGO_CLONE_006
ALGO,instance,Gemini,,,,,,,,,,normal×injected join,google/gemini-2.5-flash,SP_023,shortest_path,adversarial,0.0,,0.0,2.0,parseable_fallback,ALGO_CLONE_006
ALGO,instance,Llama,,,,,,,,,,normal×injected join,meta-llama/llama-3.1-8b-instruct,SP_023,shortest_path,adversarial,0.0,0.3333,0.0,2.0,parseable_fallback,ALGO_CLONE_006
ALGO,instance,GPT-4o,,,,,,,,,,normal×injected join,openai/gpt-4o,SP_023,shortest_path,adversarial,0.0,1.0,0.0,2.0,strict_compliant,ALGO_CLONE_006
ALGO,instance,o4-mini,,,,,,,,,,normal×injected join,openai/o4-mini,SP_023,shortest_path,adversarial,0.5,,0.0,2.0,strict_compliant,ALGO_CLONE_006
ALGO,instance,Claude,,,,,,,,,,normal×injected join,anthropic/claude-sonnet-4,SP_024,shortest_path,adversarial,0.0,0.6667,0.0,2.0,strict_compliant,ALGO_CLONE_006
ALGO,instance,Gemini,,,,,,,,,,normal×injected join,google/gemini-2.5-flash,SP_024,shortest_path,adversarial,0.0,,0.0,2.0,parseable_fallback,ALGO_CLONE_006
ALGO,instance,Llama,,,,,,,,,,normal×injected join,meta-llama/llama-3.1-8b-instruct,SP_024,shortest_path,adversarial,0.0,0.3333,0.0,1.0,strict_compliant,ALGO_CLONE_006
ALGO,instance,GPT-4o,,,,,,,,,,normal×injected join,openai/gpt-4o,SP_024,shortest_path,adversarial,0.0,0.6667,0.0,2.0,strict_compliant,ALGO_CLONE_006
ALGO,instance,o4-mini,,,,,,,,,,normal×injected join,openai/o4-mini,SP_024,shortest_path,adversarial,0.0,,0.0,2.0,strict_compliant,ALGO_CLONE_006
ALGO,instance,Claude,,,,,,,,,,normal×injected join,anthropic/claude-sonnet-4,SP_026,shortest_path,adversarial,0.5,0.3333,0.0,2.0,strict_compliant,ALGO_CLONE_006
ALGO,instance,Gemini,,,,,,,,,,normal×injected join,google/gemini-2.5-flash,SP_026,shortest_path,adversarial,0.0,,0.0,2.0,parseable_fallback,ALGO_CLONE_006
ALGO,instance,Llama,,,,,,,,,,normal×injected join,meta-llama/llama-3.1-8b-instruct,SP_026,shortest_path,adversarial,0.0,0.0,0.0,2.0,parseable_fallback,ALGO_CLONE_006
ALGO,instance,GPT-4o,,,,,,,,,,normal×injected join,openai/gpt-4o,SP_026,shortest_path,adversarial,0.0,0.6667,0.0,2.0,strict_compliant,ALGO_CLONE_006
ALGO,instance,o4-mini,,,,,,,,,,normal×injected join,openai/o4-mini,SP_026,shortest_path,adversarial,0.5,,0.0,2.0,strict_compliant,ALGO_CLONE_006
ALGO,instance,Claude,,,,,,,,,,normal×injected join,anthropic/claude-sonnet-4,SP_027,shortest_path,adversarial,0.0,1.0,0.0,2.0,strict_compliant,ALGO_CLONE_007
ALGO,instance,Gemini,,,,,,,,,,normal×injected join,google/gemini-2.5-flash,SP_027,shortest_path,adversarial,0.5,,0.0,2.0,parseable_fallback,ALGO_CLONE_007
ALGO,instance,Llama,,,,,,,,,,normal×injected join,meta-llama/llama-3.1-8b-instruct,SP_027,shortest_path,adversarial,0.5,0.0,0.0,2.0,parseable_fallback,ALGO_CLONE_007
ALGO,instance,GPT-4o,,,,,,,,,,normal×injected join,openai/gpt-4o,SP_027,shortest_path,adversarial,0.5,0.6667,0.0,2.0,strict_compliant,ALGO_CLONE_007
ALGO,instance,o4-mini,,,,,,,,,,normal×injected join,openai/o4-mini,SP_027,shortest_path,adversarial,0.5,,0.0,2.0,strict_compliant,ALGO_CLONE_007
ALGO,instance,Claude,,,,,,,,,,normal×injected join,anthropic/claude-sonnet-4,SP_028,shortest_path,adversarial,0.0,1.0,0.0,2.0,strict_compliant,ALGO_CLONE_007
ALGO,instance,Gemini,,,,,,,,,,normal×injected join,google/gemini-2.5-flash,SP_028,shortest_path,adversarial,0.0,,0.0,2.0,parseable_fallback,ALGO_CLONE_007
ALGO,instance,Llama,,,,,,,,,,normal×injected join,meta-llama/llama-3.1-8b-instruct,SP_028,shortest_path,adversarial,0.5,0.5,0.0,2.0,parseable_fallback,ALGO_CLONE_007
ALGO,instance,GPT-4o,,,,,,,,,,normal×injected join,openai/gpt-4o,SP_028,shortest_path,adversarial,0.0,1.0,0.0,2.0,strict_compliant,ALGO_CLONE_007
ALGO,instance,o4-mini,,,,,,,,,,normal×injected join,openai/o4-mini,SP_028,shortest_path,adversarial,0.5,,0.0,2.0,strict_compliant,ALGO_CLONE_007
ALGO,instance,Claude,,,,,,,,,,normal×injected join,anthropic/claude-sonnet-4,SP_029,shortest_path,adversarial,0.5,1.0,0.0,2.0,strict_compliant,ALGO_CLONE_007
ALGO,instance,Gemini,,,,,,,,,,normal×injected join,google/gemini-2.5-flash,SP_029,shortest_path,adversarial,0.0,,0.0,2.0,parseable_fallback,ALGO_CLONE_007
ALGO,instance,Llama,,,,,,,,,,normal×injected join,meta-llama/llama-3.1-8b-instruct,SP_029,shortest_path,adversarial,0.5,0.0,0.0,2.0,parseable_fallback,ALGO_CLONE_007
ALGO,instance,GPT-4o,,,,,,,,,,normal×injected join,openai/gpt-4o,SP_029,shortest_path,adversarial,1.0,0.0,0.0,1.0,strict_compliant,ALGO_CLONE_007
ALGO,instance,o4-mini,,,,,,,,,,normal×injected join,openai/o4-mini,SP_029,shortest_path,adversarial,0.0,,0.0,2.0,strict_compliant,ALGO_CLONE_007
ALGO,instance,Claude,,,,,,,,,,normal×injected join,anthropic/claude-sonnet-4,SP_030,shortest_path,adversarial,0.0,0.6667,0.0,2.0,strict_compliant,ALGO_CLONE_007
ALGO,instance,Gemini,,,,,,,,,,normal×injected join,google/gemini-2.5-flash,SP_030,shortest_path,adversarial,0.0,,0.0,2.0,parseable_fallback,ALGO_CLONE_007
ALGO,instance,Llama,,,,,,,,,,normal×injected join,meta-llama/llama-3.1-8b-instruct,SP_030,shortest_path,adversarial,0.0,0.0,0.0,1.0,strict_compliant,ALGO_CLONE_007
ALGO,instance,GPT-4o,,,,,,,,,,normal×injected join,openai/gpt-4o,SP_030,shortest_path,adversarial,0.0,0.3333,0.0,2.0,strict_compliant,ALGO_CLONE_007
ALGO,instance,o4-mini,,,,,,,,,,normal×injected join,openai/o4-mini,SP_030,shortest_path,adversarial,0.5,,0.0,2.0,strict_compliant,ALGO_CLONE_007
ALGO,instance,Claude,,,,,,,,,,normal×injected join,anthropic/claude-sonnet-4,SP_037,shortest_path,adversarial,0.0,0.0,0.0,2.0,strict_compliant,ALGO_CLONE_005
ALGO,instance,Gemini,,,,,,,,,,normal×injected join,google/gemini-2.5-flash,SP_037,shortest_path,adversarial,0.0,,0.0,2.0,parseable_fallback,ALGO_CLONE_005
ALGO,instance,Llama,,,,,,,,,,normal×injected join,meta-llama/llama-3.1-8b-instruct,SP_037,shortest_path,adversarial,0.5,0.0,0.0,2.0,parseable_fallback,ALGO_CLONE_005
ALGO,instance,GPT-4o,,,,,,,,,,normal×injected join,openai/gpt-4o,SP_037,shortest_path,adversarial,0.0,0.0,0.0,2.0,strict_compliant,ALGO_CLONE_005
ALGO,instance,o4-mini,,,,,,,,,,normal×injected join,openai/o4-mini,SP_037,shortest_path,adversarial,0.0,,0.0,2.0,strict_compliant,ALGO_CLONE_005
ALGO,instance,Claude,,,,,,,,,,normal×injected join,anthropic/claude-sonnet-4,SP_038,shortest_path,adversarial,0.0,0.0,0.0,2.0,strict_compliant,ALGO_CLONE_005
ALGO,instance,Gemini,,,,,,,,,,normal×injected join,google/gemini-2.5-flash,SP_038,shortest_path,adversarial,0.0,,0.0,2.0,parseable_fallback,ALGO_CLONE_005
ALGO,instance,Llama,,,,,,,,,,normal×injected join,meta-llama/llama-3.1-8b-instruct,SP_038,shortest_path,adversarial,1.0,,0.0,2.0,parseable_fallback,ALGO_CLONE_005
ALGO,instance,GPT-4o,,,,,,,,,,normal×injected join,openai/gpt-4o,SP_038,shortest_path,adversarial,0.0,0.3333,0.0,2.0,strict_compliant,ALGO_CLONE_005
ALGO,instance,o4-mini,,,,,,,,,,normal×injected join,openai/o4-mini,SP_038,shortest_path,adversarial,0.0,,0.0,2.0,strict_compliant,ALGO_CLONE_005
ALGO,instance,Claude,,,,,,,,,,normal×injected join,anthropic/claude-sonnet-4,SP_039,shortest_path,adversarial,0.0,0.3333,0.0,2.0,strict_compliant,ALGO_CLONE_005
ALGO,instance,Gemini,,,,,,,,,,normal×injected join,google/gemini-2.5-flash,SP_039,shortest_path,adversarial,0.0,,0.0,2.0,parseable_fallback,ALGO_CLONE_005
ALGO,instance,Llama,,,,,,,,,,normal×injected join,meta-llama/llama-3.1-8b-instruct,SP_039,shortest_path,adversarial,1.0,0.0,0.0,2.0,parseable_fallback,ALGO_CLONE_005
ALGO,instance,GPT-4o,,,,,,,,,,normal×injected join,openai/gpt-4o,SP_039,shortest_path,adversarial,0.0,0.0,0.0,2.0,strict_compliant,ALGO_CLONE_005
ALGO,instance,o4-mini,,,,,,,,,,normal×injected join,openai/o4-mini,SP_039,shortest_path,adversarial,0.0,,0.0,2.0,strict_compliant,ALGO_CLONE_005
ALGO,instance,Claude,,,,,,,,,,normal×injected join,anthropic/claude-sonnet-4,SP_040,shortest_path,adversarial,0.0,0.0,0.0,2.0,strict_compliant,ALGO_CLONE_005
ALGO,instance,Gemini,,,,,,,,,,normal×injected join,google/gemini-2.5-flash,SP_040,shortest_path,adversarial,0.0,,0.0,2.0,parseable_fallback,ALGO_CLONE_005
ALGO,instance,Llama,,,,,,,,,,normal×injected join,meta-llama/llama-3.1-8b-instruct,SP_040,shortest_path,adversarial,0.0,1.0,0.0,1.0,strict_compliant,ALGO_CLONE_005
ALGO,instance,GPT-4o,,,,,,,,,,normal×injected join,openai/gpt-4o,SP_040,shortest_path,adversarial,0.0,0.0,0.0,2.0,strict_compliant,ALGO_CLONE_005
ALGO,instance,o4-mini,,,,,,,,,,normal×injected join,openai/o4-mini,SP_040,shortest_path,adversarial,0.0,,0.0,2.0,strict_compliant,ALGO_CLONE_005
ALGO,instance,Claude,,,,,,,,,,normal×injected join,anthropic/claude-sonnet-4,SP_042,shortest_path,adversarial,0.5,0.6667,0.0,2.0,strict_compliant,ALGO_CLONE_006
ALGO,instance,Gemini,,,,,,,,,,normal×injected join,google/gemini-2.5-flash,SP_042,shortest_path,adversarial,0.0,,0.0,2.0,parseable_fallback,ALGO_CLONE_006
ALGO,instance,Llama,,,,,,,,,,normal×injected join,meta-llama/llama-3.1-8b-instruct,SP_042,shortest_path,adversarial,1.0,0.0,0.0,1.0,strict_compliant,ALGO_CLONE_006
ALGO,instance,GPT-4o,,,,,,,,,,normal×injected join,openai/gpt-4o,SP_042,shortest_path,adversarial,0.0,0.6667,0.0,2.0,strict_compliant,ALGO_CLONE_006
ALGO,instance,o4-mini,,,,,,,,,,normal×injected join,openai/o4-mini,SP_042,shortest_path,adversarial,1.0,,0.0,2.0,strict_compliant,ALGO_CLONE_006
ALGO,instance,Claude,,,,,,,,,,normal×injected join,anthropic/claude-sonnet-4,SP_044,shortest_path,adversarial,0.0,0.6667,0.0,2.0,strict_compliant,ALGO_CLONE_006
ALGO,instance,Gemini,,,,,,,,,,normal×injected join,google/gemini-2.5-flash,SP_044,shortest_path,adversarial,0.0,,0.0,2.0,parseable_fallback,ALGO_CLONE_006
ALGO,instance,Llama,,,,,,,,,,normal×injected join,meta-llama/llama-3.1-8b-instruct,SP_044,shortest_path,adversarial,0.0,1.0,0.0,2.0,parseable_fallback,ALGO_CLONE_006
