analysis,scope,metric,x,y,spearman_rho,ci_low,ci_high,p_value,p_value_method,n,n_clusters,bootstrap,n_boot,seed,models,note,verdict
item_within_model,GSM/GPT-4o,TEP,tep,canonical_ok,-0.0831,-0.3958,0.236,0.5868,cluster_bootstrap_two_sided,44,44,cluster_by_problem_id,5000,42,GPT-4o,item-level within model,discriminant_ok_independent_of_capability
item_within_model,GSM/Gemini,TEP,tep,canonical_ok,,,,,cluster_bootstrap_two_sided,44,44,cluster_by_problem_id,5000,42,Gemini,outcome degenerate (40/44 positive); correlation not estimable. item-level within model,undefined
item_within_model,GSM/Llama,TEP,tep,canonical_ok,-0.0692,-0.3722,0.225,0.688,cluster_bootstrap_two_sided,44,44,cluster_by_problem_id,5000,42,Llama,item-level within model,discriminant_ok_independent_of_capability
item_within_model,GSM/Claude,CCI,cci,canonical_ok,0.1518,-0.1061,0.376,0.2481,cluster_bootstrap_two_sided,44,44,cluster_by_problem_id,5000,42,Claude,item-level within model,discriminant_ok_independent_of_capability
item_within_model,GSM/GPT-4o,CCI,cci,canonical_ok,-0.0457,-0.3305,0.24,0.7456,cluster_bootstrap_two_sided,44,44,cluster_by_problem_id,5000,42,GPT-4o,item-level within model,discriminant_ok_independent_of_capability
item_within_model,GSM/Gemini,CCI,cci,canonical_ok,,,,,cluster_bootstrap_two_sided,44,44,cluster_by_problem_id,5000,42,Gemini,outcome degenerate (40/44 positive); correlation not estimable. item-level within model,undefined
item_within_model,GSM/Llama,CCI,cci,canonical_ok,0.2359,-0.0528,0.5306,0.1176,cluster_bootstrap_two_sided,44,44,cluster_by_problem_id,5000,42,Llama,item-level within model,discriminant_ok_independent_of_capability
item_within_model,ALGO/Claude,TEP,tep,canonical_ok,-0.3021,-0.611,0.0077,0.0552,cluster_bootstrap_two_sided,58,13,cluster_by_clone_family,5000,42,Claude,item-level within model,discriminant_ok_independent_of_capability
item_within_model,ALGO/GPT-4o,TEP,tep,canonical_ok,0.0267,-0.3945,0.3942,0.9808,cluster_bootstrap_two_sided,61,14,cluster_by_clone_family,5000,42,GPT-4o,item-level within model,discriminant_ok_independent_of_capability
item_within_model,ALGO/Gemini,TEP,tep,canonical_ok,-0.2139,-0.7135,0.1038,0.2124,cluster_bootstrap_two_sided,61,14,cluster_by_clone_family,5000,42,Gemini,item-level within model,discriminant_ok_independent_of_capability
item_within_model,ALGO/Llama,TEP,tep,canonical_ok,,,,,cluster_bootstrap_two_sided,61,14,cluster_by_clone_family,5000,42,Llama,outcome degenerate (4/61 positive); correlation not estimable. item-level within model,undefined
item_within_model,ALGO/o4-mini,TEP,tep,canonical_ok,,,,,cluster_bootstrap_two_sided,61,14,cluster_by_clone_family,5000,42,o4-mini,outcome degenerate (61/61 positive); correlation not estimable. item-level within model,undefined
item_within_model,ALGO/Claude,CCI,cci,canonical_ok,0.3391,-0.1402,0.577,0.1564,cluster_bootstrap_two_sided,57,12,cluster_by_clone_family,5000,42,Claude,item-level within model,discriminant_ok_independent_of_capability
item_within_model,ALGO/GPT-4o,CCI,cci,canonical_ok,0.3447,-0.0041,0.711,0.0556,cluster_bootstrap_two_sided,59,14,cluster_by_clone_family,5000,42,GPT-4o,item-level within model,discriminant_ok_independent_of_capability
item_within_model,ALGO/Gemini,CCI,cci,canonical_ok,,,,,cluster_bootstrap_two_sided,0,0,cluster_by_clone_family,5000,42,Gemini,item-level within model,undefined
item_within_model,ALGO/Llama,CCI,cci,canonical_ok,,,,,cluster_bootstrap_two_sided,35,9,cluster_by_clone_family,5000,42,Llama,outcome degenerate (2/35 positive); correlation not estimable. item-level within model,undefined
item_within_model,ALGO/o4-mini,CCI,cci,canonical_ok,,,,,cluster_bootstrap_two_sided,0,0,cluster_by_clone_family,5000,42,o4-mini,item-level within model,undefined
reference_discriminant_phi_vs_canonical_accuracy,P1_family_model_cells,phi,phi,canonical_accuracy,-0.426,-0.724,0.5,0.61,cluster_bootstrap_two_sided,13,,cluster_by_family,5000,42,see P1_phi_canonical_w3.csv (can_acc>=0.3),"existing M3 discriminant cell — contrast for TEP/CCI; retention-vs-phi omitted — same contingency table, not independent evidence",discriminant_ok_independent_of_capability
reference_discriminant_retention_vs_canonical_accuracy,P1_family_model_cells,retention,retention,canonical_accuracy,0.136,-0.1,0.8,0.292,cluster_bootstrap_two_sided,14,,cluster_by_family,5000,42,see P1_phi_canonical_w3.csv (can_acc>=0.3),existing M3 discriminant cell — contrast for TEP/CCI,discriminant_ok_independent_of_capability
contrast_tep_cci_vs_retention_phi,summary,TEP_CCI_vs_retention_phi,probe2_metric,canonical_accuracy,-0.3167,-0.8948,0.5046,0.3956,see_component_rows,9,9,bootstrap_over_family_model_cells,5000,42,ALGO:Claude;ALGO:GPT-4o;ALGO:Gemini;ALGO:Llama;ALGO:o4-mini;GSM:Claude;GSM:GPT-4o;GSM:Gemini;GSM:Llama,TEP pooled rho=-0.3167 (ALGO excl o4-mini rho=-1.0); CCI pooled rho=0.5714; retention rho=0.136 n.s.; phi rho=-0.426 n.s. Within-instrument contrast: retention/phi pass discriminant validity; CCI fails (tracks capability); TEP shows capability-aligned between-model ordering (esp. ALGO without o4-mini) but item-level within model is mostly null.,cci_discriminant_failure_tep_between_model_signal_retention_ok
