family,probe,model,bank_canonical_n,observed_canonical_n,bank_total_n,observed_total_n,n_errors,canonical_complete,bank_complete,missing_canonical_ids,extra_canonical_ids,missing_pair_count,extra_pair_count,reference_full_n,coverage_label,canonical_expected,canonical_observed,W1_expected,W1_observed,W2_expected,W2_observed,W3_expected,W3_observed,W4_expected,W4_observed,W5_expected,W5_observed,W6_expected,W6_observed,reference_model,in_master_coverage_table,missing_canonical_n
BW,P1,Claude,65,65,455.0,455.0,0.0,True,True,,,0.0,0.0,65.0,full_bank,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,,True,
BW,P1,Gemini,65,65,455.0,455.0,0.0,True,True,,,0.0,0.0,65.0,full_bank,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,,True,
BW,P1,GPT-4o,65,65,455.0,455.0,0.0,True,True,,,0.0,0.0,65.0,full_bank,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,,True,
BW,P1,Llama,65,65,455.0,455.0,2.0,True,True,,,0.0,0.0,65.0,full_bank,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,,True,
BW,P1,o4-mini,65,65,455.0,455.0,0.0,True,True,,,0.0,0.0,65.0,full_bank,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,,True,
GSM,P2,Claude,44,44,44.0,44.0,0.0,True,True,,,0.0,,44.0,full_bank,,,,,,,,,,,,,,,,True,
GSM,P2,Gemini,44,44,44.0,44.0,0.0,True,True,,,0.0,,44.0,full_bank,,,,,,,,,,,,,,,,True,
GSM,P2,GPT-4o,44,44,44.0,44.0,0.0,True,True,,,0.0,,44.0,full_bank,,,,,,,,,,,,,,,,True,
GSM,P2,Llama,44,44,44.0,44.0,0.0,True,True,,,0.0,,44.0,full_bank,,,,,,,,,,,,,,,,True,
GSM,P2,o4-mini,44,44,44.0,44.0,0.0,True,True,,,0.0,,44.0,full_bank,,,,,,,,,,,,,,,,True,
ALGO,P2A_normal,Claude,110,110,110.0,110.0,0.0,True,True,,,0.0,,110.0,full_bank,,,,,,,,,,,,,,,GPT-4o,True,
ALGO,P2A_normal,Gemini,110,110,110.0,110.0,0.0,True,True,,,0.0,,110.0,full_bank,,,,,,,,,,,,,,,GPT-4o,True,
ALGO,P2A_normal,GPT-4o,110,110,110.0,110.0,0.0,True,True,,,0.0,,110.0,full_bank,,,,,,,,,,,,,,,GPT-4o,True,
ALGO,P2A_normal,Llama,110,110,110.0,110.0,0.0,True,True,,,0.0,,110.0,full_bank,,,,,,,,,,,,,,,GPT-4o,True,
ALGO,P2A_normal,o4-mini,110,110,110.0,110.0,0.0,True,True,,,0.0,,110.0,full_bank,,,,,,,,,,,,,,,GPT-4o,True,
ALGO,P2A_elicited,Claude,110,61,110.0,61.0,0.0,False,False,"CC_031,CC_032,CC_033,CC_034,CC_035,CC_036,CC_037,CC_038,CC_039,CC_040,CC_041,CC_042,CC_043,CC_044,CC_045,SP_001,SP_002,SP_031,SP_032,SP_033,SP_034,SP_035,SP_036,SP_049,SP_050,SP_051,SP_052,SP_053,SP_054,SP_055,SP_056,SP_057,SP_058,SP_059,SP_060,SP_061,WIS_001,WIS_002,WIS_005,WIS_006,WIS_007,WIS_009,WIS_010,WIS_012,WIS_021,WIS_022,WIS_030,WIS_031,WIS_032",,49.0,,110.0,partial,,,,,,,,,,,,,,,GPT-4o,True,
ALGO,P2A_elicited,Gemini,110,61,110.0,61.0,0.0,False,False,"CC_031,CC_032,CC_033,CC_034,CC_035,CC_036,CC_037,CC_038,CC_039,CC_040,CC_041,CC_042,CC_043,CC_044,CC_045,SP_001,SP_002,SP_031,SP_032,SP_033,SP_034,SP_035,SP_036,SP_049,SP_050,SP_051,SP_052,SP_053,SP_054,SP_055,SP_056,SP_057,SP_058,SP_059,SP_060,SP_061,WIS_001,WIS_002,WIS_005,WIS_006,WIS_007,WIS_009,WIS_010,WIS_012,WIS_021,WIS_022,WIS_030,WIS_031,WIS_032",,49.0,,110.0,partial,,,,,,,,,,,,,,,GPT-4o,True,
ALGO,P2A_elicited,GPT-4o,110,110,110.0,110.0,0.0,True,True,,,0.0,,110.0,full_bank,,,,,,,,,,,,,,,GPT-4o,True,
ALGO,P2A_elicited,Llama,110,61,110.0,61.0,0.0,False,False,"CC_031,CC_032,CC_033,CC_034,CC_035,CC_036,CC_037,CC_038,CC_039,CC_040,CC_041,CC_042,CC_043,CC_044,CC_045,SP_001,SP_002,SP_031,SP_032,SP_033,SP_034,SP_035,SP_036,SP_049,SP_050,SP_051,SP_052,SP_053,SP_054,SP_055,SP_056,SP_057,SP_058,SP_059,SP_060,SP_061,WIS_001,WIS_002,WIS_005,WIS_006,WIS_007,WIS_009,WIS_010,WIS_012,WIS_021,WIS_022,WIS_030,WIS_031,WIS_032",,49.0,,110.0,partial,,,,,,,,,,,,,,,GPT-4o,True,
ALGO,P2A_elicited,o4-mini,110,110,110.0,110.0,0.0,True,True,,,0.0,,110.0,full_bank,,,,,,,,,,,,,,,GPT-4o,True,
ALGO,P2B_plausible,Claude,61,61,61.0,61.0,0.0,True,True,,,0.0,,61.0,full_bank,,,,,,,,,,,,,,,GPT-4o,True,
ALGO,P2B_plausible,Gemini,61,61,61.0,61.0,0.0,True,True,,,0.0,,61.0,full_bank,,,,,,,,,,,,,,,GPT-4o,True,
ALGO,P2B_plausible,GPT-4o,61,61,61.0,61.0,0.0,True,True,,,0.0,,61.0,full_bank,,,,,,,,,,,,,,,GPT-4o,True,
ALGO,P2B_plausible,Llama,61,61,61.0,61.0,0.0,True,True,,,0.0,,61.0,full_bank,,,,,,,,,,,,,,,GPT-4o,True,
ALGO,P2B_plausible,o4-mini,61,61,61.0,61.0,0.0,True,True,,,0.0,,61.0,full_bank,,,,,,,,,,,,,,,GPT-4o,True,
ALGO,P2B_implausible,Claude,61,61,61.0,61.0,0.0,True,True,,,0.0,,61.0,full_bank,,,,,,,,,,,,,,,GPT-4o,True,
ALGO,P2B_implausible,Gemini,61,61,61.0,61.0,0.0,True,True,,,0.0,,61.0,full_bank,,,,,,,,,,,,,,,GPT-4o,True,
ALGO,P2B_implausible,GPT-4o,61,61,61.0,61.0,0.0,True,True,,,0.0,,61.0,full_bank,,,,,,,,,,,,,,,GPT-4o,True,
ALGO,P2B_implausible,Llama,61,61,61.0,61.0,0.0,True,True,,,0.0,,61.0,full_bank,,,,,,,,,,,,,,,GPT-4o,True,
ALGO,P2B_implausible,o4-mini,61,61,61.0,61.0,0.0,True,True,,,0.0,,61.0,full_bank,,,,,,,,,,,,,,,GPT-4o,True,
BW,P2_tep,Claude,65,50,,,,,False,"MBW_001,MBW_002,MBW_010,MBW_014,MBW_037,MBW_10,MBW_100,MBW_127,MBW_185,MBW_495,MBW_496,MBW_497,MBW_498,MBW_499,MBW_500",,,,,partial,,,,,,,,,,,,,,,,False,15.0
BW,P2_tep,Gemini,65,0,,,,,False,"BW_001,BW_002,BW_010,BW_011,BW_014,BW_022,BW_080,BW_120,BW_137,BW_155,BW_172,BW_203,BW_227,BW_282,BW_310,BW_331,BW_350,BW_408,BW_467,BW_495,BW_496,BW_497,BW_498,BW_499,BW_500,BW_501,BW_502,BW_503,BW_504,BW_505,BW_506,BW_507,BW_508,BW_509,BW_510,BW_511,BW_512,BW_513,BW_514,BW_515,BW_E002,BW_E015,BW_E017,BW_E019,BW_E100,BW_E_001,BW_E_002,BW_E_003,BW_E_004,BW_E_005,MBW_001,MBW_002,MBW_010,MBW_014,MBW_037,MBW_10,MBW_100,MBW_127,MBW_185,MBW_495,MBW_496,MBW_497,MBW_498,MBW_499,MBW_500",,,,,missing_model,,,,,,,,,,,,,,,,False,65.0
BW,P2_tep,GPT-4o,65,50,,,,,False,"MBW_001,MBW_002,MBW_010,MBW_014,MBW_037,MBW_10,MBW_100,MBW_127,MBW_185,MBW_495,MBW_496,MBW_497,MBW_498,MBW_499,MBW_500",,,,,partial,,,,,,,,,,,,,,,,False,15.0
BW,P2_tep,Llama,65,50,,,,,False,"MBW_001,MBW_002,MBW_010,MBW_014,MBW_037,MBW_10,MBW_100,MBW_127,MBW_185,MBW_495,MBW_496,MBW_497,MBW_498,MBW_499,MBW_500",,,,,partial,,,,,,,,,,,,,,,,False,15.0
BW,P2_tep,o4-mini,65,0,,,,,False,"BW_001,BW_002,BW_010,BW_011,BW_014,BW_022,BW_080,BW_120,BW_137,BW_155,BW_172,BW_203,BW_227,BW_282,BW_310,BW_331,BW_350,BW_408,BW_467,BW_495,BW_496,BW_497,BW_498,BW_499,BW_500,BW_501,BW_502,BW_503,BW_504,BW_505,BW_506,BW_507,BW_508,BW_509,BW_510,BW_511,BW_512,BW_513,BW_514,BW_515,BW_E002,BW_E015,BW_E017,BW_E019,BW_E100,BW_E_001,BW_E_002,BW_E_003,BW_E_004,BW_E_005,MBW_001,MBW_002,MBW_010,MBW_014,MBW_037,MBW_10,MBW_100,MBW_127,MBW_185,MBW_495,MBW_496,MBW_497,MBW_498,MBW_499,MBW_500",,,,,missing_model,,,,,,,,,,,,,,,,False,65.0
BW,P2_cci,Claude,65,50,,,,,False,"MBW_001,MBW_002,MBW_010,MBW_014,MBW_037,MBW_10,MBW_100,MBW_127,MBW_185,MBW_495,MBW_496,MBW_497,MBW_498,MBW_499,MBW_500",,,,,partial,,,,,,,,,,,,,,,,False,15.0
BW,P2_cci,Gemini,65,0,,,,,False,"BW_001,BW_002,BW_010,BW_011,BW_014,BW_022,BW_080,BW_120,BW_137,BW_155,BW_172,BW_203,BW_227,BW_282,BW_310,BW_331,BW_350,BW_408,BW_467,BW_495,BW_496,BW_497,BW_498,BW_499,BW_500,BW_501,BW_502,BW_503,BW_504,BW_505,BW_506,BW_507,BW_508,BW_509,BW_510,BW_511,BW_512,BW_513,BW_514,BW_515,BW_E002,BW_E015,BW_E017,BW_E019,BW_E100,BW_E_001,BW_E_002,BW_E_003,BW_E_004,BW_E_005,MBW_001,MBW_002,MBW_010,MBW_014,MBW_037,MBW_10,MBW_100,MBW_127,MBW_185,MBW_495,MBW_496,MBW_497,MBW_498,MBW_499,MBW_500",,,,,missing_model,,,,,,,,,,,,,,,,False,65.0
BW,P2_cci,GPT-4o,65,50,,,,,False,"MBW_001,MBW_002,MBW_010,MBW_014,MBW_037,MBW_10,MBW_100,MBW_127,MBW_185,MBW_495,MBW_496,MBW_497,MBW_498,MBW_499,MBW_500",,,,,partial,,,,,,,,,,,,,,,,False,15.0
BW,P2_cci,Llama,65,50,,,,,False,"MBW_001,MBW_002,MBW_010,MBW_014,MBW_037,MBW_10,MBW_100,MBW_127,MBW_185,MBW_495,MBW_496,MBW_497,MBW_498,MBW_499,MBW_500",,,,,partial,,,,,,,,,,,,,,,,False,15.0
BW,P2_cci,o4-mini,65,0,,,,,False,"BW_001,BW_002,BW_010,BW_011,BW_014,BW_022,BW_080,BW_120,BW_137,BW_155,BW_172,BW_203,BW_227,BW_282,BW_310,BW_331,BW_350,BW_408,BW_467,BW_495,BW_496,BW_497,BW_498,BW_499,BW_500,BW_501,BW_502,BW_503,BW_504,BW_505,BW_506,BW_507,BW_508,BW_509,BW_510,BW_511,BW_512,BW_513,BW_514,BW_515,BW_E002,BW_E015,BW_E017,BW_E019,BW_E100,BW_E_001,BW_E_002,BW_E_003,BW_E_004,BW_E_005,MBW_001,MBW_002,MBW_010,MBW_014,MBW_037,MBW_10,MBW_100,MBW_127,MBW_185,MBW_495,MBW_496,MBW_497,MBW_498,MBW_499,MBW_500",,,,,missing_model,,,,,,,,,,,,,,,,False,65.0
BW,P2_plans,Claude,65,50,,,,,False,"MBW_001,MBW_002,MBW_010,MBW_014,MBW_037,MBW_10,MBW_100,MBW_127,MBW_185,MBW_495,MBW_496,MBW_497,MBW_498,MBW_499,MBW_500",,,,,partial,,,,,,,,,,,,,,,,False,15.0
BW,P2_plans,Gemini,65,0,,,,,False,"BW_001,BW_002,BW_010,BW_011,BW_014,BW_022,BW_080,BW_120,BW_137,BW_155,BW_172,BW_203,BW_227,BW_282,BW_310,BW_331,BW_350,BW_408,BW_467,BW_495,BW_496,BW_497,BW_498,BW_499,BW_500,BW_501,BW_502,BW_503,BW_504,BW_505,BW_506,BW_507,BW_508,BW_509,BW_510,BW_511,BW_512,BW_513,BW_514,BW_515,BW_E002,BW_E015,BW_E017,BW_E019,BW_E100,BW_E_001,BW_E_002,BW_E_003,BW_E_004,BW_E_005,MBW_001,MBW_002,MBW_010,MBW_014,MBW_037,MBW_10,MBW_100,MBW_127,MBW_185,MBW_495,MBW_496,MBW_497,MBW_498,MBW_499,MBW_500",,,,,missing_model,,,,,,,,,,,,,,,,False,65.0
BW,P2_plans,GPT-4o,65,50,,,,,False,"MBW_001,MBW_002,MBW_010,MBW_014,MBW_037,MBW_10,MBW_100,MBW_127,MBW_185,MBW_495,MBW_496,MBW_497,MBW_498,MBW_499,MBW_500",,,,,partial,,,,,,,,,,,,,,,,False,15.0
BW,P2_plans,Llama,65,50,,,,,False,"MBW_001,MBW_002,MBW_010,MBW_014,MBW_037,MBW_10,MBW_100,MBW_127,MBW_185,MBW_495,MBW_496,MBW_497,MBW_498,MBW_499,MBW_500",,,,,partial,,,,,,,,,,,,,,,,False,15.0
BW,P2_plans,o4-mini,65,0,,,,,False,"BW_001,BW_002,BW_010,BW_011,BW_014,BW_022,BW_080,BW_120,BW_137,BW_155,BW_172,BW_203,BW_227,BW_282,BW_310,BW_331,BW_350,BW_408,BW_467,BW_495,BW_496,BW_497,BW_498,BW_499,BW_500,BW_501,BW_502,BW_503,BW_504,BW_505,BW_506,BW_507,BW_508,BW_509,BW_510,BW_511,BW_512,BW_513,BW_514,BW_515,BW_E002,BW_E015,BW_E017,BW_E019,BW_E100,BW_E_001,BW_E_002,BW_E_003,BW_E_004,BW_E_005,MBW_001,MBW_002,MBW_010,MBW_014,MBW_037,MBW_10,MBW_100,MBW_127,MBW_185,MBW_495,MBW_496,MBW_497,MBW_498,MBW_499,MBW_500",,,,,missing_model,,,,,,,,,,,,,,,,False,65.0
