model,subtype,instance_type,variant,k,n,acc
gpt4o,shortest_path,adversarial,W6,9,34,0.265
gpt4o,shortest_path,standard,canonical,15,21,0.714
gpt4o,shortest_path,standard,W1,14,21,0.667
gpt4o,shortest_path,standard,W2,1,21,0.048
gpt4o,shortest_path,standard,W3,9,21,0.429
gpt4o,shortest_path,standard,W4,11,21,0.524
gpt4o,shortest_path,standard,W5,0,19,0.0
gpt4o,shortest_path,standard,W6,8,21,0.381
gpt4o,wis,adversarial,canonical,6,17,0.353
gpt4o,wis,adversarial,W1,3,17,0.176
gpt4o,wis,adversarial,W2,0,17,0.0
gpt4o,wis,adversarial,W3,0,17,0.0
gpt4o,wis,adversarial,W4,0,17,0.0
gpt4o,wis,adversarial,W6,0,17,0.0
gpt4o,wis,standard,canonical,2,13,0.154
gpt4o,wis,standard,W1,3,13,0.231
gpt4o,wis,standard,W2,0,13,0.0
gpt4o,wis,standard,W3,0,13,0.0
gpt4o,wis,standard,W4,0,13,0.0
gpt4o,wis,standard,W6,0,13,0.0
gpt4o,coin_change,adversarial,canonical,6,10,0.6
gpt4o,coin_change,adversarial,W1,4,10,0.4
gpt4o,coin_change,adversarial,W2,6,10,0.6
gpt4o,coin_change,adversarial,W3,0,10,0.0
gpt4o,coin_change,adversarial,W4,5,10,0.5
gpt4o,coin_change,adversarial,W6,4,10,0.4
gpt4o,coin_change,standard,canonical,4,15,0.267
gpt4o,coin_change,standard,W1,6,15,0.4
gpt4o,coin_change,standard,W2,0,15,0.0
gpt4o,coin_change,standard,W3,1,15,0.067
gpt4o,coin_change,standard,W4,13,15,0.867
gpt4o,coin_change,standard,W6,3,15,0.2
llama,shortest_path,adversarial,canonical,2,34,0.059
llama,shortest_path,adversarial,W1,5,34,0.147
llama,shortest_path,adversarial,W2,1,34,0.029
llama,shortest_path,adversarial,W3,0,34,0.0
llama,shortest_path,adversarial,W4,3,34,0.088
llama,shortest_path,adversarial,W5,0,31,0.0
llama,shortest_path,adversarial,W6,2,34,0.059
llama,shortest_path,standard,canonical,1,21,0.048
llama,shortest_path,standard,W1,2,21,0.095
llama,shortest_path,standard,W2,0,21,0.0
llama,shortest_path,standard,W3,0,21,0.0
llama,shortest_path,standard,W4,3,21,0.143
llama,shortest_path,standard,W5,0,19,0.0
llama,shortest_path,standard,W6,2,21,0.095
llama,wis,adversarial,canonical,1,17,0.059
llama,wis,adversarial,W1,0,17,0.0
llama,wis,adversarial,W2,0,17,0.0
llama,wis,adversarial,W3,1,17,0.059
llama,wis,adversarial,W4,0,17,0.0
llama,wis,adversarial,W6,0,17,0.0
llama,wis,standard,canonical,0,13,0.0
llama,wis,standard,W1,0,13,0.0
llama,wis,standard,W2,0,13,0.0
llama,wis,standard,W3,1,13,0.077
llama,wis,standard,W4,0,13,0.0
llama,wis,standard,W6,0,13,0.0
llama,coin_change,adversarial,canonical,2,10,0.2
llama,coin_change,adversarial,W1,1,10,0.1
llama,coin_change,adversarial,W2,4,10,0.4
llama,coin_change,adversarial,W3,0,10,0.0
llama,coin_change,adversarial,W4,2,10,0.2
llama,coin_change,adversarial,W6,1,10,0.1
llama,coin_change,standard,canonical,0,15,0.0
llama,coin_change,standard,W1,1,15,0.067
llama,coin_change,standard,W2,1,15,0.067
llama,coin_change,standard,W3,0,15,0.0
llama,coin_change,standard,W4,0,15,0.0
llama,coin_change,standard,W6,1,15,0.067
gemini,shortest_path,adversarial,canonical,23,34,0.676
gemini,shortest_path,adversarial,W1,15,34,0.441
gemini,shortest_path,adversarial,W2,8,34,0.235
gemini,shortest_path,adversarial,W3,11,34,0.324
gemini,shortest_path,adversarial,W4,19,34,0.559
gemini,shortest_path,adversarial,W5,1,31,0.032
gemini,shortest_path,adversarial,W6,4,31,0.129
gemini,shortest_path,standard,canonical,13,21,0.619
gemini,shortest_path,standard,W1,16,21,0.762
gemini,shortest_path,standard,W2,16,21,0.762
gemini,shortest_path,standard,W3,10,21,0.476
gemini,shortest_path,standard,W4,18,21,0.857
gemini,shortest_path,standard,W5,0,19,0.0
gemini,shortest_path,standard,W6,5,19,0.263
gemini,wis,adversarial,canonical,6,17,0.353
gemini,wis,adversarial,W1,3,17,0.176
gemini,wis,adversarial,W2,0,17,0.0
gemini,wis,adversarial,W3,0,17,0.0
gemini,wis,adversarial,W4,0,17,0.0
gemini,wis,adversarial,W6,0,15,0.0
gemini,wis,standard,canonical,0,13,0.0
gemini,wis,standard,W1,0,13,0.0
gemini,wis,standard,W2,3,13,0.231
gemini,wis,standard,W3,0,13,0.0
gemini,wis,standard,W4,0,13,0.0
gemini,wis,standard,W6,0,10,0.0
gemini,coin_change,adversarial,canonical,5,10,0.5
gemini,coin_change,adversarial,W1,7,10,0.7
gemini,coin_change,adversarial,W2,6,10,0.6
gemini,coin_change,adversarial,W3,7,10,0.7
gemini,coin_change,adversarial,W4,7,10,0.7
gemini,coin_change,standard,canonical,4,15,0.267
gemini,coin_change,standard,W1,2,15,0.133
gemini,coin_change,standard,W2,0,15,0.0
gemini,coin_change,standard,W3,0,15,0.0
gemini,coin_change,standard,W4,4,15,0.267
gemini,coin_change,standard,W6,4,15,0.267
