probe,family,model,variant,cells_attempted,cells_included,cells_excluded,exclusion_reason_breakdown,exclusion_reason_1,exclusion_reason_1_n,exclusion_reason_2,exclusion_reason_2_n,exclusion_reason_3,exclusion_reason_3_n,sampling_settings,source_file
P1,GSM,google/gemini-2.5-flash,W6,24,24,0,{},,0,,0,,0,unknown,GSM_P1_behavioral_gemini_rescored.csv
P1,GSM,google/gemini-2.5-flash,canonical,44,44,0,{},,0,,0,,0,unknown,GSM_P1_behavioral_gemini_rescored.csv
P1,GSM,meta-llama/llama-3.1-8b-instruct,W1,64,20,44,"{""api_error"": 24, ""missing_bank_row"": 20}",api_error,24,missing_bank_row,20,,0,unknown,GSM_P1_behavioral_llama_rescored.csv
P1,GSM,meta-llama/llama-3.1-8b-instruct,W2,64,20,44,"{""api_error"": 24, ""missing_bank_row"": 20}",api_error,24,missing_bank_row,20,,0,unknown,GSM_P1_behavioral_llama_rescored.csv
P1,GSM,meta-llama/llama-3.1-8b-instruct,W3,64,20,44,"{""api_error"": 24, ""missing_bank_row"": 20}",api_error,24,missing_bank_row,20,,0,unknown,GSM_P1_behavioral_llama_rescored.csv
P1,GSM,meta-llama/llama-3.1-8b-instruct,W4,64,20,44,"{""api_error"": 24, ""missing_bank_row"": 20}",api_error,24,missing_bank_row,20,,0,unknown,GSM_P1_behavioral_llama_rescored.csv
P1,GSM,meta-llama/llama-3.1-8b-instruct,W5,64,20,44,"{""api_error"": 24, ""missing_bank_row"": 20}",api_error,24,missing_bank_row,20,,0,unknown,GSM_P1_behavioral_llama_rescored.csv
P1,GSM,meta-llama/llama-3.1-8b-instruct,W6,64,0,64,"{""missing_bank_row"": 40, ""api_error"": 24}",missing_bank_row,40,api_error,24,,0,unknown,GSM_P1_behavioral_llama_rescored.csv
P1,GSM,meta-llama/llama-3.1-8b-instruct,canonical,64,20,44,"{""api_error"": 24, ""missing_bank_row"": 20}",api_error,24,missing_bank_row,20,,0,unknown,GSM_P1_behavioral_llama_rescored.csv
P1,GSM,openai/gpt-4o,W1,64,20,44,"{""api_error"": 24, ""missing_bank_row"": 20}",api_error,24,missing_bank_row,20,,0,unknown,GSM_P1_behavioral_gpt4o_rescored.csv
P1,GSM,openai/gpt-4o,W2,64,20,44,"{""api_error"": 24, ""missing_bank_row"": 20}",api_error,24,missing_bank_row,20,,0,unknown,GSM_P1_behavioral_gpt4o_rescored.csv
P1,GSM,openai/gpt-4o,W3,64,20,44,"{""api_error"": 24, ""missing_bank_row"": 20}",api_error,24,missing_bank_row,20,,0,unknown,GSM_P1_behavioral_gpt4o_rescored.csv
P1,GSM,openai/gpt-4o,W4,64,20,44,"{""api_error"": 24, ""missing_bank_row"": 20}",api_error,24,missing_bank_row,20,,0,unknown,GSM_P1_behavioral_gpt4o_rescored.csv
P1,GSM,openai/gpt-4o,W5,64,20,44,"{""api_error"": 24, ""missing_bank_row"": 20}",api_error,24,missing_bank_row,20,,0,unknown,GSM_P1_behavioral_gpt4o_rescored.csv
P1,GSM,openai/gpt-4o,W6,64,0,64,"{""missing_bank_row"": 40, ""api_error"": 24}",missing_bank_row,40,api_error,24,,0,unknown,GSM_P1_behavioral_gpt4o_rescored.csv
P1,GSM,openai/gpt-4o,canonical,64,20,44,"{""api_error"": 24, ""missing_bank_row"": 20}",api_error,24,missing_bank_row,20,,0,unknown,GSM_P1_behavioral_gpt4o_rescored.csv
P1,GSM,openai/o4-mini,W1,44,44,0,{},,0,,0,,0,unknown,GSM_P1_behavioral_o1mini_rescored.csv
P1,GSM,openai/o4-mini,W2,44,44,0,{},,0,,0,,0,unknown,GSM_P1_behavioral_o1mini_rescored.csv
P1,GSM,openai/o4-mini,W3,44,44,0,{},,0,,0,,0,unknown,GSM_P1_behavioral_o1mini_rescored.csv
P1,GSM,openai/o4-mini,W4,44,44,0,{},,0,,0,,0,unknown,GSM_P1_behavioral_o1mini_rescored.csv
P1,GSM,openai/o4-mini,W5,44,44,0,{},,0,,0,,0,unknown,GSM_P1_behavioral_o1mini_rescored.csv
P1,GSM,openai/o4-mini,W6,24,24,0,{},,0,,0,,0,unknown,GSM_P1_behavioral_o1mini_rescored.csv
P1,GSM,openai/o4-mini,canonical,44,44,0,{},,0,,0,,0,unknown,GSM_P1_behavioral_o1mini_rescored.csv
P2,ALGO,anthropic/claude-sonnet-4,phase1,110,84,26,"{""phase1_unparseable"": 26}",phase1_unparseable,26,,0,,0,unknown,ALGO_P2_phase1_claude_new.csv
P2,ALGO,google/gemini-2.5-flash,phase1,110,72,38,"{""phase1_unparseable"": 38}",phase1_unparseable,38,,0,,0,unknown,ALGO_P2_phase1_gemini.csv
P2,ALGO,meta-llama/llama-3.1-8b-instruct,phase1,110,76,34,"{""phase1_unparseable"": 34}",phase1_unparseable,34,,0,,0,unknown,ALGO_P2_phase1_llama_new.csv
P2,ALGO,openai/gpt-4o,phase1,110,94,16,"{""phase1_unparseable"": 16}",phase1_unparseable,16,,0,,0,unknown,ALGO_P2_phase1_gpt4o_new.csv
P2,BW,anthropic/claude-sonnet-4,cci_nl,50,20,30,"{""aborted: excessive illegal steps"": 19, ""aborted: planning_loop"": 11}",aborted: excessive illegal steps,19,aborted: planning_loop,11,,0,unknown,P2_coverage.csv
P2,BW,anthropic/claude-sonnet-4,cci_strict,50,8,42,"{""aborted: excessive illegal steps"": 22, ""blank_session_status"": 20}",aborted: excessive illegal steps,22,blank_session_status,20,,0,unknown,P2_coverage.csv
P2,BW,anthropic/claude-sonnet-4,tep,177,1,176,"{""aborted: excessive illegal steps"": 76, ""blank_session_status"": 67, ""score_null"": 33}",aborted: excessive illegal steps,76,blank_session_status,67,score_null,33,unknown,P2_coverage.csv
P2,BW,meta-llama/llama-3.1-8b-instruct,cci_nl,50,8,42,"{""aborted: excessive illegal steps"": 42}",aborted: excessive illegal steps,42,,0,,0,unknown,P2_coverage.csv
P2,BW,meta-llama/llama-3.1-8b-instruct,cci_strict,50,11,39,"{""blank_session_status"": 20, ""aborted: excessive illegal steps"": 19}",blank_session_status,20,aborted: excessive illegal steps,19,,0,unknown,P2_coverage.csv
P2,BW,meta-llama/llama-3.1-8b-instruct,tep,179,0,179,"{""blank_session_status"": 111, ""aborted: excessive illegal steps"": 68}",blank_session_status,111,aborted: excessive illegal steps,68,,0,unknown,P2_coverage.csv
P2,BW,openai/gpt-4o,cci_nl,50,11,39,"{""aborted: excessive illegal steps"": 39}",aborted: excessive illegal steps,39,,0,,0,unknown,P2_coverage.csv
P2,BW,openai/gpt-4o,cci_strict,50,10,40,"{""blank_session_status"": 20, ""aborted: excessive illegal steps"": 20}",blank_session_status,20,aborted: excessive illegal steps,20,,0,unknown,P2_coverage.csv
P2,BW,openai/gpt-4o,tep,180,1,179,"{""blank_session_status"": 110, ""aborted: excessive illegal steps"": 69}",blank_session_status,110,aborted: excessive illegal steps,69,,0,unknown,P2_coverage.csv
P2,GSM,anthropic/claude-sonnet-4,cci,44,44,0,{},,0,,0,,0,unknown,P2_coverage.csv
P2,GSM,anthropic/claude-sonnet-4,tep,44,44,0,{},,0,,0,,0,unknown,P2_coverage.csv
P2,GSM,google/gemini-2.5-flash,cci,44,44,0,{},,0,,0,,0,unknown,P2_coverage.csv
P2,GSM,google/gemini-2.5-flash,tep,44,44,0,{},,0,,0,,0,unknown,P2_coverage.csv
P2,GSM,meta-llama/llama-3.1-8b-instruct,cci,44,44,0,{},,0,,0,,0,unknown,P2_coverage.csv
P2,GSM,meta-llama/llama-3.1-8b-instruct,tep,44,44,0,{},,0,,0,,0,unknown,P2_coverage.csv
P2,GSM,openai/gpt-4o,cci,44,44,0,{},,0,,0,,0,unknown,P2_coverage.csv
P2,GSM,openai/gpt-4o,tep,44,44,0,{},,0,,0,,0,unknown,P2_coverage.csv
P2,MBW,anthropic/claude-sonnet-4,cci_nl,15,0,15,"{""cci_column_never_emitted"": 15}",cci_column_never_emitted,15,,0,,0,unknown,P2_coverage.csv
P2,MBW,meta-llama/llama-3.1-8b-instruct,cci_nl,15,0,15,"{""cci_column_never_emitted"": 15}",cci_column_never_emitted,15,,0,,0,unknown,P2_coverage.csv
P2,MBW,openai/gpt-4o,cci_nl,15,0,15,"{""cci_column_never_emitted"": 15}",cci_column_never_emitted,15,,0,,0,unknown,P2_coverage.csv
P3,ALGO,--,contamination,116,116,0,{},,0,,0,,0,unknown,ALGO_P3_contamination.csv
P3,ALGO,Qwen/Qwen2.5-0.5B-Instruct,canonical,20,20,0,{},,0,,0,,0,unknown,ALGO_P3_mechanistic.csv
P3,BW,--,contamination,65,65,0,{},,0,,0,,0,unknown,BW_P3_contamination.csv
P3,BW,Qwen/Qwen2.5-0.5B-Instruct,W6,15,15,0,{},,0,,0,,0,unknown,BW_P3_mechanistic.csv
P3,BW,Qwen/Qwen2.5-0.5B-Instruct,canonical,20,20,0,{},,0,,0,,0,unknown,BW_P3_mechanistic.csv
P3,GSM,--,contamination,44,44,0,{},,0,,0,,0,unknown,GSM_P3_contamination.csv
P3,GSM,Qwen/Qwen2.5-0.5B-Instruct,canonical,20,20,0,{},,0,,0,,0,unknown,GSM_P3_mechanistic.csv
