problem_id,problem_family,variant_type,subtype,gold_action,gold_token_id,gold_token_decoded,gold_is_format_keyword,scaffold_prefix,content_string,content_rule,gold_content_token_id,gold_content_token_decoded,content_sep,gold_equals_content
GSM_020,arithmetic_reasoning,canonical,gsm,24,1187,24,False,,24,full_first_action_is_content,1187,24,'',True
GSM_041,arithmetic_reasoning,canonical,gsm,150,3965,150,False,,150,full_first_action_is_content,3965,150,'',True
GSM_042,arithmetic_reasoning,canonical,gsm,2820,16544,282,False,,2820,full_first_action_is_content,16544,282,'',True
GSM_043,arithmetic_reasoning,canonical,gsm,8,23,8,False,,8,full_first_action_is_content,23,8,'',True
GSM_044,arithmetic_reasoning,canonical,gsm,59,2946,59,False,,59,full_first_action_is_content,2946,59,'',True
GSM_045,arithmetic_reasoning,canonical,gsm,1122,7261,112,False,,1122,full_first_action_is_content,7261,112,'',True
GSM_046,arithmetic_reasoning,canonical,gsm,121,7994,121,False,,121,full_first_action_is_content,7994,121,'',True
GSM_047,arithmetic_reasoning,canonical,gsm,510,15633,510,False,,510,full_first_action_is_content,15633,510,'',True
GSM_048,arithmetic_reasoning,canonical,gsm,206,11056,206,False,,206,full_first_action_is_content,11056,206,'',True
GSM_049,arithmetic_reasoning,canonical,gsm,1782,11256,178,False,,1782,full_first_action_is_content,11256,178,'',True
GSM_050,arithmetic_reasoning,canonical,gsm,20,508,20,False,,20,full_first_action_is_content,508,20,'',True
GSM_051,arithmetic_reasoning,canonical,gsm,256,4146,256,False,,256,full_first_action_is_content,4146,256,'',True
GSM_052,arithmetic_reasoning,canonical,gsm,75,2075,75,False,,75,full_first_action_is_content,2075,75,'',True
GSM_053,arithmetic_reasoning,canonical,gsm,378,19166,378,False,,378,full_first_action_is_content,19166,378,'',True
GSM_054,arithmetic_reasoning,canonical,gsm,16,845,16,False,,16,full_first_action_is_content,845,16,'',True
GSM_055,arithmetic_reasoning,canonical,gsm,6,21,6,False,,6,full_first_action_is_content,21,6,'',True
GSM_056,arithmetic_reasoning,canonical,gsm,69,3076,69,False,,69,full_first_action_is_content,3076,69,'',True
GSM_057,arithmetic_reasoning,canonical,gsm,84,5833,84,False,,84,full_first_action_is_content,5833,84,'',True
GSM_058,arithmetic_reasoning,canonical,gsm,285,15935,285,False,,285,full_first_action_is_content,15935,285,'',True
GSM_059,arithmetic_reasoning,canonical,gsm,29,1682,29,False,,29,full_first_action_is_content,1682,29,'',True
GSM_060,arithmetic_reasoning,canonical,gsm,46,2790,46,False,,46,full_first_action_is_content,2790,46,'',True
GSM_061,arithmetic_reasoning,canonical,gsm,420,12819,420,False,,420,full_first_action_is_content,12819,420,'',True
GSM_062,arithmetic_reasoning,canonical,gsm,112000,7261,112,False,,112000,full_first_action_is_content,7261,112,'',True
GSM_063,arithmetic_reasoning,canonical,gsm,16200,10674,162,False,,16200,full_first_action_is_content,10674,162,'',True
GSM_064,arithmetic_reasoning,canonical,gsm,75,2075,75,False,,75,full_first_action_is_content,2075,75,'',True
CC_01,coin change,canonical,coin_change,Count: 2,2568,Count,True,Count: ,2,cc_digit_after_Count,17,2,'',False
CC_02,coin change,canonical,coin_change,Count: 2,2568,Count,True,Count: ,2,cc_digit_after_Count,17,2,'',False
CC_03,coin change,canonical,coin_change,Count: 2,2568,Count,True,Count: ,2,cc_digit_after_Count,17,2,'',False
CC_04,coin change,canonical,coin_change,Count: 2,2568,Count,True,Count: ,2,cc_digit_after_Count,17,2,'',False
CC_05,coin change,canonical,coin_change,Count: 2,2568,Count,True,Count: ,2,cc_digit_after_Count,17,2,'',False
CC_06,coin change,canonical,coin_change,Count: 3,2568,Count,True,Count: ,3,cc_digit_after_Count,18,3,'',False
CC_07,coin change,canonical,coin_change,Count: 2,2568,Count,True,Count: ,2,cc_digit_after_Count,17,2,'',False
CC_08,coin change,canonical,coin_change,Count: 2,2568,Count,True,Count: ,2,cc_digit_after_Count,17,2,'',False
CC_09,coin change,canonical,coin_change,Count: 5,2568,Count,True,Count: ,5,cc_digit_after_Count,20,5,'',False
CC_10,coin change,canonical,coin_change,Count: 7,2568,Count,True,Count: ,7,cc_digit_after_Count,22,7,'',False
SP_001,algorithmic,canonical,shortest_path,"Path: 0 → 5 → 10 → 11, Cost: 17",1858,Path,True,Path: ,"0 → 5 → 10 → 11, Cost: 17",sp_first_node_after_Path,15,0,'',False
SP_002,algorithmic,canonical,shortest_path,"Path: 16 → 12 → 9 → 19 → 18 → 6 → 5 → 10 → 15 → 21 → 11, Cost: 40",1858,Path,True,Path: ,"16 → 12 → 9 → 19 → 18 → 6 → 5 → 10 → 15 → 21 → 11, Cost: 40",sp_first_node_after_Path,845,16,'',False
SP_003,algorithmic,canonical,shortest_path,"Path: 11 → 17 → 10 → 2 → 3 → 9, Cost: 22",1858,Path,True,Path: ,"11 → 17 → 10 → 2 → 3 → 9, Cost: 22",sp_first_node_after_Path,806,11,'',False
SP_004,algorithmic,canonical,shortest_path,"Path: 0 → 3 → 6 → 4 → 5 → 9, Cost: 8",1858,Path,True,Path: ,"0 → 3 → 6 → 4 → 5 → 9, Cost: 8",sp_first_node_after_Path,15,0,'',False
SP_005,algorithmic,canonical,shortest_path,"Path: 0 → 4 → 9 → 11 → 14 → 15, Cost: 32",1858,Path,True,Path: ,"0 → 4 → 9 → 11 → 14 → 15, Cost: 32",sp_first_node_after_Path,15,0,'',False
WIS_001,algorithmic,canonical,wis,"Selected: {0, 2, 4, 6, 9}, Total: 40",6450,Selected,True,Selected: {,0,wis_first_value,15,0,'',False
WIS_002,algorithmic,canonical,wis,"Selected: {1, 3, 7, 10, 11}, Total: 52",6450,Selected,True,Selected: {,1,wis_first_value,16,1,'',False
WIS_003,algorithmic,canonical,wis,"Selected: {1, 2, 3, 4, 10, 11, 13}, Total: 55",6450,Selected,True,Selected: {,1,wis_first_value,16,1,'',False
WIS_004,algorithmic,canonical,wis,"Selected: {0, 1, 3, 6, 9, 11, 12}, Total: 37",6450,Selected,True,Selected: {,0,wis_first_value,15,0,'',False
WIS_005,algorithmic,canonical,wis,"Selected: {2, 5, 7, 8, 11, 14}, Total: 67",6450,Selected,True,Selected: {,2,wis_first_value,17,2,'',False
CC_031,algorithmic,canonical,coin_change,Count: 5,2568,Count,True,Count: ,5,cc_digit_after_Count,20,5,'',False
CC_032,algorithmic,canonical,coin_change,Count: 4,2568,Count,True,Count: ,4,cc_digit_after_Count,19,4,'',False
CC_033,algorithmic,canonical,coin_change,Count: 13,2568,Count,True,Count: ,13,cc_digit_after_Count,1032,13,'',False
CC_034,algorithmic,canonical,coin_change,Count: 3,2568,Count,True,Count: ,3,cc_digit_after_Count,18,3,'',False
CC_035,algorithmic,canonical,coin_change,Count: 8,2568,Count,True,Count: ,8,cc_digit_after_Count,23,8,'',False
CC_036,algorithmic,canonical,coin_change,Count: 12,2568,Count,True,Count: ,12,cc_digit_after_Count,717,12,'',False
CC_037,algorithmic,canonical,coin_change,Count: 11,2568,Count,True,Count: ,11,cc_digit_after_Count,806,11,'',False
CC_038,algorithmic,canonical,coin_change,Count: 6,2568,Count,True,Count: ,6,cc_digit_after_Count,21,6,'',False
CC_039,algorithmic,canonical,coin_change,Count: 4,2568,Count,True,Count: ,4,cc_digit_after_Count,19,4,'',False
CC_040,algorithmic,canonical,coin_change,Count: 2,2568,Count,True,Count: ,2,cc_digit_after_Count,17,2,'',False
CC_041,algorithmic,canonical,coin_change,Count: 5,2568,Count,True,Count: ,5,cc_digit_after_Count,20,5,'',False
CC_042,algorithmic,canonical,coin_change,Count: 10,2568,Count,True,Count: ,10,cc_digit_after_Count,605,10,'',False
CC_043,algorithmic,canonical,coin_change,Count: 6,2568,Count,True,Count: ,6,cc_digit_after_Count,21,6,'',False
CC_044,algorithmic,canonical,coin_change,Count: 9,2568,Count,True,Count: ,9,cc_digit_after_Count,24,9,'',False
CC_045,algorithmic,canonical,coin_change,Count: 8,2568,Count,True,Count: ,8,cc_digit_after_Count,23,8,'',False
SP_019,algorithmic,canonical,shortest_path,"Path: 0 -> 3 -> 4 -> 6, Cost: 12",1858,Path,True,Path: ,"0 -> 3 -> 4 -> 6, Cost: 12",sp_first_node_after_Path,15,0,'',False
SP_020,algorithmic,canonical,shortest_path,"Path: 0 -> 3 -> 4 -> 5, Cost: 12",1858,Path,True,Path: ,"0 -> 3 -> 4 -> 5, Cost: 12",sp_first_node_after_Path,15,0,'',False
SP_021,algorithmic,canonical,shortest_path,"Path: 0 -> 3 -> 4 -> 8, Cost: 12",1858,Path,True,Path: ,"0 -> 3 -> 4 -> 8, Cost: 12",sp_first_node_after_Path,15,0,'',False
SP_023,algorithmic,canonical,shortest_path,"Path: 0 -> 2 -> 3 -> 5, Cost: 5",1858,Path,True,Path: ,"0 -> 2 -> 3 -> 5, Cost: 5",sp_first_node_after_Path,15,0,'',False
SP_024,algorithmic,canonical,shortest_path,"Path: 0 -> 2 -> 3 -> 7, Cost: 5",1858,Path,True,Path: ,"0 -> 2 -> 3 -> 7, Cost: 5",sp_first_node_after_Path,15,0,'',False
SP_026,algorithmic,canonical,shortest_path,"Path: 0 -> 2 -> 3 -> 8, Cost: 5",1858,Path,True,Path: ,"0 -> 2 -> 3 -> 8, Cost: 5",sp_first_node_after_Path,15,0,'',False
SP_027,algorithmic,canonical,shortest_path,"Path: 0 -> 2 -> 1 -> 6, Cost: 3",1858,Path,True,Path: ,"0 -> 2 -> 1 -> 6, Cost: 3",sp_first_node_after_Path,15,0,'',False
SP_028,algorithmic,canonical,shortest_path,"Path: 0 -> 2 -> 1 -> 7, Cost: 3",1858,Path,True,Path: ,"0 -> 2 -> 1 -> 7, Cost: 3",sp_first_node_after_Path,15,0,'',False
SP_029,algorithmic,canonical,shortest_path,"Path: 0 -> 2 -> 1 -> 7, Cost: 3",1858,Path,True,Path: ,"0 -> 2 -> 1 -> 7, Cost: 3",sp_first_node_after_Path,15,0,'',False
SP_030,algorithmic,canonical,shortest_path,"Path: 0 -> 2 -> 1 -> 7, Cost: 3",1858,Path,True,Path: ,"0 -> 2 -> 1 -> 7, Cost: 3",sp_first_node_after_Path,15,0,'',False
WIS_006,algorithmic,canonical,wis,"Selected: {0, 1, 3, 4, 5, 6}, Total: 40",6450,Selected,True,Selected: {,0,wis_first_value,15,0,'',False
WIS_007,algorithmic,canonical,wis,"Selected: {0, 2, 3, 4, 5}, Total: 60",6450,Selected,True,Selected: {,0,wis_first_value,15,0,'',False
WIS_009,algorithmic,canonical,wis,"Selected: {0, 1, 2, 3, 4, 5, 6, 8}, Total: 72",6450,Selected,True,Selected: {,0,wis_first_value,15,0,'',False
WIS_010,algorithmic,canonical,wis,"Selected: {0, 2, 4, 5, 6, 7}, Total: 62",6450,Selected,True,Selected: {,0,wis_first_value,15,0,'',False
WIS_012,algorithmic,canonical,wis,"Selected: {0, 2, 3, 4, 5, 6, 7, 8}, Total: 83",6450,Selected,True,Selected: {,0,wis_first_value,15,0,'',False
WIS_013,algorithmic,canonical,wis,"Selected: {4, 5}, Total: 49",6450,Selected,True,Selected: {,4,wis_first_value,19,4,'',False
WIS_014,algorithmic,canonical,wis,"Selected: {4, 5}, Total: 53",6450,Selected,True,Selected: {,4,wis_first_value,19,4,'',False
WIS_015,algorithmic,canonical,wis,"Selected: {4, 5}, Total: 49",6450,Selected,True,Selected: {,4,wis_first_value,19,4,'',False
WIS_016,algorithmic,canonical,wis,"Selected: {4, 5}, Total: 51",6450,Selected,True,Selected: {,4,wis_first_value,19,4,'',False
WIS_017,algorithmic,canonical,wis,"Selected: {4, 5}, Total: 57",6450,Selected,True,Selected: {,4,wis_first_value,19,4,'',False
WIS_018,algorithmic,canonical,wis,"Selected: {4, 5}, Total: 55",6450,Selected,True,Selected: {,4,wis_first_value,19,4,'',False
WIS_019,algorithmic,canonical,wis,"Selected: {4, 5}, Total: 58",6450,Selected,True,Selected: {,4,wis_first_value,19,4,'',False
WIS_020,algorithmic,canonical,wis,"Selected: {4, 5}, Total: 59",6450,Selected,True,Selected: {,4,wis_first_value,19,4,'',False
SP_031,algorithmic,canonical,shortest_path,"Path: 0 -> 1 -> 3 -> 8, Cost: 22",1858,Path,True,Path: ,"0 -> 1 -> 3 -> 8, Cost: 22",sp_first_node_after_Path,15,0,'',False
SP_032,algorithmic,canonical,shortest_path,"Path: 0 -> 4 -> 5 -> 6 -> 7, Cost: 20",1858,Path,True,Path: ,"0 -> 4 -> 5 -> 6 -> 7, Cost: 20",sp_first_node_after_Path,15,0,'',False
SP_033,algorithmic,canonical,shortest_path,"Path: 0 -> 1 -> 2 -> 3 -> 4 -> 7, Cost: 23",1858,Path,True,Path: ,"0 -> 1 -> 2 -> 3 -> 4 -> 7, Cost: 23",sp_first_node_after_Path,15,0,'',False
SP_034,algorithmic,canonical,shortest_path,"Path: 0 -> 3 -> 4 -> 7, Cost: 21",1858,Path,True,Path: ,"0 -> 3 -> 4 -> 7, Cost: 21",sp_first_node_after_Path,15,0,'',False
SP_035,algorithmic,canonical,shortest_path,"Path: 0 -> 1 -> 4 -> 6, Cost: 19",1858,Path,True,Path: ,"0 -> 1 -> 4 -> 6, Cost: 19",sp_first_node_after_Path,15,0,'',False
SP_036,algorithmic,canonical,shortest_path,"Path: 0 -> 1 -> 3 -> 4 -> 6 -> 7, Cost: 12",1858,Path,True,Path: ,"0 -> 1 -> 3 -> 4 -> 6 -> 7, Cost: 12",sp_first_node_after_Path,15,0,'',False
SP_037,algorithmic,canonical,shortest_path,"Path: 0 -> 3 -> 4 -> 6, Cost: 12",1858,Path,True,Path: ,"0 -> 3 -> 4 -> 6, Cost: 12",sp_first_node_after_Path,15,0,'',False
SP_038,algorithmic,canonical,shortest_path,"Path: 0 -> 3 -> 4 -> 8, Cost: 12",1858,Path,True,Path: ,"0 -> 3 -> 4 -> 8, Cost: 12",sp_first_node_after_Path,15,0,'',False
SP_039,algorithmic,canonical,shortest_path,"Path: 0 -> 3 -> 4 -> 8, Cost: 12",1858,Path,True,Path: ,"0 -> 3 -> 4 -> 8, Cost: 12",sp_first_node_after_Path,15,0,'',False
SP_040,algorithmic,canonical,shortest_path,"Path: 0 -> 3 -> 4 -> 7, Cost: 12",1858,Path,True,Path: ,"0 -> 3 -> 4 -> 7, Cost: 12",sp_first_node_after_Path,15,0,'',False
SP_042,algorithmic,canonical,shortest_path,"Path: 0 -> 2 -> 3 -> 8, Cost: 5",1858,Path,True,Path: ,"0 -> 2 -> 3 -> 8, Cost: 5",sp_first_node_after_Path,15,0,'',False
SP_044,algorithmic,canonical,shortest_path,"Path: 0 -> 2 -> 3 -> 6, Cost: 5",1858,Path,True,Path: ,"0 -> 2 -> 3 -> 6, Cost: 5",sp_first_node_after_Path,15,0,'',False
SP_045,algorithmic,canonical,shortest_path,"Path: 0 -> 2 -> 1 -> 6, Cost: 3",1858,Path,True,Path: ,"0 -> 2 -> 1 -> 6, Cost: 3",sp_first_node_after_Path,15,0,'',False
SP_046,algorithmic,canonical,shortest_path,"Path: 0 -> 2 -> 1 -> 7, Cost: 3",1858,Path,True,Path: ,"0 -> 2 -> 1 -> 7, Cost: 3",sp_first_node_after_Path,15,0,'',False
SP_047,algorithmic,canonical,shortest_path,"Path: 0 -> 2 -> 1 -> 6, Cost: 3",1858,Path,True,Path: ,"0 -> 2 -> 1 -> 6, Cost: 3",sp_first_node_after_Path,15,0,'',False
SP_048,algorithmic,canonical,shortest_path,"Path: 0 -> 2 -> 1 -> 7, Cost: 3",1858,Path,True,Path: ,"0 -> 2 -> 1 -> 7, Cost: 3",sp_first_node_after_Path,15,0,'',False
SP_049,algorithmic,canonical,shortest_path,"Path: 0 -> 4 -> 6 -> 8, Cost: 10",1858,Path,True,Path: ,"0 -> 4 -> 6 -> 8, Cost: 10",sp_first_node_after_Path,15,0,'',False
SP_050,algorithmic,canonical,shortest_path,"Path: 0 -> 3 -> 4 -> 5 -> 7, Cost: 11",1858,Path,True,Path: ,"0 -> 3 -> 4 -> 5 -> 7, Cost: 11",sp_first_node_after_Path,15,0,'',False
SP_051,algorithmic,canonical,shortest_path,"Path: 0 -> 1 -> 3 -> 4 -> 5 -> 7, Cost: 18",1858,Path,True,Path: ,"0 -> 1 -> 3 -> 4 -> 5 -> 7, Cost: 18",sp_first_node_after_Path,15,0,'',False
SP_052,algorithmic,canonical,shortest_path,"Path: 0 -> 1 -> 2 -> 5 -> 6 -> 8, Cost: 11",1858,Path,True,Path: ,"0 -> 1 -> 2 -> 5 -> 6 -> 8, Cost: 11",sp_first_node_after_Path,15,0,'',False
SP_053,algorithmic,canonical,shortest_path,"Path: 0 -> 1 -> 2 -> 5, Cost: 25",1858,Path,True,Path: ,"0 -> 1 -> 2 -> 5, Cost: 25",sp_first_node_after_Path,15,0,'',False
SP_054,algorithmic,canonical,shortest_path,"Path: 0 -> 1 -> 3 -> 4 -> 6 -> 7, Cost: 12",1858,Path,True,Path: ,"0 -> 1 -> 3 -> 4 -> 6 -> 7, Cost: 12",sp_first_node_after_Path,15,0,'',False
SP_055,algorithmic,canonical,shortest_path,"Path: 0 -> 2 -> 3 -> 5 -> 6, Cost: 17",1858,Path,True,Path: ,"0 -> 2 -> 3 -> 5 -> 6, Cost: 17",sp_first_node_after_Path,15,0,'',False
SP_056,algorithmic,canonical,shortest_path,"Path: 0 -> 1 -> 3 -> 6 -> 7, Cost: 21",1858,Path,True,Path: ,"0 -> 1 -> 3 -> 6 -> 7, Cost: 21",sp_first_node_after_Path,15,0,'',False
SP_057,algorithmic,canonical,shortest_path,"Path: 0 -> 1 -> 2 -> 3 -> 6, Cost: 24",1858,Path,True,Path: ,"0 -> 1 -> 2 -> 3 -> 6, Cost: 24",sp_first_node_after_Path,15,0,'',False
SP_058,algorithmic,canonical,shortest_path,"Path: 0 -> 3 -> 5 -> 7, Cost: 20",1858,Path,True,Path: ,"0 -> 3 -> 5 -> 7, Cost: 20",sp_first_node_after_Path,15,0,'',False
SP_059,algorithmic,canonical,shortest_path,"Path: 0 -> 3 -> 4 -> 6 -> 7 -> 8, Cost: 25",1858,Path,True,Path: ,"0 -> 3 -> 4 -> 6 -> 7 -> 8, Cost: 25",sp_first_node_after_Path,15,0,'',False
SP_060,algorithmic,canonical,shortest_path,"Path: 0 -> 3 -> 4 -> 5 -> 7 -> 8, Cost: 10",1858,Path,True,Path: ,"0 -> 3 -> 4 -> 5 -> 7 -> 8, Cost: 10",sp_first_node_after_Path,15,0,'',False
SP_061,algorithmic,canonical,shortest_path,"Path: 0 -> 1 -> 2 -> 5 -> 7, Cost: 16",1858,Path,True,Path: ,"0 -> 1 -> 2 -> 5 -> 7, Cost: 16",sp_first_node_after_Path,15,0,'',False
SP_062,algorithmic,canonical,shortest_path,"Path: 0 -> 3 -> 4 -> 6, Cost: 12",1858,Path,True,Path: ,"0 -> 3 -> 4 -> 6, Cost: 12",sp_first_node_after_Path,15,0,'',False
SP_063,algorithmic,canonical,shortest_path,"Path: 0 -> 3 -> 4 -> 8, Cost: 12",1858,Path,True,Path: ,"0 -> 3 -> 4 -> 8, Cost: 12",sp_first_node_after_Path,15,0,'',False
SP_064,algorithmic,canonical,shortest_path,"Path: 0 -> 3 -> 4 -> 6, Cost: 12",1858,Path,True,Path: ,"0 -> 3 -> 4 -> 6, Cost: 12",sp_first_node_after_Path,15,0,'',False
SP_065,algorithmic,canonical,shortest_path,"Path: 0 -> 3 -> 4 -> 6, Cost: 12",1858,Path,True,Path: ,"0 -> 3 -> 4 -> 6, Cost: 12",sp_first_node_after_Path,15,0,'',False
SP_066,algorithmic,canonical,shortest_path,"Path: 0 -> 2 -> 3 -> 6, Cost: 5",1858,Path,True,Path: ,"0 -> 2 -> 3 -> 6, Cost: 5",sp_first_node_after_Path,15,0,'',False
SP_068,algorithmic,canonical,shortest_path,"Path: 0 -> 2 -> 3 -> 8, Cost: 5",1858,Path,True,Path: ,"0 -> 2 -> 3 -> 8, Cost: 5",sp_first_node_after_Path,15,0,'',False
SP_069,algorithmic,canonical,shortest_path,"Path: 0 -> 2 -> 3 -> 7, Cost: 5",1858,Path,True,Path: ,"0 -> 2 -> 3 -> 7, Cost: 5",sp_first_node_after_Path,15,0,'',False
SP_070,algorithmic,canonical,shortest_path,"Path: 0 -> 2 -> 1 -> 6, Cost: 3",1858,Path,True,Path: ,"0 -> 2 -> 1 -> 6, Cost: 3",sp_first_node_after_Path,15,0,'',False
SP_071,algorithmic,canonical,shortest_path,"Path: 0 -> 2 -> 1 -> 8, Cost: 3",1858,Path,True,Path: ,"0 -> 2 -> 1 -> 8, Cost: 3",sp_first_node_after_Path,15,0,'',False
SP_072,algorithmic,canonical,shortest_path,"Path: 0 -> 2 -> 1 -> 6, Cost: 3",1858,Path,True,Path: ,"0 -> 2 -> 1 -> 6, Cost: 3",sp_first_node_after_Path,15,0,'',False
SP_073,algorithmic,canonical,shortest_path,"Path: 0 -> 2 -> 1 -> 7, Cost: 3",1858,Path,True,Path: ,"0 -> 2 -> 1 -> 7, Cost: 3",sp_first_node_after_Path,15,0,'',False
WIS_021,algorithmic,canonical,wis,"Selected: {1, 2, 3, 5, 10}, Total: 73",6450,Selected,True,Selected: {,1,wis_first_value,16,1,'',False
WIS_022,algorithmic,canonical,wis,"Selected: {0, 2, 4, 6}, Total: 69",6450,Selected,True,Selected: {,0,wis_first_value,15,0,'',False
WIS_023,algorithmic,canonical,wis,"Selected: {3, 4}, Total: 47",6450,Selected,True,Selected: {,3,wis_first_value,18,3,'',False
WIS_024,algorithmic,canonical,wis,"Selected: {4, 5}, Total: 47",6450,Selected,True,Selected: {,4,wis_first_value,19,4,'',False
WIS_025,algorithmic,canonical,wis,"Selected: {3, 4}, Total: 44",6450,Selected,True,Selected: {,3,wis_first_value,18,3,'',False
WIS_026,algorithmic,canonical,wis,"Selected: {4, 5}, Total: 53",6450,Selected,True,Selected: {,4,wis_first_value,19,4,'',False
WIS_027,algorithmic,canonical,wis,"Selected: {4, 5}, Total: 56",6450,Selected,True,Selected: {,4,wis_first_value,19,4,'',False
WIS_028,algorithmic,canonical,wis,"Selected: {3, 4}, Total: 43",6450,Selected,True,Selected: {,3,wis_first_value,18,3,'',False
WIS_029,algorithmic,canonical,wis,"Selected: {4, 5}, Total: 47",6450,Selected,True,Selected: {,4,wis_first_value,19,4,'',False
WIS_030,algorithmic,canonical,wis,"Selected: {1, 2, 4, 5, 6}, Total: 62",6450,Selected,True,Selected: {,1,wis_first_value,16,1,'',False
WIS_031,algorithmic,canonical,wis,"Selected: {0, 2, 3, 6}, Total: 51",6450,Selected,True,Selected: {,0,wis_first_value,15,0,'',False
WIS_032,algorithmic,canonical,wis,"Selected: {0, 2, 4, 5, 6, 8}, Total: 80",6450,Selected,True,Selected: {,0,wis_first_value,15,0,'',False
BW_001,planning_suite,canonical,bw,pick-up h,30345,pick,False,,pick-up h,full_first_action_is_content,30345,pick,'',True
BW_002,planning_suite,canonical,bw,pick-up k,30345,pick,False,,pick-up k,full_first_action_is_content,30345,pick,'',True
BW_010,planning_suite,canonical,bw,pick-up b,30345,pick,False,,pick-up b,full_first_action_is_content,30345,pick,'',True
BW_011,planning_suite,canonical,bw,pick-up i,30345,pick,False,,pick-up i,full_first_action_is_content,30345,pick,'',True
BW_014,planning_suite,canonical,bw,pick-up e,30345,pick,False,,pick-up e,full_first_action_is_content,30345,pick,'',True
BW_022,planning_suite,canonical,bw,pick-up k,30345,pick,False,,pick-up k,full_first_action_is_content,30345,pick,'',True
BW_080,planning_suite,canonical,bw,pick-up j,30345,pick,False,,pick-up j,full_first_action_is_content,30345,pick,'',True
BW_120,planning_suite,canonical,bw,pick-up g,30345,pick,False,,pick-up g,full_first_action_is_content,30345,pick,'',True
BW_137,planning_suite,canonical,bw,pick-up g,30345,pick,False,,pick-up g,full_first_action_is_content,30345,pick,'',True
BW_155,planning_suite,canonical,bw,pick-up j,30345,pick,False,,pick-up j,full_first_action_is_content,30345,pick,'',True
BW_172,planning_suite,canonical,bw,pick-up f,30345,pick,False,,pick-up f,full_first_action_is_content,30345,pick,'',True
BW_203,planning_suite,canonical,bw,pick-up j,30345,pick,False,,pick-up j,full_first_action_is_content,30345,pick,'',True
BW_227,planning_suite,canonical,bw,pick-up k,30345,pick,False,,pick-up k,full_first_action_is_content,30345,pick,'',True
BW_282,planning_suite,canonical,bw,pick-up i,30345,pick,False,,pick-up i,full_first_action_is_content,30345,pick,'',True
BW_310,planning_suite,canonical,bw,pick-up b,30345,pick,False,,pick-up b,full_first_action_is_content,30345,pick,'',True
BW_331,planning_suite,canonical,bw,pick-up j,30345,pick,False,,pick-up j,full_first_action_is_content,30345,pick,'',True
BW_350,planning_suite,canonical,bw,pick-up l,30345,pick,False,,pick-up l,full_first_action_is_content,30345,pick,'',True
BW_408,planning_suite,canonical,bw,pick-up j,30345,pick,False,,pick-up j,full_first_action_is_content,30345,pick,'',True
BW_467,planning_suite,canonical,bw,pick-up f,30345,pick,False,,pick-up f,full_first_action_is_content,30345,pick,'',True
BW_495,planning_suite,canonical,bw,pick-up e,30345,pick,False,,pick-up e,full_first_action_is_content,30345,pick,'',True
BW_E002,planning_suite,canonical,bw,pick-up a,30345,pick,False,,pick-up a,full_first_action_is_content,30345,pick,'',True
BW_E015,planning_suite,canonical,bw,unstack c b,359,un,False,,unstack c b,full_first_action_is_content,359,un,'',True
BW_E017,planning_suite,canonical,bw,pick-up a,30345,pick,False,,pick-up a,full_first_action_is_content,30345,pick,'',True
