analysis,family,variant,n_items,n_models,observed_crossovers,null_mean,null_sd,null_ci_low,null_ci_high,null_p_ge_obs,verdict,n_null_sims,seed,tau_hi,tau_lo,min_n_variants,leg_noise_quantile,note
rate_threshold_candidates,BW,rate_over_variants,59.0,6.0,17,15.44,14.32,0.0,50.05,0.3836,at_or_below_chance,1000,42,0.6667,0.3333,4.0,0.95,"Null = Bin(n, P)/n with P=additive LPM(item+model) on observed rates; same TAU and exact Bernoulli pooled-p leg filter (diff > q0.95 under equal-p). Family-native IDs only (ALGO: CC/SP/WIS; BW: BW/MBW; GSM: GSM). at_or_below_chance => single latent dimension + sampling noise suffices (consistent with one-factor EFA / O10 model-dominant VC). GSM rate-reliable ABOVE chance is the exception — candidate behavioral double-dissociation evidence on GSM only."
rate_reliable_crossovers,BW,rate_over_variants,59.0,6.0,3,4.14,5.08,0.0,18.02,0.4965,at_or_below_chance,1000,42,0.6667,0.3333,4.0,0.95,"Null = Bin(n, P)/n with P=additive LPM(item+model) on observed rates; same TAU and exact Bernoulli pooled-p leg filter (diff > q0.95 under equal-p). Family-native IDs only (ALGO: CC/SP/WIS; BW: BW/MBW; GSM: GSM). at_or_below_chance => single latent dimension + sampling noise suffices (consistent with one-factor EFA / O10 model-dominant VC). GSM rate-reliable ABOVE chance is the exception — candidate behavioral double-dissociation evidence on GSM only."
binary_cell_crossovers,BW,W1,58.0,6.0,382,554.21,151.48,286.95,876.5,0.8731,at_or_below_chance,1000,42,,,,,Additive LPM item+model; Y~Bern(P); no interaction.
binary_cell_crossovers,BW,W2,59.0,6.0,358,720.14,164.11,423.95,1056.25,0.996,at_or_below_chance,1000,42,,,,,Additive LPM item+model; Y~Bern(P); no interaction.
binary_cell_crossovers,BW,W3,60.0,6.0,325,692.65,146.04,425.93,981.0,0.995,at_or_below_chance,1000,42,,,,,Additive LPM item+model; Y~Bern(P); no interaction.
binary_cell_crossovers,BW,W4,59.0,6.0,107,374.29,102.13,185.0,579.15,1.0,at_or_below_chance,1000,42,,,,,Additive LPM item+model; Y~Bern(P); no interaction.
binary_cell_crossovers,BW,W5,55.0,6.0,355,560.25,131.6,320.85,820.02,0.9471,at_or_below_chance,1000,42,,,,,Additive LPM item+model; Y~Bern(P); no interaction.
binary_cell_crossovers,BW,W6,52.0,6.0,352,491.35,124.99,266.0,760.05,0.8661,at_or_below_chance,1000,42,,,,,Additive LPM item+model; Y~Bern(P); no interaction.
binary_cell_crossovers,BW,canonical,48.0,6.0,185,400.32,109.01,209.88,622.15,0.99,at_or_below_chance,1000,42,,,,,Additive LPM item+model; Y~Bern(P); no interaction.
binary_cell_crossovers,BW,ALL_VARIANTS_SUM,,,2064,3793.21,350.42,3117.0,4490.0,1.0,at_or_below_chance,1000,42,,,,,Sum of per-variant crossover counts; null sums paired sims.
rate_threshold_candidates,GSM,rate_over_variants,44.0,5.0,47,11.18,9.41,0.0,36.0,0.008,above_chance,1000,42,0.6667,0.3333,4.0,0.95,"Null = Bin(n, P)/n with P=additive LPM(item+model) on observed rates; same TAU and exact Bernoulli pooled-p leg filter (diff > q0.95 under equal-p). Family-native IDs only (ALGO: CC/SP/WIS; BW: BW/MBW; GSM: GSM). at_or_below_chance => single latent dimension + sampling noise suffices (consistent with one-factor EFA / O10 model-dominant VC). GSM rate-reliable ABOVE chance is the exception — candidate behavioral double-dissociation evidence on GSM only."
rate_reliable_crossovers,GSM,rate_over_variants,44.0,5.0,20,0.57,1.1,0.0,4.0,0.001,above_chance,1000,42,0.6667,0.3333,4.0,0.95,"Null = Bin(n, P)/n with P=additive LPM(item+model) on observed rates; same TAU and exact Bernoulli pooled-p leg filter (diff > q0.95 under equal-p). Family-native IDs only (ALGO: CC/SP/WIS; BW: BW/MBW; GSM: GSM). at_or_below_chance => single latent dimension + sampling noise suffices (consistent with one-factor EFA / O10 model-dominant VC). GSM rate-reliable ABOVE chance is the exception — candidate behavioral double-dissociation evidence on GSM only."
binary_cell_crossovers,GSM,W1,20.0,5.0,65,41.32,16.91,11.98,76.0,0.0979,at_or_below_chance,1000,42,,,,,Additive LPM item+model; Y~Bern(P); no interaction.
binary_cell_crossovers,GSM,W2,20.0,5.0,26,49.45,23.45,13.0,104.0,0.8531,at_or_below_chance,1000,42,,,,,Additive LPM item+model; Y~Bern(P); no interaction.
binary_cell_crossovers,GSM,W3,20.0,5.0,72,44.81,24.21,7.0,99.0,0.1489,at_or_below_chance,1000,42,,,,,Additive LPM item+model; Y~Bern(P); no interaction.
binary_cell_crossovers,GSM,W4,20.0,5.0,52,50.93,24.2,13.0,107.02,0.4575,at_or_below_chance,1000,42,,,,,Additive LPM item+model; Y~Bern(P); no interaction.
binary_cell_crossovers,GSM,W5,20.0,5.0,104,60.98,25.95,14.98,116.0,0.0689,at_or_below_chance,1000,42,,,,,Additive LPM item+model; Y~Bern(P); no interaction.
binary_cell_crossovers,GSM,W6,24.0,3.0,12,12.31,8.19,0.0,31.02,0.5005,at_or_below_chance,1000,42,,,,,Additive LPM item+model; Y~Bern(P); no interaction.
binary_cell_crossovers,GSM,canonical,20.0,5.0,22,20.24,11.21,3.0,44.0,0.4246,at_or_below_chance,1000,42,,,,,Additive LPM item+model; Y~Bern(P); no interaction.
binary_cell_crossovers,GSM,ALL_VARIANTS_SUM,,,353,280.04,51.25,182.9,382.05,0.0879,at_or_below_chance,1000,42,,,,,Sum of per-variant crossover counts; null sums paired sims.
