bank,problem_id,variant,problem_family,problem_subtype,char_len_canonical,char_len_variant,char_similarity,n_tokens_canonical,n_tokens_variant,token_jaccard,text_identical_to_canonical,answer_identical_to_canonical,answer_expected,near_duplicate_vs_canonical,near_duplicate_w6_peer,near_dup_jaccard_floor,transform_status
ALGO,CC_08,W1,coin change,coin_change,385,295,0.4765,65,48,0.3611,False,True,identical,False,,0.85,transformed
ALGO,CC_08,W2,coin change,coin_change,385,628,0.306,65,97,0.3258,False,True,identical,False,,0.85,transformed
ALGO,CC_08,W3,coin change,coin_change,385,461,0.2199,65,85,0.2903,False,False,identical,False,,0.85,answer_mismatch
ALGO,CC_08,W4,coin change,coin_change,385,506,0.2626,65,72,0.1531,False,True,identical,False,,0.85,transformed
ALGO,CC_09,W1,coin change,coin_change,392,287,0.5066,66,48,0.375,False,True,identical,False,,0.85,transformed
ALGO,CC_09,W2,coin change,coin_change,392,635,0.3155,66,98,0.3333,False,True,identical,False,,0.85,transformed
ALGO,CC_09,W3,coin change,coin_change,392,470,0.2181,66,87,0.2842,False,False,identical,False,,0.85,answer_mismatch
ALGO,CC_09,W4,coin change,coin_change,392,515,0.2734,66,73,0.1616,False,True,identical,False,,0.85,transformed
ALGO,CC_10,W1,coin change,coin_change,397,297,0.4726,67,47,0.4348,False,True,identical,False,,0.85,transformed
ALGO,CC_10,W2,coin change,coin_change,397,640,0.3221,67,99,0.3407,False,True,identical,False,,0.85,transformed
ALGO,CC_10,W3,coin change,coin_change,397,477,0.2151,67,89,0.2784,False,False,identical,False,,0.85,answer_mismatch
ALGO,CC_10,W4,coin change,coin_change,397,520,0.2814,67,74,0.17,False,True,identical,False,,0.85,transformed
ALGO,SP_001,W1,algorithmic,shortest_path,1191,1405,0.0971,263,287,0.4748,False,True,identical,False,,0.85,transformed
ALGO,SP_001,W2,algorithmic,shortest_path,1191,923,0.5156,263,245,0.3874,False,True,identical,False,,0.85,transformed
ALGO,SP_001,W3,algorithmic,shortest_path,1191,1128,0.0707,263,258,0.2349,False,False,identical,False,,0.85,answer_mismatch
ALGO,SP_001,W4,algorithmic,shortest_path,1191,767,0.049,263,143,0.1209,False,True,identical,False,,0.85,transformed
ALGO,SP_002,W1,algorithmic,shortest_path,2289,2339,0.0445,532,490,0.6099,False,True,identical,False,,0.85,transformed
ALGO,SP_002,W2,algorithmic,shortest_path,2289,1979,0.5698,532,546,0.3209,False,True,identical,False,,0.85,transformed
ALGO,SP_002,W3,algorithmic,shortest_path,2289,1048,0.0689,532,137,0.1592,False,False,identical,False,,0.85,answer_mismatch
ALGO,SP_002,W4,algorithmic,shortest_path,2289,1056,0.0317,532,168,0.0961,False,True,identical,False,,0.85,transformed
ALGO,SP_003,W1,algorithmic,shortest_path,3326,3684,0.1193,742,783,0.5375,False,True,identical,False,,0.85,transformed
ALGO,SP_003,W2,algorithmic,shortest_path,3326,2920,0.7067,742,786,0.4161,False,True,identical,False,,0.85,transformed
ALGO,SP_003,W3,algorithmic,shortest_path,3326,1417,0.0599,742,185,0.1373,False,False,identical,False,,0.85,answer_mismatch
ALGO,SP_003,W4,algorithmic,shortest_path,3326,1364,0.0303,742,200,0.0885,False,True,identical,False,,0.85,transformed
ALGO,SP_004,W1,algorithmic,shortest_path,1430,1462,0.2593,296,288,0.5085,False,True,identical,False,,0.85,transformed
ALGO,SP_004,W2,algorithmic,shortest_path,1430,1038,0.1143,296,237,0.2988,False,True,identical,False,,0.85,transformed
ALGO,SP_004,W3,algorithmic,shortest_path,1430,1376,0.1397,296,234,0.2624,False,False,identical,False,,0.85,answer_mismatch
ALGO,SP_004,W4,algorithmic,shortest_path,1430,838,0.0732,296,181,0.156,False,True,identical,False,,0.85,transformed
ALGO,SP_005,W1,algorithmic,shortest_path,1754,1995,0.184,395,392,0.3053,False,True,identical,False,,0.85,transformed
ALGO,SP_005,W2,algorithmic,shortest_path,1754,1679,0.081,395,384,0.1629,False,True,identical,False,,0.85,transformed
ALGO,SP_005,W3,algorithmic,shortest_path,1754,1389,0.0802,395,188,0.1239,False,False,identical,False,,0.85,answer_mismatch
ALGO,SP_005,W4,algorithmic,shortest_path,1754,857,0.0383,395,152,0.086,False,True,identical,False,,0.85,transformed
ALGO,WIS_001,W1,algorithmic,wis,691,791,0.5007,134,142,0.5969,False,True,identical,False,,0.85,transformed
ALGO,WIS_001,W2,algorithmic,wis,691,682,0.1092,134,183,0.328,False,True,identical,False,,0.85,transformed
ALGO,WIS_001,W3,algorithmic,wis,691,608,0.1016,134,108,0.2653,False,False,identical,False,,0.85,answer_mismatch
ALGO,WIS_001,W4,algorithmic,wis,691,463,0.078,134,101,0.0702,False,True,identical,False,,0.85,transformed
ALGO,WIS_002,W1,algorithmic,wis,851,792,0.2678,146,150,0.5899,False,True,identical,False,,0.85,transformed
ALGO,WIS_002,W2,algorithmic,wis,851,802,0.173,146,203,0.3015,False,True,identical,False,,0.85,transformed
ALGO,WIS_002,W3,algorithmic,wis,851,872,0.108,146,140,0.2632,False,False,identical,False,,0.85,answer_mismatch
ALGO,WIS_002,W4,algorithmic,wis,851,503,0.062,146,107,0.0585,False,True,identical,False,,0.85,transformed
ALGO,WIS_003,W1,algorithmic,wis,886,930,0.1718,155,165,0.5793,False,True,identical,False,,0.85,transformed
ALGO,WIS_003,W2,algorithmic,wis,886,858,0.0436,155,250,0.2535,False,True,identical,False,,0.85,transformed
ALGO,WIS_003,W3,algorithmic,wis,886,1087,0.0831,155,180,0.2766,False,False,identical,False,,0.85,answer_mismatch
ALGO,WIS_003,W4,algorithmic,wis,886,587,0.0353,155,119,0.0594,False,True,identical,False,,0.85,transformed
ALGO,WIS_004,W1,algorithmic,wis,878,882,0.4693,160,163,0.6643,False,True,identical,False,,0.85,transformed
ALGO,WIS_004,W2,algorithmic,wis,878,988,0.1125,160,302,0.2365,False,True,identical,False,,0.85,transformed
ALGO,WIS_004,W3,algorithmic,wis,878,1204,0.0615,160,180,0.2396,False,False,identical,False,,0.85,answer_mismatch
ALGO,WIS_004,W4,algorithmic,wis,878,673,0.0516,160,131,0.0558,False,True,identical,False,,0.85,transformed
ALGO,WIS_005,W1,algorithmic,wis,1262,1437,0.0667,213,218,0.7065,False,True,identical,False,,0.85,transformed
ALGO,WIS_005,W2,algorithmic,wis,1262,1256,0.1009,213,392,0.227,False,True,identical,False,,0.85,transformed
ALGO,WIS_005,W3,algorithmic,wis,1262,1581,0.045,213,248,0.2311,False,False,identical,False,,0.85,answer_mismatch
ALGO,WIS_005,W4,algorithmic,wis,1262,829,0.023,213,150,0.0324,False,True,identical,False,,0.85,transformed
ALGO,CC_031,W1,algorithmic,coin_change,378,367,0.4403,64,59,0.4306,False,True,identical,False,,0.85,transformed
ALGO,CC_031,W2,algorithmic,coin_change,378,67,0.0809,64,16,0.0645,False,True,identical,False,,0.85,transformed
ALGO,CC_031,W3,algorithmic,coin_change,378,425,0.3935,64,73,0.7258,False,True,identical,False,,0.85,transformed
ALGO,CC_031,W4,algorithmic,coin_change,378,369,0.0535,64,63,0.1209,False,True,identical,False,,0.85,transformed
ALGO,CC_031,W6,algorithmic,coin_change,378,380,0.9763,64,64,0.8545,False,False,different,True,CC_033,0.85,near_duplicate
ALGO,CC_032,W1,algorithmic,coin_change,382,351,0.0737,65,57,0.4521,False,True,identical,False,,0.85,transformed
ALGO,CC_032,W2,algorithmic,coin_change,382,71,0.0971,65,17,0.0794,False,True,identical,False,,0.85,transformed
ALGO,CC_032,W3,algorithmic,coin_change,382,452,0.5516,65,78,0.7344,False,True,identical,False,,0.85,transformed
ALGO,CC_032,W4,algorithmic,coin_change,382,373,0.0636,65,64,0.1304,False,True,identical,False,,0.85,transformed
ALGO,CC_032,W6,algorithmic,coin_change,382,383,0.8758,65,65,0.8571,False,False,different,True,CC_042,0.85,near_duplicate
ALGO,CC_033,W1,algorithmic,coin_change,379,374,0.3798,64,60,0.4054,False,True,identical,False,,0.85,transformed
ALGO,CC_033,W2,algorithmic,coin_change,379,68,0.085,64,16,0.0645,False,True,identical,False,,0.85,transformed
ALGO,CC_033,W3,algorithmic,coin_change,379,449,0.3937,64,77,0.7302,False,True,identical,False,,0.85,transformed
ALGO,CC_033,W4,algorithmic,coin_change,379,372,0.008,64,63,0.1209,False,True,identical,False,,0.85,transformed
ALGO,CC_033,W6,algorithmic,coin_change,379,379,0.8786,64,64,0.8545,False,False,different,True,CC_031,0.85,near_duplicate
ALGO,CC_034,W1,algorithmic,coin_change,382,349,0.394,64,56,0.4638,False,True,identical,False,,0.85,transformed
ALGO,CC_034,W2,algorithmic,coin_change,382,71,0.0971,64,16,0.0645,False,True,identical,False,,0.85,transformed
ALGO,CC_034,W3,algorithmic,coin_change,382,424,0.2655,64,72,0.7377,False,True,identical,False,,0.85,transformed
ALGO,CC_034,W4,algorithmic,coin_change,382,375,0.0079,64,63,0.1209,False,True,identical,False,,0.85,transformed
ALGO,CC_034,W6,algorithmic,coin_change,382,381,0.8729,64,64,0.8545,False,False,different,True,CC_031,0.85,near_duplicate
ALGO,CC_035,W1,algorithmic,coin_change,378,379,0.4571,64,62,0.4658,False,True,identical,False,,0.85,transformed
ALGO,CC_035,W2,algorithmic,coin_change,378,67,0.0809,64,16,0.0645,False,True,identical,False,,0.85,transformed
ALGO,CC_035,W3,algorithmic,coin_change,378,416,0.5693,64,72,0.7667,False,True,identical,False,,0.85,transformed
ALGO,CC_035,W4,algorithmic,coin_change,378,369,0.0535,64,63,0.1209,False,True,identical,False,,0.85,transformed
ALGO,CC_035,W6,algorithmic,coin_change,378,380,0.9815,64,64,0.8545,False,False,different,True,CC_031,0.85,near_duplicate
ALGO,CC_036,W1,algorithmic,coin_change,379,369,0.4439,64,58,0.411,False,True,identical,False,,0.85,transformed
ALGO,CC_036,W2,algorithmic,coin_change,379,68,0.085,64,16,0.0645,False,True,identical,False,,0.85,transformed
ALGO,CC_036,W3,algorithmic,coin_change,379,425,0.393,64,73,0.7258,False,True,identical,False,,0.85,transformed
ALGO,CC_036,W4,algorithmic,coin_change,379,372,0.0559,64,63,0.1209,False,True,identical,False,,0.85,transformed
ALGO,CC_036,W6,algorithmic,coin_change,379,380,0.9829,64,64,0.8545,False,False,different,True,CC_031,0.85,near_duplicate
ALGO,CC_037,W1,algorithmic,coin_change,381,330,0.4726,64,52,0.4848,False,True,identical,False,,0.85,transformed
ALGO,CC_037,W2,algorithmic,coin_change,381,70,0.0931,64,16,0.0645,False,True,identical,False,,0.85,transformed
ALGO,CC_037,W3,algorithmic,coin_change,381,428,0.398,64,73,0.7258,False,True,identical,False,,0.85,transformed
ALGO,CC_037,W4,algorithmic,coin_change,381,372,0.0611,64,63,0.1209,False,True,identical,False,,0.85,transformed
ALGO,CC_037,W6,algorithmic,coin_change,381,384,0.9699,64,64,0.8545,False,False,different,True,CC_031,0.85,near_duplicate
ALGO,CC_038,W1,algorithmic,coin_change,381,350,0.0711,64,56,0.4444,False,True,identical,False,,0.85,transformed
ALGO,CC_038,W2,algorithmic,coin_change,381,70,0.0931,64,16,0.0645,False,True,identical,False,,0.85,transformed
ALGO,CC_038,W3,algorithmic,coin_change,381,432,0.4084,64,74,0.7377,False,True,identical,False,,0.85,transformed
ALGO,CC_038,W4,algorithmic,coin_change,381,372,0.0611,64,63,0.1209,False,True,identical,False,,0.85,transformed
ALGO,CC_038,W6,algorithmic,coin_change,381,380,0.883,64,64,0.8889,False,False,different,True,CC_031,0.85,near_duplicate
ALGO,CC_039,W1,algorithmic,coin_change,381,357,0.4472,64,57,0.4571,False,True,identical,False,,0.85,transformed
ALGO,CC_039,W2,algorithmic,coin_change,381,70,0.0931,64,16,0.0645,False,True,identical,False,,0.85,transformed
ALGO,CC_039,W3,algorithmic,coin_change,381,440,0.5579,64,75,0.7302,False,True,identical,False,,0.85,transformed
ALGO,CC_039,W4,algorithmic,coin_change,381,374,0.0609,64,63,0.1209,False,True,identical,False,,0.85,transformed
ALGO,CC_039,W6,algorithmic,coin_change,381,381,0.9816,64,64,0.8889,False,False,different,True,CC_031,0.85,near_duplicate
ALGO,CC_040,W1,algorithmic,coin_change,380,347,0.4512,64,56,0.4638,False,True,identical,False,,0.85,transformed
ALGO,CC_040,W2,algorithmic,coin_change,380,69,0.0891,64,16,0.0645,False,True,identical,False,,0.85,transformed
ALGO,CC_040,W3,algorithmic,coin_change,380,418,0.5714,64,72,0.7667,False,True,identical,False,,0.85,transformed
ALGO,CC_040,W4,algorithmic,coin_change,380,371,0.0586,64,63,0.1209,False,True,identical,False,,0.85,transformed
ALGO,CC_040,W6,algorithmic,coin_change,380,380,0.8763,64,64,0.8545,False,False,different,True,CC_031,0.85,near_duplicate
ALGO,CC_041,W1,algorithmic,coin_change,381,367,0.4572,64,56,0.3784,False,True,identical,False,,0.85,transformed
ALGO,CC_041,W2,algorithmic,coin_change,381,70,0.0931,64,16,0.0645,False,True,identical,False,,0.85,transformed
ALGO,CC_041,W3,algorithmic,coin_change,381,440,0.4019,64,75,0.7302,False,True,identical,False,,0.85,transformed
ALGO,CC_041,W4,algorithmic,coin_change,381,374,0.045,64,63,0.1209,False,True,identical,False,,0.85,transformed
ALGO,CC_041,W6,algorithmic,coin_change,381,380,0.9724,64,64,0.8545,False,False,different,True,CC_031,0.85,near_duplicate
ALGO,CC_042,W1,algorithmic,coin_change,376,378,0.443,63,58,0.4167,False,True,identical,False,,0.85,transformed
ALGO,CC_042,W2,algorithmic,coin_change,376,65,0.0816,63,15,0.0492,False,True,identical,False,,0.85,transformed
ALGO,CC_042,W3,algorithmic,coin_change,376,414,0.5671,63,71,0.7627,False,True,identical,False,,0.85,transformed
ALGO,CC_042,W4,algorithmic,coin_change,376,367,0.2073,63,62,0.1111,False,True,identical,False,,0.85,transformed
ALGO,CC_042,W6,algorithmic,coin_change,376,377,0.8898,63,63,0.8868,False,False,different,True,CC_031,0.85,near_duplicate
ALGO,CC_043,W1,algorithmic,coin_change,380,374,0.435,64,60,0.4054,False,True,identical,False,,0.85,transformed
ALGO,CC_043,W2,algorithmic,coin_change,380,69,0.0891,64,16,0.0645,False,True,identical,False,,0.85,transformed
ALGO,CC_043,W3,algorithmic,coin_change,380,426,0.3945,64,73,0.7258,False,True,identical,False,,0.85,transformed
ALGO,CC_043,W4,algorithmic,coin_change,380,373,0.0584,64,63,0.1209,False,True,identical,False,,0.85,transformed
ALGO,CC_043,W6,algorithmic,coin_change,380,379,0.975,64,64,0.8545,False,False,different,True,CC_031,0.85,near_duplicate
ALGO,CC_044,W1,algorithmic,coin_change,376,345,0.0583,63,55,0.4366,False,True,identical,False,,0.85,transformed
ALGO,CC_044,W2,algorithmic,coin_change,376,65,0.0816,63,15,0.0492,False,True,identical,False,,0.85,transformed
ALGO,CC_044,W3,algorithmic,coin_change,376,446,0.545,63,76,0.7258,False,True,identical,False,,0.85,transformed
ALGO,CC_044,W4,algorithmic,coin_change,376,367,0.2073,63,62,0.1111,False,True,identical,False,,0.85,transformed
ALGO,CC_044,W6,algorithmic,coin_change,376,376,0.8856,63,63,0.8868,False,False,different,True,CC_031,0.85,near_duplicate
ALGO,CC_045,W1,algorithmic,coin_change,376,376,0.4309,63,59,0.3973,False,True,identical,False,,0.85,transformed
ALGO,CC_045,W2,algorithmic,coin_change,376,65,0.0816,63,15,0.0492,False,True,identical,False,,0.85,transformed
ALGO,CC_045,W3,algorithmic,coin_change,376,446,0.545,63,76,0.7258,False,True,identical,False,,0.85,transformed
ALGO,CC_045,W4,algorithmic,coin_change,376,367,0.2073,63,62,0.1111,False,True,identical,False,,0.85,transformed
ALGO,CC_045,W6,algorithmic,coin_change,376,376,0.8883,63,63,0.8868,False,False,different,True,CC_031,0.85,near_duplicate
ALGO,SP_019,W1,algorithmic,shortest_path,501,703,0.1611,130,152,0.6,False,True,identical,False,,0.85,transformed
ALGO,SP_019,W2,algorithmic,shortest_path,501,236,0.0163,130,50,0.0235,False,True,identical,False,,0.85,transformed
ALGO,SP_019,W3,algorithmic,shortest_path,501,651,0.375,130,130,0.6892,False,False,identical,False,,0.85,answer_mismatch
ALGO,SP_019,W4,algorithmic,shortest_path,501,235,0.0924,130,45,0.1111,False,True,identical,False,,0.85,transformed
ALGO,SP_019,W5,algorithmic,shortest_path,501,501,0.485,130,130,0.9677,False,False,different,False,,0.85,transformed
ALGO,SP_019,W6,algorithmic,shortest_path,501,325,0.1477,130,91,0.4286,False,False,different,False,SP_023,0.85,near_duplicate
ALGO,SP_020,W1,algorithmic,shortest_path,455,616,0.1811,116,137,0.525,False,True,identical,False,,0.85,transformed
ALGO,SP_020,W2,algorithmic,shortest_path,455,198,0.0184,116,42,0.0253,False,True,identical,False,,0.85,transformed
ALGO,SP_020,W3,algorithmic,shortest_path,455,556,0.4253,116,116,0.7246,False,False,identical,False,,0.85,answer_mismatch
ALGO,SP_020,W4,algorithmic,shortest_path,455,215,0.1015,116,43,0.1176,False,True,identical,False,,0.85,transformed
ALGO,SP_020,W5,algorithmic,shortest_path,455,455,0.5077,116,116,0.9661,False,False,different,False,,0.85,transformed
ALGO,SP_020,W6,algorithmic,shortest_path,455,295,0.1627,116,81,0.4324,False,False,different,False,SP_023,0.85,near_duplicate
ALGO,SP_021,W1,algorithmic,shortest_path,591,797,0.0807,158,189,0.5275,False,True,identical,False,,0.85,transformed
ALGO,SP_021,W2,algorithmic,shortest_path,591,310,0.0089,158,66,0.0215,False,True,identical,False,,0.85,transformed
ALGO,SP_021,W3,algorithmic,shortest_path,591,812,0.3065,158,158,0.6296,False,False,identical,False,,0.85,answer_mismatch
ALGO,SP_021,W4,algorithmic,shortest_path,591,273,0.0787,158,49,0.1031,False,True,identical,False,,0.85,transformed
ALGO,SP_021,W5,algorithmic,shortest_path,591,591,0.555,158,158,0.9692,False,False,different,False,,0.85,transformed
ALGO,SP_021,W6,algorithmic,shortest_path,591,374,0.1264,158,111,0.4756,False,False,different,False,SP_026,0.85,near_duplicate
ALGO,SP_023,W1,algorithmic,shortest_path,475,571,0.1491,123,135,0.5063,False,True,identical,False,,0.85,transformed
ALGO,SP_023,W2,algorithmic,shortest_path,475,214,0.0116,123,46,0.0256,False,True,identical,False,,0.85,transformed
ALGO,SP_023,W3,algorithmic,shortest_path,475,564,0.5525,123,123,0.7206,False,False,identical,False,,0.85,answer_mismatch
ALGO,SP_023,W4,algorithmic,shortest_path,475,222,0.0976,123,44,0.1176,False,True,identical,False,,0.85,transformed
ALGO,SP_023,W5,algorithmic,shortest_path,475,475,0.6653,123,123,0.9655,False,False,different,False,,0.85,transformed
ALGO,SP_023,W6,algorithmic,shortest_path,475,310,0.1554,123,86,0.4211,False,False,different,False,SP_019,0.85,near_duplicate
ALGO,SP_024,W1,algorithmic,shortest_path,566,782,0.0742,151,174,0.5,False,True,identical,False,,0.85,transformed
ALGO,SP_024,W2,algorithmic,shortest_path,566,289,0.0094,151,62,0.0227,False,True,identical,False,,0.85,transformed
ALGO,SP_024,W3,algorithmic,shortest_path,566,752,0.3263,151,151,0.6711,False,False,identical,False,,0.85,answer_mismatch
ALGO,SP_024,W4,algorithmic,shortest_path,566,261,0.0822,151,48,0.1075,False,True,identical,False,,0.85,transformed
ALGO,SP_024,W5,algorithmic,shortest_path,566,566,0.6078,151,151,0.9677,False,False,different,False,,0.85,transformed
ALGO,SP_024,W6,algorithmic,shortest_path,566,355,0.1325,151,106,0.48,False,False,different,False,SP_020,0.85,near_duplicate
ALGO,SP_026,W1,algorithmic,shortest_path,609,745,0.1581,165,184,0.5732,False,True,identical,False,,0.85,transformed
ALGO,SP_026,W2,algorithmic,shortest_path,609,324,0.0279,165,70,0.022,False,True,identical,False,,0.85,transformed
ALGO,SP_026,W3,algorithmic,shortest_path,609,777,0.3521,165,165,0.6456,False,False,identical,False,,0.85,answer_mismatch
ALGO,SP_026,W4,algorithmic,shortest_path,609,278,0.097,165,50,0.1042,False,True,identical,False,,0.85,transformed
ALGO,SP_026,W5,algorithmic,shortest_path,609,609,0.6535,165,165,0.9683,False,False,different,False,,0.85,transformed
ALGO,SP_026,W6,algorithmic,shortest_path,609,386,0.2573,165,116,0.4568,False,False,different,False,SP_021,0.85,near_duplicate
ALGO,SP_027,W1,algorithmic,shortest_path,496,594,0.1431,130,140,0.5769,False,True,identical,False,,0.85,transformed
ALGO,SP_027,W2,algorithmic,shortest_path,496,231,0.0165,130,50,0.0241,False,True,identical,False,,0.85,transformed
ALGO,SP_027,W3,algorithmic,shortest_path,496,610,0.4665,130,130,0.7083,False,False,identical,False,,0.85,answer_mismatch
ALGO,SP_027,W4,algorithmic,shortest_path,496,230,0.0964,130,45,0.1136,False,True,identical,False,,0.85,transformed
ALGO,SP_027,W5,algorithmic,shortest_path,496,496,0.7137,130,130,0.9667,False,False,different,False,,0.85,transformed
ALGO,SP_027,W6,algorithmic,shortest_path,496,321,0.1493,130,91,0.4211,False,False,different,False,SP_019,0.85,near_duplicate
ALGO,SP_028,W1,algorithmic,shortest_path,542,741,0.1138,144,172,0.5465,False,True,identical,False,,0.85,transformed
ALGO,SP_028,W2,algorithmic,shortest_path,542,269,0.0148,144,58,0.0227,False,True,identical,False,,0.85,transformed
ALGO,SP_028,W3,algorithmic,shortest_path,542,669,0.4509,144,144,0.6711,False,False,identical,False,,0.85,answer_mismatch
ALGO,SP_028,W4,algorithmic,shortest_path,542,250,0.0884,144,47,0.1087,False,True,identical,False,,0.85,transformed
ALGO,SP_028,W5,algorithmic,shortest_path,542,542,0.6919,144,144,0.9677,False,False,different,False,,0.85,transformed
ALGO,SP_028,W6,algorithmic,shortest_path,542,347,0.1372,144,101,0.4487,False,False,different,False,SP_020,0.85,near_duplicate
ALGO,SP_029,W1,algorithmic,shortest_path,542,675,0.1265,144,164,0.6154,False,True,identical,False,,0.85,transformed
ALGO,SP_029,W2,algorithmic,shortest_path,542,269,0.0148,144,58,0.0227,False,True,identical,False,,0.85,transformed
ALGO,SP_029,W3,algorithmic,shortest_path,542,675,0.3895,144,144,0.6711,False,False,identical,False,,0.85,answer_mismatch
ALGO,SP_029,W4,algorithmic,shortest_path,542,250,0.0884,144,47,0.1087,False,True,identical,False,,0.85,transformed
ALGO,SP_029,W5,algorithmic,shortest_path,542,542,0.6642,144,144,0.9677,False,False,different,False,,0.85,transformed
ALGO,SP_029,W6,algorithmic,shortest_path,542,349,0.1369,144,101,0.4359,False,False,different,False,SP_023,0.85,near_duplicate
ALGO,SP_030,W1,algorithmic,shortest_path,542,597,0.014,144,132,0.2418,False,True,identical,False,,0.85,transformed
ALGO,SP_030,W2,algorithmic,shortest_path,542,269,0.0148,144,58,0.0225,False,True,identical,False,,0.85,transformed
ALGO,SP_030,W3,algorithmic,shortest_path,542,701,0.3443,144,144,0.6842,False,False,identical,False,,0.85,answer_mismatch
ALGO,SP_030,W4,algorithmic,shortest_path,542,250,0.0884,144,47,0.1087,False,True,identical,False,,0.85,transformed
ALGO,SP_030,W5,algorithmic,shortest_path,542,542,0.655,144,144,0.9677,False,False,different,False,,0.85,transformed
ALGO,SP_030,W6,algorithmic,shortest_path,542,349,0.1369,144,101,0.4177,False,False,different,False,SP_020,0.85,near_duplicate
ALGO,SP_031,W1,algorithmic,shortest_path,456,662,0.1306,116,147,0.4694,False,True,identical,False,,0.85,transformed
ALGO,SP_031,W2,algorithmic,shortest_path,456,199,0.0244,116,42,0.0222,False,True,identical,False,,0.85,transformed
ALGO,SP_031,W3,algorithmic,shortest_path,456,562,0.6582,116,116,0.6538,False,False,identical,False,,0.85,answer_mismatch
ALGO,SP_031,W4,algorithmic,shortest_path,456,216,0.1071,116,43,0.1099,False,True,identical,False,,0.85,transformed
ALGO,SP_031,W5,algorithmic,shortest_path,456,456,0.5263,116,116,0.9231,False,False,different,False,,0.85,transformed
ALGO,SP_031,W6,algorithmic,shortest_path,456,297,0.162,116,81,0.4074,False,False,different,False,SP_024,0.85,near_duplicate
ALGO,SP_032,W1,algorithmic,shortest_path,432,585,0.4425,109,127,0.5357,False,True,identical,False,,0.85,transformed
ALGO,SP_032,W2,algorithmic,shortest_path,432,179,0.1178,109,38,0.023,False,True,identical,False,,0.85,transformed
ALGO,SP_032,W3,algorithmic,shortest_path,432,534,0.5631,109,109,0.68,False,False,identical,False,,0.85,answer_mismatch
