family,outcome,design,variants_included,component,variance,ci_low,ci_high,proportion,n_items,n_variants,n_models,n_obs,n_boot,estimator,model_formula,note,logistic_note,is_primary
ALGO,binary_accuracy,max_cells,W1|W2|W3|W4|W5|W6|canonical,item,0.005131,0.000497,0.010444,0.0182,29,7,3,609,500,balanced_anova_moments_item_bootstrap,y ~ (1|item)+(1|variant)+(1|model)+(1|item:model)+(1|variant:model)+(1|item:variant),Gaussian/LPM on binary for G-theory; residual absorbs item:variant:model,logistic_full_crossed_deferred; primary_estimator=anova_moments_on_binary_LPM; crossed logistic MixedLM often unidentified with n=1 per cell,True
ALGO,binary_accuracy,full_7_variants,W1|W2|W3|W4|W5|W6|canonical,variant_model,0.034973,0.02984,0.056886,0.1321,14,7,4,392,500,balanced_anova_moments_item_bootstrap,y ~ (1|item)+(1|variant)+(1|model)+(1|item:model)+(1|variant:model)+(1|item:variant),Gaussian/LPM on binary for G-theory; residual absorbs item:variant:model,logistic_full_crossed_deferred; primary_estimator=anova_moments_on_binary_LPM; crossed logistic MixedLM often unidentified with n=1 per cell,False
ALGO,binary_accuracy,full_7_variants,W1|W2|W3|W4|W5|W6|canonical,item_variant,0.008416,0.0,0.022551,0.0318,14,7,4,392,500,balanced_anova_moments_item_bootstrap,y ~ (1|item)+(1|variant)+(1|model)+(1|item:model)+(1|variant:model)+(1|item:variant),Gaussian/LPM on binary for G-theory; residual absorbs item:variant:model,logistic_full_crossed_deferred; primary_estimator=anova_moments_on_binary_LPM; crossed logistic MixedLM often unidentified with n=1 per cell,False
ALGO,binary_accuracy,full_7_variants,W1|W2|W3|W4|W5|W6|canonical,residual,0.093428,0.064561,0.113653,0.353,14,7,4,392,500,balanced_anova_moments_item_bootstrap,y ~ (1|item)+(1|variant)+(1|model)+(1|item:model)+(1|variant:model)+(1|item:variant),Gaussian/LPM on binary for G-theory; residual absorbs item:variant:model,logistic_full_crossed_deferred; primary_estimator=anova_moments_on_binary_LPM; crossed logistic MixedLM often unidentified with n=1 per cell,False
BW,binary_accuracy,max_cells,W1|W2|W3|W4|W5|canonical,item,0.068707,0.050436,0.085589,0.2818,93,6,3,1674,500,balanced_anova_moments_item_bootstrap,y ~ (1|item)+(1|variant)+(1|model)+(1|item:model)+(1|variant:model)+(1|item:variant),Gaussian/LPM on binary for G-theory; residual absorbs item:variant:model,logistic_full_crossed_deferred; primary_estimator=anova_moments_on_binary_LPM; crossed logistic MixedLM often unidentified with n=1 per cell,False
BW,binary_accuracy,max_cells,W1|W2|W3|W4|W5|canonical,variant,0.000187,0.0,0.004045,0.0008,93,6,3,1674,500,balanced_anova_moments_item_bootstrap,y ~ (1|item)+(1|variant)+(1|model)+(1|item:model)+(1|variant:model)+(1|item:variant),Gaussian/LPM on binary for G-theory; residual absorbs item:variant:model,logistic_full_crossed_deferred; primary_estimator=anova_moments_on_binary_LPM; crossed logistic MixedLM often unidentified with n=1 per cell,False
BW,binary_accuracy,max_cells,W1|W2|W3|W4|W5|canonical,model,0.018037,0.011837,0.025453,0.074,93,6,3,1674,500,balanced_anova_moments_item_bootstrap,y ~ (1|item)+(1|variant)+(1|model)+(1|item:model)+(1|variant:model)+(1|item:variant),Gaussian/LPM on binary for G-theory; residual absorbs item:variant:model,logistic_full_crossed_deferred; primary_estimator=anova_moments_on_binary_LPM; crossed logistic MixedLM often unidentified with n=1 per cell,False
BW,binary_accuracy,max_cells,W1|W2|W3|W4|W5|canonical,item_model,0.006694,0.000262,0.013973,0.0275,93,6,3,1674,500,balanced_anova_moments_item_bootstrap,y ~ (1|item)+(1|variant)+(1|model)+(1|item:model)+(1|variant:model)+(1|item:variant),Gaussian/LPM on binary for G-theory; residual absorbs item:variant:model,logistic_full_crossed_deferred; primary_estimator=anova_moments_on_binary_LPM; crossed logistic MixedLM often unidentified with n=1 per cell,False
BW,binary_accuracy,max_cells,W1|W2|W3|W4|W5|canonical,variant_model,0.016812,0.012379,0.024141,0.0689,93,6,3,1674,500,balanced_anova_moments_item_bootstrap,y ~ (1|item)+(1|variant)+(1|model)+(1|item:model)+(1|variant:model)+(1|item:variant),Gaussian/LPM on binary for G-theory; residual absorbs item:variant:model,logistic_full_crossed_deferred; primary_estimator=anova_moments_on_binary_LPM; crossed logistic MixedLM often unidentified with n=1 per cell,False
BW,binary_accuracy,max_cells,W1|W2|W3|W4|W5|canonical,item_variant,0.022035,0.01169,0.03202,0.0904,93,6,3,1674,500,balanced_anova_moments_item_bootstrap,y ~ (1|item)+(1|variant)+(1|model)+(1|item:model)+(1|variant:model)+(1|item:variant),Gaussian/LPM on binary for G-theory; residual absorbs item:variant:model,logistic_full_crossed_deferred; primary_estimator=anova_moments_on_binary_LPM; crossed logistic MixedLM often unidentified with n=1 per cell,False
BW,binary_accuracy,max_cells,W1|W2|W3|W4|W5|canonical,residual,0.111384,0.095107,0.125995,0.4568,93,6,3,1674,500,balanced_anova_moments_item_bootstrap,y ~ (1|item)+(1|variant)+(1|model)+(1|item:model)+(1|variant:model)+(1|item:variant),Gaussian/LPM on binary for G-theory; residual absorbs item:variant:model,logistic_full_crossed_deferred; primary_estimator=anova_moments_on_binary_LPM; crossed logistic MixedLM often unidentified with n=1 per cell,False
BW,binary_accuracy,full_7_variants,W1|W2|W3|W4|W5|W6|canonical,item,0.000602,0.0,0.00403,0.0024,47,7,5,1645,500,balanced_anova_moments_item_bootstrap,y ~ (1|item)+(1|variant)+(1|model)+(1|item:model)+(1|variant:model)+(1|item:variant),Gaussian/LPM on binary for G-theory; residual absorbs item:variant:model,logistic_full_crossed_deferred; primary_estimator=anova_moments_on_binary_LPM; crossed logistic MixedLM often unidentified with n=1 per cell,True
BW,binary_accuracy,full_7_variants,W1|W2|W3|W4|W5|W6|canonical,variant,0.018378,0.014306,0.023323,0.0725,47,7,5,1645,500,balanced_anova_moments_item_bootstrap,y ~ (1|item)+(1|variant)+(1|model)+(1|item:model)+(1|variant:model)+(1|item:variant),Gaussian/LPM on binary for G-theory; residual absorbs item:variant:model,logistic_full_crossed_deferred; primary_estimator=anova_moments_on_binary_LPM; crossed logistic MixedLM often unidentified with n=1 per cell,True
BW,binary_accuracy,full_7_variants,W1|W2|W3|W4|W5|W6|canonical,model,0.096896,0.090901,0.102919,0.3825,47,7,5,1645,500,balanced_anova_moments_item_bootstrap,y ~ (1|item)+(1|variant)+(1|model)+(1|item:model)+(1|variant:model)+(1|item:variant),Gaussian/LPM on binary for G-theory; residual absorbs item:variant:model,logistic_full_crossed_deferred; primary_estimator=anova_moments_on_binary_LPM; crossed logistic MixedLM often unidentified with n=1 per cell,True
BW,binary_accuracy,full_7_variants,W1|W2|W3|W4|W5|W6|canonical,item_model,0.0,0.0,0.0,0.0,47,7,5,1645,500,balanced_anova_moments_item_bootstrap,y ~ (1|item)+(1|variant)+(1|model)+(1|item:model)+(1|variant:model)+(1|item:variant),Gaussian/LPM on binary for G-theory; residual absorbs item:variant:model,logistic_full_crossed_deferred; primary_estimator=anova_moments_on_binary_LPM; crossed logistic MixedLM often unidentified with n=1 per cell,True
BW,binary_accuracy,full_7_variants,W1|W2|W3|W4|W5|W6|canonical,variant_model,0.026796,0.02287,0.035942,0.1058,47,7,5,1645,500,balanced_anova_moments_item_bootstrap,y ~ (1|item)+(1|variant)+(1|model)+(1|item:model)+(1|variant:model)+(1|item:variant),Gaussian/LPM on binary for G-theory; residual absorbs item:variant:model,logistic_full_crossed_deferred; primary_estimator=anova_moments_on_binary_LPM; crossed logistic MixedLM often unidentified with n=1 per cell,True
BW,binary_accuracy,full_7_variants,W1|W2|W3|W4|W5|W6|canonical,item_variant,0.009282,0.003887,0.01465,0.0366,47,7,5,1645,500,balanced_anova_moments_item_bootstrap,y ~ (1|item)+(1|variant)+(1|model)+(1|item:model)+(1|variant:model)+(1|item:variant),Gaussian/LPM on binary for G-theory; residual absorbs item:variant:model,logistic_full_crossed_deferred; primary_estimator=anova_moments_on_binary_LPM; crossed logistic MixedLM often unidentified with n=1 per cell,True
BW,binary_accuracy,full_7_variants,W1|W2|W3|W4|W5|W6|canonical,residual,0.10137,0.08722,0.109209,0.4002,47,7,5,1645,500,balanced_anova_moments_item_bootstrap,y ~ (1|item)+(1|variant)+(1|model)+(1|item:model)+(1|variant:model)+(1|item:variant),Gaussian/LPM on binary for G-theory; residual absorbs item:variant:model,logistic_full_crossed_deferred; primary_estimator=anova_moments_on_binary_LPM; crossed logistic MixedLM often unidentified with n=1 per cell,True
GSM,binary_accuracy,max_cells,W1|W2|W3|W4|W5|canonical,item,0.013096,0.0,0.033431,0.0692,44,6,3,792,500,balanced_anova_moments_item_bootstrap,y ~ (1|item)+(1|variant)+(1|model)+(1|item:model)+(1|variant:model)+(1|item:variant),Gaussian/LPM on binary for G-theory; residual absorbs item:variant:model,logistic_full_crossed_deferred; primary_estimator=anova_moments_on_binary_LPM; crossed logistic MixedLM often unidentified with n=1 per cell,False
GSM,binary_accuracy,max_cells,W1|W2|W3|W4|W5|canonical,variant,0.006777,0.000562,0.016675,0.0358,44,6,3,792,500,balanced_anova_moments_item_bootstrap,y ~ (1|item)+(1|variant)+(1|model)+(1|item:model)+(1|variant:model)+(1|item:variant),Gaussian/LPM on binary for G-theory; residual absorbs item:variant:model,logistic_full_crossed_deferred; primary_estimator=anova_moments_on_binary_LPM; crossed logistic MixedLM often unidentified with n=1 per cell,False
GSM,binary_accuracy,max_cells,W1|W2|W3|W4|W5|canonical,model,0.004927,0.0,0.018185,0.026,44,6,3,792,500,balanced_anova_moments_item_bootstrap,y ~ (1|item)+(1|variant)+(1|model)+(1|item:model)+(1|variant:model)+(1|item:variant),Gaussian/LPM on binary for G-theory; residual absorbs item:variant:model,logistic_full_crossed_deferred; primary_estimator=anova_moments_on_binary_LPM; crossed logistic MixedLM often unidentified with n=1 per cell,False
GSM,binary_accuracy,max_cells,W1|W2|W3|W4|W5|canonical,item_model,0.035729,0.014707,0.054733,0.1887,44,6,3,792,500,balanced_anova_moments_item_bootstrap,y ~ (1|item)+(1|variant)+(1|model)+(1|item:model)+(1|variant:model)+(1|item:variant),Gaussian/LPM on binary for G-theory; residual absorbs item:variant:model,logistic_full_crossed_deferred; primary_estimator=anova_moments_on_binary_LPM; crossed logistic MixedLM often unidentified with n=1 per cell,False
GSM,binary_accuracy,max_cells,W1|W2|W3|W4|W5|canonical,variant_model,0.003618,0.000969,0.014938,0.0191,44,6,3,792,500,balanced_anova_moments_item_bootstrap,y ~ (1|item)+(1|variant)+(1|model)+(1|item:model)+(1|variant:model)+(1|item:variant),Gaussian/LPM on binary for G-theory; residual absorbs item:variant:model,logistic_full_crossed_deferred; primary_estimator=anova_moments_on_binary_LPM; crossed logistic MixedLM often unidentified with n=1 per cell,False
GSM,binary_accuracy,max_cells,W1|W2|W3|W4|W5|canonical,item_variant,0.026809,0.010939,0.041231,0.1416,44,6,3,792,500,balanced_anova_moments_item_bootstrap,y ~ (1|item)+(1|variant)+(1|model)+(1|item:model)+(1|variant:model)+(1|item:variant),Gaussian/LPM on binary for G-theory; residual absorbs item:variant:model,logistic_full_crossed_deferred; primary_estimator=anova_moments_on_binary_LPM; crossed logistic MixedLM often unidentified with n=1 per cell,False
GSM,binary_accuracy,max_cells,W1|W2|W3|W4|W5|canonical,residual,0.098403,0.077743,0.11492,0.5197,44,6,3,792,500,balanced_anova_moments_item_bootstrap,y ~ (1|item)+(1|variant)+(1|model)+(1|item:model)+(1|variant:model)+(1|item:variant),Gaussian/LPM on binary for G-theory; residual absorbs item:variant:model,logistic_full_crossed_deferred; primary_estimator=anova_moments_on_binary_LPM; crossed logistic MixedLM often unidentified with n=1 per cell,False
GSM,binary_accuracy,full_7_variants,W1|W2|W3|W4|W5|W6|canonical,item,0.032681,0.0,0.067827,0.1858,24,7,3,504,500,balanced_anova_moments_item_bootstrap,y ~ (1|item)+(1|variant)+(1|model)+(1|item:model)+(1|variant:model)+(1|item:variant),Gaussian/LPM on binary for G-theory; residual absorbs item:variant:model,logistic_full_crossed_deferred; primary_estimator=anova_moments_on_binary_LPM; crossed logistic MixedLM often unidentified with n=1 per cell,True
GSM,binary_accuracy,full_7_variants,W1|W2|W3|W4|W5|W6|canonical,variant,0.0111,0.003339,0.026071,0.0631,24,7,3,504,500,balanced_anova_moments_item_bootstrap,y ~ (1|item)+(1|variant)+(1|model)+(1|item:model)+(1|variant:model)+(1|item:variant),Gaussian/LPM on binary for G-theory; residual absorbs item:variant:model,logistic_full_crossed_deferred; primary_estimator=anova_moments_on_binary_LPM; crossed logistic MixedLM often unidentified with n=1 per cell,True
GSM,binary_accuracy,full_7_variants,W1|W2|W3|W4|W5|W6|canonical,model,0.001495,0.0,0.008552,0.0085,24,7,3,504,500,balanced_anova_moments_item_bootstrap,y ~ (1|item)+(1|variant)+(1|model)+(1|item:model)+(1|variant:model)+(1|item:variant),Gaussian/LPM on binary for G-theory; residual absorbs item:variant:model,logistic_full_crossed_deferred; primary_estimator=anova_moments_on_binary_LPM; crossed logistic MixedLM often unidentified with n=1 per cell,True
GSM,binary_accuracy,full_7_variants,W1|W2|W3|W4|W5|W6|canonical,item_model,0.021322,0.006759,0.035094,0.1212,24,7,3,504,500,balanced_anova_moments_item_bootstrap,y ~ (1|item)+(1|variant)+(1|model)+(1|item:model)+(1|variant:model)+(1|item:variant),Gaussian/LPM on binary for G-theory; residual absorbs item:variant:model,logistic_full_crossed_deferred; primary_estimator=anova_moments_on_binary_LPM; crossed logistic MixedLM often unidentified with n=1 per cell,True
GSM,binary_accuracy,full_7_variants,W1|W2|W3|W4|W5|W6|canonical,variant_model,0.001006,0.000718,0.009787,0.0057,24,7,3,504,500,balanced_anova_moments_item_bootstrap,y ~ (1|item)+(1|variant)+(1|model)+(1|item:model)+(1|variant:model)+(1|item:variant),Gaussian/LPM on binary for G-theory; residual absorbs item:variant:model,logistic_full_crossed_deferred; primary_estimator=anova_moments_on_binary_LPM; crossed logistic MixedLM often unidentified with n=1 per cell,True
GSM,binary_accuracy,full_7_variants,W1|W2|W3|W4|W5|W6|canonical,item_variant,0.032882,0.013283,0.050027,0.187,24,7,3,504,500,balanced_anova_moments_item_bootstrap,y ~ (1|item)+(1|variant)+(1|model)+(1|item:model)+(1|variant:model)+(1|item:variant),Gaussian/LPM on binary for G-theory; residual absorbs item:variant:model,logistic_full_crossed_deferred; primary_estimator=anova_moments_on_binary_LPM; crossed logistic MixedLM often unidentified with n=1 per cell,True
GSM,binary_accuracy,full_7_variants,W1|W2|W3|W4|W5|W6|canonical,residual,0.075382,0.05142,0.093281,0.4286,24,7,3,504,500,balanced_anova_moments_item_bootstrap,y ~ (1|item)+(1|variant)+(1|model)+(1|item:model)+(1|variant:model)+(1|item:variant),Gaussian/LPM on binary for G-theory; residual absorbs item:variant:model,logistic_full_crossed_deferred; primary_estimator=anova_moments_on_binary_LPM; crossed logistic MixedLM often unidentified with n=1 per cell,True
