id,probe,phase,family,subtype,model,variant,metric,value,n,ci_low,ci_high,test,statistic,p_value,source_file,filter_applied,note
P1.1.GSM.Claude.canonical,P1,P1,GSM,--,Claude,canonical,accuracy,0.8409090909090909,44,0.7063350943621745,0.920734234422816,,,,GSM_P1_behavioral_claude.csv,bank-valid GSM IDs from question_bank_gsm.csv; drop mock; drop ERROR:; keep=last,
P1.1.GSM.Llama.W4,P1,P1,GSM,--,Llama,W4,accuracy,0.3,20,0.14547527396899385,0.5189767762289793,,,,GSM_P1_behavioral_llama.csv,bank-valid GSM IDs from question_bank_gsm.csv; drop mock; drop ERROR:; keep=last,
P1.1.GSM.Llama.W5,P1,P1,GSM,--,Llama,W5,accuracy,0.05,20,0.008881219432873136,0.23613589351256675,,,,GSM_P1_behavioral_llama.csv,bank-valid GSM IDs from question_bank_gsm.csv; drop mock; drop ERROR:; keep=last,
P1.1.GSM.Llama.W6,P1,P1,GSM,--,Llama,W6,accuracy,NOT_COMPUTABLE,0,,,,,,GSM_P1_behavioral_llama.csv,bank-valid GSM IDs from question_bank_gsm.csv; drop mock; drop ERROR:; keep=last,no valid rows after bank+ERROR filter
P1.2.GSM.Llama.W3_retention,P1,P1,GSM,--,Llama,W3,W3_retention,0.18749999999999997,20,,,,,,GSM_P1_behavioral_llama.csv,bank-valid GSM IDs from question_bank_gsm.csv; drop mock; drop ERROR:; keep=last,
P1.1.GSM.Gemini.canonical,P1,P1,GSM,--,Gemini,canonical,accuracy,0.9090909090909091,44,0.7884048060208251,0.9640783885211635,,,,GSM_P1_behavioral_gemini.csv,bank-valid GSM IDs from question_bank_gsm.csv; drop mock; drop ERROR:; keep=last,
P1.1.GSM.Gemini.W1,P1,P1,GSM,--,Gemini,W1,accuracy,0.8181818181818182,44,0.6803916324485767,0.9048730744174144,,,,GSM_P1_behavioral_gemini.csv,bank-valid GSM IDs from question_bank_gsm.csv; drop mock; drop ERROR:; keep=last,
P1.1.GSM.Gemini.W2,P1,P1,GSM,--,Gemini,W2,accuracy,0.6363636363636364,44,0.48866107278891047,0.7621666587250857,,,,GSM_P1_behavioral_gemini.csv,bank-valid GSM IDs from question_bank_gsm.csv; drop mock; drop ERROR:; keep=last,
P1.1.GSM.Gemini.W3,P1,P1,GSM,--,Gemini,W3,accuracy,0.5227272727272727,44,0.379352201361717,0.6624524205572824,,,,GSM_P1_behavioral_gemini.csv,bank-valid GSM IDs from question_bank_gsm.csv; drop mock; drop ERROR:; keep=last,
P1.1.GSM.Gemini.W4,P1,P1,GSM,--,Gemini,W4,accuracy,0.4772727272727273,44,0.3375475794427176,0.620647798638283,,,,GSM_P1_behavioral_gemini.csv,bank-valid GSM IDs from question_bank_gsm.csv; drop mock; drop ERROR:; keep=last,
P1.1.GSM.Gemini.W5,P1,P1,GSM,--,Gemini,W5,accuracy,0.6136363636363636,44,0.46623309846201666,0.7427900111329802,,,,GSM_P1_behavioral_gemini.csv,bank-valid GSM IDs from question_bank_gsm.csv; drop mock; drop ERROR:; keep=last,
P1.1.GSM.Gemini.W6,P1,P1,GSM,--,Gemini,W6,accuracy,0.9583333333333334,24,0.7975777375115778,0.992606734645195,,,,GSM_P1_behavioral_gemini.csv,bank-valid GSM IDs from question_bank_gsm.csv; drop mock; drop ERROR:; keep=last,
P1.2.GSM.Gemini.W3_retention,P1,P1,GSM,--,Gemini,W3,W3_retention,0.575,44,,,,,,GSM_P1_behavioral_gemini.csv,bank-valid GSM IDs from question_bank_gsm.csv; drop mock; drop ERROR:; keep=last,
P1.1.GSM.o4-mini.canonical,P1,P1,GSM,--,o4-mini,canonical,accuracy,0.8409090909090909,44,0.7063350943621745,0.920734234422816,,,,GSM_P1_behavioral_o1mini.csv,bank-valid GSM IDs from question_bank_gsm.csv; drop mock; drop ERROR:; keep=last,
P1.1.GSM.o4-mini.W1,P1,P1,GSM,--,o4-mini,W1,accuracy,0.8636363636363636,44,0.7329026247825904,0.9359713259213994,,,,GSM_P1_behavioral_o1mini.csv,bank-valid GSM IDs from question_bank_gsm.csv; drop mock; drop ERROR:; keep=last,
P1.1.GSM.o4-mini.W2,P1,P1,GSM,--,o4-mini,W2,accuracy,0.8181818181818182,44,0.6803916324485767,0.9048730744174144,,,,GSM_P1_behavioral_o1mini.csv,bank-valid GSM IDs from question_bank_gsm.csv; drop mock; drop ERROR:; keep=last,
P1.1.GSM.o4-mini.W3,P1,P1,GSM,--,o4-mini,W3,accuracy,0.8409090909090909,44,0.7063350943621745,0.920734234422816,,,,GSM_P1_behavioral_o1mini.csv,bank-valid GSM IDs from question_bank_gsm.csv; drop mock; drop ERROR:; keep=last,
P1.1.GSM.o4-mini.W4,P1,P1,GSM,--,o4-mini,W4,accuracy,0.6818181818181818,44,0.5344282746687306,0.8000087006832644,,,,GSM_P1_behavioral_o1mini.csv,bank-valid GSM IDs from question_bank_gsm.csv; drop mock; drop ERROR:; keep=last,
P1.1.GSM.o4-mini.W5,P1,P1,GSM,--,o4-mini,W5,accuracy,0.8863636363636364,44,0.7602056485186641,0.950472924104325,,,,GSM_P1_behavioral_o1mini.csv,bank-valid GSM IDs from question_bank_gsm.csv; drop mock; drop ERROR:; keep=last,
P1.1.GSM.o4-mini.W6,P1,P1,GSM,--,o4-mini,W6,accuracy,0.8333333333333334,24,0.6414652961213058,0.9332143199927109,,,,GSM_P1_behavioral_o1mini.csv,bank-valid GSM IDs from question_bank_gsm.csv; drop mock; drop ERROR:; keep=last,
P1.2.GSM.o4-mini.W3_retention,P1,P1,GSM,--,o4-mini,W3,W3_retention,1.0,44,,,,,,GSM_P1_behavioral_o1mini.csv,bank-valid GSM IDs from question_bank_gsm.csv; drop mock; drop ERROR:; keep=last,
P1.1.ALGO.CC-chall.Claude.canonical,P1,P1,ALGO,CC-chall,Claude,canonical,accuracy,0.7,10,0.39677321997956516,0.892210712513788,,,,ALGO_P1_behavioral_claude.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.CC-chall.Claude.W1,P1,P1,ALGO,CC-chall,Claude,W1,accuracy,0.7,10,0.39677321997956516,0.892210712513788,,,,ALGO_P1_behavioral_claude.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.CC-chall.Claude.W2,P1,P1,ALGO,CC-chall,Claude,W2,accuracy,0.7,10,0.39677321997956516,0.892210712513788,,,,ALGO_P1_behavioral_claude.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.CC-chall.Claude.W3,P1,P1,ALGO,CC-chall,Claude,W3,accuracy,0.6,10,0.3126695474501864,0.8318224187964902,,,,ALGO_P1_behavioral_claude.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.CC-chall.Claude.W4,P1,P1,ALGO,CC-chall,Claude,W4,accuracy,0.8,10,0.49015684672072335,0.9433190520193067,,,,ALGO_P1_behavioral_claude.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.CC-chall.Claude.W5,P1,P1,ALGO,CC-chall,Claude,W5,accuracy,NOT_COMPUTABLE,0,,,,,,ALGO_P1_behavioral_claude.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,variant not present for this slice (W5/W6 holes are real)
P1.1.ALGO.CC-chall.Claude.W6,P1,P1,ALGO,CC-chall,Claude,W6,accuracy,NOT_COMPUTABLE,0,,,,,,ALGO_P1_behavioral_claude.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,variant not present for this slice (W5/W6 holes are real)
P1.1.ALGO.CC-std.Claude.canonical,P1,P1,ALGO,CC-std,Claude,canonical,accuracy,0.26666666666666666,15,0.1089727610318281,0.5195088965768675,,,,ALGO_P1_behavioral_claude.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.CC-std.Claude.W1,P1,P1,ALGO,CC-std,Claude,W1,accuracy,0.4666666666666667,15,0.24809225259746442,0.6988336984894921,,,,ALGO_P1_behavioral_claude.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.CC-std.Claude.W2,P1,P1,ALGO,CC-std,Claude,W2,accuracy,0.06666666666666667,15,0.011866588606194856,0.2981707755242399,,,,ALGO_P1_behavioral_claude.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.CC-std.Claude.W3,P1,P1,ALGO,CC-std,Claude,W3,accuracy,0.2,15,0.07047420643610414,0.4518593533465045,,,,ALGO_P1_behavioral_claude.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.CC-std.Claude.W4,P1,P1,ALGO,CC-std,Claude,W4,accuracy,0.6666666666666666,15,0.41713125151212976,0.8482389930530876,,,,ALGO_P1_behavioral_claude.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.CC-std.Claude.W5,P1,P1,ALGO,CC-std,Claude,W5,accuracy,NOT_COMPUTABLE,0,,,,,,ALGO_P1_behavioral_claude.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,variant not present for this slice (W5/W6 holes are real)
P1.1.ALGO.CC-std.Claude.W6,P1,P1,ALGO,CC-std,Claude,W6,accuracy,0.06666666666666667,15,0.011866588606194856,0.2981707755242399,,,,ALGO_P1_behavioral_claude.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.SP-chall.Claude.canonical,P1,P1,ALGO,SP-chall,Claude,canonical,accuracy,0.6470588235294118,34,0.4791365883001342,0.7851228510470394,,,,ALGO_P1_behavioral_claude.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.SP-chall.Claude.W1,P1,P1,ALGO,SP-chall,Claude,W1,accuracy,0.6176470588235294,34,0.4504071999938267,0.7610003514839122,,,,ALGO_P1_behavioral_claude.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.SP-chall.Claude.W2,P1,P1,ALGO,SP-chall,Claude,W2,accuracy,0.6764705882352942,34,0.5084258404811939,0.8086854867354143,,,,ALGO_P1_behavioral_claude.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.SP-chall.Claude.W3,P1,P1,ALGO,SP-chall,Claude,W3,accuracy,0.0,34,0.0,0.10151790621961015,,,,ALGO_P1_behavioral_claude.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.SP-chall.Claude.W4,P1,P1,ALGO,SP-chall,Claude,W4,accuracy,0.8235294117647058,34,0.6648593225994784,0.9165114439643031,,,,ALGO_P1_behavioral_claude.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.SP-chall.Claude.W5,P1,P1,ALGO,SP-chall,Claude,W5,accuracy,0.0,31,0.0,0.11025900073475385,,,,ALGO_P1_behavioral_claude.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.SP-chall.Claude.W6,P1,P1,ALGO,SP-chall,Claude,W6,accuracy,0.25806451612903225,31,0.1370154373686976,0.432464724277151,,,,ALGO_P1_behavioral_claude.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.SP-std.Claude.canonical,P1,P1,ALGO,SP-std,Claude,canonical,accuracy,0.0,21,0.0,0.15464382326420195,,,,ALGO_P1_behavioral_claude.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.SP-std.Claude.W1,P1,P1,ALGO,SP-std,Claude,W1,accuracy,0.19047619047619047,21,0.07667440615177301,0.40000986539273287,,,,ALGO_P1_behavioral_claude.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.SP-std.Claude.W2,P1,P1,ALGO,SP-std,Claude,W2,accuracy,0.6666666666666666,21,0.45373075657210293,0.8280546356731631,,,,ALGO_P1_behavioral_claude.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.SP-std.Claude.W3,P1,P1,ALGO,SP-std,Claude,W3,accuracy,0.047619047619047616,21,0.008455769471923294,0.22669816586235464,,,,ALGO_P1_behavioral_claude.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.SP-std.Claude.W4,P1,P1,ALGO,SP-std,Claude,W4,accuracy,0.9523809523809523,21,0.7733018341376452,0.9915442305280766,,,,ALGO_P1_behavioral_claude.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.SP-std.Claude.W5,P1,P1,ALGO,SP-std,Claude,W5,accuracy,0.0,19,0.0,0.16818436536845052,,,,ALGO_P1_behavioral_claude.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.SP-std.Claude.W6,P1,P1,ALGO,SP-std,Claude,W6,accuracy,0.0,19,0.0,0.16818436536845052,,,,ALGO_P1_behavioral_claude.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.WIS-chall.Claude.canonical,P1,P1,ALGO,WIS-chall,Claude,canonical,accuracy,0.35294117647058826,17,0.17309486143904904,0.5870003327878818,,,,ALGO_P1_behavioral_claude.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.WIS-chall.Claude.W1,P1,P1,ALGO,WIS-chall,Claude,W1,accuracy,0.17647058823529413,17,0.0619101371254899,0.41029929017375777,,,,ALGO_P1_behavioral_claude.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.WIS-chall.Claude.W2,P1,P1,ALGO,WIS-chall,Claude,W2,accuracy,0.11764705882352941,17,0.03287908001292092,0.3433684249770991,,,,ALGO_P1_behavioral_claude.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.WIS-chall.Claude.W3,P1,P1,ALGO,WIS-chall,Claude,W3,accuracy,0.0,17,0.0,0.18432366037156456,,,,ALGO_P1_behavioral_claude.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.WIS-chall.Claude.W4,P1,P1,ALGO,WIS-chall,Claude,W4,accuracy,0.058823529411764705,17,0.01046013064516424,0.269825452035628,,,,ALGO_P1_behavioral_claude.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.WIS-chall.Claude.W5,P1,P1,ALGO,WIS-chall,Claude,W5,accuracy,NOT_COMPUTABLE,0,,,,,,ALGO_P1_behavioral_claude.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,variant not present for this slice (W5/W6 holes are real)
P1.1.ALGO.WIS-chall.Claude.W6,P1,P1,ALGO,WIS-chall,Claude,W6,accuracy,0.0,15,0.0,0.20388926630434784,,,,ALGO_P1_behavioral_claude.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.WIS-std.Claude.canonical,P1,P1,ALGO,WIS-std,Claude,canonical,accuracy,0.07692307692307693,13,0.013710066379696323,0.3331453392824736,,,,ALGO_P1_behavioral_claude.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.WIS-std.Claude.W1,P1,P1,ALGO,WIS-std,Claude,W1,accuracy,0.23076923076923078,13,0.08179379092465713,0.5025687399512693,,,,ALGO_P1_behavioral_claude.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.WIS-std.Claude.W2,P1,P1,ALGO,WIS-std,Claude,W2,accuracy,0.23076923076923078,13,0.08179379092465713,0.5025687399512693,,,,ALGO_P1_behavioral_claude.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.WIS-std.Claude.W3,P1,P1,ALGO,WIS-std,Claude,W3,accuracy,0.0,13,0.0,0.22810184305529166,,,,ALGO_P1_behavioral_claude.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.WIS-std.Claude.W4,P1,P1,ALGO,WIS-std,Claude,W4,accuracy,0.07692307692307693,13,0.013710066379696323,0.3331453392824736,,,,ALGO_P1_behavioral_claude.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.WIS-std.Claude.W5,P1,P1,ALGO,WIS-std,Claude,W5,accuracy,NOT_COMPUTABLE,0,,,,,,ALGO_P1_behavioral_claude.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,variant not present for this slice (W5/W6 holes are real)
P1.1.ALGO.WIS-std.Claude.W6,P1,P1,ALGO,WIS-std,Claude,W6,accuracy,0.0,10,0.0,0.2775401687666165,,,,ALGO_P1_behavioral_claude.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.2.ALGO.CC.Claude.W3_retention,P1,P1,ALGO,CC,Claude,W3,W3_retention,0.8571428571428572,10,,,,,,ALGO_P1_behavioral_claude.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.2.ALGO.SP.Claude.W3_retention,P1,P1,ALGO,SP,Claude,W3,W3_retention,0.0,34,,,,,,ALGO_P1_behavioral_claude.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.2.ALGO.WIS.Claude.W3_retention,P1,P1,ALGO,WIS,Claude,W3,W3_retention,0.0,17,,,,,,ALGO_P1_behavioral_claude.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.2.ALGO.ALL.Claude.W3_retention,P1,P1,ALGO,ALL,Claude,W3,W3_retention,0.17142857142857143,61,,,,,,ALGO_P1_behavioral_claude.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.CC-chall.GPT-4o.canonical,P1,P1,ALGO,CC-chall,GPT-4o,canonical,accuracy,0.6,10,0.3126695474501864,0.8318224187964902,,,,ALGO_P1_behavioral_gpt4o.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.CC-chall.GPT-4o.W1,P1,P1,ALGO,CC-chall,GPT-4o,W1,accuracy,0.4,10,0.16817758120350967,0.6873304525498135,,,,ALGO_P1_behavioral_gpt4o.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.CC-chall.GPT-4o.W2,P1,P1,ALGO,CC-chall,GPT-4o,W2,accuracy,0.6,10,0.3126695474501864,0.8318224187964902,,,,ALGO_P1_behavioral_gpt4o.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.CC-chall.GPT-4o.W3,P1,P1,ALGO,CC-chall,GPT-4o,W3,accuracy,0.0,10,0.0,0.2775401687666165,,,,ALGO_P1_behavioral_gpt4o.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.CC-chall.GPT-4o.W4,P1,P1,ALGO,CC-chall,GPT-4o,W4,accuracy,0.5,10,0.23658959361548731,0.7634104063845126,,,,ALGO_P1_behavioral_gpt4o.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.CC-chall.GPT-4o.W5,P1,P1,ALGO,CC-chall,GPT-4o,W5,accuracy,NOT_COMPUTABLE,0,,,,,,ALGO_P1_behavioral_gpt4o.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,variant not present for this slice (W5/W6 holes are real)
P1.1.ALGO.CC-chall.GPT-4o.W6,P1,P1,ALGO,CC-chall,GPT-4o,W6,accuracy,0.4,10,0.16817758120350967,0.6873304525498135,,,,ALGO_P1_behavioral_gpt4o.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.CC-std.GPT-4o.canonical,P1,P1,ALGO,CC-std,GPT-4o,canonical,accuracy,0.26666666666666666,15,0.1089727610318281,0.5195088965768675,,,,ALGO_P1_behavioral_gpt4o.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.CC-std.GPT-4o.W1,P1,P1,ALGO,CC-std,GPT-4o,W1,accuracy,0.4,15,0.19824228082594664,0.642535572434923,,,,ALGO_P1_behavioral_gpt4o.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.CC-std.GPT-4o.W2,P1,P1,ALGO,CC-std,GPT-4o,W2,accuracy,0.0,15,0.0,0.20388926630434784,,,,ALGO_P1_behavioral_gpt4o.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.CC-std.GPT-4o.W3,P1,P1,ALGO,CC-std,GPT-4o,W3,accuracy,0.06666666666666667,15,0.011866588606194856,0.2981707755242399,,,,ALGO_P1_behavioral_gpt4o.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.CC-std.GPT-4o.W4,P1,P1,ALGO,CC-std,GPT-4o,W4,accuracy,0.8666666666666667,15,0.6211750079348376,0.9626395301086407,,,,ALGO_P1_behavioral_gpt4o.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.CC-std.GPT-4o.W5,P1,P1,ALGO,CC-std,GPT-4o,W5,accuracy,NOT_COMPUTABLE,0,,,,,,ALGO_P1_behavioral_gpt4o.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,variant not present for this slice (W5/W6 holes are real)
