problem_id,family,subtype,model,canonical_accuracy,W3_accuracy,contamination_score,template_contamination_score,instance_contamination_score,VAR,model_short
BW_408,BW,blocksworld,meta-llama/llama-3.1-8b-instruct,0.0,1.0,0.0359,0.0,0.0658,1.0,llama-3.1-8b-instruct
BW_495,BW,blocksworld,meta-llama/llama-3.1-8b-instruct,0.0,1.0,0.0411,0.0,0.0862,1.0,llama-3.1-8b-instruct
BW_022,BW,blocksworld,openai/gpt-4o,0.0,1.0,0.0411,0.0,0.0862,1.0,gpt-4o
BW_203,BW,blocksworld,openai/gpt-4o,0.0,1.0,0.0432,0.0,0.0962,1.0,gpt-4o
BW_282,BW,blocksworld,openai/gpt-4o,0.0,1.0,0.0411,0.0,0.0862,1.0,gpt-4o
BW_310,BW,blocksworld,openai/gpt-4o,0.0,1.0,0.0395,0.0,0.0794,1.0,gpt-4o
BW_350,BW,blocksworld,openai/gpt-4o,0.0,1.0,0.0331,0.0,0.0568,1.0,gpt-4o
BW_408,BW,blocksworld,openai/gpt-4o,0.0,1.0,0.0359,0.0,0.0658,1.0,gpt-4o
BW_495,BW,blocksworld,openai/gpt-4o,0.0,1.0,0.0411,0.0,0.0862,1.0,gpt-4o
MBW_002,BW,mystery_blocksworld,anthropic/claude-sonnet-4,0.0,1.0,0.0397,0.0,0.0926,1.0,claude-sonnet-4
MBW_010,BW,mystery_blocksworld,anthropic/claude-sonnet-4,0.0,1.0,0.0424,0.0,0.1042,1.0,claude-sonnet-4
MBW_014,BW,mystery_blocksworld,anthropic/claude-sonnet-4,0.0,1.0,0.0545,0.0,0.119,1.0,claude-sonnet-4
MBW_037,BW,mystery_blocksworld,anthropic/claude-sonnet-4,0.0,1.0,0.0439,0.0,0.1111,1.0,claude-sonnet-4
MBW_495,BW,mystery_blocksworld,anthropic/claude-sonnet-4,0.0,1.0,0.0424,0.0,0.1042,1.0,claude-sonnet-4
MBW_002,BW,mystery_blocksworld,openai/gpt-4o,0.0,1.0,0.0397,0.0,0.0926,1.0,gpt-4o
MBW_010,BW,mystery_blocksworld,openai/gpt-4o,0.0,1.0,0.0424,0.0,0.1042,1.0,gpt-4o
MBW_014,BW,mystery_blocksworld,openai/gpt-4o,0.0,1.0,0.0545,0.0,0.119,1.0,gpt-4o
MBW_495,BW,mystery_blocksworld,openai/gpt-4o,0.0,1.0,0.0424,0.0,0.1042,1.0,gpt-4o
GSM_009,GSM,gsm_symbolic,anthropic/claude-sonnet-4,0.0,1.0,0.1818,,,1.0,claude-sonnet-4
GSM_013,GSM,gsm_symbolic,anthropic/claude-sonnet-4,0.0,1.0,0.1111,,,1.0,claude-sonnet-4
GSM_019,GSM,gsm_symbolic,anthropic/claude-sonnet-4,0.0,1.0,0.0659,,,1.0,claude-sonnet-4
GSM_058,GSM,gsm_symbolic,anthropic/claude-sonnet-4,0.0,1.0,0.0,,,1.0,claude-sonnet-4
GSM_049,GSM,gsm_symbolic,meta-llama/llama-3.1-8b-instruct,0.0,1.0,0.125,,,1.0,llama-3.1-8b-instruct
GSM_050,GSM,gsm_symbolic,meta-llama/llama-3.1-8b-instruct,0.0,1.0,0.1714,,,1.0,llama-3.1-8b-instruct
GSM_059,GSM,gsm_symbolic,meta-llama/llama-3.1-8b-instruct,0.0,1.0,0.0566,,,1.0,llama-3.1-8b-instruct
GSM_013,GSM,gsm_symbolic,openai/gpt-4o,0.0,1.0,0.1111,,,1.0,gpt-4o
