cci_threshold,w3_cutoff,contam_percentile,n_retrieval,n_computation,n_mixed,n_ambiguous,n,n_confident,confident_label_rate
0.75,0.75,75,0,0,169,0,169,0,0.0
0.75,0.75,90,0,0,169,0,169,0,0.0
0.75,1.0,50,8,0,161,0,169,8,0.047337278106508875
0.75,1.0,75,0,0,169,0,169,0,0.0
0.75,1.0,90,0,0,169,0,169,0,0.0
0.8,0.0,50,0,0,169,0,169,0,0.0
0.8,0.0,75,0,0,169,0,169,0,0.0
0.8,0.0,90,0,0,169,0,169,0,0.0
0.8,0.25,50,8,0,161,0,169,8,0.047337278106508875
0.8,0.25,75,0,0,169,0,169,0,0.0
0.8,0.25,90,0,0,169,0,169,0,0.0
0.8,0.5,50,8,0,161,0,169,8,0.047337278106508875
0.8,0.5,75,0,0,169,0,169,0,0.0
0.8,0.5,90,0,0,169,0,169,0,0.0
0.8,0.75,50,8,0,161,0,169,8,0.047337278106508875
0.8,0.75,75,0,0,169,0,169,0,0.0
0.8,0.75,90,0,0,169,0,169,0,0.0
0.8,1.0,50,8,0,161,0,169,8,0.047337278106508875
0.8,1.0,75,0,0,169,0,169,0,0.0
0.8,1.0,90,0,0,169,0,169,0,0.0
0.85,0.0,50,0,0,169,0,169,0,0.0
0.85,0.0,75,0,0,169,0,169,0,0.0
0.85,0.0,90,0,0,169,0,169,0,0.0
0.85,0.25,50,8,0,161,0,169,8,0.047337278106508875
0.85,0.25,75,0,0,169,0,169,0,0.0
0.85,0.25,90,0,0,169,0,169,0,0.0
0.85,0.5,50,8,0,161,0,169,8,0.047337278106508875
0.85,0.5,75,0,0,169,0,169,0,0.0
0.85,0.5,90,0,0,169,0,169,0,0.0
0.85,0.75,50,8,0,161,0,169,8,0.047337278106508875
0.85,0.75,75,0,0,169,0,169,0,0.0
0.85,0.75,90,0,0,169,0,169,0,0.0
0.85,1.0,50,8,0,161,0,169,8,0.047337278106508875
0.85,1.0,75,0,0,169,0,169,0,0.0
0.85,1.0,90,0,0,169,0,169,0,0.0
0.9,0.0,50,0,0,169,0,169,0,0.0
0.9,0.0,75,0,0,169,0,169,0,0.0
0.9,0.0,90,0,0,169,0,169,0,0.0
0.9,0.25,50,8,0,161,0,169,8,0.047337278106508875
0.9,0.25,75,0,0,169,0,169,0,0.0
0.9,0.25,90,0,0,169,0,169,0,0.0
0.9,0.5,50,8,0,161,0,169,8,0.047337278106508875
0.9,0.5,75,0,0,169,0,169,0,0.0
0.9,0.5,90,0,0,169,0,169,0,0.0
0.9,0.75,50,8,0,161,0,169,8,0.047337278106508875
0.9,0.75,75,0,0,169,0,169,0,0.0
0.9,0.75,90,0,0,169,0,169,0,0.0
0.9,1.0,50,8,0,161,0,169,8,0.047337278106508875
0.9,1.0,75,0,0,169,0,169,0,0.0
0.9,1.0,90,0,0,169,0,169,0,0.0
