cci_threshold,w3_cutoff,contam_percentile,n_retrieval,n_computation,n_mixed,n_ambiguous,n,n_confident,confident_label_rate
0.5,0.75,50,19,3,147,0,169,22,0.1301775147928994
0.5,0.75,75,8,4,157,0,169,12,0.07100591715976332
0.5,0.75,90,8,4,157,0,169,12,0.07100591715976332
0.5,1.0,50,19,0,150,0,169,19,0.11242603550295859
0.5,1.0,75,8,0,161,0,169,8,0.047337278106508875
0.5,1.0,90,8,0,161,0,169,8,0.047337278106508875
0.55,0.0,50,0,3,166,0,169,3,0.01775147928994083
0.55,0.0,75,0,4,165,0,169,4,0.023668639053254437
0.55,0.0,90,0,4,165,0,169,4,0.023668639053254437
0.55,0.25,50,19,3,147,0,169,22,0.1301775147928994
0.55,0.25,75,8,4,157,0,169,12,0.07100591715976332
0.55,0.25,90,8,4,157,0,169,12,0.07100591715976332
0.55,0.5,50,19,3,147,0,169,22,0.1301775147928994
0.55,0.5,75,8,4,157,0,169,12,0.07100591715976332
0.55,0.5,90,8,4,157,0,169,12,0.07100591715976332
0.55,0.75,50,19,3,147,0,169,22,0.1301775147928994
0.55,0.75,75,8,4,157,0,169,12,0.07100591715976332
0.55,0.75,90,8,4,157,0,169,12,0.07100591715976332
0.55,1.0,50,19,0,150,0,169,19,0.11242603550295859
0.55,1.0,75,8,0,161,0,169,8,0.047337278106508875
0.55,1.0,90,8,0,161,0,169,8,0.047337278106508875
0.6,0.0,50,0,3,166,0,169,3,0.01775147928994083
0.6,0.0,75,0,4,165,0,169,4,0.023668639053254437
0.6,0.0,90,0,4,165,0,169,4,0.023668639053254437
0.6,0.25,50,19,3,147,0,169,22,0.1301775147928994
0.6,0.25,75,8,4,157,0,169,12,0.07100591715976332
0.6,0.25,90,8,4,157,0,169,12,0.07100591715976332
0.6,0.5,50,19,3,147,0,169,22,0.1301775147928994
0.6,0.5,75,8,4,157,0,169,12,0.07100591715976332
0.6,0.5,90,8,4,157,0,169,12,0.07100591715976332
0.6,0.75,50,19,3,147,0,169,22,0.1301775147928994
0.6,0.75,75,8,4,157,0,169,12,0.07100591715976332
0.6,0.75,90,8,4,157,0,169,12,0.07100591715976332
0.6,1.0,50,19,0,150,0,169,19,0.11242603550295859
0.6,1.0,75,8,0,161,0,169,8,0.047337278106508875
0.6,1.0,90,8,0,161,0,169,8,0.047337278106508875
0.65,0.0,50,0,3,166,0,169,3,0.01775147928994083
0.65,0.0,75,0,4,165,0,169,4,0.023668639053254437
0.65,0.0,90,0,4,165,0,169,4,0.023668639053254437
0.65,0.25,50,19,3,147,0,169,22,0.1301775147928994
0.65,0.25,75,8,4,157,0,169,12,0.07100591715976332
0.65,0.25,90,8,4,157,0,169,12,0.07100591715976332
0.65,0.5,50,19,3,147,0,169,22,0.1301775147928994
0.65,0.5,75,8,4,157,0,169,12,0.07100591715976332
0.65,0.5,90,8,4,157,0,169,12,0.07100591715976332
0.65,0.75,50,19,3,147,0,169,22,0.1301775147928994
0.65,0.75,75,8,4,157,0,169,12,0.07100591715976332
0.65,0.75,90,8,4,157,0,169,12,0.07100591715976332
0.65,1.0,50,19,0,150,0,169,19,0.11242603550295859
0.65,1.0,75,8,0,161,0,169,8,0.047337278106508875
0.65,1.0,90,8,0,161,0,169,8,0.047337278106508875
0.7,0.0,50,0,0,169,0,169,0,0.0
0.7,0.0,75,0,0,169,0,169,0,0.0
0.7,0.0,90,0,0,169,0,169,0,0.0
0.7,0.25,50,19,0,150,0,169,19,0.11242603550295859
0.7,0.25,75,8,0,161,0,169,8,0.047337278106508875
0.7,0.25,90,8,0,161,0,169,8,0.047337278106508875
0.7,0.5,50,19,0,150,0,169,19,0.11242603550295859
0.7,0.5,75,8,0,161,0,169,8,0.047337278106508875
0.7,0.5,90,8,0,161,0,169,8,0.047337278106508875
0.7,0.75,50,19,0,150,0,169,19,0.11242603550295859
0.7,0.75,75,8,0,161,0,169,8,0.047337278106508875
0.7,0.75,90,8,0,161,0,169,8,0.047337278106508875
0.7,1.0,50,19,0,150,0,169,19,0.11242603550295859
0.7,1.0,75,8,0,161,0,169,8,0.047337278106508875
0.7,1.0,90,8,0,161,0,169,8,0.047337278106508875
0.75,0.0,50,0,0,169,0,169,0,0.0
0.75,0.0,75,0,0,169,0,169,0,0.0
0.75,0.0,90,0,0,169,0,169,0,0.0
0.75,0.25,50,19,0,150,0,169,19,0.11242603550295859
0.75,0.25,75,8,0,161,0,169,8,0.047337278106508875
0.75,0.25,90,8,0,161,0,169,8,0.047337278106508875
0.75,0.5,50,19,0,150,0,169,19,0.11242603550295859
0.75,0.5,75,8,0,161,0,169,8,0.047337278106508875
0.75,0.5,90,8,0,161,0,169,8,0.047337278106508875
0.75,0.75,50,19,0,150,0,169,19,0.11242603550295859
0.75,0.75,75,8,0,161,0,169,8,0.047337278106508875
0.75,0.75,90,8,0,161,0,169,8,0.047337278106508875
0.75,1.0,50,19,0,150,0,169,19,0.11242603550295859
0.75,1.0,75,8,0,161,0,169,8,0.047337278106508875
0.75,1.0,90,8,0,161,0,169,8,0.047337278106508875
0.8,0.0,50,0,0,169,0,169,0,0.0
0.8,0.0,75,0,0,169,0,169,0,0.0
0.8,0.0,90,0,0,169,0,169,0,0.0
0.8,0.25,50,19,0,150,0,169,19,0.11242603550295859
0.8,0.25,75,8,0,161,0,169,8,0.047337278106508875
0.8,0.25,90,8,0,161,0,169,8,0.047337278106508875
0.8,0.5,50,19,0,150,0,169,19,0.11242603550295859
0.8,0.5,75,8,0,161,0,169,8,0.047337278106508875
0.8,0.5,90,8,0,161,0,169,8,0.047337278106508875
0.8,0.75,50,19,0,150,0,169,19,0.11242603550295859
0.8,0.75,75,8,0,161,0,169,8,0.047337278106508875
0.8,0.75,90,8,0,161,0,169,8,0.047337278106508875
0.8,1.0,50,19,0,150,0,169,19,0.11242603550295859
0.8,1.0,75,8,0,161,0,169,8,0.047337278106508875
0.8,1.0,90,8,0,161,0,169,8,0.047337278106508875
0.85,0.0,50,0,0,169,0,169,0,0.0
0.85,0.0,75,0,0,169,0,169,0,0.0
0.85,0.0,90,0,0,169,0,169,0,0.0
0.85,0.25,50,19,0,150,0,169,19,0.11242603550295859
0.85,0.25,75,8,0,161,0,169,8,0.047337278106508875
0.85,0.25,90,8,0,161,0,169,8,0.047337278106508875
0.85,0.5,50,19,0,150,0,169,19,0.11242603550295859
0.85,0.5,75,8,0,161,0,169,8,0.047337278106508875
0.85,0.5,90,8,0,161,0,169,8,0.047337278106508875
0.85,0.75,50,19,0,150,0,169,19,0.11242603550295859
0.85,0.75,75,8,0,161,0,169,8,0.047337278106508875
0.85,0.75,90,8,0,161,0,169,8,0.047337278106508875
0.85,1.0,50,19,0,150,0,169,19,0.11242603550295859
0.85,1.0,75,8,0,161,0,169,8,0.047337278106508875
0.85,1.0,90,8,0,161,0,169,8,0.047337278106508875
0.9,0.0,50,0,0,169,0,169,0,0.0
0.9,0.0,75,0,0,169,0,169,0,0.0
0.9,0.0,90,0,0,169,0,169,0,0.0
0.9,0.25,50,19,0,150,0,169,19,0.11242603550295859
0.9,0.25,75,8,0,161,0,169,8,0.047337278106508875
0.9,0.25,90,8,0,161,0,169,8,0.047337278106508875
0.9,0.5,50,19,0,150,0,169,19,0.11242603550295859
0.9,0.5,75,8,0,161,0,169,8,0.047337278106508875
0.9,0.5,90,8,0,161,0,169,8,0.047337278106508875
0.9,0.75,50,19,0,150,0,169,19,0.11242603550295859
0.9,0.75,75,8,0,161,0,169,8,0.047337278106508875
0.9,0.75,90,8,0,161,0,169,8,0.047337278106508875
0.9,1.0,50,19,0,150,0,169,19,0.11242603550295859
0.9,1.0,75,8,0,161,0,169,8,0.047337278106508875
0.9,1.0,90,8,0,161,0,169,8,0.047337278106508875
