problem_id,model,complete_case,label_executed,label_appendix
CC_036,Llama,False,ambiguous,ambiguous
CC_037,Llama,False,ambiguous,ambiguous
CC_038,Llama,False,ambiguous,ambiguous
CC_039,Llama,False,ambiguous,mixed
CC_04,Llama,False,ambiguous,mixed
CC_040,Llama,False,ambiguous,mixed
CC_041,Llama,False,ambiguous,mixed
CC_042,Llama,False,ambiguous,ambiguous
CC_043,Llama,False,ambiguous,mixed
CC_044,Llama,False,ambiguous,ambiguous
CC_045,Llama,False,ambiguous,ambiguous
CC_05,Llama,False,ambiguous,mixed
CC_06,Llama,False,ambiguous,mixed
CC_07,Llama,False,ambiguous,mixed
CC_08,Llama,False,ambiguous,mixed
CC_09,Llama,False,ambiguous,mixed
CC_10,Llama,False,ambiguous,mixed
SP_001,Llama,False,ambiguous,mixed
SP_002,Llama,False,ambiguous,mixed
SP_003,Llama,False,ambiguous,mixed
SP_004,Llama,False,ambiguous,mixed
SP_005,Llama,False,ambiguous,mixed
SP_019,Llama,True,mixed,ambiguous
SP_020,Llama,True,mixed,ambiguous
SP_021,Llama,True,mixed,mixed
SP_023,Llama,True,mixed,retrieval
SP_024,Llama,True,mixed,mixed
SP_026,Llama,True,mixed,mixed
SP_027,Llama,False,ambiguous,mixed
SP_028,Llama,True,mixed,mixed
SP_029,Llama,True,mixed,mixed
SP_030,Llama,True,mixed,mixed
SP_031,Llama,False,ambiguous,mixed
SP_032,Llama,False,ambiguous,ambiguous
SP_033,Llama,False,ambiguous,ambiguous
SP_034,Llama,False,ambiguous,mixed
SP_035,Llama,False,ambiguous,mixed
SP_036,Llama,False,ambiguous,ambiguous
SP_037,Llama,True,mixed,retrieval
SP_038,Llama,True,mixed,mixed
SP_039,Llama,True,mixed,mixed
SP_040,Llama,True,mixed,mixed
SP_042,Llama,True,mixed,mixed
SP_044,Llama,True,mixed,mixed
SP_045,Llama,True,mixed,mixed
SP_046,Llama,True,mixed,mixed
SP_047,Llama,True,mixed,mixed
SP_048,Llama,True,mixed,mixed
SP_049,Llama,False,ambiguous,mixed
SP_050,Llama,False,ambiguous,ambiguous
SP_051,Llama,False,ambiguous,ambiguous
SP_052,Llama,False,ambiguous,ambiguous
SP_053,Llama,False,ambiguous,mixed
SP_054,Llama,False,ambiguous,ambiguous
SP_055,Llama,False,ambiguous,ambiguous
SP_056,Llama,False,ambiguous,ambiguous
SP_057,Llama,False,ambiguous,ambiguous
SP_058,Llama,False,ambiguous,ambiguous
SP_059,Llama,False,ambiguous,ambiguous
SP_060,Llama,False,ambiguous,ambiguous
SP_061,Llama,False,ambiguous,ambiguous
SP_062,Llama,True,mixed,retrieval
SP_063,Llama,True,mixed,mixed
SP_064,Llama,True,mixed,ambiguous
SP_065,Llama,True,mixed,ambiguous
SP_066,Llama,True,mixed,mixed
SP_068,Llama,True,mixed,mixed
SP_069,Llama,True,mixed,mixed
SP_070,Llama,True,mixed,mixed
SP_071,Llama,True,mixed,mixed
SP_072,Llama,True,mixed,mixed
SP_073,Llama,True,mixed,mixed
WIS_001,Llama,False,ambiguous,mixed
WIS_002,Llama,False,ambiguous,ambiguous
WIS_003,Llama,False,ambiguous,mixed
WIS_004,Llama,False,ambiguous,mixed
WIS_005,Llama,False,ambiguous,mixed
WIS_006,Llama,False,ambiguous,mixed
WIS_007,Llama,False,ambiguous,mixed
WIS_009,Llama,False,ambiguous,ambiguous
WIS_010,Llama,False,ambiguous,mixed
WIS_012,Llama,False,ambiguous,ambiguous
WIS_013,Llama,True,mixed,mixed
WIS_014,Llama,True,mixed,mixed
WIS_015,Llama,True,mixed,mixed
WIS_016,Llama,True,mixed,mixed
WIS_017,Llama,True,mixed,ambiguous
WIS_018,Llama,True,mixed,mixed
WIS_019,Llama,True,mixed,mixed
WIS_020,Llama,True,mixed,mixed
WIS_021,Llama,False,ambiguous,mixed
WIS_022,Llama,False,ambiguous,mixed
WIS_023,Llama,True,mixed,mixed
WIS_024,Llama,True,mixed,mixed
WIS_025,Llama,True,mixed,mixed
WIS_026,Llama,True,mixed,mixed
WIS_027,Llama,True,mixed,mixed
WIS_028,Llama,True,mixed,mixed
WIS_029,Llama,True,mixed,mixed
WIS_030,Llama,False,ambiguous,mixed
WIS_031,Llama,False,ambiguous,mixed
WIS_032,Llama,False,ambiguous,mixed
CC_01,Gemini,True,mixed,mixed
CC_02,Gemini,True,mixed,ambiguous
CC_03,Gemini,True,mixed,mixed
CC_031,Gemini,False,ambiguous,mixed
CC_032,Gemini,False,ambiguous,mixed
CC_033,Gemini,False,ambiguous,ambiguous
CC_034,Gemini,False,ambiguous,mixed
CC_035,Gemini,False,ambiguous,ambiguous
CC_036,Gemini,False,ambiguous,ambiguous
CC_037,Gemini,False,ambiguous,ambiguous
CC_038,Gemini,False,ambiguous,ambiguous
CC_039,Gemini,False,ambiguous,mixed
CC_04,Gemini,True,mixed,ambiguous
CC_040,Gemini,False,ambiguous,mixed
CC_041,Gemini,False,ambiguous,mixed
CC_042,Gemini,False,ambiguous,ambiguous
CC_043,Gemini,False,ambiguous,mixed
CC_044,Gemini,False,ambiguous,ambiguous
CC_045,Gemini,False,ambiguous,ambiguous
CC_05,Gemini,True,mixed,mixed
CC_06,Gemini,True,mixed,mixed
CC_07,Gemini,True,mixed,ambiguous
CC_08,Gemini,True,mixed,mixed
CC_09,Gemini,True,mixed,mixed
CC_10,Gemini,True,mixed,mixed
SP_001,Gemini,False,ambiguous,mixed
SP_002,Gemini,False,ambiguous,mixed
SP_003,Gemini,True,mixed,mixed
SP_004,Gemini,True,mixed,mixed
SP_005,Gemini,True,mixed,mixed
SP_019,Gemini,False,ambiguous,ambiguous
SP_020,Gemini,False,ambiguous,mixed
SP_021,Gemini,True,mixed,mixed
SP_023,Gemini,True,mixed,mixed
SP_024,Gemini,False,ambiguous,mixed
SP_026,Gemini,False,ambiguous,ambiguous
SP_027,Gemini,True,mixed,mixed
SP_028,Gemini,False,ambiguous,mixed
SP_029,Gemini,True,mixed,mixed
SP_030,Gemini,True,mixed,mixed
SP_031,Gemini,False,ambiguous,ambiguous
SP_032,Gemini,False,ambiguous,mixed
SP_033,Gemini,False,ambiguous,ambiguous
SP_034,Gemini,False,ambiguous,ambiguous
SP_035,Gemini,False,ambiguous,mixed
SP_036,Gemini,False,ambiguous,ambiguous
SP_037,Gemini,False,ambiguous,retrieval
SP_038,Gemini,True,mixed,mixed
SP_039,Gemini,True,mixed,mixed
SP_040,Gemini,True,mixed,mixed
SP_042,Gemini,True,mixed,ambiguous
SP_044,Gemini,False,ambiguous,ambiguous
SP_045,Gemini,True,mixed,mixed
SP_046,Gemini,False,ambiguous,mixed
SP_047,Gemini,False,ambiguous,mixed
SP_048,Gemini,True,mixed,mixed
SP_049,Gemini,False,ambiguous,ambiguous
SP_050,Gemini,False,ambiguous,ambiguous
SP_051,Gemini,False,ambiguous,ambiguous
SP_052,Gemini,False,ambiguous,ambiguous
SP_053,Gemini,False,ambiguous,ambiguous
SP_054,Gemini,False,ambiguous,ambiguous
SP_055,Gemini,False,ambiguous,mixed
SP_056,Gemini,False,ambiguous,mixed
SP_057,Gemini,False,ambiguous,mixed
SP_058,Gemini,False,ambiguous,mixed
SP_059,Gemini,False,ambiguous,mixed
SP_060,Gemini,False,ambiguous,ambiguous
SP_061,Gemini,False,ambiguous,ambiguous
SP_062,Gemini,True,retrieval,retrieval
SP_063,Gemini,True,mixed,mixed
SP_064,Gemini,True,mixed,mixed
SP_065,Gemini,True,retrieval,ambiguous
SP_066,Gemini,False,ambiguous,ambiguous
SP_068,Gemini,False,ambiguous,mixed
SP_069,Gemini,True,mixed,mixed
SP_070,Gemini,True,mixed,mixed
SP_071,Gemini,True,mixed,mixed
SP_072,Gemini,True,mixed,mixed
SP_073,Gemini,True,mixed,mixed
WIS_001,Gemini,False,ambiguous,mixed
WIS_002,Gemini,False,ambiguous,mixed
WIS_003,Gemini,True,mixed,mixed
WIS_004,Gemini,True,mixed,mixed
WIS_005,Gemini,False,ambiguous,mixed
WIS_006,Gemini,False,ambiguous,mixed
WIS_007,Gemini,False,ambiguous,mixed
WIS_009,Gemini,False,ambiguous,ambiguous
WIS_010,Gemini,False,ambiguous,mixed
WIS_012,Gemini,False,ambiguous,ambiguous
WIS_013,Gemini,False,ambiguous,mixed
WIS_014,Gemini,False,ambiguous,mixed
WIS_015,Gemini,False,ambiguous,mixed
WIS_016,Gemini,True,mixed,mixed
WIS_017,Gemini,True,mixed,mixed
WIS_018,Gemini,False,ambiguous,mixed
WIS_019,Gemini,False,ambiguous,mixed
WIS_020,Gemini,True,mixed,mixed
WIS_021,Gemini,False,ambiguous,mixed
WIS_022,Gemini,False,ambiguous,mixed
WIS_023,Gemini,True,mixed,mixed
WIS_024,Gemini,True,mixed,mixed
WIS_025,Gemini,False,ambiguous,mixed
WIS_026,Gemini,True,mixed,mixed
WIS_027,Gemini,True,mixed,mixed
WIS_028,Gemini,True,mixed,mixed
WIS_029,Gemini,True,mixed,mixed
WIS_030,Gemini,False,ambiguous,mixed
WIS_031,Gemini,False,ambiguous,mixed
WIS_032,Gemini,False,ambiguous,mixed
