claim_text,section_or_table,paper_value,recomputed_value,raw_file_used,filter_applied,MATCH/MISMATCH/NOT_RECOMPUTABLE,note
Table 3 Llama R_W3,Table 3,.188,0.1875,GSM_P1_behavioral_llama.csv,filter_p1_to_bank(GSM) + drop ERROR: ; GPT-4o/Llama n=20 because GSM_041-064 are 402 placeholders,MATCH,
Table 3 Llama Acc_can Wilson CI,Table 3,"[.58,.92]","[0.58,0.92]",GSM_P1_behavioral_llama.csv,filter_p1_to_bank(GSM) + drop ERROR: ; GPT-4o/Llama n=20 because GSM_041-064 are 402 placeholders,MATCH,wilson 16/20; paper omits leading zeros
Table 3 Llama Acc_W3 Wilson CI,Table 3,"[.05,.36]","[0.05,0.36]",GSM_P1_behavioral_llama.csv,filter_p1_to_bank(GSM) + drop ERROR: ; GPT-4o/Llama n=20 because GSM_041-064 are 402 placeholders,MATCH,wilson 3/20
Table 3 Llama n,Table 3,20,20,GSM_P1_behavioral_llama.csv,filter_p1_to_bank(GSM) + drop ERROR: ; GPT-4o/Llama n=20 because GSM_041-064 are 402 placeholders,MATCH,
Table 3 Gemini Acc_can,Table 3,.909,0.909091,GSM_P1_behavioral_gemini.csv,filter_p1_to_bank(GSM) + drop ERROR: ; GPT-4o/Llama n=20 because GSM_041-064 are 402 placeholders,MATCH,40/44
Table 3 Gemini Acc_W3,Table 3,.523,0.522727,GSM_P1_behavioral_gemini.csv,filter_p1_to_bank(GSM) + drop ERROR: ; GPT-4o/Llama n=20 because GSM_041-064 are 402 placeholders,MATCH,23/44
Table 3 Gemini Delta,Table 3,.386,0.386364,GSM_P1_behavioral_gemini.csv,filter_p1_to_bank(GSM) + drop ERROR: ; GPT-4o/Llama n=20 because GSM_041-064 are 402 placeholders,MATCH,
Table 3 Gemini R_W3,Table 3,.575,0.575,GSM_P1_behavioral_gemini.csv,filter_p1_to_bank(GSM) + drop ERROR: ; GPT-4o/Llama n=20 because GSM_041-064 are 402 placeholders,MATCH,
Table 3 Gemini Acc_can Wilson CI,Table 3,"[.79,.96]","[0.79,0.96]",GSM_P1_behavioral_gemini.csv,filter_p1_to_bank(GSM) + drop ERROR: ; GPT-4o/Llama n=20 because GSM_041-064 are 402 placeholders,MATCH,wilson 40/44; paper omits leading zeros
Table 3 Gemini Acc_W3 Wilson CI,Table 3,"[.38,.66]","[0.38,0.66]",GSM_P1_behavioral_gemini.csv,filter_p1_to_bank(GSM) + drop ERROR: ; GPT-4o/Llama n=20 because GSM_041-064 are 402 placeholders,MATCH,wilson 23/44
Table 3 Gemini n,Table 3,44,44,GSM_P1_behavioral_gemini.csv,filter_p1_to_bank(GSM) + drop ERROR: ; GPT-4o/Llama n=20 because GSM_041-064 are 402 placeholders,MATCH,
Table 3 o4-mini Acc_can,Table 3,.841,0.840909,GSM_P1_behavioral_o1mini.csv,filter_p1_to_bank(GSM) + drop ERROR: ; GPT-4o/Llama n=20 because GSM_041-064 are 402 placeholders,MATCH,37/44
Table 3 o4-mini Acc_W3,Table 3,.841,0.840909,GSM_P1_behavioral_o1mini.csv,filter_p1_to_bank(GSM) + drop ERROR: ; GPT-4o/Llama n=20 because GSM_041-064 are 402 placeholders,MATCH,37/44
Table 3 o4-mini Delta,Table 3,.000,0,GSM_P1_behavioral_o1mini.csv,filter_p1_to_bank(GSM) + drop ERROR: ; GPT-4o/Llama n=20 because GSM_041-064 are 402 placeholders,MATCH,
Table 3 o4-mini R_W3,Table 3,1.000,1,GSM_P1_behavioral_o1mini.csv,filter_p1_to_bank(GSM) + drop ERROR: ; GPT-4o/Llama n=20 because GSM_041-064 are 402 placeholders,MATCH,
Table 3 o4-mini Acc_can Wilson CI,Table 3,"[.71,.92]","[0.71,0.92]",GSM_P1_behavioral_o1mini.csv,filter_p1_to_bank(GSM) + drop ERROR: ; GPT-4o/Llama n=20 because GSM_041-064 are 402 placeholders,MATCH,wilson 37/44; paper omits leading zeros
Table 3 o4-mini Acc_W3 Wilson CI,Table 3,"[.71,.92]","[0.71,0.92]",GSM_P1_behavioral_o1mini.csv,filter_p1_to_bank(GSM) + drop ERROR: ; GPT-4o/Llama n=20 because GSM_041-064 are 402 placeholders,MATCH,wilson 37/44
Table 3 o4-mini n,Table 3,44,44,GSM_P1_behavioral_o1mini.csv,filter_p1_to_bank(GSM) + drop ERROR: ; GPT-4o/Llama n=20 because GSM_041-064 are 402 placeholders,MATCH,
Table 4 Claude Acc_P2A,Table 4,.864,,GSM_P2_cci.csv + GSM_P2_phase1_o1mini.csv,phase2a_correct; unrecoverable if blank (old cell was either_session_correct),NOT_RECOMPUTABLE,either=0.864
Table 4 Claude CCI mean,Table 4,.231,0.231059,GSM_P2_cci.csv + GSM_P2_phase1_o1mini.csv,full n=44,MATCH,n=44
Table 4 Claude CCI median,Table 4,.216,0.21635,GSM_P2_cci.csv + GSM_P2_phase1_o1mini.csv,full n=44,MATCH,n=44
Table 4 Claude TEP,Table 4,.539,0.539016,GSM_P2_cci.csv + GSM_P2_phase1_o1mini.csv,full n=44,MATCH,n=44
Table 4 GPT-4o Acc_P2A,Table 4,.705,,GSM_P2_cci.csv + GSM_P2_phase1_o1mini.csv,phase2a_correct; unrecoverable if blank (old cell was either_session_correct),NOT_RECOMPUTABLE,either=0.705
Table 4 GPT-4o CCI mean,Table 4,.108,0.108334,GSM_P2_cci.csv + GSM_P2_phase1_o1mini.csv,full n=44,MATCH,n=44
Table 4 GPT-4o CCI median,Table 4,.000,0,GSM_P2_cci.csv + GSM_P2_phase1_o1mini.csv,full n=44,MATCH,n=44
Table 4 GPT-4o TEP,Table 4,.599,0.598486,GSM_P2_cci.csv + GSM_P2_phase1_o1mini.csv,full n=44,MATCH,n=44
Table 4 Llama Acc_P2A,Table 4,.455,,GSM_P2_cci.csv + GSM_P2_phase1_o1mini.csv,phase2a_correct; unrecoverable if blank (old cell was either_session_correct),NOT_RECOMPUTABLE,either=0.455
Table 4 Llama CCI mean,Table 4,.167,0.167232,GSM_P2_cci.csv + GSM_P2_phase1_o1mini.csv,full n=44,MATCH,n=44
Table 4 Llama CCI median,Table 4,.000,0,GSM_P2_cci.csv + GSM_P2_phase1_o1mini.csv,full n=44,MATCH,n=44
Table 4 Llama TEP,Table 4,.773,0.772727,GSM_P2_cci.csv + GSM_P2_phase1_o1mini.csv,full n=44,MATCH,n=44
Table 4 Gemini Acc_P2A,Table 4,.886,,GSM_P2_cci.csv + GSM_P2_phase1_o1mini.csv,phase2a_correct; unrecoverable if blank (old cell was either_session_correct),NOT_RECOMPUTABLE,either=0.886
Table 4 Gemini CCI mean,Table 4,.270,0.269698,GSM_P2_cci.csv + GSM_P2_phase1_o1mini.csv,full n=44,MATCH,n=44
Table 4 Gemini CCI median,Table 4,.250,0.25,GSM_P2_cci.csv + GSM_P2_phase1_o1mini.csv,full n=44,MATCH,n=44
Table 4 Gemini TEP,Table 4,.652,0.651514,GSM_P2_cci.csv + GSM_P2_phase1_o1mini.csv,full n=44,MATCH,n=44
Table 4 o4-mini Acc_P2A,Table 4,.955,,GSM_P2_cci.csv + GSM_P2_phase1_o1mini.csv,phase2a_correct; unrecoverable if blank (old cell was either_session_correct),NOT_RECOMPUTABLE,either=0.955
Table 4 o4-mini CCI mean,Table 4,.220,0.220207,GSM_P2_cci.csv + GSM_P2_phase1_o1mini.csv,o4-mini: parseable subset,MATCH,parseable 43/44; merged GSM_P2 drops phase1_parseable so rederive prints unfiltered mean
Table 4 o4-mini CCI median,Table 4,.143,0.1429,GSM_P2_cci.csv + GSM_P2_phase1_o1mini.csv,o4-mini: parseable subset,MATCH,parseable 43/44; merged GSM_P2 drops phase1_parseable so rederive prints unfiltered mean
Table 4 o4-mini TEP,Table 4,.628,0.628265,GSM_P2_cci.csv + GSM_P2_phase1_o1mini.csv,o4-mini: parseable subset,MATCH,parseable 43/44; merged GSM_P2 drops phase1_parseable so rederive prints unfiltered mean
Wilcoxon Claude vs GPT-4o W,Table 4 / §4.2,396,396,GSM_P2_cci.csv,n=44 zero-imputed paired,MATCH,
Wilcoxon p,Table 4 / §4.2,0.0068,0.00676916,GSM_P2_cci.csv,one-sided greater,MATCH,
Table 5 CC mean template proximity,Table 5,0.468,0.468,results/paper/AUDIT/contamination_vri_algo_adversarial.csv (hardcoded in fig script),challenging instances,NOT_RECOMPUTABLE,"Infini-gram not re-queried; figure script hardcodes [0.468, 0.147, 0.000]"
Table 5 SP mean template proximity,Table 5,0.147,0.147,results/paper/AUDIT/contamination_vri_algo_adversarial.csv (hardcoded in fig script),challenging instances,NOT_RECOMPUTABLE,"Infini-gram not re-queried; figure script hardcodes [0.468, 0.147, 0.000]"
Table 5 WIS mean template proximity,Table 5,0.000,0.000,results/paper/AUDIT/contamination_vri_algo_adversarial.csv (hardcoded in fig script),challenging instances,NOT_RECOMPUTABLE,"Infini-gram not re-queried; figure script hardcodes [0.468, 0.147, 0.000]"
Table 5 CC Claude Can,Table 5,.700,0.7,ALGO_P1_4model_frozen_labels.csv + raw ALGO_P1,"frozen challenging IDs n=10 (34/10/17 list, not bank instance_type)",MATCH,7/10
Table 5 CC Claude W3,Table 5,.600,0.6,ALGO_P1_4model_frozen_labels.csv + raw ALGO_P1,frozen challenging n=10,MATCH,6/10
Table 5 CC GPT-4o Can,Table 5,.600,0.6,ALGO_P1_4model_frozen_labels.csv + raw ALGO_P1,"frozen challenging IDs n=10 (34/10/17 list, not bank instance_type)",MATCH,6/10
Table 5 CC GPT-4o W3,Table 5,.000,0,ALGO_P1_4model_frozen_labels.csv + raw ALGO_P1,frozen challenging n=10,MATCH,0/10
Table 5 SP Claude Can,Table 5,.647,0.647,ALGO_P1_4model_frozen_labels.csv + raw ALGO_P1,"frozen challenging IDs n=34 (34/10/17 list, not bank instance_type)",MATCH,22/34
Table 5 SP Claude W3,Table 5,.000,0,ALGO_P1_4model_frozen_labels.csv + raw ALGO_P1,frozen challenging n=34,MATCH,0/34
Table 5 SP GPT-4o Can,Table 5,.412,0.412,ALGO_P1_4model_frozen_labels.csv + raw ALGO_P1,"frozen challenging IDs n=34 (34/10/17 list, not bank instance_type)",MATCH,14/34
Table 5 SP GPT-4o W3,Table 5,.265,0.265,ALGO_P1_4model_frozen_labels.csv + raw ALGO_P1,frozen challenging n=34,MATCH,9/34
Table 5 WIS Claude Can,Table 5,.353,0.353,ALGO_P1_4model_frozen_labels.csv + raw ALGO_P1,"frozen challenging IDs n=17 (34/10/17 list, not bank instance_type)",MATCH,6/17
Table 5 WIS Claude W3,Table 5,.000,0,ALGO_P1_4model_frozen_labels.csv + raw ALGO_P1,frozen challenging n=17,MATCH,0/17
Table 5 WIS GPT-4o Can,Table 5,.353,0.353,ALGO_P1_4model_frozen_labels.csv + raw ALGO_P1,"frozen challenging IDs n=17 (34/10/17 list, not bank instance_type)",MATCH,6/17
Table 5 WIS GPT-4o W3,Table 5,.000,0,ALGO_P1_4model_frozen_labels.csv + raw ALGO_P1,frozen challenging n=17,MATCH,0/17
Table 7 GSM Claude canonical,Table 7,.841,0.840909,GSM_P1_behavioral_claude.csv,bank-valid + drop ERROR:,MATCH,37/44 
Table 7 GSM Claude W1,Table 7,.841,0.840909,GSM_P1_behavioral_claude.csv,bank-valid + drop ERROR:,MATCH,37/44 
Table 7 GSM Claude W2,Table 7,.773,0.772727,GSM_P1_behavioral_claude.csv,bank-valid + drop ERROR:,MATCH,34/44 
Table 7 GSM Claude W3,Table 7,.750,0.75,GSM_P1_behavioral_claude.csv,bank-valid + drop ERROR:,MATCH,33/44 
Table 7 GSM Claude W4,Table 7,.636,0.636364,GSM_P1_behavioral_claude.csv,bank-valid + drop ERROR:,MATCH,28/44 
Table 7 GSM Claude W5,Table 7,.818,0.818182,GSM_P1_behavioral_claude.csv,bank-valid + drop ERROR:,MATCH,36/44 
Table 7 GSM Claude W6,Table 7,.750,0.75,GSM_P1_behavioral_claude.csv,bank-valid + drop ERROR:,MATCH,18/24 
Table 7 GSM GPT-4o canonical,Table 7,.850,0.85,GSM_P1_behavioral_gpt4o.csv,bank-valid + drop ERROR:,MATCH,17/20 
Table 7 GSM GPT-4o W1,Table 7,.750,0.75,GSM_P1_behavioral_gpt4o.csv,bank-valid + drop ERROR:,MATCH,15/20 
Table 7 GSM GPT-4o W2,Table 7,.300,0.3,GSM_P1_behavioral_gpt4o.csv,bank-valid + drop ERROR:,MATCH,6/20 
Table 7 GSM GPT-4o W3,Table 7,.300,0.3,GSM_P1_behavioral_gpt4o.csv,bank-valid + drop ERROR:,MATCH,6/20 
Table 7 GSM GPT-4o W4,Table 7,.200,0.2,GSM_P1_behavioral_gpt4o.csv,bank-valid + drop ERROR:,MATCH,4/20 
Table 7 GSM GPT-4o W5,Table 7,.300,0.3,GSM_P1_behavioral_gpt4o.csv,bank-valid + drop ERROR:,MATCH,6/20 
Table 7 GSM GPT-4o W6,Table 7,.800,0.8,GSM_P1_behavioral_gpt4o.csv,GSM_001-020 W6 in raw (NOT in question bank; bank W6 is 041-064 only),MATCH,16/20
Table 7 GSM Gemini canonical,Table 7,.909,0.909091,GSM_P1_behavioral_gemini.csv,bank-valid + drop ERROR:,MATCH,40/44 
Table 7 GSM Gemini W1,Table 7,.818,0.818182,GSM_P1_behavioral_gemini.csv,bank-valid + drop ERROR:,MATCH,36/44 
Table 7 GSM Gemini W2,Table 7,.636,0.636364,GSM_P1_behavioral_gemini.csv,bank-valid + drop ERROR:,MATCH,28/44 
Table 7 GSM Gemini W3,Table 7,.523,0.522727,GSM_P1_behavioral_gemini.csv,bank-valid + drop ERROR:,MATCH,23/44 
Table 7 GSM Gemini W4,Table 7,.477,0.477273,GSM_P1_behavioral_gemini.csv,bank-valid + drop ERROR:,MATCH,21/44 
Table 7 GSM Gemini W5,Table 7,.614,0.613636,GSM_P1_behavioral_gemini.csv,bank-valid + drop ERROR:,MATCH,27/44 
Table 7 GSM Gemini W6,Table 7,.958,0.958333,GSM_P1_behavioral_gemini.csv,bank-valid + drop ERROR:,MATCH,23/24 
Table 7 GSM Llama canonical,Table 7,.800,0.8,GSM_P1_behavioral_llama.csv,bank-valid + drop ERROR:,MATCH,16/20 
Table 7 GSM Llama W1,Table 7,.850,0.85,GSM_P1_behavioral_llama.csv,bank-valid + drop ERROR:,MATCH,17/20 
Table 7 GSM Llama W2,Table 7,.250,0.25,GSM_P1_behavioral_llama.csv,bank-valid + drop ERROR:,MATCH,5/20 
Table 7 GSM Llama W3,Table 7,.150,0.15,GSM_P1_behavioral_llama.csv,bank-valid + drop ERROR:,MATCH,3/20 
Table 7 GSM Llama W4,Table 7,.300,0.3,GSM_P1_behavioral_llama.csv,bank-valid + drop ERROR:,MATCH,6/20 
Table 7 GSM Llama W5,Table 7,.050,0.05,GSM_P1_behavioral_llama.csv,bank-valid + drop ERROR:,MATCH,1/20 
Table 7 GSM Llama W6,Table 7,.450,0.45,GSM_P1_behavioral_llama.csv,GSM_001-020 W6 in raw (NOT in question bank; bank W6 is 041-064 only),MATCH,9/20
Table 7 GSM o4-mini canonical,Table 7,.841,0.840909,GSM_P1_behavioral_o1mini.csv,bank-valid + drop ERROR:,MATCH,37/44 
Table 7 GSM o4-mini W1,Table 7,.864,0.863636,GSM_P1_behavioral_o1mini.csv,bank-valid + drop ERROR:,MATCH,38/44 
Table 7 GSM o4-mini W2,Table 7,.818,0.818182,GSM_P1_behavioral_o1mini.csv,bank-valid + drop ERROR:,MATCH,36/44 
Table 7 GSM o4-mini W3,Table 7,.841,0.840909,GSM_P1_behavioral_o1mini.csv,bank-valid + drop ERROR:,MATCH,37/44 
Table 7 GSM o4-mini W4,Table 7,.682,0.681818,GSM_P1_behavioral_o1mini.csv,bank-valid + drop ERROR:,MATCH,30/44 
Table 7 GSM o4-mini W5,Table 7,.886,0.886364,GSM_P1_behavioral_o1mini.csv,bank-valid + drop ERROR:,MATCH,39/44 
Table 7 GSM o4-mini W6,Table 7,.833,0.833333,GSM_P1_behavioral_o1mini.csv,bank-valid + drop ERROR:,MATCH,20/24 
Table 7 ALGO CC-chall. Claude canonical,Table 7,.700,0.7,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,7/10
Table 7 ALGO CC-chall. Claude W1,Table 7,.700,0.7,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,7/10
Table 7 ALGO CC-chall. Claude W2,Table 7,.700,0.7,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,7/10
Table 7 ALGO CC-chall. Claude W3,Table 7,.600,0.6,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,6/10
Table 7 ALGO CC-chall. Claude W4,Table 7,.800,0.8,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,8/10
Table 7 ALGO CC-chall. GPT-4o canonical,Table 7,.600,0.6,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,6/10
Table 7 ALGO CC-chall. GPT-4o W1,Table 7,.400,0.4,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,4/10
Table 7 ALGO CC-chall. GPT-4o W2,Table 7,.600,0.6,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,6/10
Table 7 ALGO CC-chall. GPT-4o W3,Table 7,.000,0,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,0/10
Table 7 ALGO CC-chall. GPT-4o W4,Table 7,.500,0.5,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,5/10
Table 7 ALGO CC-chall. Gemini canonical,Table 7,.500,0.5,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,5/10
Table 7 ALGO CC-chall. Gemini W1,Table 7,.700,0.7,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,7/10
Table 7 ALGO CC-chall. Gemini W2,Table 7,.600,0.6,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,6/10
Table 7 ALGO CC-chall. Gemini W3,Table 7,.700,0.7,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,7/10
Table 7 ALGO CC-chall. Gemini W4,Table 7,.700,0.7,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,7/10
Table 7 ALGO CC-chall. Llama canonical,Table 7,.200,0.2,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,2/10
Table 7 ALGO CC-chall. Llama W1,Table 7,.100,0.1,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,1/10
Table 7 ALGO CC-chall. Llama W2,Table 7,.400,0.4,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,4/10
Table 7 ALGO CC-chall. Llama W3,Table 7,.000,0,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,0/10
Table 7 ALGO CC-chall. Llama W4,Table 7,.200,0.2,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,2/10
Table 7 ALGO CC-std. Claude canonical,Table 7,.267,0.267,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,4/15
Table 7 ALGO CC-std. Claude W1,Table 7,.467,0.467,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,7/15
Table 7 ALGO CC-std. Claude W2,Table 7,.067,0.067,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,1/15
Table 7 ALGO CC-std. Claude W3,Table 7,.200,0.2,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,3/15
Table 7 ALGO CC-std. Claude W4,Table 7,.667,0.667,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,10/15
Table 7 ALGO CC-std. GPT-4o canonical,Table 7,.267,0.267,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,4/15
Table 7 ALGO CC-std. GPT-4o W1,Table 7,.400,0.4,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,6/15
Table 7 ALGO CC-std. GPT-4o W2,Table 7,.000,0,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,0/15
Table 7 ALGO CC-std. GPT-4o W3,Table 7,.067,0.067,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,1/15
Table 7 ALGO CC-std. GPT-4o W4,Table 7,.867,0.867,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,13/15
Table 7 ALGO CC-std. Gemini canonical,Table 7,.267,0.267,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,4/15
Table 7 ALGO CC-std. Gemini W1,Table 7,.133,0.133,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,2/15
